time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,8.9,8.9,8.9,8.9,0,,,,,
2018-01-03,8.9,8.9,8.9,8.9,0,,,,,
2018-01-04,8.9,8.9,8.9,8.9,0,,,,,
2018-01-05,8.72,8.72,8.72,8.72,3600,,,,,
2018-01-08,8.72,8.72,8.72,8.72,0,,,,,
2018-01-09,8.9,8.94,8.9,8.94,200,,,,,
2018-01-10,8.94,8.94,8.94,8.94,0,,,,,
2018-01-11,8.94,8.94,8.94,8.94,0,,,,,
2018-01-12,8.94,8.94,8.94,8.94,0,,,,,
2018-01-15,8.94,8.94,8.94,8.94,0,,,,,
2018-01-16,9.05,9.05,9.05,9.05,300,,,,,
2018-01-17,9.08,9.08,9.08,9.08,200,,,,,
2018-01-18,9.08,9.08,9.08,9.08,0,,,,,
2018-01-19,9.08,9.08,9.08,9.08,0,120.37195994277606,,,,
2018-01-22,9.08,9.08,9.08,9.08,0,97.84080746135339,,,,66.66666666666667
2018-01-23,9.08,9.08,9.08,9.08,0,81.23822975517976,,,,66.66666666666666
2018-01-24,9.08,9.08,9.08,9.08,0,69.51702296120384,,,,66.66666666666666
2018-01-25,9.08,9.08,9.08,9.08,0,61.247687020883774,,,,66.66666666666667
2018-01-26,9.26,9.44,9.26,9.44,895,278.8788788788788,,,,82.42562225025382
2018-01-29,9.41,9.41,9.41,9.41,0,244.54614797864474,,,,79.07080932532592
2018-01-30,9.44,9.44,9.26,9.26,600,125.6410256410264,,,,64.85680854228048
2018-01-31,9.26,9.26,9.08,9.08,900,9.740670461733831,,,,52.63031209953749
2018-02-01,9.15,9.15,9.15,9.15,0,7.106598984771837,,,,56.096527456202004
2018-02-02,9.15,9.15,9.15,9.15,0,-3.090507726270673,,,,56.096527456202
2018-02-05,9.15,9.15,9.15,9.15,0,-8.523592085236617,,,,56.096527456202
2018-02-06,9.15,9.15,9.15,9.15,0,-12.55360623781798,,,,56.096527456202
2018-02-07,9.08,9.08,9.08,9.08,300,-66.04288499025415,,,,51.070089026911894
2018-02-08,9.08,9.08,9.08,9.08,500,-66.04288499025415,,,,51.070089026911894
2018-02-09,7.74,7.99,7.74,7.99,900,-461.52716593245316,,,,19.506078447102052
2018-02-12,7.85,7.85,7.85,7.85,0,-239.2549939574893,,,,17.969848580852524
2018-02-13,8.9,8.9,8.9,8.9,100,-16.697871160113984,,,,49.86269000631686
2018-02-21,8.9,8.9,8.9,8.9,0,-13.891740231301032,,,,49.86269000631685
2018-02-22,8.9,8.9,8.9,8.9,0,-7.316723940435136,,,,49.86269000631687
2018-02-23,8.9,8.9,8.9,8.9,0,0.38126361655738866,-0.045216771476709994,-0.0001916402319641877,-0.0450251312447458,49.86269000631685
2018-02-26,8.9,8.9,8.9,8.9,0,7.46352413019071,-0.037696384776246816,-0.007692589140820712,-0.030003795635426104,49.86269000631686
2018-02-27,8.9,8.9,8.9,8.9,0,11.706640561265791,-0.0313747554835615,-0.01242902240936887,-0.01894573307419263,49.86269000631687
2018-02-28,8.9,8.9,8.9,8.9,0,16.288539848749217,-0.026064364949593966,-0.015156090917413888,-0.010908274032180077,49.86269000631686
2018-03-01,8.9,8.9,8.9,8.9,0,21.045054200541852,-0.021606772765435878,-0.016446227287018285,-0.005160545478417593,49.86269000631686
2018-03-02,8.9,8.9,8.9,8.9,0,25.986359319692415,-0.017868126207870816,-0.016730607071188792,-0.0011375191366820234,49.86269000631687
2018-03-05,8.9,8.9,8.9,8.9,0,31.123437224863213,-0.01473536179715218,-0.01633155801638147,0.0015961962192292886,49.86269000631687
2018-03-06,8.9,8.9,8.9,8.9,0,34.94998213647709,-0.012112992395055144,-0.015487844892116204,0.00337485249706106,49.86269000631687
2018-03-07,8.9,8.9,8.9,8.9,0,38.88888888888847,-0.009920389673810703,-0.014374353848455104,0.004453964174644401,49.86269000631686
2018-03-08,8.9,8.9,8.9,8.9,0,35.897435897435685,-0.00808948566515788,-0.013117380211795659,0.005027894546637778,49.86269000631687
2018-03-09,8.9,10.21,8.9,9.63,2200,466.6666666666601,0.05167078939193814,-0.00015974629104889733,0.05183053568298704,70.6517921017489
2018-03-12,9.63,9.63,9.63,9.63,0,242.9866036248988,0.09790267680827114,0.01945273832881511,0.07844993847945603,70.6517921017489
2018-03-13,11.04,11.04,11.04,11.04,100,315.6124626547152,0.24548717348137217,0.06465962535932653,0.18082754812204566,84.78451970134014
2018-03-14,11.04,11.04,11.04,11.04,0,199.05096660808414,0.3583184780146418,0.12339139589038958,0.2349270821242522,84.78451970134013
2018-03-15,10.9,10.9,10.9,10.9,100,136.94552810287507,0.4314675801074923,0.18500663273381013,0.24646094737368218,80.33000413956
2018-03-16,10.72,10.72,10.72,10.72,100,97.95828951980349,0.46950214636135,0.2419057354593181,0.22759641090203192,74.88254869718341
2018-03-19,10.72,10.72,10.72,10.72,0,80.30321456078465,0.493950856145867,0.2923147595966279,0.20163609654923909,74.88254869718341
2018-03-20,10.72,10.72,10.72,10.72,0,67.32974490989918,0.5074767586135565,0.3353471594000136,0.17212959921354287,74.88254869718341
2018-03-21,10.72,10.72,10.72,10.72,0,57.66803840877907,0.512290764722275,0.3707358804644659,0.1415548842578091,74.88254869718341
2018-03-22,10.72,10.72,10.72,10.72,0,50.06584362139918,0.5102243505371131,0.39863357447899533,0.11159077605811779,74.88254869718341
2018-03-23,10.72,10.72,10.72,10.72,0,43.732096576183395,0.5027908425511658,0.41946502809342945,0.08332581445773635,74.88254869718341
2018-03-26,10.72,10.72,10.72,10.72,0,38.02301817790687,0.49123705888637836,0.43381943425201924,0.05741762463435912,74.88254869718341
2018-03-27,10.72,10.72,10.72,10.72,0,32.06409983691425,0.4765868060562859,0.4423729086128726,0.0342138974434133,74.88254869718341
2018-03-28,10.72,10.72,10.72,10.72,0,23.169014084507413,0.45967749906910527,0.44583382670411914,0.013843672364986126,74.88254869718341
2018-03-29,10.72,10.72,10.72,10.72,0,8.40560373582418,0.44119097651140926,0.4449052566655772,-0.003714280154167915,74.88254869718341
2018-03-30,10.72,10.72,10.72,10.72,0,-42.424242424242195,0.421679416370635,0.4402600886065887,-0.01858067223595372,74.88254869718341
2018-04-02,10.72,10.72,10.72,10.72,0,-38.888888888889454,0.40158711806808434,0.43252549449888783,-0.030938376430803494,74.88254869718341
2018-04-03,10.72,10.72,10.72,10.72,0,-35.89743589743399,0.38126879753966847,0.42227415510704397,-0.0410053575673755,74.88254869718341
2018-04-04,10.72,10.72,10.72,10.72,98,0.0,0.3610049418830492,0.410020312462245,-0.049015370579195805,74.88254869718341
2018-04-05,10.72,10.72,10.72,10.72,0,0.0,0.3410146852645237,0.39621918702270076,-0.05520450175817704,74.88254869718341
2018-04-06,10.72,10.72,10.72,10.72,0,0.0,0.32146659605896133,0.38126866882995286,-0.05980207277099153,74.88254869718341
2018-04-09,10.72,10.72,10.72,10.72,0,0.0,0.3024877045610541,0.3655124759761731,-0.06302477141511897,74.88254869718341
2018-04-10,10.72,10.72,10.72,10.72,0,0.0,0.28417104934689874,0.3492441906503182,-0.06507314130341946,74.88254869718341
2018-04-11,10.72,10.72,10.72,10.72,0,0.0,0.26658197703555686,0.3327117479273659,-0.06612977089180905,74.88254869718341
2018-04-12,10.72,10.72,10.72,10.72,100,0.0,0.24976339357754895,0.31612207705740253,-0.06635868347985358,74.88254869718341
2018-04-13,10.72,10.72,10.72,10.72,0,0.0,0.23374013424631634,0.2996456884951853,-0.06590555424886896,74.88254869718341
2018-04-16,10.72,10.72,10.72,10.72,0,0.0,0.21852259335436663,0.28342106946702156,-0.06489847611265492,74.88254869718342
2018-04-17,10.72,10.72,10.72,10.72,0,0.0,0.20410973261732046,0.2675588020970813,-0.06344906947976087,74.88254869718342
2018-04-18,10.72,10.72,10.72,10.72,0,0.0,0.1904915684202919,0.25214535536172344,-0.06165378694143153,74.88254869718341
2018-04-19,10.72,10.72,10.72,10.72,0,0.0,0.17765122247195997,0.23724652878377075,-0.059595306311810786,74.88254869718341
2018-04-20,10.72,10.72,10.72,10.72,0,0.0,0.1655666070141848,0.22291054442985356,-0.05734393741566876,74.88254869718341
2018-04-23,10.72,10.72,10.72,10.72,0,0.0,0.15421180451006933,0.2091707964458967,-0.05495899193582737,74.88254869718341
2018-04-24,10.72,10.72,10.72,10.72,0,0.0,0.1435581922403486,0.19604827560478708,-0.05249008336443847,74.88254869718341
2018-04-26,10.72,10.72,10.72,10.72,0,0.0,0.13357535422571942,0.18355369132897353,-0.04997833710325411,74.88254869718341
2018-04-27,10.72,10.72,10.72,10.72,0,0.0,0.12423181613191225,0.17168931628956127,-0.04745750015764902,74.88254869718342
2018-05-02,9.15,9.15,9.15,9.15,100,-466.6666666666678,-0.009746532131119423,0.13540214660542513,-0.14514867873654455,11.585164779401095
2018-05-03,9.15,9.15,9.15,9.15,100,-233.33333333333397,-0.11460425191405221,0.08540086690152965,-0.20000511881558186,11.585164779401097
2018-05-04,9.15,9.15,9.15,9.15,0,-155.55555555555603,-0.19545170471362638,0.029230352578498438,-0.22468205729212481,11.585164779401095
2018-05-07,9.15,9.15,9.15,9.15,0,-116.66666666666706,-0.256566356283507,-0.027928989193902652,-0.22863736708960433,11.585164779401097
2018-05-08,10.5,10.5,10.5,10.5,200,25.77519379844948,-0.1938320649917209,-0.0611096043534663,-0.1327224606382546,55.292706063217736
2018-05-09,11.81,12.04,11.81,12.04,200,158.1057737027439,-0.019623351700529312,-0.0528123538228789,0.03318900212234959,72.18483797921074
2018-05-10,11.95,11.95,11.95,11.95,0,138.06783017700184,0.10990909719371444,-0.020268063619560232,0.13017716081327468,70.50815142611451
2018-05-11,11.95,11.95,11.95,11.95,0,121.28687874197479,0.2101421087525246,0.02581397085485674,0.18432813789766786,70.50815142611451
2018-05-14,11.95,11.95,11.95,11.95,0,105.41616566466244,0.2862774641475756,0.0779066695134005,0.2083707946341751,70.5081514261145
2018-05-15,11.95,11.95,11.95,11.95,0,91.73104434906992,0.3426652501220726,0.1308583856351349,0.2118068644869377,70.50815142611451
2018-05-16,11.95,11.95,11.95,11.95,0,77.62985101661907,0.3829386978214995,0.18127444807240783,0.20166424974909164,70.50815142611451
2018-05-17,11.95,11.95,11.95,11.95,0,66.54911468665036,0.4101279950467287,0.227045157467272,0.1830828375794567,70.50815142611451
2018-05-18,12.04,12.04,12.04,12.04,1000,62.843552848926265,0.4339358148665333,0.26842328894712425,0.16551252591940907,71.539387823264
2018-05-21,12.04,12.04,12.04,12.04,0,55.75071369816619,0.4476435276613504,0.30426733668996947,0.14337619097138093,71.539387823264
2018-05-22,12.04,12.04,12.04,12.04,0,50.71038251366126,0.4532818379403505,0.3340702369400457,0.11921160100030481,71.539387823264
2018-05-23,12.04,12.04,12.04,12.04,0,47.07992599183658,0.45253371251289565,0.3577629320546157,0.09477078045827997,71.539387823264
2018-05-24,12.04,12.04,12.04,12.04,0,45.35455984936046,0.4467904950126069,0.3755684446462139,0.07122205036639301,71.539387823264
2018-05-25,12.04,12.04,12.04,12.04,0,51.86966729657045,0.43719919360910175,0.3878945944387915,0.04930459917031027,71.539387823264
2018-05-28,12.04,12.04,12.04,12.04,0,66.66666666667147,0.42470231423474125,0.39525613839798146,0.02944617583675979,71.539387823264
2018-05-29,12.04,12.04,12.04,12.04,0,58.33333333333905,0.4100713994629821,0.3982191906109816,0.011852208852000501,71.539387823264
2018-05-30,12.04,12.04,12.04,12.04,10,51.851851851857106,0.39393525370775073,0.39736240323033545,-0.003427149522584716,71.539387823264
2018-05-31,12.04,12.04,12.04,12.04,0,46.66666666667183,0.3768036836293476,0.39325065931013786,-0.016446975680790288,71.539387823264
2018-06-01,12.04,12.04,12.04,12.04,0,42.424242424247936,0.35908745426729993,0.3864180183015703,-0.027330564034270366,71.539387823264
2018-06-04,12.04,12.04,12.04,12.04,0,38.88888888889561,0.34111505286663935,0.3773574252145841,-0.03624237234794475,71.539387823264
2018-06-05,12.04,12.04,12.04,12.04,0,35.89743589744696,0.32314676056849656,0.3665152922853666,-0.04336853171687005,71.539387823264
2018-06-06,12.04,12.04,12.04,12.04,0,66.66666666666667,0.30538645451646573,0.3542895247315864,-0.04890307021512069,71.539387823264
2018-06-07,12.04,12.04,12.04,12.04,13,66.66666666666667,0.28799149730172324,0.34102991924561377,-0.053038421943890524,71.539387823264
2018-06-08,12.04,12.04,12.04,12.04,700,66.66666666666667,0.27108101518416916,0.32704013843332486,-0.055959123249155696,71.539387823264
2018-06-11,12.04,12.04,12.04,12.04,100,66.66666666666667,0.2547428196198851,0.3125806746706369,-0.057837855050751785,71.53938782326398
2018-06-12,12.04,12.04,12.04,12.04,0,66.66666666666667,0.23903918697413573,0.29787237713133663,-0.0588331901572009,71.539387823264
2018-06-13,12.04,12.04,12.04,12.04,0,66.66666666666667,0.22401167778474118,0.28310023726201755,-0.05908855947727637,71.539387823264
2018-06-14,12.04,12.04,12.04,12.04,0,66.66666666666667,0.20968514861601584,0.2684172195328172,-0.05873207091680138,71.53938782326398
2018-06-15,12.04,12.04,12.04,12.04,0,66.66666666666667,0.1960710856078567,0.2539479927478251,-0.0578769071399684,71.539387823264
2018-06-18,12.04,12.04,12.04,12.04,0,66.66666666666667,0.18317036860023705,0.2397924679183075,-0.05662209931807044,71.539387823264
2018-06-19,12.04,12.04,12.04,12.04,0,66.66666666666667,0.17097555762731176,0.22602908586010834,-0.05505352823279658,71.539387823264
2018-06-20,12.04,12.04,12.04,12.04,0,66.66666666666667,0.15947277914279923,0.2127178245166465,-0.05324504537384728,71.539387823264
2018-06-21,12.04,12.04,12.04,12.04,0,66.66666666666667,0.14864327714903425,0.19990291504312405,-0.0512596378940898,71.539387823264
2018-06-22,12.51,12.51,12.51,12.51,200,466.6666666666885,0.1759575616023632,0.19511384435497187,-0.019156282752608667,86.85100774112773
2018-06-25,12.51,12.51,12.51,12.51,0,233.33333333334156,0.19535242763728,0.1951615610114335,0.0001908666258464975,86.85100774112773
2018-06-26,12.51,12.51,12.51,12.51,0,155.55555555555893,0.20832159700780117,0.19779356821070704,0.010528028797094136,86.85100774112773
2018-06-27,12.51,12.51,12.51,12.51,6,116.66666666666838,0.21610859184786335,0.2014565729381383,0.014652018909725062,86.85100774112772
2018-06-28,12.04,12.04,12.04,12.04,900,-46.66666666666599,0.18225386026275103,0.19761603040306083,-0.0153621701403098,50.38847408673755
2018-06-29,12.04,12.04,12.04,12.04,0,-46.66666666666599,0.15365253084122266,0.1888233304906932,-0.035170799649470535,50.38847408673755
2018-07-02,12.04,12.04,12.04,12.04,0,-46.66666666666599,0.1294930558717482,0.1769572755669042,-0.04746421969515599,50.388474086737546
2018-07-03,12.04,12.04,12.04,12.04,700,-46.66666666666599,0.10908898795125666,0.1633836180437747,-0.05429463009251803,50.38847408673755
2018-07-04,12.04,12.04,12.04,12.04,0,-46.66666666666599,0.09185971550128613,0.14907883753527698,-0.05721912203399085,50.38847408673755
2018-07-05,12.04,12.04,12.04,12.04,0,-46.66666666666599,0.0773141634051413,0.13472590270924983,-0.05741173930410853,50.38847408673755
2018-07-06,12.04,12.04,12.04,12.04,0,-46.66666666666599,0.06503700249328581,0.12078812266605703,-0.055751120172771215,50.38847408673755
2018-07-09,12.04,12.04,12.04,12.04,0,-46.66666666666599,0.054676981807435965,0.10756589449433282,-0.052888912686896855,50.38847408673755
2018-07-10,12.04,12.04,12.04,12.04,0,-46.66666666666599,0.045937056975986934,0.09524012699066364,-0.04930307001467671,50.38847408673757
2018-07-11,12.04,12.04,12.04,12.04,0,-46.66666666666599,0.03856603829635041,0.083905309251801,-0.04533927095545058,50.38847408673757
2018-07-12,12.04,12.04,12.04,12.04,0,-42.424242424241505,0.032351524649383734,0.07359455233131754,-0.0412430276819338,50.38847408673757
2018-07-13,12.04,12.04,12.04,12.04,0,-38.888888888887514,0.02711392535732493,0.06429842693651902,-0.03718450157919409,50.38847408673755
2018-07-16,12.04,12.04,12.04,12.04,0,-35.897435897434214,0.02270140254608144,0.055979022058431506,-0.033277619512350066,50.38847408673755
2018-07-17,12.04,12.04,12.04,12.04,0,66.66666666666667,0.01898559233731767,0.04858033611420874,-0.029594743776891072,50.38847408673757
2018-07-18,12.04,12.04,12.04,12.04,0,66.66666666666667,0.01585798499612423,0.04203586589059184,-0.02617788089446761,50.38847408673757
2018-07-19,12.04,12.04,12.04,12.04,0,66.66666666666667,0.013226862606343204,0.03627406523374212,-0.023047202627398913,50.38847408673757
2018-07-20,12.04,12.04,12.04,12.04,0,66.66666666666667,0.011014708453593869,0.031222193877712467,-0.0202074854241186,50.38847408673758
2018-07-23,12.04,12.04,12.04,12.04,0,66.66666666666667,0.00915601550253875,0.026808958202677723,-0.017652942700138972,50.38847408673758
2018-07-24,12.04,12.04,12.04,12.04,0,66.66666666666667,0.007595432529461377,0.022966253068034452,-0.015370820538573075,50.38847408673758
2018-07-25,12.04,12.04,12.04,12.04,0,66.66666666666667,0.006286195926286098,0.01963024163968478,-0.013344045713398683,50.38847408673758
