time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,22.24,22.41,22.07,22.32,173600,,,,,
2018-01-03,22.35,22.38,21.92,22.18,231950,,,,,
2018-01-04,22.01,22.27,21.72,21.83,146610,,,,,
2018-01-05,21.83,21.89,21.6,21.63,141140,,,,,
2018-01-08,21.66,22.24,21.66,22.01,153090,,,,,
2018-01-09,22.01,22.12,21.83,21.95,139260,,,,,
2018-01-10,21.89,23.33,21.89,22.9,593580,,,,,
2018-01-11,22.9,23.33,22.7,23.04,205900,,,,,
2018-01-12,23.04,23.56,22.76,22.76,209440,,,,,
2018-01-15,22.47,22.76,22.47,22.73,146910,,,,,
2018-01-16,22.73,22.73,22.3,22.47,181410,,,,,
2018-01-17,22.47,22.81,21.89,21.89,142770,,,,,
2018-01-18,21.89,21.95,21.43,21.83,258760,,,,,
2018-01-19,21.83,22.24,21.83,21.95,160220,-49.59869576122453,,,,
2018-01-22,21.95,21.95,21.58,21.63,185740,-88.42705786471096,,,,41.08527131782945
2018-01-23,21.63,21.63,21.63,21.63,0,-91.03181731580555,,,,41.08527131782946
2018-01-24,21.63,21.63,21.63,21.63,0,-83.73450036469768,,,,41.08527131782946
2018-01-25,21.63,21.89,21.32,21.6,215890,-85.44651568838857,,,,40.69129883245914
2018-01-26,21.55,21.55,21.26,21.55,156050,-95.6680084339658,,,,40.00279945663412
2018-01-29,21.55,21.83,21.14,21.2,155900,-91.92865105908608,,,,35.47758864818355
2018-01-30,21.2,21.83,20.8,21.78,228520,-73.36330429896078,,,,46.31542486884962
2018-01-31,21.78,21.95,21.43,21.6,119670,-40.11115742670539,,,,43.85355016185958
2018-02-01,21.6,21.83,21.37,21.58,174300,-45.65104744984817,,,,43.57638815404974
2018-02-02,21.66,21.66,21.37,21.37,41810,-74.88487424725433,,,,40.66985333462548
2018-02-05,21.37,21.58,20.45,20.45,112010,-258.7008547008562,,,,30.93503030066075
2018-02-06,19.59,20.16,19.04,19.53,208090,-350.7167235494871,,,,24.59505070222802
2018-02-07,19.39,20.51,19.39,20.28,20650,-168.47148571960108,,,,36.093526757424684
2018-02-08,19.3,20.74,19.3,20.45,38090,-115.89165678133699,,,,38.386956479781276
2018-02-09,19.82,20.45,19.82,20.28,78580,-91.09229285025219,,,,36.95858679176142
2018-02-12,20.28,20.8,20.28,20.34,63070,-51.01403508771961,,,,37.837752351014075
2018-02-13,20.68,20.68,20.42,20.62,35720,-33.91546443938248,,,,41.909153507337784
2018-02-21,20.62,21.26,20.45,21.03,43860,8.103282516138421,,,,47.347270936460696
2018-02-22,21.03,21.29,20.74,21.03,42040,25.24163568773242,,,,47.347270936460696
2018-02-23,20.86,22.5,20.86,21.89,127870,106.19542619542615,-0.3348197914351978,-0.518905225177169,0.18408543374197117,57.11383951770457
2018-02-26,22.44,22.44,21.81,21.81,217310,124.51361867704227,-0.24707022623958963,-0.4645382253896531,0.21746799915006348,56.07189976547815
2018-02-27,22.12,22.12,21.69,21.69,55330,100.78820239003261,-0.18507760135710782,-0.40864610058314405,0.22356849922603622,54.46677478856694
2018-02-28,21.69,22.12,21.4,21.86,101290,92.86602038279875,-0.12083748099211888,-0.351084376664939,0.23024689567282014,56.372146810511346
2018-03-01,21.72,22.12,21.72,21.83,131050,94.8691983122365,-0.07152299944129226,-0.29517210122020965,0.2236491017789174,55.92737950206654
2018-03-02,21.78,22.18,21.66,22.18,86900,88.9531768991753,-0.0041509925346225884,-0.23696787948309223,0.23281688694846964,59.902223159153976
2018-03-05,22.18,22.24,21.83,21.83,116490,73.50889038937659,0.02076042019891844,-0.18542221954669008,0.20618263974560852,54.59921539978252
2018-03-06,21.83,22.07,21.49,21.95,58250,53.18394997394459,0.04961397239529575,-0.13841498115829293,0.18802895355358867,56.03626509656201
2018-03-07,22.01,22.01,21.6,21.72,75090,40.38006639235174,0.05330705206601394,-0.10007057451343154,0.15337762657944548,52.59971192299873
2018-03-08,21.83,21.83,21.49,21.6,32920,15.466505975695936,0.046020353208987785,-0.07085238896894767,0.11687274217793546,50.847597681638355
2018-03-09,21.6,21.95,21.43,21.63,49550,9.764479935308815,0.042180115036572374,-0.04824588816784366,0.09042600320441604,51.28448660084843
2018-03-12,21.52,21.86,21.37,21.37,40350,-43.58572175483532,0.01794995561332513,-0.035006719411609905,0.052956675024935035,47.35589313861059
2018-03-13,21.55,21.55,21.2,21.46,38820,-110.55653192735599,0.0059411417562103,-0.026817147178045862,0.03275828893425616,48.81748640207707
2018-03-14,21.6,21.6,21.03,21.03,92490,-197.35922330096582,-0.037837172710258216,-0.029021152284488334,-0.008816020425769882,42.715479604617805
2018-03-15,21.23,21.23,20.8,20.86,89200,-201.62136385312226,-0.0852664826459808,-0.04027021835678683,-0.04499626428919397,40.55709298150722
2018-03-16,21.23,21.23,20.83,20.86,76500,-152.20372184133018,-0.12145450059965412,-0.0565070748053603,-0.06494742579429383,40.55709298150722
2018-03-19,21.49,21.49,20.74,20.86,42520,-111.46334353592664,-0.14842283944541634,-0.0748902277333715,-0.07353261171204484,40.55709298150722
