time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2022-07-13,8.89,8.89,8.89,8.89,100,,,,,
2022-07-14,10.22,10.22,10.22,10.22,100,,,,,
2022-07-15,11.72,11.72,11.72,11.72,16700,,,,,
2022-07-18,13.46,13.46,13.46,13.46,100,,,,,
2022-07-19,15.42,15.42,13.4,13.4,12100,,,,,
2022-07-20,13.4,17.32,12.82,15.65,6700,,,,,
2022-07-21,13.92,14.03,13.86,13.92,10800,,,,,
2022-07-22,13.92,13.98,13.46,13.98,6000,,,,,
2022-07-25,13.05,13.8,12.99,13.8,3900,,,,,
2022-07-26,15.07,15.59,14.84,15.48,15200,,,,,
2022-07-27,15.19,16.05,15.19,15.88,2700,,,,,
2022-07-28,15.48,15.77,15.07,15.77,1800,,,,,
2022-07-29,15.77,15.77,14.15,15.65,19800,,,,,
2022-08-01,15.36,15.36,15.13,15.36,14200,68.53480178819903,,,,
2022-08-02,15.25,17.32,15.25,17.32,19800,121.68807339449532,,,,81.4317673378076
2022-08-03,17.32,17.61,16.98,17.27,14500,145.7438439147194,,,,81.10609609781179
2022-08-04,17.27,17.84,17.27,17.79,15200,159.87365986031423,,,,81.91611527314484
2022-08-05,17.44,17.9,17.44,17.9,5600,138.79664570230585,,,,82.09102675148131
2022-08-08,17.61,17.9,17.61,17.61,5700,110.68047280229848,,,,79.89697477352574
2022-08-09,17.61,17.67,17.5,17.61,1600,86.03646161382885,,,,79.89697477352574
2022-08-10,17.56,20.15,17.56,20.15,17600,142.6197792193012,,,,84.18941494532108
2022-08-11,19.06,20.1,18.94,19.58,9600,134.55699070926815,,,,80.05822998555865
2022-08-12,19.06,19.64,18.88,18.88,9200,104.47926559037678,,,,75.17931363565849
2022-08-15,18.88,19.87,18.19,19.87,17400,101.81933496421146,,,,77.28747852913536
2022-08-16,18.77,19.23,18.36,18.42,8300,60.72124756335303,,,,68.15653263615974
2022-08-17,18.48,18.77,18.36,18.77,5000,49.33333333333332,,,,69.10533306756271
2022-08-18,18.19,18.19,17.61,17.61,3500,-15.523465703971118,,,,62.46256671673138
2022-08-19,17.73,18.88,17.61,18.88,8300,18.58471830249812,,,,66.2838228966682
2022-08-22,17.9,19.23,17.67,18.71,14600,16.06226720078705,,,,65.32519039620843
2022-08-23,18.19,19.0,18.19,18.88,5900,24.650265315967566,,,,65.85696959902126
2022-08-24,18.42,19.98,18.42,19.98,13100,103.38765186383104,,,,69.15346241614174
2022-08-25,19.0,20.39,19.0,20.39,12100,133.52141373770667,,,,70.30431391471285
2022-08-26,19.64,20.5,19.64,20.15,7800,129.16500730120805,,,,68.68879942173058
2022-08-29,19.92,20.44,18.65,20.44,12000,91.30053824008019,1.774604545899571,2.002604163423993,-0.22799961752442188,69.59788368481621
2022-08-30,19.35,20.15,18.65,20.15,11300,61.86868686868698,1.705843561204297,1.9432520429800537,-0.23740848177575669,67.48773076820156
2022-08-31,19.23,20.44,19.0,19.0,15500,42.61679980634267,1.5407932904464126,1.8627602924733255,-0.321967002026913,59.75115591554122
2022-09-05,19.52,19.81,18.42,18.71,10700,-15.14519938863392,1.3707875992207619,1.7643657538228128,-0.3935781546020509,57.94713843469014
2022-09-06,18.77,19.17,18.48,18.48,5300,-41.07170815719383,1.2036231676425935,1.652217236586769,-0.4485940689441754,56.490393385691206
2022-09-07,18.71,18.77,17.32,17.32,7200,-126.68172690763049,0.9664017677720338,1.5150541428238218,-0.548652375051788,49.703742849935
2022-09-08,17.61,18.02,17.56,17.67,3800,-114.84285386556542,0.797451648012796,1.3715336438616166,-0.5740819958488206,51.59338823529248
2022-09-09,17.61,18.42,17.61,18.25,7000,-86.34267470734282,0.7022633587653822,1.2376795868423698,-0.5354162280769876,54.63504208502393
2022-09-12,17.9,18.6,17.9,18.6,5400,-57.99953150620734,0.647602865950283,1.1196642426639525,-0.47206137671366943,56.414831291987674
2022-09-13,18.08,18.19,17.56,18.02,7300,-91.39713971397126,0.5511297976085352,1.005957353652869,-0.4548275560443338,52.72338960395322
2022-09-14,17.5,17.67,17.38,17.5,3400,-108.61423220973761,0.42778332186946244,0.8903225472961876,-0.4625392254267252,49.59039043436987
2022-09-15,17.21,17.61,17.15,17.32,6800,-103.64963503649624,0.31191034718079536,0.7746401072731092,-0.4627297600923138,48.51567646875905
2022-09-16,17.15,17.44,16.92,17.27,6200,-101.6217828763594,0.2135835396933068,0.6624287937571487,-0.4488452540638419,48.20317419251422
2022-09-19,16.92,16.92,16.52,16.69,4500,-128.30742069593924,0.08784506044022322,0.5475120470937636,-0.45966698665354033,44.613308521027434
2022-09-20,16.46,17.21,16.46,17.21,8200,-99.29732103645149,0.029812405065985814,0.443972118688208,-0.4141597136222222,48.32875907136034
2022-09-21,16.4,17.32,16.29,17.15,7800,-95.5094991364424,-0.02078084236472577,0.35102152647762125,-0.371802368842347,47.9292384678864
2022-09-22,16.63,18.25,16.63,18.19,13200,-3.06091215182146,0.022780355145282982,0.2853732922111536,-0.2625929370658706,54.890227453901645
2022-09-23,17.27,19.69,17.27,19.69,19400,153.28059562587268,0.17630801296485643,0.2635602363618942,-0.08725222339703775,62.64646835814561
2022-09-26,18.6,19.12,18.19,18.19,6700,108.46915947587075,0.17492588717717794,0.24583336652495094,-0.070907479347773,52.85873554115599
2022-09-27,18.48,18.48,18.25,18.25,1100,74.5727448357853,0.17663589247540656,0.23199387171504207,-0.05535797923963551,53.17388626062429
2022-09-28,18.19,18.25,17.96,18.25,2100,46.81331077270122,0.17596269557258992,0.22078763648655164,-0.04482494091396172,53.17388626062428
2022-09-29,18.02,18.48,18.02,18.13,4100,51.77157148811951,0.16385733964505533,0.20940157711825239,-0.04554423747319705,52.361931014469256
2022-09-30,18.13,18.71,17.79,18.71,6200,73.69294605809118,0.1987735725833666,0.20727597621127522,-0.008502403627908633,55.86948314749165
2022-10-03,18.08,18.08,17.56,17.56,2500,-2.620140062787144,0.13212647790445686,0.19224607654991155,-0.060119598645454686,48.27910026200681
2022-10-04,17.67,18.48,17.67,18.25,5900,38.81506090808417,0.1334471133793329,0.18048628391579583,-0.04703917053646292,52.45305364201832
2022-10-05,17.79,18.88,17.79,18.88,7200,72.7630860441528,0.18321744472427426,0.18103251607749152,0.002184928646782741,55.9486172557249
2022-10-06,18.08,18.65,18.08,18.48,4800,53.207962305664005,0.18821451407174195,0.1824689156763416,0.005745598395400342,53.270758973538555
2022-10-07,18.25,18.25,17.5,17.5,2800,-43.14139813347439,0.11180806396993859,0.168336745335061,-0.0565286813651224,47.29779501232083
2022-10-10,17.67,17.9,17.32,17.9,4300,-67.74662512980314,0.08258012655149116,0.15118542157834702,-0.06860529502685586,49.77324811261355
