time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,8.73,8.73,8.73,8.73,100,,,,,
2018-01-03,8.79,8.79,8.23,8.79,1020,,,,,
2018-01-04,8.76,8.79,8.76,8.79,40,,,,,
2018-01-05,8.79,9.12,8.79,9.12,110,,,,,
2018-01-08,9.12,9.12,9.12,9.12,0,,,,,
2018-01-09,8.59,8.59,8.59,8.59,3570,,,,,
2018-01-10,8.82,8.82,8.82,8.82,10,,,,,
2018-01-11,8.82,8.82,8.82,8.82,10,,,,,
2018-01-12,8.82,8.82,8.82,8.82,0,,,,,
2018-01-15,9.06,9.06,9.06,9.06,10,,,,,
2018-01-16,9.29,9.29,9.29,9.29,10,,,,,
2018-01-17,9.29,9.29,9.29,9.29,0,,,,,
2018-01-18,9.29,9.29,9.29,9.29,0,,,,,
2018-01-19,9.29,9.29,9.29,9.29,0,95.11854951185575,,,,
2018-01-22,9.29,9.29,9.29,9.29,0,83.15454906634923,,,,67.28395061728394
2018-01-23,9.29,9.29,9.29,9.29,0,74.03846153846206,,,,67.28395061728394
2018-01-24,9.29,9.29,9.29,9.29,0,65.29588766298968,,,,67.28395061728394
2018-01-25,9.29,9.29,9.29,9.29,0,57.95810654791433,,,,67.28395061728394
2018-01-26,9.29,9.29,9.29,9.29,0,51.851851851852196,,,,67.28395061728394
2018-01-29,8.7,8.82,8.7,8.82,2810,-120.34453057708801,,,,47.374770380495015
2018-01-30,8.82,8.82,8.82,8.82,1400,-106.83893195521001,,,,47.374770380495015
2018-01-31,8.82,8.82,8.82,8.82,0,-106.83893195521001,,,,47.37477038049501
2018-02-01,8.82,8.82,8.82,8.82,1200,-106.83893195521001,,,,47.37477038049501
2018-02-02,9.35,9.35,9.35,9.35,100,64.81481481481535,,,,63.67682757027939
2018-02-05,9.35,9.35,9.35,9.35,0,62.601626016260646,,,,63.67682757027939
2018-02-06,9.35,9.35,9.35,9.35,0,60.44176706827353,,,,63.67682757027938
2018-02-07,8.7,8.82,8.7,8.82,1400,-100.21958717610863,,,,45.912953382407835
2018-02-08,8.82,8.82,8.82,8.82,0,-74.19000549148751,,,,45.912953382407835
2018-02-09,8.82,8.82,8.82,8.82,0,-63.66197183098562,,,,45.912953382407835
2018-02-12,8.82,8.82,8.82,8.82,0,-55.664488017428745,,,,45.912953382407835
2018-02-13,8.82,8.82,8.82,8.82,0,-49.34541792547815,,,,45.91295338240783
2018-02-21,8.82,8.82,8.82,8.82,0,-44.16826003824054,,,,45.912953382407835
2018-02-22,8.7,8.7,8.7,8.7,1800,-79.19660954486827,,,,41.79489080459073
2018-02-23,8.7,8.7,8.7,8.7,150,-76.12293144208064,-0.06117931275724153,0.0003909190415246005,-0.06157023179876613,41.79489080459073
2018-02-26,8.88,8.88,8.35,8.59,8030,-100.45100451004485,-0.07915895826252495,-0.015519056419285311,-0.06363990184323964,38.156517564871216
2018-02-27,8.23,8.59,8.23,8.23,400,-165.02017228219415,-0.12106142743888704,-0.03662753062320566,-0.08443389681568138,29.198070911951273
2018-02-28,8.53,8.53,8.53,8.53,120,-96.55424836601324,-0.12857975596807236,-0.055017975692179005,-0.07356178027589336,41.51990806516906
2018-03-01,9.06,9.12,9.06,9.06,3220,91.22295161682568,-0.09072568565939321,-0.06215951768562185,-0.02856616797377136,56.06660617216649
2018-03-02,9.06,9.06,9.06,9.06,0,103.1811325928973,-0.06003402731886709,-0.0617344196122709,0.0017003922934038102,56.06660617216649
2018-03-05,9.06,9.06,8.82,8.82,30,61.445586555718556,-0.05444900694017818,-0.06027733707785236,0.005828330137674177,49.58857878757021
2018-03-06,8.94,8.94,8.94,8.94,430,70.98166127292309,-0.039880127647014874,-0.05619789519168486,0.016317767544669987,52.54121418638823
2018-03-07,8.94,8.94,8.94,8.94,0,64.41781328598869,-0.02801128913930029,-0.050560573981207946,0.022549284841907657,52.54121418638822
2018-03-08,8.94,8.94,8.94,8.94,0,58.35823018921568,-0.01839312462027287,-0.04412708410902093,0.025733959488748057,52.54121418638821
2018-03-09,8.59,8.59,8.59,8.59,10,-73.76519265580575,-0.03856814530057484,-0.043015296347331713,0.0044471510467568726,43.30209380660598
2018-03-12,8.59,8.82,8.53,8.82,4150,-20.250896057347394,-0.035587684063768776,-0.041529773890619126,0.00594208982685035,49.57695424898024
2018-03-13,8.82,8.82,8.29,8.53,1940,-74.90338164251222,-0.05598091034189778,-0.04442000118087486,-0.011560909161022925,43.10002157134114
2018-03-14,8.53,8.53,8.23,8.5,1140,-103.34218680832214,-0.07371371257870152,-0.05027874346044019,-0.02343496911826133,42.481721090866124
2018-03-15,8.5,9.06,8.23,8.94,1760,0.8617312965138733,-0.05166717629609785,-0.05055643002757172,-0.0011107462685261277,53.10711729327716
2018-03-16,8.35,8.82,8.35,8.82,510,-27.31006160164257,-0.04337809885193522,-0.04912076379244442,0.0057426649405092,50.3739959922115
2018-03-19,8.82,8.82,8.82,8.82,0,15.787099684257795,-0.036389470098226795,-0.0465745050536009,0.010185034955374102,50.37399599221148
2018-03-20,8.67,9.07,8.67,8.67,70,2.3222270301451875,-0.04246516585986981,-0.04575263721485468,0.003287471354984868,46.87662356894781
2018-03-21,8.94,8.94,8.64,8.64,1260,-15.851602023608281,-0.049134555235974986,-0.046429020819078744,-0.0027055344168962422,46.185970053545525
2018-03-22,8.64,8.64,8.64,8.64,70,-54.805615550755675,-0.05379992235131681,-0.04790320112552636,-0.0058967212257904494,46.185970053545525
