time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,1.1,1.1,1.1,1.1,0,,,,,
2018-01-03,1.1,1.1,1.1,1.1,0,,,,,
2018-01-04,1.1,1.1,1.1,1.1,0,,,,,
2018-01-05,1.1,1.1,1.1,1.1,10,,,,,
2018-01-08,1.1,1.1,1.1,1.1,0,,,,,
2018-01-09,1.1,1.1,1.1,1.1,0,,,,,
2018-01-10,1.1,1.1,1.1,1.1,0,,,,,
2018-01-11,1.1,1.1,1.1,1.1,0,,,,,
2018-01-12,1.1,1.1,1.0,1.0,18900,,,,,
2018-01-15,1.0,1.0,1.0,1.0,0,,,,,
2018-01-16,1.0,1.0,1.0,1.0,0,,,,,
2018-01-17,1.0,1.0,1.0,1.0,0,,,,,
2018-01-18,1.0,1.0,1.0,1.0,0,,,,,
2018-01-19,0.9,1.0,0.9,1.0,1300,-123.14814814814807,,,,
2018-01-22,1.0,1.0,1.0,1.0,0,-66.66666666666667,,,,0.0
2018-01-23,1.0,1.0,1.0,1.0,0,-58.33333333333338,,,,0.0
2018-01-24,1.0,1.0,1.0,1.0,0,-51.851851851851684,,,,0.0
2018-01-25,1.0,1.0,1.0,1.0,0,-45.90163934426213,,,,0.0
2018-01-26,1.0,1.0,1.0,1.0,60,-40.38461538461525,,,,0.0
2018-01-29,1.0,1.0,1.0,1.0,0,-34.999999999999886,,,,0.0
2018-01-30,1.0,1.0,1.0,1.0,0,-27.99999999999991,,,,0.0
2018-01-31,1.0,1.0,1.0,1.0,0,0.0,,,,0.0
2018-02-01,1.0,1.0,1.0,1.0,0,35.89743589743583,,,,0.0
2018-02-02,0.9,0.9,0.9,0.9,8400,-369.4444444444451,,,,0.0
2018-02-05,0.9,0.9,0.9,0.9,0,-212.12121212121252,,,,0.0
2018-02-06,0.9,0.9,0.9,0.9,0,-149.33333333333363,,,,0.0
2018-02-07,0.9,0.9,0.9,0.9,0,-115.66951566951592,,,,0.0
2018-02-08,0.9,0.9,0.9,0.9,0,-93.33333333333358,,,,0.0
2018-02-09,1.0,1.0,0.8,0.8,300,-113.5964912280704,,,,0.0
2018-02-12,0.8,0.8,0.8,0.8,0,-157.33333333333346,,,,0.0
2018-02-13,0.8,0.8,0.8,0.8,0,-132.97491039426524,,,,0.0
2018-02-21,0.8,0.8,0.8,0.8,0,-118.55855855855859,,,,0.0
2018-02-22,0.8,0.8,0.8,0.8,0,-108.09792843691162,,,,0.0
2018-02-23,0.7,0.7,0.7,0.7,100,-167.63754045307493,-0.07899970894755881,-0.060825930622571495,-0.018173778324987316,0.0
2018-02-26,0.7,0.7,0.7,0.7,0,-136.63663663663704,-0.08439785754024953,-0.0655403160061071,-0.01885754153414243,0.0
2018-02-27,0.7,0.7,0.7,0.7,0,-116.66666666666704,-0.08766537729189905,-0.06996532826326549,-0.017700049028633563,0.0
2018-02-28,0.7,0.7,0.7,0.7,0,-105.44871794871818,-0.08922636425069108,-0.07381753546075061,-0.015408828789940474,0.0
2018-03-01,0.7,0.7,0.7,0.7,0,-93.33333333333357,-0.08943253506740068,-0.07694053538208062,-0.012491999685320054,0.0
2018-03-02,0.7,0.7,0.7,0.7,0,-77.77777777777793,-0.08857489072074975,-0.07926740644981445,-0.009307484270935307,0.0
2018-03-05,0.7,0.7,0.7,0.7,0,-66.66666666666674,-0.08689354668025973,-0.0807926344959035,-0.006100912184356225,0.0
2018-03-06,0.7,0.7,0.7,0.7,0,-58.33333333333336,-0.08458601449263636,-0.08155131049525008,-0.0030347039973862844,0.0
2018-03-07,0.7,0.7,0.7,0.7,0,-51.851851851851826,-0.08181417571894134,-0.08160388353998833,-0.000210292178953006,0.0
2018-03-08,0.7,0.7,0.7,0.7,0,-46.6666666666667,-0.0787101518852037,-0.0810251372090314,0.0023149853238277063,0.0
2018-03-09,0.7,0.7,0.7,0.7,100,-42.424242424242394,-0.07538124259227297,-0.07989635828567972,0.004515115693406749,0.0
2018-03-12,0.7,0.7,0.7,0.7,0,-38.88888888888909,-0.07191407727624732,-0.07829990208379324,0.006385824807545917,0.0
2018-03-13,0.7,0.7,0.7,0.7,0,-35.89743589743607,-0.06837810356966023,-0.07631554238096663,0.007937438811306402,0.0
2018-03-14,0.7,0.7,0.7,0.7,0,-66.66666666666667,-0.06482851615202467,-0.07401813713517824,0.009189620983153568,0.0
2018-03-15,0.7,0.7,0.7,0.7,0,-66.66666666666667,-0.06130871386012193,-0.07147625248016698,0.010167538620045047,0.0
2018-03-16,0.6,0.6,0.6,0.6,500,-466.66666666666725,-0.0658295671771768,-0.07034691541956895,0.0045173482423921385,0.0
2018-03-19,0.6,0.6,0.6,0.6,0,-233.33333333333368,-0.06862135177398987,-0.07000180269045313,0.0013804509164632578,0.0
2018-03-20,0.6,0.6,0.6,0.6,0,-155.55555555555475,-0.07002663769144746,-0.07000676969065199,-1.9868000795467133e-05,0.0
2018-03-21,0.6,0.6,0.6,0.6,0,-116.66666666666622,-0.07032962081547889,-0.07007133991561737,-0.00025828089986151825,0.0
2018-03-22,0.6,0.6,0.6,0.6,0,-93.33333333333304,-0.06976552359566901,-0.0700101766516277,0.00024465305595869347,0.0
2018-03-23,0.5,0.5,0.5,0.5,3000,-174.99999999999974,-0.076505726359685,-0.07130928659323917,-0.0051964397664458345,0.0
2018-03-26,0.5,0.5,0.5,0.5,0,-140.74074074074065,-0.080914651871553,-0.07323035964890193,-0.0076842922226510735,0.0
2018-03-27,0.5,0.5,0.5,0.5,0,-120.20202020202017,-0.08344683394641761,-0.07527365450840506,-0.008173179438012546,0.0
2018-03-28,0.5,0.5,0.5,0.5,0,-107.69230769230764,-0.08447977621081104,-0.07711487884888626,-0.007364897361924777,0.0
2018-03-29,0.5,0.5,0.5,0.5,0,-93.33333333333312,-0.08432632896826109,-0.07855716887276123,-0.005769160095499853,0.0
2018-03-30,0.5,0.5,0.5,0.5,10000,-77.77777777777763,-0.08324512296377584,-0.07949475969096416,-0.0037503632728116826,0.0
2018-04-02,0.5,0.5,0.5,0.5,0,-66.66666666666659,-0.08144936187235552,-0.07988568012724243,-0.0015636817451130935,0.0
2018-04-03,0.5,0.5,0.5,0.5,0,-58.333333333333286,-0.07911422868822449,-0.07973138983943884,0.0006171611512143516,0.0
2018-04-04,0.5,0.5,0.5,0.5,0,-51.85185185185184,-0.0763831217355494,-0.07906173621866094,0.0026786144831115466,0.0
2018-04-05,0.5,0.5,0.5,0.5,0,-46.66666666666656,-0.07337290265028484,-0.07792396950498573,0.004551066854700886,0.0
2018-04-06,0.5,0.5,0.5,0.5,0,-42.42424242424234,-0.07017831045926237,-0.07637483769584105,0.0061965272365786805,0.0
2018-04-09,0.5,0.5,0.5,0.5,0,-38.888888888888815,-0.06687567201376887,-0.07447500455942661,0.0075993325456577415,0.0
2018-04-10,0.5,0.5,0.5,0.5,0,-35.897435897435834,-0.06352601884976383,-0.07228520741749406,0.008759188567730225,0.0
2018-04-11,0.5,0.5,0.5,0.5,0,0.0,-0.06017770347796769,-0.06986370662958878,0.00968600315162109,0.0
2018-04-12,0.5,0.5,0.5,0.5,0,0.0,-0.05686859367410502,-0.06726468403849203,0.010396090364387017,0.0
2018-04-13,0.5,0.5,0.5,0.5,0,0.0,-0.05362791113633103,-0.06453732945805983,0.0109094183217288,0.0
2018-04-16,0.5,0.5,0.5,0.5,0,0.0,-0.050477770559598345,-0.06172541767836753,0.011247647118769188,0.0
2018-04-17,0.5,0.5,0.5,0.5,0,0.0,-0.047434466454641444,-0.05886722743362231,0.011432760978980869,0.0
2018-04-18,0.5,0.5,0.5,0.5,0,0.0,-0.044509547666374494,-0.05599569148017275,0.011486143813798255,0.0
2018-04-19,0.5,0.5,0.5,0.5,0,0.0,-0.04171071331469667,-0.05313869584707753,0.011427982532380865,0.0
2018-04-20,0.5,0.5,0.5,0.5,0,0.0,-0.0390425586139268,-0.05031946840044739,0.011276909786520586,0.0
2018-04-23,0.5,0.5,0.5,0.5,0,0.0,-0.03650719457641283,-0.04755701363564048,0.011049819059227653,0.0
2018-04-24,0.5,0.5,0.5,0.5,0,0.0,-0.034104761845296094,-0.0448665632775716,0.010761801432275508,0.0
2018-04-26,0.5,0.5,0.5,0.5,0,0.0,-0.03183385572438924,-0.04226002176693513,0.010426166042545891,0.0
2018-04-27,0.5,0.5,0.5,0.5,0,0.0,-0.029691876789497695,-0.03974639277144764,0.010054515981949945,0.0
2018-05-02,0.5,0.5,0.5,0.5,0,0.0,-0.027675319199032766,-0.03733217805696466,0.009656858857931896,0.0
2018-05-03,0.5,0.5,0.5,0.5,0,0.0,-0.0257800069079388,-0.03502174382715949,0.009241736919220686,0.0
2018-05-04,0.5,0.5,0.5,0.5,0,0.0,-0.024001286373230513,-0.032817652336373695,0.008816365963143183,0.0
2018-05-07,0.5,0.5,0.5,0.5,0,0.0,-0.022334182975687344,-0.030720958464236427,0.008386775488549082,0.0
2018-05-08,0.5,0.5,0.5,0.5,0,0.0,-0.020773527231450428,-0.028731472217679226,0.007957944986228798,0.0
2018-05-09,0.5,0.5,0.5,0.5,0,0.0,-0.019314055896433424,-0.026847988953430067,0.007533933056996643,0.0
2018-05-10,0.5,0.5,0.5,0.5,0,0.0,-0.017950492247671646,-0.025068489612278384,0.007117997364606738,0.0
2018-05-11,0.5,0.5,0.5,0.5,0,0.0,-0.01667760913542049,-0.023390313516906805,0.006712704381486315,0.0
2018-05-14,0.5,0.5,0.5,0.5,0,0.0,-0.015490277818010822,-0.02181030637712761,0.006320028559116786,0.0
2018-05-15,0.5,0.5,0.5,0.5,0,0.0,-0.014383505101316585,-0.020324946121965403,0.005941441020648818,0.0
2018-05-16,0.5,0.5,0.5,0.5,0,0.0,-0.013352460891925766,-0.018930449075957475,0.005577988184031709,0.0
2018-05-17,0.5,0.5,0.5,0.5,0,0.0,-0.012392497925685864,-0.01762285884590315,0.005230360920217288,0.0
2018-05-18,0.5,0.5,0.5,0.5,0,0.0,-0.011499165141017231,-0.016398120104925966,0.004898954963908735,0.0
2018-05-21,0.5,0.5,0.5,0.5,0,0.0,-0.010668215920652702,-0.015252139268071313,0.004583923347418611,0.0
2018-05-22,0.5,0.5,0.5,0.5,0,0.0,-0.009895612218992156,-0.014180833858255481,0.004285221639263325,0.0
2018-05-23,0.5,0.5,0.5,0.5,0,0.0,-0.009177525418899157,-0.013180172170384216,0.0040026467514850585,0.0
2018-05-24,0.5,0.5,0.5,0.5,0,0.0,-0.008510334616331772,-0.012246204659573727,0.0037358700432419557,0.0
2018-05-25,0.5,0.5,0.5,0.5,0,0.0,-0.007890622909290879,-0.011375088309517157,0.0034844654002262783,0.0
2018-05-28,0.5,0.5,0.5,0.5,0,0.0,-0.007315172165491934,-0.010563105080712112,0.0032479329152201777,0.0
2018-05-29,0.5,0.5,0.5,0.5,0,0.0,-0.006780956657780668,-0.009806675396125824,0.003025718738345156,0.0
2018-05-30,0.5,0.5,0.5,0.5,0,0.0,-0.006285135884983695,-0.009102367493897399,0.002817231608913704,0.0
2018-05-31,0.5,0.5,0.5,0.5,0,0.0,-0.005825046836382297,-0.008446903362394379,0.0026218565260120816,0.0
2018-06-01,0.6,0.6,0.6,0.6,500,466.66666666666754,0.0025790120687770868,-0.006241720276160085,0.008820732344937172,93.5681498096428
2018-06-04,0.6,0.6,0.6,0.6,0,233.33333333333275,0.00913399825294714,-0.00316657657033864,0.01230057482328578,93.5681498096428
2018-06-05,0.6,0.6,0.6,0.6,0,155.55555555555537,0.014165580041080927,0.00029985475194527385,0.013865725289135654,93.5681498096428
2018-06-06,0.6,0.6,0.6,0.6,0,116.66666666666661,0.01794627141308236,0.0038291380841726915,0.014117133328909667,93.5681498096428
2018-06-07,0.6,0.6,0.6,0.6,0,93.33333333333336,0.020703835634301893,0.007204077594198532,0.01349975804010336,93.5681498096428
2018-06-08,0.6,0.6,0.6,0.6,0,77.77777777777783,0.022628379276177002,0.010288937930594226,0.012339441345582776,93.5681498096428
2018-06-11,0.6,0.6,0.6,0.6,0,66.66666666666674,0.02387833934572381,0.013006818213620142,0.010871521132103667,93.5681498096428
2018-06-12,0.6,0.6,0.6,0.6,0,58.33333333333343,0.0245855349632238,0.015322561563540874,0.009262973399682925,93.5681498096428
2018-06-13,0.6,0.6,0.6,0.6,0,51.851851851851976,0.02485942856709733,0.017229934964252167,0.007629493602845164,93.56814980964279
2018-06-14,0.6,0.6,0.6,0.6,0,46.66666666666681,0.02479071924173215,0.018742091819748164,0.006048627421983987,93.5681498096428
2018-06-15,0.5,0.5,0.5,0.5,500,-116.66666666666632,0.01647716385300746,0.018289106226400023,-0.0018119423733925638,31.576226804240243
2018-06-18,0.5,0.5,0.5,0.5,0,-116.66666666666632,0.009775920584314202,0.016586469097982857,-0.006810548513668656,31.576226804240243
2018-06-19,0.5,0.5,0.5,0.5,0,-116.66666666666632,0.004414252261727647,0.014152025730731816,-0.009737773469004169,31.57622680424025
2018-06-20,0.5,0.5,0.5,0.5,0,-116.66666666666632,0.0001632101028723465,0.011354262605159923,-0.011191052502287576,31.576226804240243
2018-06-21,0.5,0.5,0.5,0.5,0,-93.33333333333313,-0.0031692384273177554,0.008449562398664387,-0.011618800825982142,31.576226804240243
2018-06-22,0.5,0.5,0.5,0.5,0,-77.77777777777766,-0.0057440144731667475,0.005610847024298159,-0.011354861497464907,31.576226804240243
2018-06-25,0.5,0.5,0.5,0.5,0,-66.6666666666666,-0.007695830298567907,0.002949511559724946,-0.010645341858292853,31.576226804240243
2018-06-26,0.5,0.5,0.5,0.5,0,-58.3333333333333,-0.009137328961790203,0.000532143455421916,-0.00966947241721212,31.576226804240235
2018-06-27,0.5,0.5,0.5,0.5,0,-51.85185185185173,-0.010162579151359985,-0.0016068010659344642,-0.00855577808542552,31.576226804240235
2018-06-28,0.5,0.5,0.5,0.5,0,-46.66666666666656,-0.010850024979070061,-0.0034554458485615835,-0.007394579130508477,31.576226804240235
2018-06-29,0.5,0.5,0.5,0.5,0,-42.42424242424234,-0.011264975129223864,-0.00501735170469404,-0.006247623424529824,31.576226804240232
2018-07-02,0.5,0.5,0.5,0.5,0,-38.888888888888815,-0.01146170273827063,-0.006306221911409358,-0.005155480826861272,31.576226804240232
2018-07-03,0.5,0.5,0.5,0.5,0,-35.897435897435834,-0.011485216360876849,-0.007342020801302856,-0.004143195559573993,31.576226804240232
2018-07-04,0.5,0.5,0.5,0.5,0,0.0,-0.011372753058236373,-0.00814816725268956,-0.0032245858055468136,31.576226804240232
2018-07-05,0.5,0.5,0.5,0.5,0,0.0,-0.011155036760632231,-0.008749541154278093,-0.0024054956063541376,31.576226804240235
2018-07-06,0.5,0.5,0.5,0.5,0,0.0,-0.010857338387744164,-0.009171100600971307,-0.001686237786772857,31.576226804240232
