time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,31.45,32.04,31.45,31.92,382940,,,,,
2018-01-03,32.04,32.45,31.68,31.74,454700,,,,,
2018-01-04,31.8,31.86,31.45,31.51,658410,,,,,
2018-01-05,31.51,32.04,31.39,31.74,644180,,,,,
2018-01-08,31.68,32.56,31.63,32.27,871440,,,,,
2018-01-09,32.39,33.33,32.21,33.33,1861570,,,,,
2018-01-10,33.62,33.74,32.92,33.09,950270,,,,,
2018-01-11,32.74,33.03,32.45,32.51,622720,,,,,
2018-01-12,32.56,32.8,32.09,32.09,1032690,,,,,
2018-01-15,32.15,32.45,31.74,32.33,699220,,,,,
2018-01-16,32.33,32.74,32.27,32.51,343980,,,,,
2018-01-17,32.45,32.56,31.57,31.57,691210,,,,,
2018-01-18,31.33,31.57,30.86,31.16,862260,,,,,
2018-01-19,31.16,31.51,30.8,31.04,768290,-135.77799801783885,,,,
2018-01-22,29.04,30.04,28.87,28.87,3441690,-264.708876221498,,,,29.747675962815357
2018-01-23,28.87,28.87,28.87,28.87,0,-205.35411640997066,,,,29.747675962815357
2018-01-24,28.87,28.87,28.87,28.87,0,-150.00097085493482,,,,29.747675962815357
2018-01-25,28.81,29.81,27.81,28.87,1447350,-119.59996693941653,,,,29.747675962815357
2018-01-26,28.99,29.28,28.52,28.52,432390,-99.79271984371978,,,,27.99731285200598
2018-01-29,28.52,28.57,26.93,26.93,899680,-125.09228053281946,,,,21.739322621195676
2018-01-30,26.87,28.34,26.23,27.69,752880,-108.00637958532688,,,,29.81475028616087
2018-01-31,27.87,28.4,27.87,27.99,367550,-72.72013855063071,,,,32.76402990689852
2018-02-01,27.99,28.05,27.46,27.46,193830,-81.74023591277145,,,,30.33851619003849
2018-02-02,27.46,27.64,27.22,27.28,144280,-88.64180109161975,,,,29.538719854134065
2018-02-05,27.28,27.28,25.38,25.38,434600,-149.53909624186156,,,,22.727770047233545
2018-02-06,23.62,25.35,23.62,24.06,1300780,-195.924727316313,,,,19.38381599122424
2018-02-07,25.23,25.35,24.64,25.05,400490,-140.238995976701,,,,27.94640459501369
2018-02-08,25.0,25.17,24.29,24.35,202670,-136.1527480371166,,,,25.855281310925616
2018-02-09,23.56,24.94,23.47,24.76,432500,-114.70570516296175,,,,29.197043849556138
2018-02-12,25.11,26.11,24.94,26.11,207120,-46.24346822214147,,,,38.9534735039241
2018-02-13,25.93,26.76,25.93,26.64,159560,-6.784197358468617,,,,42.31421507301668
2018-02-21,26.81,27.4,26.81,27.22,221330,36.54349352224127,,,,45.82884089547453
2018-02-22,27.22,27.22,26.58,26.7,203490,30.312398965405684,,,,43.282687627268665
2018-02-23,26.87,26.99,26.7,26.7,141850,32.21480735331149,-1.6014407795347978,-2.16161490488998,0.5601741253551822,43.28268762726867
2018-02-26,26.7,26.96,25.64,25.64,499890,-6.505212007210431,-1.558734022503117,-2.0410387284126075,0.4823047059094905,38.25768549167627
2018-02-27,25.82,26.11,25.64,25.93,277120,-9.729340886611078,-1.4843770587603125,-1.9297063944821484,0.445329335721836,40.29977518276123
2018-02-28,25.88,25.93,25.58,25.64,344420,-14.123708372909524,-1.4323381035913307,-1.830232736303985,0.39789463271265424,38.913723639031836
2018-03-01,25.64,26.23,25.35,26.17,405880,13.139776565341952,-1.3329646987883805,-1.730779128800864,0.3978144300124835,42.78662870782156
2018-03-02,25.88,27.52,25.82,27.52,637210,97.65976597659746,-1.1322252540135516,-1.6110683538434016,0.47884309982985007,51.26274400109114
2018-03-05,28.05,29.01,28.05,28.05,681660,181.89464364763177,-0.9197687060673054,-1.4728084242881825,0.553039718220877,54.135525047236996
2018-03-06,27.93,28.34,27.61,28.16,824720,128.45616897833347,-0.7340575222795955,-1.325058243886465,0.5910007216068696,54.7319214463329
2018-03-07,28.43,28.75,27.46,27.58,470860,105.27396620927809,-0.6264597854398808,-1.1853385521971482,0.5588787667572674,50.96851956673068
2018-03-08,28.05,28.22,27.69,28.22,224700,103.527227722772,-0.4839662903610211,-1.0450640998299228,0.5610978094689016,54.67226070687402
2018-03-09,28.22,28.49,27.87,27.99,316180,92.70563890325884,-0.3851583806512444,-0.9130829559941871,0.5279245753429427,53.11933460084188
2018-03-12,28.28,28.4,27.64,27.81,259480,67.3684210526313,-0.31771448124157686,-0.7940092610436651,0.47629477980208823,51.87742070577331
2018-03-13,27.69,27.81,27.46,27.81,277940,41.152952115294816,-0.2612531414620207,-0.6874580371273362,0.4262048956653155,51.87742070577331
2018-03-14,27.87,27.87,27.28,27.52,280510,26.546123689895392,-0.23717370839869645,-0.5974011713816083,0.36022746298291186,49.70600689731429
2018-03-15,27.58,28.46,27.28,28.46,373810,59.101579596546316,-0.1406194664442566,-0.506044830394138,0.36542536394988134,56.11764093489935
2018-03-16,28.46,28.52,28.1,28.28,226290,72.09459857454213,-0.07772802939796719,-0.4203814701949038,0.3426534407969366,54.680128954380415
2018-03-19,28.75,28.75,28.16,28.28,249870,78.85350773739317,-0.027568321975397936,-0.34181884055100265,0.3142505185756047,54.680128954380415
2018-03-20,28.05,28.75,28.05,28.46,338690,83.71579876434251,0.026403737366791802,-0.26817432496744376,0.29457806233423556,55.98767135489224
2018-03-21,28.34,28.52,28.16,28.16,392390,64.83373884833661,0.04445701762216103,-0.20564805644952278,0.2501050740716838,53.23111961031161
2018-03-22,28.16,28.34,27.99,28.05,235410,11.869918699184321,0.049319764060161475,-0.15465449234758594,0.2039742564077474,52.21596276284627
2018-03-23,26.52,27.52,26.52,27.52,345370,-222.64359861592052,0.010288357263036119,-0.12166592242546152,0.13195427968849766,47.514218474141906
2018-03-26,27.4,27.52,27.05,27.17,299530,-153.41186930429066,-0.0483292789143448,-0.10699859372323818,0.05866931480889338,44.654657653974525
2018-03-27,27.17,27.87,27.17,27.4,161290,-84.24592679661863,-0.07535643798307134,-0.10067016257520481,0.025313724592133463,46.91558825464327
2018-03-28,27.34,28.57,27.28,28.16,348850,16.875225802213343,-0.035046019156766306,-0.08754533389151711,0.05249931473475081,53.653069509331296
2018-03-29,28.34,30.1,28.34,30.1,1368800,233.48181143281235,0.15169343740694075,-0.03969757963182554,0.1913910170387663,65.64099347488657
2018-03-30,30.39,30.69,29.98,29.98,432030,234.31832395246934,0.28669792972999275,0.02558152224053812,0.26111640748945464,64.52915126975552
2018-04-02,29.98,30.57,29.92,30.22,191300,175.68234264343124,0.40834876639642914,0.10213497107171632,0.3062137953247128,65.77766223951387
2018-04-03,30.16,30.16,29.16,29.25,871150,86.9915878935038,0.42162678638982953,0.16603333413533897,0.2555934522544906,57.03912375075404
2018-04-04,29.34,29.87,29.19,29.57,386670,72.87620557537298,0.45275199537167055,0.2233770663826053,0.22937492898906525,58.975401419097594
2018-04-05,29.57,30.04,29.34,29.75,241640,72.00107322308344,0.4863372503247163,0.2759691031710275,0.2103681471536888,60.06570573143429
2018-04-06,29.98,29.98,29.34,29.63,381300,58.42897842897834,0.4975355298426365,0.3202823885053493,0.1772531413372872,58.94106249892529
2018-04-09,29.81,29.81,29.04,29.04,479270,29.98674387776437,0.45357366302798496,0.3469406434098764,0.10663301961810856,53.624767615980915
2018-04-10,29.04,29.92,28.81,29.63,445920,35.80255732552298,0.46102720141504605,0.36975795501091036,0.0912692464041357,57.73060562403985
2018-04-11,29.92,30.04,28.87,29.22,293310,25.96967605021561,0.4289064442947641,0.3815876528676811,0.04731879142708301,54.143233500026255
2018-04-12,28.87,29.34,28.75,29.16,122680,-8.012820512820744,0.3940664614307856,0.384083414580302,0.009983046850483623,53.618142999761496
2018-04-13,29.51,29.51,28.57,29.1,240830,-30.977872947894397,0.3574930678885728,0.37876534524195615,-0.02127227735338333,53.06393333573186
2018-04-16,28.87,29.63,28.52,28.87,227590,-71.40767824497333,0.3064171263054867,0.3642957014546623,-0.057878575149175604,50.89235191896711
2018-04-17,28.87,29.28,28.46,28.69,352270,-141.48606811145453,0.2485494555346328,0.3411464522706564,-0.09259699673602356,49.195547341401266
2018-04-18,28.75,29.34,28.75,28.87,211120,-86.84582743988612,0.21473803877074715,0.31586476957067455,-0.1011267307999274,50.956491249531446
2018-04-19,29.22,29.22,28.63,28.87,287070,-91.3277052954722,0.18580045539424717,0.2898519067353891,-0.10405145134114191,50.956491249531446
2018-04-20,28.75,29.28,28.52,29.04,316620,-72.82415630550588,0.1745724290406443,0.26679601119644014,-0.09222358215579585,52.75034952657568
2018-04-23,28.99,29.92,28.99,29.04,589880,24.185463659148603,0.16378611290559064,0.24619403153827024,-0.0824079186326796,52.75034952657568
2018-04-24,29.04,29.16,28.75,28.99,164060,-59.475844058945015,0.14948018302307986,0.22685126183523216,-0.0773710788121523,52.100313567266554
2018-04-26,28.99,29.04,26.99,27.58,252490,-294.7462154942123,0.024089723052188816,0.18629895407862349,-0.16220923102643467,37.91219613098441
2018-04-27,27.58,27.87,27.17,27.28,353850,-264.80862133035856,-0.0983568165039479,0.1293677999621092,-0.2277246164660571,35.68548989199169
2018-05-02,27.22,28.28,27.22,27.81,226390,-144.63342540097793,-0.15089063733563535,0.07331611250256029,-0.22420674983819563,42.14987985171118
2018-05-03,27.87,28.28,27.81,28.16,176510,-78.60399238702183,-0.16240983442786217,0.026170923116475793,-0.18858075754433795,46.00923645125793
2018-05-04,28.34,28.52,27.93,28.34,94170,-44.50449262945092,-0.1552250477117667,-0.01010827104917271,-0.14511677666259398,47.93304550027117
2018-05-07,28.16,28.57,27.93,28.57,218540,-26.17962466487937,-0.12947941655001927,-0.033982500149342024,-0.09549691640067724,50.36668256958787
2018-05-08,28.57,28.57,28.22,28.46,210350,-12.924497197493773,-0.11660771787286706,-0.05050754369404703,-0.06610017417882003,49.182672774936016
2018-05-09,28.46,28.46,27.81,28.13,229290,-45.16129032257994,-0.13151897711016503,-0.06670983037727063,-0.0648091467328944,45.71100130014914
2018-05-10,28.22,28.28,27.58,27.69,129280,-75.6002721881988,-0.17680251096149036,-0.08872836649411457,-0.08807414446737578,41.5042882799176
2018-05-11,27.69,27.87,27.49,27.69,248870,-88.039157225204,-0.21026621969445003,-0.11303593713418167,-0.09723028256026836,41.5042882799176
2018-05-14,27.72,27.72,27.25,27.58,355980,-99.36440677966117,-0.24286295765110566,-0.13900134123756647,-0.10386161641353919,40.42561925477284
2018-05-15,28.99,28.99,27.85,28.09,307950,28.30823636778422,-0.22495028274363094,-0.15619112953877937,-0.06875915320485157,47.26834052692858
2018-05-16,27.73,28.05,27.18,27.18,215610,-102.09601081812026,-0.28094519234326043,-0.18114194209967557,-0.09980325024358486,38.72195485622995
2018-05-17,26.95,27.65,25.61,25.84,393680,-252.300170819345,-0.4285087802934733,-0.2306153097384351,-0.19789347055503817,30.093501686505203
2018-05-18,25.76,26.32,25.21,25.37,389770,-243.43854498001818,-0.5767308645246274,-0.29983842069567357,-0.27689244382895384,27.757199269834175
2018-05-21,25.61,25.61,24.23,24.23,268330,-226.90453364456158,-0.7772270175316578,-0.3953161400628704,-0.3819108774687874,23.077331355521228
2018-05-22,24.03,24.11,23.09,23.24,535520,-202.7161187599513,-1.0044279691180016,-0.5171385058738966,-0.48728946324410494,19.93414211518376
2018-05-23,23.09,23.24,22.45,23.24,513270,-164.5188701359588,-1.1709879400860181,-0.647908392716321,-0.5230795473696972,19.934142115183764
2018-05-24,23.24,24.82,23.24,24.35,315440,-94.1179655877295,-1.1995920433790666,-0.75824512284887,-0.44134692053019653,31.980965826812515
2018-05-25,24.07,24.42,23.56,23.56,154700,-88.41145833333316,-1.271352044040242,-0.8608665070871444,-0.41048553695309753,28.674187309919937
2018-05-28,23.24,23.24,21.94,21.94,685500,-120.23415627386083,-1.4423166936290208,-0.9771565443955197,-0.46516014923350113,23.343810729812724
2018-05-29,21.94,23.09,21.82,22.45,351320,-100.32250062019322,-1.519142938251239,-1.0855538231666635,-0.4335891150845754,27.888568453328993
2018-05-30,22.3,22.85,22.3,22.77,200420,-82.60670308863071,-1.536495204684588,-1.1757420994702483,-0.36075310521433956,30.666189936747767
2018-05-31,22.45,23.16,22.3,23.16,160020,-66.8873140721125,-1.5014692572499229,-1.2408875310261833,-0.26058172622373954,34.00271453031613
2018-06-01,23.16,23.36,22.61,23.01,244810,-55.796329703608514,-1.4688823268409976,-1.2864864901891462,-0.18239583665185144,33.33820260232968
2018-06-04,22.97,24.19,22.69,24.19,381580,-15.669330622311012,-1.3324808021406582,-1.2956853525794485,-0.036795449561209725,42.8072371302723
2018-06-05,24.35,24.74,23.95,24.03,173200,35.953012877224275,-1.223192077066141,-1.281186697476787,0.05799462041064585,41.93737076453235
2018-06-06,23.91,24.46,23.72,24.07,177990,44.67658541732644,-1.1204366135226742,-1.2490366806859643,0.1286000671632901,42.25329810939056
2018-06-07,24.31,24.35,23.64,23.64,238970,44.71781590590276,-1.0614636821023211,-1.2115220809692357,0.15005839886691463,39.749413057633596
2018-06-08,23.56,24.35,23.4,24.27,211950,68.14994606256786,-0.9529069559797954,-1.1597990559713476,0.20689209999155223,44.901143561124464
2018-06-11,24.42,25.45,24.11,25.29,480680,141.4736842105267,-0.7756285300321792,-1.082964950783514,0.3073364207513347,52.04983090186926
2018-06-12,24.9,25.21,24.19,24.74,345920,104.12995323652521,-0.6717707486768418,-1.0007261103621796,0.3289553616853378,48.40309704317059
2018-06-13,24.74,25.57,24.74,25.57,448150,139.43988208043797,-0.5165343587411577,-0.9038877600379752,0.3873534012968175,53.677538341056994
2018-06-14,25.37,26.32,25.37,25.37,480850,141.46188270393364,-0.40497839102811284,-0.8041058862360028,0.3991274952078899,52.290426125163
2018-06-15,25.21,25.88,25.13,25.61,223440,114.25389755011113,-0.2938165543181448,-0.7020480198524311,0.40823146553428635,53.832211792388186
2018-06-18,25.49,25.69,24.74,24.74,303810,65.45073375262052,-0.2727773198095562,-0.6161938798438562,0.3434165600343,47.80169591079066
2018-06-19,24.19,24.19,23.05,23.24,804660,-72.71668011114089,-0.37284313528220636,-0.5675237309315262,0.19468059564931983,39.57085252209128
2018-06-20,23.32,23.79,23.24,23.79,252050,-71.59823441618275,-0.4031187099655398,-0.5346427267383289,0.13152401677278913,43.417971854082325
2018-06-21,23.95,23.95,23.24,23.24,158540,-90.7175511826679,-0.46611958802267495,-0.5209380989951982,0.054818510972523216,40.632208013729006
2018-06-22,23.01,23.44,23.01,23.32,178160,-105.05804311774507,-0.5037855797993736,-0.5175075951560333,0.013722015356659734,41.222945544137026
