time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-05,11.04,0.0,0.0,0.0,0,,,,,
2018-01-08,11.04,11.04,11.04,11.04,0,,,,,
2018-01-09,11.04,11.04,11.04,11.04,0,,,,,
2018-01-10,11.04,11.04,11.04,11.04,0,,,,,
2018-01-11,11.04,11.04,11.04,11.04,0,,,,,
2018-01-12,15.45,15.45,15.45,15.45,1200,,,,,
2018-01-15,15.45,15.45,15.45,15.45,0,,,,,
2018-01-16,15.45,15.45,15.45,15.45,0,,,,,
2018-01-17,15.45,15.45,15.45,15.45,0,,,,,
2018-01-18,15.67,17.77,15.67,17.27,800,,,,,
2018-01-19,19.08,19.08,19.08,19.08,210,,,,,
2018-01-22,20.65,20.65,19.08,19.08,1400,,,,,
2018-01-23,19.58,21.36,19.4,21.36,712,,,,,
2018-01-24,19.79,19.79,19.79,19.79,0,89.31087167886979,,,,
2018-01-25,17.8,17.84,17.8,17.84,1000,50.31052393857278,,,,85.85209003215435
2018-01-26,17.8,19.05,17.8,19.05,1400,59.18903753580819,,,,86.55620189200306
2018-01-29,17.87,17.87,17.84,17.84,1500,31.525352085614877,,,,82.15310696896249
2018-01-30,18.87,19.58,18.55,19.58,8600,63.1353179669824,,,,83.4563898916305
2018-01-31,19.23,19.23,19.23,19.23,300,56.49923896499244,,,,82.15675064509925
2018-02-01,19.23,19.23,19.23,19.23,63,48.7031021983713,,,,82.15675064509925
2018-02-02,19.23,19.23,19.23,19.23,56,41.94585171869036,,,,82.15675064509925
2018-02-05,18.51,18.87,18.51,18.87,2000,4.849084611578206,,,,80.54539121446905
2018-02-06,18.51,18.51,18.34,18.34,600,-46.24745158002081,,,,78.11627252761302
2018-02-07,18.51,19.58,18.51,19.58,1400,20.395965633171386,,,,79.66171507920359
2018-02-08,19.37,19.37,19.37,19.58,19,42.27603100028115,,,,79.66171507920359
2018-02-09,19.37,19.37,19.37,19.37,0,36.75445073426851,,,,78.57186785610021
2018-02-12,18.87,19.23,18.87,19.23,1900,22.462774530321123,,,,77.80762471195641
2018-02-13,19.19,19.19,19.19,19.19,0,42.607599495768035,,,,77.57545506297176
2018-02-21,19.19,19.19,19.19,19.19,0,35.940298507463226,,,,77.57545506297177
2018-02-22,19.19,19.19,19.19,19.23,56,34.1741675000926,,,,77.65279004044625
2018-02-23,19.19,19.19,19.19,19.19,0,19.092204355790997,,,,77.365457965696
2018-02-26,19.05,19.05,19.05,19.05,1500,-30.430785395325003,,,,76.3012864445601
2018-02-27,18.51,19.05,18.51,19.05,1100,-80.83274357159716,,,,76.3012864445601
2018-02-28,18.87,18.9,18.87,18.87,930,-64.02814423922581,1.3315825564841681,1.855082049459705,-0.5234994929755368,74.7677549206338
2018-03-01,19.05,19.05,19.05,19.05,246,-5.098440878571072,1.2324229469538501,1.730550228958534,-0.4981272820046838,75.30232133186946
2018-03-02,19.05,19.05,19.05,19.05,1343,-13.987284287012645,1.1406890882397427,1.6125780008147756,-0.47188891257503296,75.30232133186946
2018-03-05,19.05,19.05,19.05,19.05,0,-44.529262086513285,1.0558185255635628,1.501226105764533,-0.44540758020097027,75.30232133186946
2018-03-06,18.51,18.87,18.51,18.87,4986,-163.65663322185202,0.9629334006683976,1.393567564745306,-0.43063416407690847,73.36114092247188
2018-03-07,18.58,18.58,18.58,18.58,0,-199.34872705743376,0.8560526515263902,1.2860645821015229,-0.43001193057513265,70.22040763270739
2018-03-08,18.51,18.51,18.51,18.51,849,-168.38487972508491,0.7569745414974527,1.1802465739807089,-0.4232720324832562,69.44753744219747
2018-03-09,18.16,18.26,18.16,18.26,1024,-192.5533943554533,0.6507797311728147,1.07435320541913,-0.4235734742463153,66.62707319637136
2018-03-12,18.23,18.23,18.23,18.23,0,-148.83318928262688,0.557769213326754,0.9710364070006549,-0.41326719367390086,66.27921118116478
2018-03-13,18.51,18.51,18.51,18.51,2324,-67.78555904370874,0.5008775630105902,0.877004638202642,-0.3761270751920518,67.9605777527202
2018-03-14,18.51,19.4,18.51,18.51,1881,9.989429175476065,0.45059632628982627,0.7917229758200788,-0.3411266495302525,67.96057775272021
2018-03-15,19.15,19.15,19.15,18.51,66,51.44356955380506,0.4060671940864964,0.7145918194733623,-0.30852462538686587,67.9605777527202
2018-03-16,18.51,18.51,18.51,18.51,166,-55.2322327923887,0.3665521509746412,0.6449838857736181,-0.27843173479897687,67.96057775272018
2018-03-19,18.51,18.51,18.51,18.51,505,-47.58220502901353,0.3314158391237605,0.5822702764436466,-0.2508544373198861,67.96057775272021
2018-03-20,18.26,18.34,18.16,18.16,1419,-107.80551905387682,0.27219034306823886,0.520254289768565,-0.24806394670032617,62.33306372175107
2018-03-21,17.98,17.98,17.8,17.8,1412,-174.7750064283881,0.19396876817496178,0.45499718544984435,-0.2610284172748826,57.09603877492885
2018-03-22,18.51,18.51,18.51,18.51,750,-1.5069967707198468,0.18711176484632475,0.4014201013291404,-0.21430833648281566,63.59276286661944
2018-03-23,18.51,18.51,18.51,18.51,12,11.443478260871485,0.17960714098660802,0.35705750926063395,-0.17745036827402594,63.59276286661944
2018-03-26,17.98,17.98,17.98,17.98,129,-129.52095808383177,0.12940144262373465,0.3115262959332541,-0.18212485330951944,56.222333533516114
2018-03-27,17.98,18.16,17.98,18.16,1300,-78.53753837566265,0.1029508078081065,0.2698111983082246,-0.16686039050011808,58.002614962576246
2018-03-28,17.98,18.16,17.09,18.16,3473,-128.51405622489972,0.0810541473934947,0.2320597881252786,-0.1510056407317839,58.00261496257624
2018-03-29,17.8,17.8,17.8,17.8,1635,-109.87080103359133,0.034257001514312435,0.19249923080308537,-0.15824222928877293,53.0030072764533
2018-03-30,17.8,17.8,17.09,17.8,2910,-130.64876957494394,-0.002797822197461386,0.15343982020297603,-0.15623764240043742,53.00300727645332
2018-04-02,17.27,17.27,17.27,17.27,300,-149.28909952606588,-0.07407669750215362,0.10793651666195009,-0.1820132141641037,46.203110728685566
2018-04-03,17.8,17.98,17.8,17.98,1815,-34.07214254671829,-0.07243961464968152,0.07186129039962377,-0.1443009050493053,54.60500038390752
2018-04-04,17.98,17.98,17.98,17.98,3344,-12.780386019822677,-0.07033147720515842,0.04342273687866734,-0.11375421408382576,54.60500038390752
2018-04-05,17.8,17.8,17.45,17.45,1300,-93.70860927152277,-0.11015750653260525,0.01270668819641282,-0.12286419472901808,48.10126061770058
2018-04-06,17.98,17.98,17.98,17.98,268,12.519860184302763,-0.09782567758365346,-0.009399784959600439,-0.08842589262405302,54.0013731109281
2018-04-09,17.8,17.8,17.8,17.8,483,-29.01172529313159,-0.10140814005859511,-0.027801455979399373,-0.07360668407919574,51.84563023236806
2018-04-10,17.8,17.98,17.8,17.98,200,3.58870187657278,-0.08870028997419155,-0.039981222778357806,-0.04871906719583374,53.83049997809757
2018-04-11,17.8,17.8,17.8,17.8,600,-18.97926634768676,-0.09209214201661808,-0.05040340662600986,-0.041688735390608224,51.5425481442784
2018-04-12,17.45,17.48,17.45,17.48,276,-115.7403906742296,-0.11922715838015208,-0.06416815697683831,-0.05505900140331377,47.66398414659361
2018-04-13,17.8,17.8,17.8,17.8,200,11.772434634081952,-0.11360100700252218,-0.07405472698197509,-0.039546280020547095,51.58726482673287
2018-04-16,17.8,17.8,17.62,17.62,1200,-24.204702627939543,-0.1222574296325547,-0.08369526751209101,-0.03856216212046369,49.34642099423993
2018-04-17,17.8,17.8,17.8,17.8,307,24.71443406022752,-0.11328730571440104,-0.08961367515255302,-0.023673630561848027,51.610068400555306
2018-04-18,17.8,17.8,17.8,17.8,2910,24.71443406022752,-0.10496840742280966,-0.09268462160660434,-0.012283785816205317,51.61006840055532
