time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,7.81,7.99,7.59,7.67,1019200,,,,,
2018-01-03,7.62,7.95,7.62,7.64,1191280,,,,,
2018-01-04,7.62,7.9,7.62,7.86,724800,,,,,
2018-01-05,7.93,7.93,7.4,7.4,685190,,,,,
2018-01-08,7.62,7.62,7.4,7.4,698040,,,,,
2018-01-09,7.4,7.55,7.39,7.4,630970,,,,,
2018-01-10,7.5,7.53,7.39,7.39,983510,,,,,
2018-01-11,7.39,7.48,7.31,7.31,840530,,,,,
2018-01-12,7.31,7.47,7.28,7.28,1062620,,,,,
2018-01-15,7.36,7.36,6.9,7.02,1336180,,,,,
2018-01-16,7.11,7.18,7.04,7.16,515150,,,,,
2018-01-17,7.16,7.21,6.84,6.84,580020,,,,,
2018-01-18,6.84,6.93,6.79,6.89,371050,,,,,
2018-01-19,6.95,6.95,6.7,6.73,683720,-137.56464503996295,,,,
2018-01-22,6.75,6.75,6.27,6.38,1173880,-167.4090247452697,,,,19.43127962085311
2018-01-23,6.38,6.38,6.38,6.38,0,-151.93253689388618,,,,19.431279620853108
2018-01-24,6.38,6.38,6.38,6.38,0,-127.64732518274171,,,,19.431279620853108
2018-01-25,6.38,6.38,5.93,5.93,1859500,-149.62020844373805,,,,15.344086589319108
2018-01-26,5.91,6.34,5.91,6.34,1292740,-108.55551805602434,,,,29.826830925893177
2018-01-29,6.47,6.74,6.47,6.61,676850,-32.84789644012959,,,,37.41954228498247
2018-01-30,6.61,6.64,6.48,6.63,649020,-28.55837331505628,,,,37.95507129876293
2018-01-31,6.75,6.93,6.65,6.82,1244190,23.5324540987842,,,,42.949777009616646
2018-02-01,6.82,7.12,6.75,6.84,2553320,58.83030826851004,,,,43.46569038321959
2018-02-02,6.92,7.16,6.75,7.02,3208420,81.04575163398673,,,,48.02154637096578
2018-02-05,6.75,7.04,6.53,6.63,1200970,30.54448871181901,,,,40.42104536719407
2018-02-06,6.17,6.47,6.16,6.17,2081920,-85.6750094804704,,,,33.655017158344876
2018-02-07,6.33,6.56,6.19,6.33,2759200,-50.74829931972804,,,,37.56946197567198
2018-02-08,6.4,6.53,6.24,6.34,2414600,-41.121971085318826,,,,37.816408315032355
2018-02-09,5.91,6.19,5.91,6.08,2578790,-112.62820512820521,,,,34.04567752158273
