time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,3.7,3.7,3.66,3.66,55830,,,,,
2018-01-03,3.64,3.78,3.63,3.76,132100,,,,,
2018-01-04,3.76,3.88,3.73,3.81,90470,,,,,
2018-01-05,3.78,3.82,3.72,3.72,61400,,,,,
2018-01-08,3.7,3.79,3.64,3.79,34160,,,,,
2018-01-09,3.79,4.05,3.79,4.05,202260,,,,,
2018-01-10,4.12,4.32,4.12,4.32,488910,,,,,
2018-01-11,4.48,4.48,4.21,4.27,67240,,,,,
2018-01-12,4.27,4.33,4.21,4.29,43370,,,,,
2018-01-15,4.18,4.27,4.15,4.21,51270,,,,,
2018-01-16,4.21,4.27,4.12,4.27,163970,,,,,
2018-01-17,4.21,4.57,4.2,4.57,404050,,,,,
2018-01-18,4.48,4.57,4.36,4.48,70810,,,,,
2018-01-19,4.48,4.6,4.48,4.48,45230,101.95739781232015,,,,
2018-01-22,4.51,4.51,4.42,4.47,34420,81.32960546753647,,,,77.93103448275858
2018-01-23,4.47,4.47,4.47,4.47,0,77.77777777777774,,,,77.93103448275858
2018-01-24,4.47,4.47,4.47,4.47,0,71.72131147540988,,,,77.93103448275856
2018-01-25,4.54,4.54,4.42,4.51,77410,71.44194756554305,,,,78.66608403810143
2018-01-26,4.56,4.56,4.48,4.54,53210,80.17154389505565,,,,79.2249688074028
2018-01-29,4.57,4.57,4.42,4.45,88040,50.425671250819015,,,,73.04287630445315
2018-01-30,4.42,4.45,4.35,4.35,120750,-19.85448267357282,,,,66.80516018626967
2018-01-31,4.47,4.48,4.35,4.35,43640,-17.697937458416074,,,,66.80516018626967
2018-02-01,4.36,4.47,4.24,4.45,41560,-32.97101449275298,,,,69.79655406596376
2018-02-02,4.44,4.44,4.32,4.39,37840,-59.540229885057144,,,,65.95600515367143
2018-02-05,4.24,4.27,4.14,4.14,207550,-266.70291825267276,,,,52.895704700360305
2018-02-06,4.03,4.42,3.85,4.42,166170,-160.01157407407416,,,,61.97700189627662
2018-02-07,4.18,4.35,4.18,4.18,48040,-125.36231884057905,,,,52.613789878525616
2018-02-08,4.18,4.27,4.09,4.27,6860,-120.21739130434688,,,,55.33863745476041
2018-02-09,4.12,4.15,3.97,4.0,62000,-170.73812881993334,,,,46.66860042254893
2018-02-12,4.24,4.27,4.08,4.11,26020,-89.2518440463644,,,,50.0987829686236
2018-02-13,4.14,4.39,4.06,4.35,20250,-24.371373307543465,,,,56.65006036301779
2018-02-21,4.45,4.45,4.24,4.33,20980,23.163841807909815,,,,55.9903827819603
2018-02-22,4.33,4.33,4.27,4.27,13020,4.156275976725143,,,,53.96030948807324
2018-02-23,4.3,4.33,4.24,4.33,33800,23.246878001921765,0.047231601280834035,0.08106036581862656,-0.03382876453779253,55.69044589286012
2018-02-26,4.33,4.45,4.33,4.42,28270,101.51515151515203,0.05353533275824329,0.0755553592065499,-0.022020026448306612,58.226314151708905
2018-02-27,4.35,4.36,4.3,4.3,34610,44.84848484848524,0.0482914148814757,0.07010257034153507,-0.021811155460059364,53.80477431632262
2018-02-28,4.3,4.42,4.29,4.42,163570,94.352256186318,0.05320525227282413,0.06672310672779289,-0.013517854454968753,57.29696291302086
2018-03-01,4.42,4.42,4.36,4.36,13160,97.66491535318188,0.0516624724253294,0.06371097986730019,-0.012048507441970793,55.055874700716444
2018-03-02,4.36,4.36,4.3,4.36,70370,55.385078219013515,0.04986499565107749,0.06094178302405565,-0.01107678737297816,55.055874700716444
2018-03-05,4.36,4.42,4.36,4.41,184670,92.8392883399502,0.051877058056993164,0.05912883803064316,-0.007251779973649994,56.69296966937522
2018-03-06,4.36,4.42,4.33,4.42,134520,77.36734095573141,0.05365998947978223,0.05803506832047097,-0.004375078840688738,57.03008624145779
2018-03-07,4.39,4.53,4.39,4.51,291000,134.40813362382005,0.06162485040100041,0.058753024736576856,0.0028718256644235524,60.044645847099034
2018-03-08,4.53,4.57,4.51,4.57,151100,188.88888888888874,0.07194917334040518,0.06139225445734252,0.010556918883062663,61.96060572574667
2018-03-09,4.61,4.78,4.61,4.72,77790,260.8257804632419,0.09118390871070403,0.06735058530801483,0.023833323402689205,66.31007406820622
2018-03-12,4.72,4.72,4.6,4.67,35070,160.00000000000043,0.10122612122349395,0.07412569249111065,0.027100428732383303,63.69565144008554
2018-03-13,4.67,4.67,4.54,4.67,53900,106.53983353150961,0.1079403775087453,0.08088862949463757,0.02705174801410773,63.69565144008554
2018-03-14,4.6,4.67,4.6,4.67,35720,97.27662749486964,0.11197074494011083,0.08710505258373222,0.024865692356378616,63.69565144008554
2018-03-15,4.64,4.66,4.61,4.63,52840,75.67914831130713,0.11066153714485427,0.09181634949595663,0.018845187648897643,61.28147221687546
2018-03-16,4.66,4.82,4.61,4.78,171470,108.98345153664296,0.12034051636914267,0.09752118287059383,0.02281933349854884,66.42120748485253
2018-03-19,4.78,4.78,4.72,4.78,43760,105.93047034764835,0.12655236030419292,0.10332741835731366,0.02322494194687927,66.42120748485253
2018-03-20,4.78,4.82,4.73,4.81,46400,104.35152133265305,0.13237015985097944,0.10913596665604682,0.023234193194932626,67.4242418423554
