time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2019-01-09,10.0,10.0,10.0,10.0,0,,,,,
2019-01-10,10.0,10.0,10.0,10.0,0,,,,,
2019-01-11,10.0,10.0,10.0,10.0,0,,,,,
2019-01-14,10.0,10.0,10.0,10.0,0,,,,,
2019-01-15,10.0,10.0,10.0,10.0,0,,,,,
2019-01-16,10.0,10.0,10.0,10.0,0,,,,,
2019-01-17,10.0,10.0,10.0,10.0,0,,,,,
2019-01-18,10.0,10.0,10.0,10.0,0,,,,,
2019-01-21,10.0,10.0,10.0,10.0,0,,,,,
2019-01-22,10.0,10.0,10.0,10.0,0,,,,,
2019-01-23,10.0,10.0,10.0,10.0,0,,,,,
2019-01-24,10.0,10.0,10.0,10.0,0,,,,,
2019-01-25,10.0,10.0,10.0,10.0,0,,,,,
2019-01-28,11.0,11.0,11.0,11.0,450000,466.6666666666676,,,,
2019-01-29,10.2,10.2,10.2,10.2,3000,51.85185185185176,,,,55.555555555555536
2019-01-30,10.2,10.2,10.2,10.2,0,42.42424242424236,,,,55.55555555555552
2019-01-31,11.7,11.7,11.7,11.7,7125000,305.69620253164504,,,,77.39886325643596
2019-02-01,11.7,11.7,11.7,11.7,0,187.85310734463297,,,,77.39886325643596
2019-02-11,11.7,11.7,11.7,11.7,0,135.91470258136923,,,,77.39886325643596
2019-02-12,11.7,11.7,11.7,11.7,0,106.74486803519052,,,,77.39886325643597
2019-02-13,11.7,11.7,11.7,11.7,0,88.13405797101453,,,,77.39886325643596
2019-02-14,11.7,11.7,11.7,11.7,0,75.30864197530862,,,,77.39886325643596
2019-02-15,11.7,11.7,11.7,11.7,0,66.0377358490564,,,,77.39886325643597
2019-02-18,11.7,11.7,11.7,11.7,0,58.33333333333323,,,,77.39886325643597
2019-02-19,11.7,11.7,11.7,11.7,0,51.85185185185184,,,,77.39886325643596
2019-02-20,11.7,11.7,11.7,11.7,0,46.66666666666645,,,,77.39886325643596
2019-02-21,11.7,11.7,11.7,11.7,0,42.42424242424228,,,,77.39886325643597
2019-02-22,11.7,11.7,11.7,11.7,0,38.888888888888836,,,,77.39886325643597
2019-02-25,11.7,11.7,11.7,11.7,0,35.89743589743569,,,,77.39886325643597
2019-02-26,11.7,11.7,11.7,11.7,0,0.0,,,,77.39886325643597
2019-02-27,11.7,11.7,11.7,11.7,0,0.0,,,,77.39886325643596
2019-02-28,11.7,11.7,11.7,11.7,0,0.0,,,,77.39886325643597
2019-03-01,11.7,11.7,11.7,11.7,0,0.0,,,,77.39886325643597
2019-03-04,11.7,11.7,11.7,11.7,0,0.0,0.470417613841823,0.6034517977759142,-0.13303418393409117,77.39886325643596
2019-03-05,11.7,11.7,11.7,11.7,0,0.0,0.4408125198609234,0.570923942192916,-0.13011142233199258,77.39886325643597
2019-03-06,11.7,11.7,11.7,11.7,0,0.0,0.4125941411595253,0.5392579819862379,-0.12666384082671256,77.39886325643596
2019-03-07,11.7,11.7,11.7,11.7,0,0.0,0.38578379726344814,0.5085631450416799,-0.12277934777823174,77.39886325643597
2019-03-08,11.7,11.7,11.7,11.7,0,0.0,0.3603821455242038,0.4789269451381847,-0.1185447996139809,77.39886325643597
2019-03-11,11.7,11.7,11.7,11.7,0,0.0,0.33637364748890697,0.45041628560832914,-0.11404263811942217,77.39886325643597
2019-03-12,11.7,11.7,11.7,11.7,0,0.0,0.313730252760525,0.4230790790387683,-0.10934882627824327,77.39886325643596
2019-03-13,11.7,11.7,11.7,11.7,0,0.0,0.2924144277994216,0.39694614879089896,-0.10453172099147734,77.39886325643597
2019-03-14,11.7,11.7,11.7,11.7,0,0.0,0.2723816369860277,0.3720332464299247,-0.099651609443897,77.39886325643597
2019-03-15,11.7,11.7,11.7,11.7,0,0.0,0.253582366269141,0.34834307039776796,-0.09476070412862697,77.39886325643596
2019-03-18,11.7,11.7,11.7,11.7,0,0.0,0.2359637653796245,0.32586720939413927,-0.08990344401451478,77.39886325643597
2019-03-19,11.7,11.7,11.7,11.7,0,0.0,0.21947097248465042,0.3045879620122415,-0.08511698952759106,77.39886325643597
2019-03-20,11.7,11.7,11.7,11.7,0,0.0,0.20404817494602767,0.2844800045989987,-0.08043182965297102,77.39886325643596
2019-03-21,11.7,11.7,11.7,11.7,0,0.0,0.18963945123404713,0.2655118939260084,-0.07587244269196125,77.39886325643596
2019-03-22,11.7,11.7,11.7,11.7,0,0.0,0.17618943178752033,0.24764740149831077,-0.07145796971079044,77.39886325643597
2019-03-25,11.7,11.7,11.7,11.7,0,0.0,0.1636438104913811,0.23084668329692484,-0.06720287280554374,77.39886325643596
2019-03-26,11.7,11.7,11.7,11.7,0,0.0,0.15194973328795136,0.21506729329513014,-0.06311756000717877,77.39886325643596
2019-03-27,11.7,11.7,11.7,11.7,0,0.0,0.14105608609679798,0.2002650518554637,-0.059208965758665716,77.39886325643594
2019-03-28,11.7,11.7,11.7,11.7,0,0.0,0.13091370056416451,0.18639478159720385,-0.05548108103303934,77.39886325643597
2019-03-29,11.7,11.7,11.7,11.7,0,0.0,0.12147549308914662,0.1734109238955924,-0.051935430806445776,77.39886325643596
2019-04-01,11.7,11.7,11.7,11.7,0,0.0,0.11269654998947054,0.16126804911436804,-0.0485714991248975,77.39886325643597
2019-04-02,11.7,11.7,11.7,11.7,0,0.0,0.10453416949839145,0.1499212731911727,-0.04538710369278126,77.39886325643596
2019-04-03,11.7,11.7,11.7,11.7,0,0.0,0.09694786946123912,0.139326592445186,-0.042378722983946876,77.39886325643596
2019-04-04,11.7,11.7,11.7,11.7,0,0.0,0.08989936807074983,0.12944114757029876,-0.03954177949954893,77.39886325643596
2019-04-05,11.7,11.7,11.7,11.7,0,0.0,0.08335254369847789,0.12022342679593459,-0.0368708830974567,77.39886325643596
2019-04-08,11.7,11.7,11.7,11.7,0,0.0,0.07727337880625917,0.1116334171979995,-0.03436003839174033,77.39886325643596
2019-04-09,11.7,11.7,11.7,11.7,0,0.0,0.07162989202396375,0.10363271216319235,-0.0320028201392286,77.39886325643596
2019-04-10,11.7,11.7,11.7,11.7,0,0.0,0.06639206172987144,0.09618458207652816,-0.02979252034665672,77.39886325643596
2019-04-11,11.7,11.7,11.7,11.7,0,0.0,0.06153174384441584,0.0892540144301057,-0.02772227058568985,77.39886325643597
2019-04-12,11.7,11.7,11.7,11.7,0,0.0,0.05702258602710053,0.08280772874950466,-0.025785142722404134,77.39886325643597
2019-04-16,11.7,11.7,11.7,11.7,0,0.0,0.0528399400331665,0.07681417100623703,-0.023974230973070526,77.39886325643597
2019-04-17,11.7,11.7,11.7,11.7,0,0.0,0.0489607736272859,0.0712434915304468,-0.0222827179031609,77.39886325643597
2019-04-18,11.7,11.7,11.7,11.7,0,0.0,0.045363583153990916,0.06606750985515562,-0.020703926701164707,77.39886325643596
2019-04-19,11.7,11.7,11.7,11.7,0,0.0,0.04202830761902909,0.06125966940793032,-0.019231361788901224,77.39886325643596
2019-04-22,11.7,11.7,11.7,11.7,0,0.0,0.03893624493358416,0.056794984513061086,-0.017858739579476923,77.39886325643596
2019-04-23,11.7,11.7,11.7,11.7,0,0.0,0.03606997080756713,0.0526499817719623,-0.016580010964395167,77.39886325643596
2019-04-24,11.7,11.7,11.7,11.7,0,0.0,0.0334132606426536,0.04880263754610056,-0.01538937690344696,77.39886325643596
2019-04-25,11.7,11.7,11.7,11.7,0,0.0,0.030951014665667742,0.045232312970013996,-0.014281298304346254,77.39886325643596
2019-04-26,11.7,11.7,11.7,11.7,0,0.0,0.02866918645389127,0.041919687666789454,-0.013250501212898183,77.39886325643597
2019-05-02,11.7,11.7,11.7,11.7,0,0.0,0.02655471493237016,0.038846693119905594,-0.012291978187535434,77.39886325643596
