time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,28.65,28.65,28.65,28.65,0,,,,,
2018-01-03,28.65,28.65,28.65,28.65,0,,,,,
2018-01-04,28.65,28.65,28.65,28.65,0,,,,,
2018-01-05,24.37,24.37,24.37,24.37,700,,,,,
2018-01-08,24.37,24.37,24.37,24.37,0,,,,,
2018-01-09,24.37,24.37,24.37,24.37,0,,,,,
2018-01-10,27.85,27.85,27.85,27.85,500,,,,,
2018-01-11,27.85,27.85,27.85,27.85,0,,,,,
2018-01-12,27.85,27.85,27.85,27.85,0,,,,,
2018-01-15,27.85,27.85,27.85,27.85,0,,,,,
2018-01-16,27.85,27.85,27.85,27.85,0,,,,,
2018-01-17,27.85,27.85,27.85,27.85,0,,,,,
2018-01-18,27.85,27.85,27.85,27.85,0,,,,,
2018-01-19,27.85,27.85,27.85,27.85,0,30.744018354637877,,,,
2018-01-22,27.85,27.85,27.85,27.85,0,34.481221442104115,,,,44.845360824742286
2018-01-23,27.85,27.85,27.85,27.85,0,38.37143182076639,,,,44.845360824742286
2018-01-24,27.85,27.85,27.85,27.85,0,42.424242424242394,,,,44.84536082474228
2018-01-25,27.85,27.85,27.85,27.85,0,38.88888888888875,,,,44.845360824742286
2018-01-26,27.85,27.85,27.85,27.85,0,35.89743589743551,,,,44.84536082474229
2018-01-29,27.85,27.85,27.85,27.85,0,0.0,,,,44.84536082474229
2018-01-30,27.85,27.85,27.85,27.85,0,0.0,,,,44.8453608247423
2018-01-31,27.85,27.85,27.85,27.85,0,0.0,,,,44.84536082474229
2018-02-01,27.85,27.85,27.85,27.85,0,0.0,,,,44.8453608247423
2018-02-02,27.85,27.85,27.85,27.85,0,0.0,,,,44.84536082474229
2018-02-05,27.85,27.85,27.85,27.85,0,0.0,,,,44.84536082474229
2018-02-06,27.85,27.85,27.85,27.85,0,0.0,,,,44.8453608247423
2018-02-07,27.85,27.85,27.85,27.85,0,0.0,,,,44.8453608247423
2018-02-08,27.85,27.85,27.85,27.85,0,0.0,,,,44.84536082474229
2018-02-09,27.85,27.85,27.85,27.85,0,0.0,,,,44.8453608247423
2018-02-12,27.85,27.85,27.85,27.85,0,0.0,,,,44.84536082474229
2018-02-13,27.85,27.85,27.85,27.85,0,0.0,,,,44.8453608247423
2018-02-21,27.85,27.85,27.85,27.85,0,0.0,,,,44.845360824742286
2018-02-22,27.85,27.85,27.85,27.85,0,0.0,,,,44.845360824742286
2018-02-23,27.85,27.85,27.85,27.85,0,0.0,0.16706776274599378,0.23180759447671148,-0.0647398317307177,44.845360824742286
2018-02-26,27.85,27.85,27.85,27.85,0,0.0,0.15469237291295812,0.2163845501639608,-0.06169217725100268,44.84536082474229
2018-02-27,24.77,24.87,24.77,24.87,400,-466.66666666667027,-0.09448711909768903,0.15421021631163084,-0.24869733540931988,15.8987936749374
2018-02-28,21.29,21.29,21.19,21.19,600,-335.36960196711345,-0.5821976941020672,0.006928634228891228,-0.5891263283309585,8.555042498078006
2018-03-01,18.1,18.1,18.1,18.1,2100,-256.23017175363765,-1.2041681139020568,-0.2352907153972984,-0.9688773985047584,6.034514772140672
2018-03-02,18.1,18.1,18.1,18.1,0,-171.93319606497388,-1.6777441623048723,-0.5237814047788132,-1.1539627575260591,6.034514772140671
2018-03-05,18.1,18.1,18.1,18.1,0,-130.14294829671542,-2.029659936269418,-0.8249571110769343,-1.2047028251924838,6.03451477214067
2018-03-06,18.1,18.1,18.1,18.1,0,-103.65039773493332,-2.282247395230023,-1.116415167907552,-1.1658322273224708,6.03451477214067
2018-03-07,18.1,18.1,18.1,18.1,0,-85.7812990272985,-2.454135035210779,-1.3839591413681975,-1.0701758938425816,6.03451477214067
2018-03-08,20.79,20.79,20.79,20.79,200,-37.460032534919065,-2.3462505931989988,-1.5764174317343578,-0.769833161464641,31.488252728851094
2018-03-09,18.1,18.1,18.0,18.0,200,-70.86020104648392,-2.4575519495350804,-1.7526443352945023,-0.7049076142405781,24.17402107472627
2018-03-12,18.1,18.1,18.1,18.1,0,-62.74683915300616,-2.5087703688920087,-1.9038695420140035,-0.6049008268780052,24.847838295395025
2018-03-13,18.1,18.1,18.1,18.1,0,-57.47149049464568,-2.520308784412201,-2.027157390493643,-0.4931513939185579,24.847838295395025
2018-03-14,18.1,18.1,18.1,18.1,0,-51.6842692522268,-2.5006273859233232,-2.121851389579579,-0.37877599634374404,24.84783829539503
2018-03-15,18.1,18.1,18.1,18.1,0,-46.47158355728072,-2.4567103086351914,-2.1888231733907015,-0.2678871352444898,24.847838295395025
2018-03-16,18.1,18.1,18.1,18.1,0,-42.137834036568194,-2.3943056434249996,-2.229919667397561,-0.16438597602743865,24.847838295395025
2018-03-19,18.1,18.1,18.1,18.1,0,-38.36957904107839,-2.3181275650588944,-2.247561246929828,-0.07056631812906655,24.847838295395025
2018-03-20,18.1,18.1,18.1,18.1,0,-34.94117273966917,-2.2320264772785094,-2.2444542929995643,0.012427815721054891,24.84783829539503
2018-03-21,18.1,18.1,18.1,18.1,0,-34.94117273966917,-2.1391321609003953,-2.2233898665797307,0.08425770567933544,24.84783829539503
2018-03-22,20.79,20.79,16.91,16.91,1800,-17.0992366412216,-2.1369029140411797,-2.2060924760720204,0.0691895620308407,20.857491943020513
2018-03-23,19.6,19.6,19.6,19.6,100,155.9066967644846,-1.8962172885641166,-2.1441174385704396,0.24790015000632293,43.1014910358639
2018-03-26,22.48,22.48,22.48,22.48,100,261.2527140564529,-1.4562930259987361,-2.006552556056099,0.5502595300573629,57.027303851836834
2018-03-27,25.76,25.76,25.76,25.76,100,261.81529142512625,-0.8333746661426851,-1.7719169780734163,0.9385423119307312,66.9487256923523
2018-03-28,29.54,29.54,29.54,29.54,100,248.61784558240618,-0.03429760738204379,-1.4243931039351418,1.390095496553098,74.30993485315837
2018-03-29,29.54,29.54,29.54,29.54,0,168.31783940773028,0.5921507732125555,-1.0210843285056024,1.6132351017181579,74.30993485315837
2018-03-30,32.83,32.83,32.83,32.83,100,164.79554373971393,1.3386598944965016,-0.5491354839051816,1.8877953784016832,79.02543157876418
2018-04-02,32.83,32.83,32.83,32.83,0,128.30016881773136,1.9082763297531926,-0.057653121173506794,1.9659294509266994,79.0254315787642
2018-04-03,32.83,32.83,32.83,32.83,0,104.2278139619493,2.3328102738460075,0.4204395578303961,1.9123707160156114,79.0254315787642
2018-04-04,32.83,32.83,32.83,32.83,0,88.46916636718184,2.6388376058407097,0.8641191674324589,1.7747184384082508,79.0254315787642
2018-04-05,32.83,32.83,32.83,32.83,0,77.25140084184562,2.848530386111875,1.261001411168342,1.587528974943533,79.0254315787642
2018-04-06,32.83,32.83,32.83,32.83,0,67.95643211320962,2.9803577166820254,1.6048726722710787,1.3754850444109468,79.0254315787642
2018-04-09,32.83,32.83,32.83,32.83,0,61.270166767445716,3.049677047280497,1.8938335472729624,1.1558435000075344,79.0254315787642
2018-04-10,32.83,32.83,32.83,32.83,0,56.747489590987044,3.069232909746191,2.128913419767608,0.9403194899785827,79.0254315787642
2018-04-11,32.83,32.83,32.83,32.83,0,51.85185185185195,3.049577441196565,2.3130462240533993,0.7365312171431655,79.0254315787642
2018-04-12,32.83,32.83,32.83,32.83,0,46.66666666666678,2.999424838302165,2.4503219469031525,0.5491028913990124,79.0254315787642
2018-04-13,32.83,32.83,32.83,32.83,0,42.424242424242685,2.925950008817356,2.5454475592859933,0.3805024495313627,79.0254315787642
2018-04-16,32.83,32.83,32.83,32.83,0,38.888888888889205,2.8350400995763536,2.6033660673440653,0.23167403223228833,79.0254315787642
2018-04-17,32.83,32.83,32.83,32.83,0,35.89743589743646,2.7315062379251245,2.628994101460277,0.10251213646484736,79.02543157876418
2018-04-18,32.83,32.83,32.83,32.83,0,66.66666666666667,2.619261688335982,2.627047618835418,-0.007785930499436322,79.0254315787642
2018-04-19,32.83,32.83,32.83,32.83,0,66.66666666666667,2.5014716658563323,2.601932428239601,-0.10046076238326851,79.0254315787642
2018-04-20,32.83,32.83,32.83,32.83,0,66.66666666666667,2.38067923609756,2.5576817898111925,-0.1770025537136326,79.0254315787642
2018-04-23,32.83,32.83,32.83,32.83,0,66.66666666666667,2.258911044849544,2.4979276408188626,-0.23901659596931868,79.0254315787642
2018-04-24,32.83,32.83,32.83,32.83,0,66.66666666666667,2.137766039799395,2.425895320614969,-0.288129280815574,79.0254315787642
2018-04-26,32.83,32.83,32.83,32.83,0,66.66666666666667,2.01848985590199,2.344414227672373,-0.325924371770383,79.0254315787642
2018-04-27,32.83,32.83,32.83,32.83,0,66.66666666666667,1.9020371208723823,2.2559388063123746,-0.35390168543999234,79.0254315787642
2018-05-02,32.83,32.83,32.83,32.83,0,66.66666666666667,1.789123586352062,2.162575762320312,-0.3734521759682501,79.0254315787642
2018-05-03,32.83,32.83,32.83,32.83,0,66.66666666666667,1.680269693649791,2.066114548586208,-0.38584485493641685,79.0254315787642
2018-05-04,32.83,32.83,32.83,32.83,0,66.66666666666667,1.5758369322032877,1.9680590253096237,-0.39222209310633604,79.0254315787642
2018-05-07,32.83,32.83,32.83,32.83,0,66.66666666666667,1.4760581369707992,1.8696588476418587,-0.3936007106710595,79.02543157876418
2018-05-08,32.83,32.83,32.83,32.83,0,66.66666666666667,1.381062691851664,1.7719396164838197,-0.39087692463215573,79.02543157876418
2018-05-09,32.83,32.83,32.83,32.83,0,66.66666666666667,1.2908974548853678,1.6757311841641294,-0.3848337292787616,79.02543157876418
2018-05-10,32.83,32.83,32.83,32.83,0,66.66666666666667,1.2055440931039634,1.5816937659520962,-0.37614967284813283,79.02543157876418
2018-05-11,32.83,32.83,32.83,32.83,0,66.66666666666667,1.1249334068865835,1.4903416941389938,-0.36540828725241026,79.0254315787642
2018-05-14,32.83,32.83,32.83,32.83,0,66.66666666666667,1.0489571324212648,1.402064781795448,-0.35310764937418315,79.0254315787642
2018-05-15,32.83,32.83,32.83,32.83,0,66.66666666666667,0.9774776338239803,1.3171473522011543,-0.33966971837717397,79.0254315787642
2018-05-16,32.83,32.83,32.83,32.83,0,66.66666666666667,0.9103358314036072,1.2357850480416448,-0.3254492166380376,79.0254315787642
2018-05-17,32.83,32.83,32.83,32.83,0,66.66666666666667,0.8473576576394599,1.1580995699612078,-0.31074191232174786,79.0254315787642
2018-05-18,45.76,45.76,45.76,45.76,100,466.66666666666873,1.819812277537757,1.2904421114765177,0.5293701660612393,97.59690164671551
2018-05-21,45.76,45.76,45.76,45.76,0,233.33333333333397,2.560968321303797,1.5445473534419736,1.0164209678618232,97.5969016467155
2018-05-22,45.76,45.76,45.76,45.76,0,155.55555555555588,3.112461309196803,1.8581301445929395,1.2543311646038635,97.59690164671551
2018-05-23,45.76,45.76,45.76,45.76,0,116.66666666666686,3.509073065418427,2.188318728758037,1.3207543366603902,97.5969016467155
2018-05-24,45.76,45.76,45.76,45.76,0,93.33333333333348,3.779819335216928,2.506618850049815,1.2732004851671128,97.59690164671551
2018-05-25,45.76,45.76,45.76,45.76,0,77.77777777777783,3.9488676168514587,2.7950686034101437,1.153799013441315,97.5969016467155
2018-05-28,45.76,45.76,45.76,45.76,0,66.66666666666661,4.036311511387325,3.04331718500558,0.9929943263817451,97.5969016467155
2018-05-29,45.76,45.76,45.76,45.76,0,58.33333333333336,4.058823833187368,3.2464185146419373,0.812405318545431,97.5969016467155
2018-05-30,45.76,45.76,45.76,45.76,0,51.85185185185189,4.030207289490107,3.4031762696115715,0.6270310198785358,97.59690164671551
2018-05-31,45.76,45.76,45.76,45.76,0,46.66666666666665,3.961858632297215,3.5149127421487,0.4469458901485148,97.5969016467155
2018-06-01,45.76,45.76,45.76,45.76,0,42.42424242424248,3.863159728430446,3.5845621394050493,0.2785975890253969,97.5969016467155
2018-06-04,45.76,45.76,45.76,45.76,0,38.88888888888888,3.7418069151054283,3.616011094545125,0.12579582056030336,97.5969016467155
2018-06-05,45.76,45.76,45.76,45.76,0,35.89743589743604,3.6040882503623948,3.613626525708579,-0.009538275346184122,97.5969016467155
2018-06-06,45.76,45.76,45.76,45.76,0,0.0,3.455116780830245,3.581924576732912,-0.12680779590266678,97.5969016467155
2018-06-07,45.76,45.76,45.76,45.76,0,0.0,3.2990266918141202,3.5253449997491537,-0.2263183079350335,97.59690164671551
2018-06-08,45.76,45.76,45.76,45.76,0,0.0,3.1391381412537456,3.448103628050072,-0.3089654867963265,97.59690164671551
2018-06-11,45.76,45.76,45.76,45.76,0,0.0,2.9780956798032676,3.354102038400711,-0.3760063585974436,97.59690164671551
2018-06-12,45.76,45.76,45.76,45.76,0,0.0,2.8179843988400393,3.246878510488577,-0.42889411164853763,97.5969016467155
2018-06-13,45.76,45.76,45.76,45.76,0,0.0,2.6604273052210914,3.1295882694350796,-0.46916096421398823,97.59690164671551
2018-06-14,45.76,45.76,45.76,45.76,0,0.0,2.5066668779672625,3.0050039911415163,-0.4983371131742538,97.5969016467155
2018-06-15,45.76,45.76,45.76,45.76,0,0.0,2.3576333024496776,2.8755298534031484,-0.5178965509534708,97.5969016467155
2018-06-18,45.76,45.76,45.76,45.76,0,0.0,2.214001489124506,2.74322418054742,-0.5292226914229139,97.59690164671551
2018-06-19,45.76,45.76,45.76,45.76,0,0.0,2.076238655446673,2.6098270755272703,-0.5335884200805974,97.5969016467155
2018-06-20,45.76,45.76,45.76,45.76,0,0.0,1.944643972018774,2.4767904548255713,-0.5321464828067972,97.59690164671551
2018-06-21,45.76,45.76,45.76,45.76,0,0.0,1.81938153945255,2.345308671750967,-0.5259271322984169,97.5969016467155
2018-06-22,45.76,45.76,45.76,45.76,0,0.0,1.7005077642003528,2.2163484902408443,-0.5158407260404916,97.59690164671551
2018-06-25,45.76,45.76,45.76,45.76,0,0.0,1.5879940341400811,2.0906775990206916,-0.5026835648806105,97.5969016467155
2018-06-26,45.76,45.76,45.76,45.76,0,0.0,1.4817454532194674,1.9688911698604468,-0.4871457166409794,97.5969016467155
2018-06-27,49.74,49.74,49.74,49.74,100,466.6666666666657,1.6991091524614959,1.9149347663806566,-0.21582561391916077,99.24210307261518
2018-06-28,42.27,42.27,42.27,42.27,100,-416.9835234473994,1.254147843862384,1.782777381877002,-0.528629538014618,41.63209086386591
