time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,5.95,6.08,5.92,6.01,34220,,,,,
2018-01-03,6.01,6.08,5.92,6.08,113260,,,,,
2018-01-04,6.1,6.39,6.1,6.25,301480,,,,,
2018-01-05,6.25,6.25,5.95,5.95,171640,,,,,
2018-01-08,5.95,5.98,5.86,5.95,511960,,,,,
2018-01-09,5.95,5.95,5.89,5.92,207920,,,,,
2018-01-10,5.92,5.95,5.89,5.95,96670,,,,,
2018-01-11,5.95,5.98,5.8,5.95,169250,,,,,
2018-01-12,5.95,5.98,5.89,5.95,52530,,,,,
2018-01-15,5.95,5.95,5.89,5.95,63690,,,,,
2018-01-16,5.95,5.95,5.89,5.92,45480,,,,,
2018-01-17,5.92,5.93,5.86,5.92,23310,,,,,
2018-01-18,5.89,5.89,5.8,5.89,33510,,,,,
2018-01-19,5.89,5.92,5.59,5.89,121180,-142.76315789473674,,,,
2018-01-22,5.89,5.89,5.65,5.68,26480,-176.55341291704943,,,,31.03448275862071
2018-01-23,5.68,5.68,5.68,5.68,0,-187.74834437086096,,,,31.034482758620708
2018-01-24,5.68,5.68,5.68,5.68,0,-149.8265278889778,,,,31.03448275862071
2018-01-25,5.8,5.81,5.35,5.59,291340,-168.37837837837859,,,,27.483494335951097
2018-01-26,5.65,5.65,5.5,5.55,4280,-139.4308943089421,,,,26.05649769438888
2018-01-29,5.5,5.59,5.32,5.35,98400,-168.51851851851842,,,,20.363324751681542
2018-01-30,5.35,5.44,5.23,5.25,43920,-172.08212760093627,,,,18.21976411410981
2018-01-31,5.35,5.5,5.34,5.34,568950,-114.11817771763597,,,,25.791064561110034
2018-02-01,5.35,5.49,5.28,5.28,74120,-109.02624478783395,,,,24.18361704189074
2018-02-02,5.41,5.41,5.2,5.26,54530,-110.55694098088121,,,,23.65438917932356
2018-02-05,5.26,5.34,4.91,4.91,282530,-157.59162303664888,,,,16.747368546332396
2018-02-06,4.76,4.88,4.57,4.86,336330,-194.6559786239146,,,,16.02737586684238
2018-02-07,4.86,5.06,4.76,4.76,256730,-144.08542759826952,,,,14.669066603016534
2018-02-08,4.85,4.91,4.76,4.89,405370,-121.19622245540428,,,,23.71965705874889
2018-02-09,4.76,4.91,4.71,4.82,103200,-106.94444444444447,,,,22.345310730781225
2018-02-12,4.85,4.85,4.67,4.82,71400,-94.97076023391796,,,,22.34531073078122
2018-02-13,4.82,5.06,4.82,4.94,78910,-48.95833333333322,,,,30.366828161619857
2018-02-21,4.94,5.06,4.94,5.06,58720,-22.034524139204407,,,,37.33759545380779
2018-02-22,5.03,5.32,5.0,5.32,172510,42.244535090471885,,,,49.202927052872376
2018-02-23,5.32,5.5,5.32,5.41,119150,103.32808398950088,-0.23358268493294254,-0.324428101373612,0.09084541644066946,52.55214386731502
2018-02-26,5.41,5.56,5.26,5.52,265320,105.95273706251825,-0.18747258686370483,-0.29703699847163056,0.10956441160792574,56.3410409664733
2018-02-27,5.52,5.52,5.32,5.43,59720,97.4351386011636,-0.1563894890959121,-0.2689074965964869,0.11251800750057478,52.63742968454639
2018-02-28,5.35,5.38,5.29,5.31,73180,70.4665274047547,-0.13982706789213317,-0.24309141085561614,0.10326434296348297,48.09752551912689
2018-03-01,5.23,5.38,5.23,5.35,92220,67.16858576911704,-0.12206645791319293,-0.2188864202671315,0.09681996235393858,49.656220915234975
2018-03-02,5.29,5.34,5.26,5.26,44210,50.147492625368415,-0.11393986652897237,-0.19789710951949968,0.08395724299052731,46.28794043871608
2018-03-05,5.26,5.32,5.22,5.26,46130,37.57062146892637,-0.10627441895980905,-0.17957257140756155,0.07329815244775251,46.28794043871608
2018-03-06,5.26,5.32,5.23,5.23,29360,29.70822281167091,-0.10145078432345844,-0.16394821399074094,0.0624974296672825,45.10514728832057
2018-03-07,5.28,5.35,5.18,5.34,50170,33.80479102956134,-0.08774052032832902,-0.14870667525825856,0.060966154929929545,50.136447937531116
2018-03-08,5.35,5.49,5.26,5.31,87430,53.666666666666885,-0.07839213092669439,-0.13464376639194572,0.05625163546525133,48.82219428373068
2018-03-09,5.29,5.35,5.29,5.32,21260,29.379710144926836,-0.06937681580089272,-0.12159037627373512,0.052213560472842396,49.29928737049497
2018-03-12,5.32,5.35,5.23,5.32,19800,-2.537485582469045,-0.06152291573593782,-0.10957688416617566,0.048053968430237834,49.29928737049497
2018-03-13,5.32,5.32,5.26,5.32,51310,-30.42781972088913,-0.054668459380364354,-0.0985951992090134,0.043926739828649045,49.29928737049497
2018-03-14,5.32,5.32,5.23,5.29,87300,-68.28431372549139,-0.05106831882394314,-0.08908982313199934,0.0380215043080562,47.635390159559684
2018-03-15,5.29,5.32,5.22,5.23,113480,-95.69716775599196,-0.05245204552390881,-0.08176226761038123,0.029310222086472423,44.40723594636678
2018-03-16,5.32,5.32,5.2,5.29,37320,-70.34677990092058,-0.04815209298942147,-0.07504023268618928,0.026888139696767815,48.188486933413074
2018-03-19,5.23,5.23,5.09,5.2,77530,-251.40470766894828,-0.05141392968759373,-0.07031497208647017,0.01890104239887644,43.41799719012522
2018-03-20,5.12,5.2,5.09,5.16,32790,-218.56540084388536,-0.056574469212513634,-0.06756687151167887,0.010992402299165233,41.453795233267485
2018-03-21,5.13,5.2,5.03,5.03,122160,-220.37037037037288,-0.07034327403445939,-0.06812215201623498,-0.002221122018224414,35.787313475087274
2018-03-22,5.03,5.09,5.0,5.03,36160,-183.50580119159682,-0.08032916642732868,-0.07056355489845371,-0.009765611528874965,35.787313475087274
2018-03-23,5.0,5.03,4.91,5.0,36730,-167.9597701149434,-0.08963060159066139,-0.07437696423689524,-0.015253637353766142,34.524262505836866
2018-03-26,4.94,5.03,4.94,4.97,22550,-130.53016453382105,-0.09828978182870696,-0.07915952775525759,-0.01913025407344937,33.26010811078997
2018-03-27,5.0,5.0,4.88,4.94,92150,-126.01156069364158,-0.10634709076929916,-0.0845970403580659,-0.021750050411233263,31.998316817794443
2018-03-28,4.94,4.94,4.85,4.88,108700,-126.20394173093422,-0.11623418933222052,-0.09092447015289681,-0.025309719179323703,29.581216997854742
2018-03-29,4.88,4.94,4.85,4.85,38210,-110.57471264367868,-0.12504904787203408,-0.09774938569672427,-0.02729966217530981,28.425042815703687
2018-03-30,4.85,4.85,4.82,4.82,50890,-115.90781337830249,-0.13292337809129506,-0.10478418417563842,-0.02813919391565664,27.276922801185393
2018-04-02,4.85,4.91,4.85,4.88,74070,-81.81971072990285,-0.13279160401132817,-0.11038566814277637,-0.022405935868551802,33.09721805529361
2018-04-03,4.85,4.89,4.79,4.85,65160,-89.54213433101717,-0.13356822997133921,-0.11502218050848893,-0.01854604946285028,31.72981967657618
2018-04-04,4.88,4.91,4.82,4.82,53120,-79.50409918016388,-0.13504771492609002,-0.11902728739200916,-0.016020427534080867,30.378212561270658
2018-04-05,4.77,4.82,4.64,4.76,157620,-133.35520559930072,-0.1394541750481757,-0.12311266492324247,-0.016341510124933234,27.825292140954254
2018-04-06,4.76,4.85,4.76,4.79,21800,-86.35036496350355,-0.13892414608344872,-0.12627496115528372,-0.012649184928164997,30.949889946246106
2018-04-09,4.82,4.85,4.79,4.82,60290,-66.54929577464866,-0.13453253767993445,-0.12792647646021388,-0.0066060612197205715,34.025761246507926
2018-04-10,4.82,4.85,4.79,4.82,52180,-61.15288220551488,-0.12955868451273744,-0.1282529180707186,-0.001305766442018852,34.02576124650793
2018-04-11,4.79,4.82,4.73,4.82,55380,-84.3545751633986,-0.12418533876051452,-0.12743940220867778,0.003254063448163258,34.02576124650793
2018-04-12,4.76,4.85,4.74,4.76,38020,-85.55555555555551,-0.12334655973799791,-0.1266208337145418,0.0032742739765438955,30.61873785647673
2018-04-13,4.76,4.89,4.76,4.76,41800,-50.05630630630618,-0.12128373788573565,-0.12555341454878058,0.0042696766630449245,30.618737856476724
