time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,13.24,13.47,13.06,13.29,52340,,,,,
2018-01-03,13.33,13.42,13.15,13.29,51130,,,,,
2018-01-04,13.24,13.38,13.15,13.38,34530,,,,,
2018-01-05,13.29,13.33,13.15,13.15,68560,,,,,
2018-01-08,12.88,13.38,12.83,13.31,70050,,,,,
2018-01-09,13.45,14.22,13.31,14.22,221730,,,,,
2018-01-10,14.25,14.38,13.97,14.18,101180,,,,,
2018-01-11,14.06,14.61,14.02,14.47,132160,,,,,
2018-01-12,14.47,14.61,14.22,14.36,101880,,,,,
2018-01-15,14.34,14.34,13.74,14.09,71890,,,,,
2018-01-16,13.93,14.09,13.1,13.42,482540,,,,,
2018-01-17,13.51,13.93,13.19,13.19,127650,,,,,
2018-01-18,13.19,13.42,13.01,13.24,58290,,,,,
2018-01-19,13.4,13.67,13.24,13.33,84640,-35.756071112632895,,,,
2018-01-22,13.38,13.45,12.9,13.15,171760,-74.84165188750931,,,,47.89156626506026
2018-01-23,13.15,13.15,13.15,13.15,0,-74.69146051247972,,,,47.89156626506026
2018-01-24,13.15,13.15,13.15,13.15,0,-71.54339089822945,,,,47.89156626506026
2018-01-25,12.92,13.06,12.33,12.37,267770,-143.45116443367905,,,,37.026676955299585
2018-01-26,12.37,12.65,12.33,12.35,100080,-143.48046676813797,,,,36.79616740266582
2018-01-29,12.35,12.56,11.96,12.01,227660,-149.6586524191151,,,,33.03142624581935
2018-01-30,12.01,12.05,11.55,11.6,132320,-170.91815538014103,,,,29.157333896265357
2018-01-31,12.1,12.1,11.73,11.96,56110,-119.98216872840715,,,,36.22969554854602
2018-02-01,12.01,12.01,11.44,11.96,66820,-110.6382978723405,,,,36.22969554854601
2018-02-02,11.96,11.98,11.78,11.94,18740,-86.6326930615445,,,,35.99814461171654
2018-02-05,11.83,11.83,11.12,11.12,180480,-125.06008855154967,,,,28.075390128833178
2018-02-06,10.5,10.82,10.34,10.34,186890,-174.88584474885852,,,,22.910160379791783
2018-02-07,10.34,11.05,10.34,10.68,88630,-133.28964613368282,,,,29.03866631239981
2018-02-08,10.5,11.0,10.5,10.8,20300,-111.90842631781473,,,,31.119980954912656
2018-02-09,10.04,10.87,10.04,10.87,42960,-110.26327532351614,,,,32.36616295627304
2018-02-12,11.05,11.62,11.05,11.62,178670,-22.289724520791857,,,,44.04667812585376
2018-02-13,11.87,12.42,11.83,12.42,176400,72.2521902138568,,,,53.30943931271748
2018-02-21,13.24,13.24,12.74,13.24,131960,156.09951553564252,,,,60.52324706855544
2018-02-22,13.01,13.15,12.51,12.6,45240,115.92435489572267,,,,53.56687799618911
2018-02-23,12.33,12.69,12.33,12.6,44470,88.0051928529943,-0.36340997429317845,-0.7105818036704142,0.3471718293772358,53.56687799618911
2018-02-26,12.97,12.97,11.87,11.87,45980,51.5344433561867,-0.3575531537687979,-0.639976073690091,0.2824229199212931,46.4972025960259
2018-02-27,11.87,12.56,11.41,12.33,107890,36.70108398468939,-0.3121946402095954,-0.5744197869939919,0.26222514678439646,50.89512352014845
2018-02-28,12.28,12.33,11.87,11.87,18620,27.44058327809871,-0.30979472627905835,-0.5214947748510051,0.2117000485719468,46.75613506999671
2018-03-01,12.14,12.6,12.01,12.33,137400,49.85517851154013,-0.26768887090579874,-0.47073359406196386,0.20304472315616512,51.04370547039338
2018-03-02,12.33,12.33,11.89,12.01,20980,24.711562578379752,-0.2571764329819537,-0.4280221618459618,0.17084572886400812,48.13954567858485
2018-03-05,12.01,12.01,11.64,11.64,67030,-14.873317276274513,-0.2755250763979493,-0.3975227447563593,0.12199766835840997,44.95469004488426
2018-03-06,12.24,12.28,11.44,11.96,93610,-12.270610791563602,-0.2612338417364324,-0.3702649641523739,0.10903112241594154,48.149698331118756
2018-03-07,11.96,11.96,11.41,11.87,42980,-49.947615108905055,-0.2542394688051992,-0.34705986508293896,0.09282039627773975,47.31783167489136
2018-03-08,12.05,12.42,11.87,12.05,385680,-10.802469135801879,-0.23150325675018557,-0.3239485434163883,0.09244528666620272,49.20787268658568
2018-03-09,12.24,12.24,11.48,11.87,36130,-78.2280109342335,-0.2254107458039467,-0.3042409838939,0.07883023808995326,47.377399024467415
2018-03-12,11.87,11.87,11.51,11.64,230060,-104.95460440985774,-0.23641620593662083,-0.29067602830244416,0.05425982236582333,45.07033476045916
2018-03-13,11.73,12.14,11.09,11.09,182170,-149.7170092344354,-0.2862191595341681,-0.28978465454878893,0.003565495014620834,40.04817273622564
2018-03-14,11.23,11.87,11.19,11.19,298480,-136.16759088108412,-0.31399960284239903,-0.294627644207511,-0.019371958634888053,41.32829265753657
2018-03-15,11.41,11.96,11.32,11.46,492600,-83.91038696537709,-0.3106481028378205,-0.29783173593357287,-0.012816366904247645,44.75806699182823
2018-03-16,11.51,11.73,11.51,11.51,19590,-71.69811320754721,-0.3004935304372225,-0.2983640948343028,-0.0021294356029196715,45.394661440997815
2018-03-19,11.73,11.96,11.41,11.6,194140,-43.11433986102334,-0.2819337539930249,-0.2950780266660472,0.013144272673022317,46.58780202735696
2018-03-20,11.83,11.83,11.55,11.55,23730,-41.35418418250094,-0.26816830231745215,-0.2896960817963282,0.021527779478876075,45.98662793216563
2018-03-21,11.6,12.1,11.6,12.01,299060,64.60093896713684,-0.2176321985566183,-0.2752833051483862,0.05765110659176792,52.109434171841954
2018-03-22,11.92,11.92,11.67,11.67,28690,16.856987493202507,-0.20268075317640388,-0.2607627947539898,0.0580820415775859,47.79669802737369
2018-03-23,11.46,11.73,11.41,11.64,29150,-49.4242424242426,-0.19105006801325608,-0.24682024940584305,0.055770181392586965,47.42374051632694
2018-03-26,11.51,11.64,11.46,11.64,8730,-49.0022898266275,-0.1797604990904098,-0.2334082993427564,0.053647800252346584,47.42374051632693
2018-03-27,11.64,11.64,10.84,11.6,16820,-132.3542909591564,-0.1720577257281768,-0.22113818461984047,0.04908045889166368,46.85833965941685
2018-03-28,11.6,11.6,10.98,11.22,20710,-164.07369498464666,-0.19437540784348428,-0.21578562926456923,0.021410221421084952,41.76417632153548
2018-03-29,10.98,12.0,10.98,11.43,262660,-51.0337323177385,-0.1928935302091137,-0.21120720945347812,0.018313679244364417,45.30308368056661
2018-03-30,11.43,12.22,11.43,12.22,329930,174.57952907256154,-0.12651435508008646,-0.19426863857879978,0.06775428349871332,56.10870704498881
2018-04-02,12.79,13.05,12.76,13.05,265230,328.21808510638107,-0.006855293596316869,-0.1567859695823032,0.14993067598598633,64.12712744773584
2018-04-03,13.31,13.88,13.05,13.55,184530,262.3108517077386,0.12685884623964228,-0.10005700641791411,0.22691585265755637,67.92823301335957
2018-04-04,13.55,14.47,13.52,14.47,580840,219.54713006845685,0.3035652652422911,-0.01933255208587306,0.32289781732816414,73.49363413429374
2018-04-05,14.47,14.47,13.47,13.59,52820,135.72563780844828,0.3683516018940267,0.05820427871010689,0.3101473231839198,62.34863451651304
2018-04-06,13.02,13.33,13.02,13.31,1720,69.67298559901151,0.39257620637166646,0.1250786642424188,0.26749754212924765,59.26887327812648
2018-04-09,13.31,13.31,12.45,13.17,66580,43.30828209215835,0.3959137032544717,0.17924567204482938,0.21666803120964234,57.733297843572494
2018-04-10,13.17,13.17,12.36,12.41,106110,15.095702419646187,0.33338993353866897,0.2100745243435973,0.12331540919507167,50.13895798536689
2018-04-11,12.41,12.83,12.36,12.41,105560,2.416570771001099,0.28060475859279777,0.2241805711934374,0.056424187399360365,50.13895798536689
2018-04-12,12.41,13.26,12.41,12.98,122280,24.848057782084094,0.28152116273956196,0.23564868950266232,0.045872473236899636,55.25822203610122
2018-04-13,12.5,13.07,12.33,12.83,16410,6.246719160105031,0.2670651128518191,0.24193197417249368,0.02513313867932543,53.6958376534831
2018-04-16,12.05,13.07,12.05,12.17,24830,-35.784506488399444,0.20004609812094465,0.23355479896218387,-0.03350870084123922,47.35181181853355
2018-04-17,12.17,13.0,12.17,12.83,104390,-24.83906421730268,0.19790816808255762,0.22642547278625863,-0.028517304703701007,53.294428225371796
2018-04-18,13.07,13.71,12.74,13.07,36770,30.592592592592347,0.2131230870771823,0.22376499564444335,-0.01064190856726105,55.27153555405759
2018-04-19,13.31,13.31,12.64,13.0,6870,-11.81434599156113,0.21703080894388727,0.22241815830433215,-0.005387349360444882,54.54626828451242
2018-04-20,12.38,12.71,12.33,12.36,52050,-91.19592875318094,0.16656499776886768,0.21124752619723924,-0.04468252842837156,48.30522397621862
2018-04-23,12.41,12.41,12.14,12.36,26040,-105.67022130489634,0.12512808020702693,0.19402363699919678,-0.06889555679216985,48.30522397621863
2018-04-24,11.95,12.36,11.95,12.31,8360,-116.92862488943365,0.0872486937388377,0.17266864834712498,-0.08541995460828727,47.80958371071525
