time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,10.89,11.03,10.79,10.96,175160,,,,,
2018-01-03,11.13,11.13,10.79,11.0,274280,,,,,
2018-01-04,11.1,11.1,10.93,11.0,252990,,,,,
2018-01-05,11.06,11.58,11.0,11.48,1002020,,,,,
2018-01-08,11.48,11.83,11.48,11.69,771040,,,,,
2018-01-09,11.76,11.89,11.55,11.79,669630,,,,,
2018-01-10,11.76,11.76,11.38,11.38,677280,,,,,
2018-01-11,11.41,11.41,11.06,11.2,546260,,,,,
2018-01-12,11.13,11.48,11.06,11.31,424900,,,,,
2018-01-15,11.41,11.41,11.2,11.24,189970,,,,,
2018-01-16,11.34,11.34,11.06,11.1,368370,,,,,
2018-01-17,11.13,11.55,11.06,11.55,840510,,,,,
2018-01-18,11.69,12.07,11.62,11.89,1419880,,,,,
2018-01-19,11.96,11.96,11.69,11.76,719700,115.83833970507885,,,,
2018-01-22,11.89,12.31,11.76,11.89,948270,133.4845430107523,,,,66.66666666666666
2018-01-23,11.89,11.89,11.89,11.89,0,93.91252955082697,,,,66.66666666666666
2018-01-24,11.89,11.89,11.89,11.89,0,80.96547509929707,,,,66.66666666666666
2018-01-25,11.27,11.55,11.06,11.06,2100290,-84.71976401179963,,,,48.60648376679374
2018-01-26,11.06,11.41,11.06,11.2,422730,-73.42026885615412,,,,51.01691192007336
2018-01-29,11.31,11.34,11.06,11.06,244610,-79.3612774451095,,,,48.56398366042168
2018-01-30,10.86,11.06,10.72,10.86,573340,-120.38442083965599,,,,45.219112762994826
2018-01-31,10.86,11.2,10.86,11.2,268640,-72.78832219983751,,,,51.35323749979322
2018-02-01,11.34,11.34,10.93,11.0,221620,-67.16044302712396,,,,47.95178740589184
2018-02-02,10.93,11.1,10.93,10.93,133880,-80.05770870220998,,,,46.78378337186373
2018-02-05,10.93,10.93,10.23,10.23,370200,-153.16091954023022,,,,37.06187341572371
2018-02-06,9.61,9.68,9.54,9.54,724140,-230.36701860231273,,,,30.363822653025736
2018-02-07,9.61,10.2,9.61,10.17,160480,-144.46087657972575,,,,40.87123994392965
2018-02-08,10.3,10.3,9.47,10.1,101930,-119.51600787705341,,,,40.14638734251194
2018-02-09,9.47,9.99,9.47,9.99,176680,-109.63887313291742,,,,38.97657842241342
2018-02-12,10.23,10.23,9.85,10.03,42580,-70.93802345058641,,,,39.66505531195952
2018-02-13,10.03,10.44,10.03,10.41,73370,-32.75529865125279,,,,45.90857548595091
2018-02-21,10.41,10.51,10.3,10.41,107920,-12.434082708854115,,,,45.90857548595091
2018-02-22,10.41,10.44,10.1,10.1,50700,-31.962980007158677,,,,41.814679221494
2018-02-23,10.1,10.41,10.1,10.37,91980,-12.186317321688923,-0.31659308376560524,-0.2964135916536631,-0.020179492111942143,46.30582301766496
2018-02-26,10.44,10.51,10.23,10.37,81920,8.031814329486286,-0.29936307551350616,-0.29700348842563173,-0.0023595870878744263,46.305823017664956
2018-02-27,10.37,10.37,10.23,10.37,63840,11.394080996883943,-0.28245223627880023,-0.2940932379962654,0.011641001717465183,46.30582301766496
2018-02-28,10.2,10.96,10.2,10.89,340310,109.87055016181161,-0.22450269287521252,-0.2801751289720548,0.055672436096842304,54.71398815767046
2018-03-01,10.72,10.96,10.65,10.86,167640,153.6147243606757,-0.1789353561017446,-0.2599271743979928,0.08099181829624819,54.18679459511932
2018-03-02,10.86,10.86,10.48,10.51,74780,93.57234314980745,-0.16911552978518962,-0.24176484547543214,0.07264931569024252,48.335290268816316
2018-03-05,10.51,10.72,10.3,10.51,177280,59.70891018814247,-0.15949469116355708,-0.22531081461305713,0.06581612344950005,48.33529026881632
2018-03-06,10.34,10.37,10.03,10.17,299530,-42.561938764471805,-0.17726190089118177,-0.21570103186868206,0.03843913097750029,43.092569801955236
2018-03-07,9.82,10.37,9.82,10.3,144930,-59.3206678180776,-0.17879163043970792,-0.20831915158288722,0.029527521143179303,45.5255273159199
2018-03-08,10.51,10.72,10.2,10.3,126550,10.419227092720831,-0.17795262503824105,-0.20224584627395797,0.024293221235716922,45.5255273159199
2018-03-09,10.48,10.48,9.96,10.2,532000,-77.30061349693301,-0.18324454245830957,-0.1984455855108283,0.015201043052518737,43.85293450623062
2018-03-12,10.23,10.23,9.96,10.03,86310,-120.2419354838712,-0.19886362827222825,-0.1985291940631083,-0.0003344342091199659,41.08919874694288
2018-03-13,10.13,10.44,10.03,10.37,115820,-34.48549860945653,-0.18171204447091327,-0.1951657641446693,0.013453719673756026,48.13009562792728
2018-03-14,10.17,10.72,10.17,10.72,392040,55.163043478260676,-0.1382831734645169,-0.18378924600863883,0.04550607254412192,54.19864872264072
2018-03-15,10.75,11.06,10.65,10.65,278380,120.32992036404943,-0.10826587369068008,-0.16868457154504707,0.06041869785436699,52.86646339505706
2018-03-16,10.72,10.79,10.3,10.65,208530,44.64973056197002,-0.08351424710216726,-0.15165050665647112,0.06813625955430386,52.86646339505705
2018-03-19,10.79,10.79,10.41,10.44,99280,29.17644429545129,-0.07992235450886298,-0.13730487622694948,0.0573825217180865,48.70151804469384
2018-03-20,10.37,10.58,10.23,10.37,440630,-15.257048092869422,-0.08178144316642921,-0.12620018961484541,0.0444187464484162,47.362078157501706
2018-03-21,10.37,10.62,10.37,10.58,141380,42.203548085900415,-0.06555387509852295,-0.11407092671158092,0.04851705161305797,51.657590398420595
2018-03-22,10.58,10.62,10.37,10.51,360110,38.1934216985762,-0.05767696136898337,-0.10279213364306142,0.04511517227407805,50.187397467876416
2018-03-23,10.2,10.51,10.2,10.41,317400,-10.33434650455915,-0.05882551088152077,-0.09399880909075328,0.03517329820923251,48.08211491584128
2018-03-26,10.41,10.62,10.3,10.58,944880,36.178207192700306,-0.04549374185708288,-0.08429779564401921,0.03880405378693633,51.78493077538586
2018-03-27,10.62,10.86,10.37,10.51,474530,63.61525704809229,-0.04011422205893744,-0.07546108092700285,0.035346858868065406,50.19737167252099
2018-03-28,10.44,10.58,10.37,10.37,50550,-5.922165820643392,-0.046610447606727945,-0.06969095426294787,0.023080506656219926,47.08814245494924
2018-03-29,10.37,10.37,10.1,10.17,346400,-118.68020304568552,-0.06712332576973346,-0.06917742856430499,0.0020541027945715357,42.99138853846574
2018-03-30,10.37,10.37,10.2,10.2,84740,-116.66666666666791,-0.08003656848126539,-0.07134925654769707,-0.008687311933568323,43.78149130467413
2018-04-02,10.2,10.23,10.06,10.1,404290,-164.66321243523336,-0.09721889176259424,-0.0765231835906765,-0.020695708171917737,41.70652725304597
2018-04-03,10.1,10.1,9.92,9.96,402520,-173.8965952080717,-0.12074100952702516,-0.08536674877794623,-0.03537426074907893,38.925131220869
2018-04-04,10.17,10.17,9.96,9.96,196740,-130.65164923572013,-0.13779405325098537,-0.09585220967255406,-0.04194184357843131,38.925131220869
2018-04-05,10.1,10.2,9.96,10.2,90790,-79.25552539744228,-0.13043909829681333,-0.10276958739740591,-0.027669510899407418,46.075050246971536
2018-04-06,10.03,10.3,10.03,10.17,44850,-52.407407407408435,-0.12558334614414868,-0.10733233914675447,-0.01825100699739421,45.36021107351756
2018-04-09,10.13,10.3,9.96,10.03,143010,-69.3523515805703,-0.1315159238462602,-0.11216905608665562,-0.01934686775960459,42.079243667514916
2018-04-10,9.96,10.13,9.85,9.89,156730,-109.0539832285113,-0.14583328901063375,-0.11890190267145125,-0.026931386339182503,39.03833862027286
2018-04-11,10.03,10.58,9.89,9.89,141210,-39.74022183304218,-0.15538868007661932,-0.12619925815248487,-0.029189421924134457,39.03833862027287
