time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,10.72,11.07,10.69,11.01,130550,,,,,
2018-01-03,11.01,11.2,10.88,11.01,151850,,,,,
2018-01-04,11.07,11.2,10.98,11.01,191160,,,,,
2018-01-05,11.01,11.54,11.01,11.45,403570,,,,,
2018-01-08,11.39,11.51,11.35,11.39,171000,,,,,
2018-01-09,11.45,11.7,11.35,11.54,203940,,,,,
2018-01-10,11.67,11.67,11.45,11.45,287920,,,,,
2018-01-11,11.58,11.89,11.45,11.89,315730,,,,,
2018-01-12,12.02,12.21,11.67,11.7,298380,,,,,
2018-01-15,11.7,12.15,11.54,12.02,215560,,,,,
2018-01-16,12.08,12.08,11.8,11.83,209890,,,,,
2018-01-17,11.77,12.02,11.58,11.58,158690,,,,,
2018-01-18,11.58,11.7,11.32,11.64,118830,,,,,
2018-01-19,11.77,11.77,11.58,11.58,149750,34.54948956946207,,,,
2018-01-22,12.37,12.37,12.37,12.37,141300,190.63063063062967,,,,72.36842105263158
2018-01-23,12.37,12.37,12.37,12.37,0,161.53846153846155,,,,72.36842105263158
2018-01-24,12.37,12.37,12.37,12.37,0,135.15048268029534,,,,72.36842105263158
2018-01-25,13.22,13.22,12.84,12.94,730590,207.76444357006997,,,,77.61144055048186
2018-01-26,13.0,13.0,12.65,12.72,278330,128.3631205673758,,,,71.93775624945941
2018-01-29,12.97,12.97,12.59,12.65,124010,98.10901001112333,,,,70.17978606570493
2018-01-30,12.65,12.78,12.37,12.78,166430,71.67414050822104,,,,71.56932824375856
2018-01-31,13.03,13.03,12.72,12.81,135880,91.19666244190941,,,,71.89479773122433
2018-02-01,12.81,12.9,12.4,12.59,155990,50.16840594114089,,,,65.93381991253491
2018-02-02,12.46,12.78,12.46,12.53,73040,38.69346733668349,,,,64.36637479903489
2018-02-05,12.53,12.65,11.8,11.8,203720,-54.52969224100574,,,,49.07891438451317
2018-02-06,11.39,11.7,10.98,11.39,224310,-167.28131580445037,,,,42.9140754299617
2018-02-07,11.77,11.92,11.58,11.83,63870,-105.4361567635905,,,,50.15074820924088
2018-02-08,11.58,11.89,11.58,11.64,48240,-120.54560954816674,,,,47.35886777535419
2018-02-09,11.26,11.64,11.26,11.64,67250,-119.06096175691044,,,,47.35886777535419
2018-02-12,11.42,11.83,11.42,11.83,19840,-77.03196347031972,,,,50.55145162231598
2018-02-13,11.83,12.34,11.83,11.96,45100,-26.453031731071885,,,,52.66668572544171
2018-02-21,12.21,12.27,11.96,12.02,86650,-13.970588235293944,,,,53.65211929964953
2018-02-22,12.08,12.53,12.02,12.43,103240,29.109364767517558,,,,59.80956310462804
2018-02-23,12.46,12.56,12.34,12.43,68850,54.32012971971252,0.19535076050933142,0.2731930502526166,-0.07784228974328516,59.80956310462804
2018-02-26,12.43,12.49,12.21,12.27,50730,40.48150905931956,0.18875987025406538,0.25630641425290634,-0.06754654399884097,56.41730855859024
2018-02-27,12.15,12.34,12.08,12.18,73110,30.232228830359347,0.17426547053550578,0.23989822550942624,-0.06563275497392046,54.54332146937276
2018-02-28,12.24,12.24,12.05,12.15,43410,28.67060048594233,0.15853036567867917,0.22362465354327682,-0.06509428786459764,53.90061688908161
2018-03-01,12.15,12.53,12.05,12.24,67630,66.16062683643449,0.15157516539850313,0.2092147559143221,-0.05763959051581896,55.59123098915336
2018-03-02,12.05,12.34,12.05,12.24,96040,47.68285873813443,0.1443985820975282,0.1962515211509633,-0.051852939053435104,55.59123098915336
2018-03-05,12.24,13.09,12.24,13.09,828940,175.85673795413524,0.2049366027922339,0.19798853747921744,0.006948065313016477,68.31778223655698
2018-03-06,13.22,13.47,13.03,13.13,207100,220.8389817743634,0.2532220993160941,0.20903524984659277,0.0441868494695013,68.77132815071245
2018-03-07,13.13,13.47,13.09,13.41,408470,187.98920377867645,0.31050307694229673,0.22932881526573357,0.08117426167656316,71.81315743956064
2018-03-08,13.47,14.33,13.47,14.33,965800,213.91378574477105,0.42523315255322736,0.26850968272323233,0.15672346982999502,79.03800162696477
2018-03-09,15.15,15.15,14.36,14.55,273430,205.67845819528983,0.5278252841281361,0.3203728030042131,0.207452481123923,80.33599806551439
2018-03-12,15.12,15.12,13.92,14.17,579920,135.43570993296746,0.5718752415258219,0.3706732907085349,0.20120195081728703,72.03843286626874
2018-03-13,13.92,14.74,13.92,14.74,583530,113.76518218623451,0.6453403051106079,0.4256066935889495,0.21973361152165843,76.03663088684877
2018-03-14,15.06,15.06,14.42,14.77,235290,112.87118678423003,0.6979372602826128,0.48007280692768217,0.21786445335493065,76.22928404666024
2018-03-15,14.61,14.77,14.42,14.68,147310,86.7710428037919,0.7240125127930721,0.5288607481007601,0.195151764692312,74.29945072716959
2018-03-16,14.68,14.68,14.04,14.2,314080,55.140266124247574,0.69790038854579,0.5626686761897661,0.13523171235602383,64.86736712003724
2018-03-19,13.92,13.92,13.28,13.28,547750,-10.362012223789607,0.5960985773714711,0.5693546564261072,0.02674392094536393,51.39917113408128
2018-03-20,13.28,14.04,13.28,14.04,325900,4.090909090908922,0.5701729580483281,0.5695183167505513,0.0006546412977768146,58.97664990453437
2018-03-21,14.04,14.11,13.7,13.85,221970,3.221412267137756,0.5282064704527212,0.5612559474909853,-0.03304947703826411,56.600751101736336
2018-03-22,13.98,13.98,13.66,13.73,173990,-24.0254574383451,0.4797346471746522,0.5449516874277187,-0.06521704025306652,55.091218334459725
2018-03-23,13.41,13.79,13.28,13.54,198280,-72.42359630419303,0.4211343907924068,0.5201882281006563,-0.09905383730824957,52.69489228067543
