time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2020-06-29,12.99,13.19,12.99,13.19,2000,,,,,
2020-06-30,13.11,13.19,13.19,13.19,0,,,,,
2020-07-01,13.11,13.19,13.19,13.19,0,,,,,
2020-07-02,13.11,13.19,13.19,13.19,0,,,,,
2020-07-03,13.11,13.19,13.19,13.19,0,,,,,
2020-07-06,12.18,12.18,12.18,12.18,500,,,,,
2020-07-07,11.77,12.18,11.77,12.18,500,,,,,
2020-07-08,12.18,12.18,12.18,12.18,200,,,,,
2020-07-09,12.18,12.26,12.18,12.26,600,,,,,
2020-07-10,12.18,12.59,12.18,12.59,400,,,,,
2020-07-13,12.59,12.59,12.59,12.59,200,,,,,
2020-07-14,10.72,12.59,10.72,12.59,5500,,,,,
2020-07-15,10.6,10.6,10.6,10.6,700,,,,,
2020-07-16,9.74,9.74,9.34,9.34,200,-253.50677506775065,,,,
2020-07-17,9.54,9.34,9.34,9.34,0,-188.0672756270843,,,,8.779443254817991
2020-07-20,9.54,9.34,9.34,9.34,0,-136.7470588235294,,,,8.77944325481799
2020-07-21,9.54,9.34,9.34,9.34,0,-107.63590656750817,,,,8.779443254817988
2020-07-22,9.54,9.54,9.54,9.54,200,-81.02359419996976,,,,13.411029356662482
2020-07-23,9.54,9.54,9.54,9.54,0,-69.50559364850238,,,,13.411029356662482
2020-07-24,9.54,9.54,9.54,9.54,0,-60.8536457788472,,,,13.411029356662482
2020-07-27,9.54,9.54,9.54,9.54,0,-53.880407124681994,,,,13.411029356662482
2020-07-28,9.54,9.54,9.54,9.54,0,-47.55477945166293,,,,13.411029356662482
2020-07-29,9.54,9.54,9.54,9.54,0,-42.18410520297318,,,,13.411029356662482
2020-07-30,9.54,9.54,9.54,9.54,0,-37.066438139912464,,,,13.411029356662482
2020-07-31,9.54,9.54,9.54,9.54,0,-30.481778875849166,,,,13.411029356662482
2020-08-03,9.54,9.54,9.54,9.54,0,-12.705737578833405,,,,13.411029356662485
2020-08-04,10.15,10.15,9.34,9.34,12000,105.918106206015,,,,12.20378869874162
2020-08-05,10.15,9.34,9.34,9.34,0,-116.66666666666282,,,,12.203788698741622
2020-08-06,10.15,9.34,9.34,9.34,0,-116.66666666666282,,,,12.203788698741622
2020-08-07,9.54,9.54,9.54,9.54,500,36.31913852178349,,,,21.077157067099233
2020-08-10,9.54,9.54,9.54,9.54,0,31.17408906882988,,,,21.077157067099233
2020-08-11,9.54,9.54,9.54,9.54,0,31.17408906882988,,,,21.077157067099233
2020-08-12,9.54,9.54,9.54,9.54,0,31.17408906882988,,,,21.077157067099233
