time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,24.62,25.33,24.51,24.98,19225,,,,,
2018-01-03,24.98,25.69,24.98,25.69,34810,,,,,
2018-01-04,25.33,26.76,25.33,26.51,72890,,,,,
2018-01-05,26.41,27.55,26.23,27.12,92966,,,,,
2018-01-08,27.12,28.23,27.12,28.19,45998,,,,,
2018-01-09,28.19,28.19,27.65,27.83,34100,,,,,
2018-01-10,27.83,28.01,24.98,27.12,55041,,,,,
2018-01-11,26.76,27.48,26.76,27.3,51566,,,,,
2018-01-12,27.12,27.65,27.12,27.48,37203,,,,,
2018-01-15,27.48,28.01,27.37,27.9,50803,,,,,
2018-01-16,27.83,28.15,27.69,27.9,74092,,,,,
2018-01-17,28.01,28.4,27.65,27.83,106627,,,,,
2018-01-18,27.83,28.01,27.69,28.01,51492,,,,,
2018-01-19,28.01,28.19,27.83,28.01,23737,72.67875430928804,,,,
2018-01-22,27.65,27.98,26.76,26.87,27870,-12.434525165110118,,,,64.65116279069767
2018-01-23,27.55,28.19,26.87,27.83,54242,23.657701218897362,,,,69.53438174529755
2018-01-24,28.15,29.62,27.83,29.01,116787,190.75283218929647,,,,74.24417633100498
2018-01-25,28.55,28.9,27.94,27.94,38291,91.03929600971038,,,,64.50598242641301
2018-01-26,28.01,28.55,27.94,28.05,21803,69.01750129960124,,,,65.01402902340485
2018-01-29,28.05,28.19,27.12,27.83,82719,-8.169934640522225,,,,63.06963888331606
2018-01-30,28.19,28.19,27.83,27.87,45648,23.812612612613357,,,,63.28464265703471
2018-01-31,28.19,28.3,27.9,27.9,57133,30.717604543107512,,,,63.45648051357611
2018-02-01,27.9,28.15,27.51,27.98,10696,-18.82109617373357,,,,63.941139755089
2018-02-02,27.83,27.83,27.12,27.48,74308,-119.26489226869464,,,,58.701072473995744
2018-02-05,27.23,27.65,26.05,26.05,90344,-228.809590709001,,,,46.87047754220072
2018-02-06,24.98,28.55,22.94,28.55,106523,-157.12265818310365,,,,61.484865260710265
2018-02-07,27.83,27.83,27.3,27.3,23281,-33.74540760599702,,,,53.55287469753851
2018-02-08,27.3,27.48,27.3,27.3,16469,-43.68530020704013,,,,53.55287469753852
2018-02-09,26.76,27.3,25.55,26.76,124020,-140.82177161152657,,,,50.30163366898756
2018-02-12,26.76,27.12,26.76,26.76,8703,-80.80893791542968,,,,50.30163366898756
2018-02-13,26.8,27.65,26.8,27.65,5260,-12.572054690106128,,,,55.4692685458286
2018-02-21,27.12,28.26,27.05,28.05,48803,54.29412063105536,,,,57.60299880016769
2018-02-22,27.83,28.05,27.83,28.05,21510,87.22604884157721,,,,57.60299880016769
2018-02-23,27.83,28.05,27.83,27.94,12300,76.66868932038821,0.13557447708368642,0.12419852710181445,0.011375949981871969,56.73595681063029
2018-02-26,27.98,28.8,27.98,28.55,66464,137.3955960516323,0.19662148693634407,0.13868311906872038,0.057938367867623686,60.3042526452519
2018-02-27,27.83,28.62,27.83,28.62,17353,116.88931297709993,0.24779368568772497,0.1605052323925213,0.08728845329520368,60.704774686806104
2018-02-28,28.37,28.55,28.37,28.55,31182,117.18724177821802,0.2794779589466394,0.1842997777033449,0.0951781812432945,60.05225080447031
2018-03-01,28.55,28.9,28.47,28.9,26523,119.99999999999982,0.3290371136771668,0.21324724489810928,0.11578986877905753,62.23791868784054
2018-03-02,28.37,29.22,28.37,28.9,28729,112.61733246016162,0.3641158005608851,0.24342095603066444,0.12069484453022067,62.23791868784054
2018-03-05,28.37,29.08,28.37,29.08,14751,101.69986719787545,0.40180860879672764,0.2750984865838771,0.12671012221285055,63.43128928299225
2018-03-06,28.55,29.22,28.55,29.08,18946,96.58733157033147,0.4267609957758438,0.30543098842227046,0.12133000735357335,63.43128928299225
2018-03-07,28.76,29.26,28.76,28.83,8247,84.48709654230545,0.42150419359964175,0.3286456294577447,0.09285856414189703,60.35875624167838
2018-03-08,28.55,29.9,28.55,29.9,22891,132.47460985880605,0.4979382751584609,0.362504158597888,0.13543411656057291,67.59391468878977
2018-03-09,29.97,30.97,29.62,30.97,50410,223.50965575146952,0.6375041421899184,0.41750415531629403,0.21999998687362432,72.91719258980254
2018-03-12,30.69,31.94,30.69,31.83,72076,250.6293057763643,0.8081896033434539,0.495641244921726,0.3125483584217279,76.2885856245287
2018-03-13,31.51,31.76,31.4,31.69,31672,179.23188842063033,0.9215392996507177,0.5808208558675243,0.3407184437831934,74.65923883387319
2018-03-14,31.47,32.11,31.44,32.11,58540,147.73854743964972,1.033348442915372,0.6713263732770939,0.3620220696382782,76.29492943024387
2018-03-15,31.58,32.11,31.58,31.94,47605,114.87199244154627,1.0956108948416343,0.7561832775900019,0.3394276172516324,74.20702396866517
2018-03-16,32.72,33.01,32.72,32.72,107903,130.66892327530633,1.1941286461246996,0.8437723512969415,0.3503562948277581,77.27934358410252
2018-03-19,32.83,33.9,32.83,33.72,43067,133.26070038910504,1.337478694610013,0.9425136199595558,0.39496507465045716,80.48821314074043
2018-03-20,33.47,35.33,33.47,35.33,47528,152.0241293180642,1.5629811121456854,1.0666071183967818,0.49637399374890356,84.32628920295839
2018-03-21,35.15,35.15,34.26,34.26,19024,125.5840969013498,1.6364889194782393,1.1805834786130733,0.45590544086516593,73.91947097193801
2018-03-22,33.93,33.93,33.19,33.54,36587,78.16955684007736,1.6179951626079827,1.2680658154120552,0.3499293471959275,67.85144433576123
2018-03-23,33.54,33.76,32.86,33.76,55354,64.75860961473916,1.6026169181927337,1.3349760359681908,0.26764088222454285,68.69701375242975
2018-03-26,33.47,34.97,33.47,34.97,38641,93.25390604587969,1.6688292119620662,1.401746671166966,0.2670825407951003,72.91633511773595
2018-03-27,34.61,34.97,34.61,34.93,21532,99.01922513906524,1.6984960607903226,1.4610965490916372,0.23739951169868534,72.56810851807833
2018-03-28,34.97,34.97,34.61,34.9,9842,89.97061453941464,1.699990075561292,1.5088752543855681,0.19111482117572387,72.2892673586594
2018-03-29,34.26,34.26,34.26,34.26,8241,53.13605660984235,1.6307333626261666,1.533246876033688,0.09748648659247872,66.4253439273511
2018-03-30,34.26,34.51,34.26,34.33,15341,52.06666666666673,1.563472594798057,1.5392920197865618,0.024180575011495176,66.7431037124155
2018-04-02,33.08,34.26,33.08,34.26,17941,6.894118975053748,1.4873740149350283,1.5289084188162552,-0.04153440388122687,66.06970173082372
2018-04-03,33.9,34.26,33.72,34.22,18189,12.981835829173683,1.4076116060402413,1.5046490562610524,-0.09703745022081112,65.66201289555292
2018-04-04,33.9,34.26,33.9,33.9,7926,-9.993425378038966,1.3035514668088197,1.4644295383706059,-0.16087807156178613,62.34749657019276
2018-04-05,33.9,34.65,33.04,34.26,37510,-32.10170838299658,1.2358855290427968,1.418720736505044,-0.18283520746224724,64.51748572036496
2018-04-06,34.29,34.61,34.26,34.54,15410,41.32906224483348,1.1911229221999804,1.3732011736440313,-0.18207825144405088,66.15145513472308
2018-04-09,34.26,34.29,34.26,34.26,24145,11.022873820676187,1.120142271001761,1.3225893931155772,-0.2024471221138162,63.02585809201332
2018-04-10,33.86,34.26,33.86,34.26,39720,-12.107510675709749,1.0517654956071212,1.268424613613886,-0.21665911800676474,63.02585809201332
2018-04-11,33.9,34.26,33.9,34.26,27549,-20.90935418476609,0.9862080163593916,1.211981294162987,-0.22577327780359546,63.02585809201332
2018-04-12,33.29,34.26,33.29,34.26,21352,-89.81481481481389,0.923606481149811,1.154306331560352,-0.23069985041054086,63.02585809201332
2018-04-13,34.26,34.33,34.26,34.33,57148,17.031630170317378,0.8696183099041264,1.0973687272291068,-0.22775041732498047,63.60411995710462
2018-04-16,34.36,36.4,34.26,36.04,74185,290.46504369538053,0.9538199613794021,1.0686589740591659,-0.11483901267976382,74.21370069204664
2018-04-17,35.68,37.36,35.68,36.93,40447,305.47890842029216,1.0799173240864803,1.0709106440646288,0.009006680021851565,77.83519990649026
2018-04-18,37.47,37.47,36.61,37.11,100868,210.4615565760035,1.1807637783545744,1.0928812709226179,0.08788250743195647,78.49307710733146
2018-04-19,36.4,36.4,34.97,36.4,128668,88.30802106387924,1.1896803590107154,1.1122410885402374,0.07743927047047805,69.7046115418812
2018-04-20,36.4,37.11,36.04,37.0,71681,114.82143251053304,1.2309719209605632,1.1359872550243026,0.09498466593626054,72.5061397903717
2018-04-23,36.04,37.79,36.04,37.79,115790,117.15985595741392,1.3123146327906667,1.1712527305775755,0.14106190221309123,75.69330720624028
2018-04-24,37.11,38.0,37.11,38.0,93790,120.34336931136782,1.3778416619135,1.2125705168447605,0.16527114506873963,76.4740242984866
2018-04-26,37.82,38.0,36.68,37.47,52552,89.31663863452331,1.3711994008340866,1.2442962936426256,0.12690310719146103,70.33394407583461
