time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,8.25,8.65,8.25,8.65,3100,,,,,
2018-01-03,8.65,8.65,8.65,8.65,0,,,,,
2018-01-04,9.43,9.43,9.43,9.43,100,,,,,
2018-01-05,8.49,10.14,8.49,10.14,300,,,,,
2018-01-08,9.2,10.77,9.2,10.77,200,,,,,
2018-01-09,10.22,11.63,9.83,11.63,1000,,,,,
2018-01-10,11.63,11.63,11.63,11.63,0,,,,,
2018-01-11,11.79,12.73,11.0,12.5,400,,,,,
2018-01-12,11.79,12.65,11.79,12.65,400,,,,,
2018-01-15,12.73,12.73,11.95,11.95,800,,,,,
2018-01-16,12.5,12.5,12.5,12.5,100,,,,,
2018-01-17,12.65,12.65,12.65,12.65,100,,,,,
2018-01-18,12.65,12.65,12.65,12.65,0,,,,,
2018-01-19,11.55,11.55,11.48,11.48,400,22.258731252318814,,,,
2018-01-22,11.0,11.0,10.53,10.53,3600,-32.72261502203088,,,,62.499999999999986
2018-01-23,11.55,11.55,9.51,9.51,2900,-78.15541837182951,,,,54.534094966083536
2018-01-24,9.83,9.83,9.83,9.83,100,-108.17009877783364,,,,56.411100286985594
2018-01-25,9.83,9.83,9.83,9.83,0,-111.68339560895771,,,,56.411100286985594
2018-01-26,9.83,9.83,9.83,9.83,0,-105.67531274294996,,,,56.41110028698558
2018-01-29,9.83,9.83,9.83,9.83,0,-90.52537045352473,,,,56.411100286985594
2018-01-30,8.88,9.43,8.88,9.04,400,-110.71047008547004,,,,49.6101988952384
2018-01-31,9.04,9.04,9.04,9.04,0,-99.09010698136098,,,,49.61019889523838
2018-02-01,8.17,8.17,8.17,8.17,100,-128.1321948478091,,,,42.99053043153786
2018-02-02,8.96,8.96,8.96,8.96,100,-77.88065251979212,,,,49.5707488835772
2018-02-05,8.96,8.96,8.96,8.96,0,-72.82739858268057,,,,49.57074888357721
2018-02-06,8.1,8.1,8.1,8.1,400,-124.49550856299456,,,,43.265835395614225
2018-02-07,8.1,8.1,8.1,8.1,0,-111.0584518167455,,,,43.265835395614225
