time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-04-05,12.62,12.62,12.62,12.62,1800,,,,,
2018-04-06,13.87,13.87,13.87,13.87,19800,,,,,
2018-04-09,15.26,15.26,15.26,15.26,29800,,,,,
2018-04-10,16.78,16.78,16.78,16.78,57300,,,,,
2018-04-11,18.21,18.45,18.21,18.45,45100,,,,,
2018-04-12,20.16,20.25,20.11,20.25,59900,,,,,
2018-04-13,20.8,20.8,18.26,20.25,53800,,,,,
2018-04-16,18.95,20.29,18.54,20.25,33700,,,,,
2018-04-17,19.88,19.88,18.49,19.65,34400,,,,,
2018-04-18,18.63,19.42,18.58,19.19,33000,,,,,
2018-04-19,19.14,19.23,18.54,19.23,36900,,,,,
2018-04-20,18.72,19.42,18.68,19.37,41500,,,,,
2018-04-23,19.65,19.65,18.77,18.77,32127,,,,,
2018-04-24,18.77,18.82,18.54,18.82,28400,28.511295244298108,,,,
2018-04-26,18.63,18.91,16.97,18.91,48902,-3.188677933097041,,,,82.72632674297607
2018-04-27,18.49,20.76,18.49,20.76,41950,90.11374876360046,,,,85.69250149174567
2018-05-02,19.19,21.73,19.19,21.73,44108,163.58954426197664,,,,86.95714836975978
2018-05-03,19.88,22.61,19.88,22.61,47308,197.7477893828757,,,,87.99396244800677
2018-05-04,22.61,23.99,22.61,23.58,64715,241.23629577793318,,,,89.02920077942667
2018-05-07,23.58,23.72,22.88,23.72,13119,173.0377355158834,,,,89.1742909470649
2018-05-08,23.58,24.13,22.65,23.58,21000,130.57067957249438,,,,87.92206619371773
2018-05-09,23.58,23.58,22.65,23.58,16100,99.62839093273884,,,,87.92206619371774
2018-05-10,24.04,24.04,23.62,23.9,22900,101.01343361241202,,,,88.35553078435188
2018-05-11,23.25,23.72,23.07,23.72,4710,75.92166363819909,,,,86.47551562405478
2018-05-14,23.21,23.76,23.16,23.16,27000,62.291518175338545,,,,80.72093102803377
2018-05-15,22.75,22.75,20.9,22.19,36602,6.640243096842438,,,,71.8072424207189
2018-05-16,21.73,21.77,21.54,21.73,8300,-12.51911617360151,,,,67.97384443804103
2018-05-17,21.31,21.87,21.31,21.68,15400,-28.204657986429417,,,,67.55171185417657
2018-05-18,21.73,21.73,21.73,21.73,9500,-43.58335221693495,,,,67.76728201936943
2018-05-21,21.82,22.01,21.77,21.82,12900,-49.6453900709218,,,,68.17710260687323
2018-05-22,21.73,21.82,20.76,20.76,20900,-107.4944958168208,,,,58.7092513803561
2018-05-23,20.8,21.27,20.8,21.27,24200,-99.75595388369952,,,,61.48089904046458
2018-05-24,22.65,22.88,22.42,22.56,16035,11.316706891928211,,,,67.43528246269234
2018-05-25,23.07,23.07,21.77,22.56,18100,5.450489768208756,1.1454799850948696,1.6633799784012047,-0.5178999933063351,67.43528246269234
2018-05-28,22.88,22.88,21.96,21.96,17550,-4.351554126473941,1.0524280334916476,1.5411895894192933,-0.4887615559276457,62.244944408447566
