time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,12.01,12.01,12.01,12.01,5000,,,,,
2018-01-03,12.01,12.11,12.01,12.11,11000,,,,,
2018-01-04,12.01,12.01,12.01,12.01,3200,,,,,
2018-01-05,12.01,12.01,12.01,12.01,0,,,,,
2018-01-08,12.01,12.01,12.01,12.01,0,,,,,
2018-01-09,12.01,12.01,12.01,12.01,0,,,,,
2018-01-10,12.01,12.01,12.01,12.01,0,,,,,
2018-01-11,12.01,12.01,12.01,12.01,3000,,,,,
2018-01-12,12.01,12.01,12.01,12.01,0,,,,,
2018-01-15,12.01,12.01,12.01,12.01,0,,,,,
2018-01-16,12.01,12.01,12.01,12.01,0,,,,,
2018-01-17,11.72,11.82,11.53,11.82,18400,,,,,
2018-01-18,11.53,11.53,11.53,11.53,3400,,,,,
2018-01-19,11.53,11.53,11.53,11.53,0,-185.81696214662412,,,,
2018-01-22,11.53,11.53,11.53,11.53,0,-134.6768060836518,,,,14.70588235294113
2018-01-23,11.53,11.53,11.53,11.53,0,-106.05348550967935,,,,14.70588235294113
2018-01-24,11.53,11.53,11.53,11.53,0,-87.572373862697,,,,14.70588235294113
2018-01-25,11.53,11.53,11.53,11.53,0,-74.80701754386024,,,,14.705882352941128
2018-01-26,11.05,11.05,11.05,11.05,30000,-174.73420888054983,,,,7.543614617196076
2018-01-29,11.05,11.05,11.05,11.05,0,-147.06572769952993,,,,7.543614617196076
2018-01-30,11.05,11.05,11.05,11.05,0,-131.58742266293734,,,,7.5436146171960745
2018-01-31,11.05,11.05,11.05,11.05,0,-116.66666666666725,,,,7.5436146171960745
2018-02-01,11.05,11.05,11.05,11.05,0,-93.33333333333343,,,,7.5436146171960745
2018-02-02,11.05,11.05,11.05,11.05,0,-77.77777777777756,,,,7.5436146171960745
2018-02-05,11.05,11.05,11.05,11.05,0,-66.6666666666662,,,,7.5436146171960745
2018-02-06,11.05,11.05,11.05,11.05,0,-58.33333333333296,,,,7.543614617196074
2018-02-07,11.05,11.05,11.05,11.05,0,-51.851851851851556,,,,7.543614617196072
2018-02-08,11.05,11.05,11.05,11.05,0,-46.66666666666642,,,,7.543614617196074
