time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,14.0,14.0,14.0,14.0,0,,,,,
2018-01-03,14.0,14.0,14.0,14.0,0,,,,,
2018-01-04,14.0,14.0,14.0,14.0,0,,,,,
2018-01-05,14.0,14.0,14.0,14.0,0,,,,,
2018-01-08,13.5,13.5,13.5,13.5,100,,,,,
2018-01-09,13.5,13.5,13.5,13.5,0,,,,,
2018-01-10,13.5,13.5,13.5,13.5,0,,,,,
2018-01-11,13.5,13.5,13.5,13.5,0,,,,,
2018-01-12,13.5,13.5,13.5,13.5,0,,,,,
2018-01-15,13.5,13.5,13.5,13.5,0,,,,,
2018-01-16,13.5,13.5,13.5,13.5,0,,,,,
2018-01-17,13.5,13.5,13.5,13.5,0,,,,,
2018-01-18,13.5,13.5,13.5,13.5,0,,,,,
2018-01-19,13.5,13.5,13.5,13.5,0,-46.66666666666655,,,,
2018-01-22,13.5,13.5,13.5,13.5,0,-42.42424242424256,,,,0.0
2018-01-23,13.5,13.5,13.5,13.5,0,-38.888888888888815,,,,0.0
2018-01-24,13.5,13.5,13.5,13.5,0,-35.89743589743631,,,,0.0
2018-01-25,13.5,13.5,13.5,13.5,0,0.0,,,,0.0
2018-01-26,13.6,13.7,13.0,13.0,2200,-466.6666666666901,,,,0.0
2018-01-29,13.6,13.6,13.6,13.6,0,204.98442367600978,,,,42.56929899534973
2018-01-30,13.6,13.6,13.6,13.6,0,186.66666666666669,,,,42.56929899534973
2018-01-31,13.6,13.6,13.6,13.6,0,155.55555555556546,,,,42.56929899534973
2018-02-01,13.8,14.0,13.8,14.0,2000,311.1111111111153,,,,57.59861797053294
2018-02-02,13.9,13.9,13.9,14.0,5,203.75586854460187,,,,57.59861797053294
2018-02-05,13.9,13.9,13.9,13.9,0,141.9811320754729,,,,53.53648258329816
2018-02-06,13.9,13.9,13.9,13.9,0,110.08064516129147,,,,53.536482583298174
2018-02-07,13.9,13.9,13.9,13.9,0,88.60759493670888,,,,53.536482583298174
2018-02-08,13.9,13.9,13.9,13.9,0,74.06143344709903,,,,53.536482583298174
2018-02-09,13.9,13.9,13.9,13.9,0,63.529411764705976,,,,53.536482583298174
2018-02-12,13.9,13.9,13.9,13.9,0,55.51724137931046,,,,53.536482583298174
2018-02-13,13.9,13.9,13.9,13.9,0,49.16820702402922,,,,53.53648258329816
2018-02-21,13.9,13.9,13.9,13.9,0,43.933054393305106,,,,53.53648258329816
2018-02-22,13.9,13.9,13.9,13.9,0,38.50385038503807,,,,53.53648258329815
2018-02-23,13.9,13.9,13.9,13.9,0,33.939393939392936,0.07122604629482865,0.04628722141400922,0.02493882488081943,53.53648258329816
2018-02-26,13.9,13.9,13.9,13.9,0,27.450980392154108,0.07154007507098825,0.05133779214540503,0.020202282925583223,53.53648258329816
2018-02-27,13.9,13.9,13.9,13.9,0,-38.888888888907026,0.07097083750164401,0.055264401216652825,0.015706436284991188,53.53648258329815
2018-02-28,13.0,13.0,13.0,13.0,100,-466.6666666666751,-0.0020788026168077067,0.04379576044996072,-0.045874563066768424,21.03969355897076
2018-03-01,13.0,13.0,13.0,13.0,0,-233.33333333333576,-0.059287736582923856,0.0231790610433838,-0.08246679762630765,21.03969355897076
2018-03-02,14.0,14.1,13.1,14.1,111200,1.4583333333322512,-0.01568461947281108,0.015406324940144826,-0.031090944412955904,57.557790810735256
2018-03-05,14.0,14.0,14.0,14.0,0,69.96393611540391,0.010678900992068918,0.014460840150529643,-0.0037819391584607252,55.064554496438866
2018-03-06,14.0,14.5,13.9,14.2,122700,119.09000989119697,0.04716679992048256,0.021002032104520226,0.026164767815962334,58.89919240953627
2018-03-07,14.5,14.5,14.2,14.2,20100,132.76995305164286,0.07521667173139868,0.03184496002989592,0.04337171170150276,58.89919240953627
2018-03-08,14.5,15.0,14.3,15.0,80800,220.30456852791806,0.16015356079429388,0.05750668018277551,0.10264688061151837,70.5556509934581
2018-03-09,13.5,15.0,13.5,15.0,200,125.20325203252028,0.2248744446949189,0.0909802330852042,0.1338942116097147,70.5556509934581
2018-03-12,13.1,13.1,13.1,13.1,117,-137.60683760683716,0.12145206661484131,0.09707459979113162,0.024377466823709698,39.611821331260685
2018-03-13,13.1,13.1,13.1,13.1,0,-107.47037609479706,0.03903906878440999,0.0854674935897873,-0.0464284248053773,39.611821331260685
2018-03-14,14.3,14.3,14.3,14.3,110,66.86361398325974,0.06975208679436484,0.0823244122307028,-0.012572325436337961,54.294562441106706
2018-03-15,12.2,14.3,12.2,14.3,201,-30.33333333333333,0.09302009706661529,0.0844635491978853,0.008556547868729988,54.294562441106706
2018-03-16,15.0,15.0,13.0,13.0,24900,-18.481848184818404,0.006486257854657396,0.06886809092923972,-0.062381833074582324,41.58964390161587
2018-03-19,12.8,12.8,12.8,12.8,100,-113.65638766519774,-0.07733924304194417,0.03962662413500294,-0.11696586717694711,40.037424846665054
2018-03-20,14.3,14.3,14.3,14.3,100,61.818181818182246,-0.022475014478974487,0.027206296412207454,-0.04968131089118194,53.92629438482833
2018-03-21,14.0,16.0,14.0,14.4,43700,110.38107752956634,0.028743113477528226,0.027513659825271607,0.0012294536522566187,54.67994571227723
2018-03-22,14.0,16.5,14.0,16.5,1284,176.2551906379766,0.23606508707903373,0.06922394527602403,0.16684114180300968,66.9180140980495
2018-03-23,14.2,14.2,14.2,14.2,0,11.911514463981703,0.21233084887988163,0.09784532599679555,0.11448552288308608,50.752963029582055
2018-03-26,14.2,14.2,14.2,16.5,18,85.4810081647143,0.37479170671382356,0.15323460214020115,0.2215571045736224,60.91960751233194
2018-03-27,14.8,16.0,14.0,14.0,255300,49.974133471288226,0.298374524598378,0.18226258663183653,0.11611193796654146,49.06326288479496
2018-03-28,14.0,14.0,14.0,14.0,100,-12.49107780157007,0.2351032334868659,0.1928307160028424,0.0422725174840235,49.063262884794966
2018-03-29,14.0,14.0,14.0,14.0,0,-9.009009009008691,0.1828524699836933,0.19083506679901258,-0.007982596815319265,49.063262884794966
2018-03-30,14.0,14.0,14.0,14.0,0,-17.816091954022713,0.1398314732791146,0.18063434809503298,-0.04080287481591838,49.06326288479496
2018-04-02,14.0,14.0,14.0,14.0,0,-28.842592592592368,0.10453204311707687,0.16541388709944177,-0.0608818439823649,49.06326288479496
