time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,2.13,2.13,2.08,2.09,283310,,,,,
2018-01-03,2.09,2.11,2.06,2.07,147020,,,,,
2018-01-04,2.09,2.21,2.06,2.18,725190,,,,,
2018-01-05,2.17,2.2,2.16,2.19,180710,,,,,
2018-01-08,2.21,2.22,2.14,2.15,135030,,,,,
2018-01-09,2.18,2.18,2.08,2.09,435500,,,,,
2018-01-10,2.13,2.18,2.09,2.13,348950,,,,,
2018-01-11,2.13,2.19,2.1,2.13,384070,,,,,
2018-01-12,2.1,2.16,2.1,2.13,140710,,,,,
2018-01-15,2.12,2.14,2.11,2.11,57070,,,,,
2018-01-16,2.11,2.11,2.08,2.09,234730,,,,,
2018-01-17,2.1,2.1,2.06,2.07,192780,,,,,
2018-01-18,2.07,2.19,2.06,2.1,334360,,,,,
2018-01-19,2.1,2.13,2.08,2.08,202650,-67.21014492753679,,,,
2018-01-22,2.08,2.11,2.04,2.06,311490,-123.30383480826053,,,,46.34146341463417
2018-01-23,2.06,2.06,2.06,2.06,0,-137.25490196078493,,,,46.34146341463417
2018-01-24,2.06,2.06,2.06,2.06,0,-112.78640059127866,,,,46.34146341463417
2018-01-25,2.06,2.06,1.92,1.94,878480,-232.21476510067166,,,,33.936018861021935
2018-01-26,1.94,2.0,1.93,1.99,233550,-180.08948545861264,,,,41.02063205379801
2018-01-29,1.99,2.03,1.95,1.95,127740,-138.62745098039244,,,,37.551262117532524
2018-01-30,1.95,1.96,1.82,1.82,256060,-205.37513997760416,,,,28.974364489023586
2018-01-31,1.8,1.85,1.77,1.8,784630,-188.35341365461886,,,,27.917888612337972
2018-02-01,1.8,1.84,1.76,1.8,208280,-150.07418397626137,,,,27.917888612337965
2018-02-02,1.8,1.82,1.75,1.8,103770,-129.8076923076923,,,,27.917888612337972
2018-02-05,1.8,1.8,1.68,1.68,325170,-138.18905472636823,,,,21.926578120405924
2018-02-06,1.57,1.61,1.57,1.57,590810,-164.28334988414423,,,,18.09342503121604
2018-02-07,1.61,1.67,1.6,1.67,214940,-112.52086811352238,,,,30.063131126460725
2018-02-08,1.67,1.7,1.66,1.66,19880,-87.52834467120162,,,,29.59732851663737
2018-02-09,1.61,1.64,1.55,1.58,412390,-111.69848262359268,,,,26.111725319327167
2018-02-12,1.55,1.63,1.55,1.57,184300,-102.4245506951508,,,,25.704228057846034
2018-02-13,1.5,1.54,1.48,1.52,475760,-117.58436944937807,,,,23.711691282975792
2018-02-21,1.53,1.55,1.52,1.54,95710,-93.97293972939701,,,,26.176817816433374
2018-02-22,1.54,1.58,1.51,1.56,243560,-77.7777777777776,,,,28.659394674993404
2018-02-23,1.57,1.59,1.53,1.55,408150,-67.13836477987405,-0.15825057452833047,-0.14976528737021588,-0.008485287158114585,28.149667372644206
2018-02-26,1.55,1.56,1.5,1.5,497740,-83.43328335832064,-0.15841346689667324,-0.15149492327550734,-0.006918543621165896,25.68941434902762
2018-02-27,1.5,1.53,1.49,1.5,283150,-86.4631256099258,-0.15673580744854676,-0.15254310011011524,-0.004192707338431523,25.68941434902761
2018-02-28,1.5,1.56,1.5,1.52,247090,-66.97754749568205,-0.15203979725473205,-0.1524424395390386,0.00040264228430655913,28.584928810413324
2018-03-01,1.53,1.54,1.49,1.49,125550,-84.62549277266737,-0.14902110211992303,-0.1517581720552155,0.0027370699352924632,26.892236876394687
2018-03-02,1.49,1.53,1.49,1.5,238390,-80.96017457719559,-0.14416006060837838,-0.15023854976584808,0.006078489157469696,28.413949491360174
2018-03-05,1.52,1.52,1.49,1.5,233430,-76.6395663956643,-0.13870870260806978,-0.1479325803342924,0.009223877726222629,28.413949491360178
2018-03-06,1.5,1.5,1.49,1.5,85060,-82.30060374960242,-0.13285696967212357,-0.14491745820185864,0.01206048852973507,28.413949491360185
2018-03-07,1.5,1.57,1.5,1.51,207550,-10.07194244604315,-0.12596051828729804,-0.14112607021894652,0.01516555193164848,30.227816775142713
2018-03-08,1.54,1.56,1.53,1.54,113370,56.590509666081644,-0.11672870574035721,-0.13624659732322866,0.019517891582871455,35.507324586518784
2018-03-09,1.56,1.62,1.56,1.6,173370,216.1073825503357,-0.10337923772505775,-0.1296731254035945,0.026293887678536743,44.54517488087606
2018-03-12,1.64,1.71,1.6,1.68,975230,271.31782945736336,-0.08536037545979402,-0.12081057541483439,0.03545019995504037,53.83470566935027
2018-03-13,1.73,1.73,1.65,1.67,178580,207.44820351429325,-0.07106798621538735,-0.11086205757494498,0.039794071359557634,52.64749752396048
2018-03-14,1.66,1.68,1.59,1.6,200720,92.4438393464941,-0.06464439935762867,-0.10161852593148171,0.036974126573853044,45.14276224392116
2018-03-15,1.58,1.63,1.52,1.58,256940,27.270737579339343,-0.06047042789519508,-0.09338890632422439,0.03291847842902931,43.24596932455136
2018-03-16,1.57,1.65,1.5,1.59,117270,26.130873956961118,-0.0557133798503231,-0.08585380102944414,0.030140421179121038,44.50161420262604
2018-03-19,1.58,1.62,1.55,1.59,79970,28.389154704944193,-0.05135143759465066,-0.07895332834248545,0.027601890747834784,44.50161420262604
2018-03-20,1.6,1.61,1.49,1.49,436050,-48.0769230769229,-0.055325967877589255,-0.0742278562495062,0.018901888371916947,35.41458968178176
