time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,17.53,17.79,16.93,17.1,398340,,,,,
2018-01-03,16.93,18.31,16.84,17.96,309450,,,,,
2018-01-04,18.4,18.66,18.22,18.4,492510,,,,,
2018-01-05,18.4,18.57,17.79,17.96,262450,,,,,
2018-01-08,17.71,18.14,17.45,18.14,301800,,,,,
2018-01-09,18.14,19.61,17.71,19.61,578260,,,,,
2018-01-10,20.56,20.81,19.86,20.38,394861,,,,,
2018-01-11,20.38,20.38,19.43,19.78,294040,,,,,
2018-01-12,19.86,20.04,18.83,18.91,452250,,,,,
2018-01-15,18.91,19.26,18.4,19.09,225570,,,,,
2018-01-16,19.09,19.09,18.48,18.74,214300,,,,,
2018-01-17,18.4,19.17,17.36,17.36,349930,,,,,
2018-01-18,17.36,17.96,17.19,17.96,220300,,,,,
2018-01-19,17.96,18.14,17.36,17.45,219100,-75.60162676207075,,,,
2018-01-22,17.62,18.4,17.62,18.14,153360,-47.40334019675157,,,,55.567451820128476
2018-01-23,18.22,19.52,18.14,19.35,429540,36.40695735048863,,,,61.00751662330154
2018-01-24,20.04,20.64,18.83,18.91,479640,71.20799273387802,,,,58.216263820215175
2018-01-25,19.86,19.86,19.0,19.43,454430,60.52213619217805,,,,60.51547115326768
2018-01-26,18.31,18.91,18.14,18.57,343000,-32.9040566645201,,,,55.11399403056173
2018-01-29,17.96,18.57,17.88,18.05,181920,-62.14529612622141,,,,52.08664771581193
2018-01-30,17.53,17.96,17.36,17.79,224250,-94.40916448761071,,,,50.59033467677156
2018-01-31,17.71,17.79,16.93,17.01,393560,-123.31709753965316,,,,46.293741145844834
2018-02-01,17.01,17.27,16.67,17.01,216700,-129.61346633416483,,,,46.29374114584483
2018-02-02,16.93,17.27,16.84,17.19,99350,-103.87236679058304,,,,47.48736582908413
2018-02-05,17.01,17.27,15.55,15.72,282880,-163.52785145888626,,,,39.722873568888176
2018-02-06,14.94,14.94,14.16,14.16,372670,-232.73991183452043,,,,33.46875044185806
2018-02-07,14.25,15.46,14.25,14.77,86010,-152.20831871516015,,,,37.60552473339653
2018-02-08,14.68,14.68,13.82,13.99,122000,-147.27225267554155,,,,34.6396104469514
2018-02-09,13.65,13.9,12.78,13.9,146910,-138.08591852314524,,,,34.30342645066378
2018-02-12,14.08,15.29,14.08,15.2,96650,-70.03035723965954,,,,42.920671059006786
2018-02-13,15.46,15.63,14.77,15.37,132064,-44.988097047054545,,,,43.95592211491231
2018-02-21,15.89,15.89,15.46,15.55,80720,-19.87290583477743,,,,45.09149422087241
2018-02-22,15.11,15.37,14.68,15.03,77650,-41.403043854321844,,,,42.41758621691448
2018-02-23,15.11,15.55,14.6,15.55,82840,-22.164625585865465,-0.9197134987290525,-0.8835313953228101,-0.036182103406242394,45.874125102737814
2018-02-26,15.55,15.89,14.68,14.86,91200,-19.46404114013978,-0.922106377006056,-0.8912463916594593,-0.03085998534659673,42.249957391428204
2018-02-27,15.46,15.46,14.77,15.03,80130,-15.045031981568119,-0.8999115508469426,-0.8929794234969559,-0.006932127349986716,43.4356384867579
2018-02-28,14.68,15.03,14.51,14.68,161900,-39.91191852463503,-0.9001872676641973,-0.8944209923304042,-0.005766275333793147,41.54446003220065
2018-03-01,14.6,14.68,14.34,14.34,79260,-62.8803245436103,-0.9172672478752748,-0.8989902434393783,-0.018277004435896527,39.73457722631448
2018-03-02,14.25,14.51,13.82,14.51,82100,-75.2543817590958,-0.9066345571816701,-0.9005191061878366,-0.006115450993833482,41.11588412835312
2018-03-05,14.51,14.68,13.9,14.08,90614,-79.36996562516006,-0.9222740780663763,-0.9048701005635446,-0.017403977502831736,38.69968029436382
2018-03-06,14.16,14.16,13.9,13.99,100440,-90.32981107909028,-0.9311965052203046,-0.9101353814948966,-0.021061123725408026,38.19376806308228
