time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,7.63,7.75,7.15,7.39,642712,,,,,
2018-01-03,7.39,7.63,7.21,7.57,706688,,,,,
2018-01-04,7.69,7.99,7.69,7.81,468621,,,,,
2018-01-05,7.81,7.81,7.39,7.51,597729,,,,,
2018-01-08,7.51,7.57,7.27,7.39,412910,,,,,
2018-01-09,7.39,7.57,7.33,7.45,781645,,,,,
2018-01-10,7.51,8.18,7.45,8.18,3079948,,,,,
2018-01-11,8.48,8.84,8.24,8.54,1160248,,,,,
2018-01-12,8.6,8.66,7.99,8.05,871654,,,,,
2018-01-15,8.05,8.11,7.75,7.93,921826,,,,,
2018-01-16,7.93,8.11,7.75,7.81,649915,,,,,
2018-01-17,7.81,8.05,7.33,7.45,704271,,,,,
2018-01-18,7.45,7.75,7.27,7.69,630756,,,,,
2018-01-19,7.69,7.69,7.39,7.51,365362,-52.202202202202145,,,,
2018-01-22,7.33,7.75,7.27,7.57,502770,-55.1971326164874,,,,52.52808988764046
2018-01-23,7.69,7.99,7.69,7.87,491231,19.20903954802286,,,,56.47781299524565
2018-01-24,7.99,8.05,7.69,7.69,223810,9.090909090909204,,,,53.59642526608053
2018-01-25,7.81,7.99,7.69,7.75,935586,4.827586206896487,,,,54.4309840076903
2018-01-26,7.75,7.75,7.51,7.63,389200,-54.415422885571964,,,,52.401147996329314
2018-01-29,7.63,7.63,7.45,7.51,336178,-88.78266411727226,,,,50.377943032713176
2018-01-30,7.45,7.45,7.15,7.33,723704,-127.89927104042447,,,,47.42034126082116
2018-01-31,7.27,7.33,6.66,6.66,1257219,-221.7147908073074,,,,38.386629510852394
2018-02-01,6.78,6.84,6.54,6.66,698020,-225.77218353865388,,,,38.386629510852394
2018-02-02,6.66,7.02,6.66,7.02,426545,-126.32696390658184,,,,44.92477928270601
2018-02-05,6.96,6.96,6.36,6.36,632388,-150.01100110011038,,,,37.14293947177394
2018-02-06,5.93,5.93,5.75,5.75,981315,-197.73788572099025,,,,31.68079708377754
