time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,4.5,4.68,4.27,4.27,115400,,,,,
2018-01-03,4.5,4.56,4.2,4.4,51990,,,,,
2018-01-04,4.3,4.5,4.2,4.35,42810,,,,,
2018-01-05,4.3,4.4,4.26,4.35,44910,,,,,
2018-01-08,4.4,4.4,4.21,4.3,65340,,,,,
2018-01-09,4.23,4.3,4.2,4.3,28240,,,,,
2018-01-10,4.39,4.5,4.21,4.3,190850,,,,,
2018-01-11,4.49,4.6,4.45,4.6,243480,,,,,
2018-01-12,4.92,4.92,4.92,4.92,113830,,,,,
2018-01-15,5.25,5.25,4.92,5.19,264300,,,,,
2018-01-16,5.19,5.19,4.83,4.85,142910,,,,,
2018-01-17,4.85,4.95,4.6,4.85,69860,,,,,
2018-01-18,4.64,4.85,4.6,4.73,80990,,,,,
2018-01-19,4.7,4.79,4.69,4.74,46220,41.16526000544481,,,,
2018-01-22,4.78,5.05,4.78,4.99,81920,80.33877797943137,,,,69.56521739130434
2018-01-23,4.99,4.99,4.99,4.99,0,81.14642063898877,,,,69.56521739130434
2018-01-24,4.99,4.99,4.99,4.99,0,73.14229337638469,,,,69.56521739130436
2018-01-25,4.99,4.99,4.68,4.7,79040,13.577586206896784,,,,58.123615198915324
2018-01-26,4.7,4.7,4.65,4.65,49430,-36.344238975817845,,,,56.40119275657104
2018-01-29,4.65,4.89,4.4,4.88,2080,-34.18840579710141,,,,61.982244454827814
2018-01-30,4.85,4.88,4.54,4.75,74640,-54.149590163934896,,,,57.50178105838647
2018-01-31,4.74,4.76,4.5,4.5,38180,-126.21156852527318,,,,50.01436848572709
2018-02-01,4.73,4.73,4.22,4.69,1100,-126.49487941856599,,,,54.82845297157715
2018-02-02,4.45,4.65,4.38,4.6,11110,-119.2819391288501,,,,52.260902318858925
2018-02-05,4.3,4.6,4.28,4.28,34410,-175.55555555555586,,,,44.31480277875085
2018-02-06,3.99,4.56,3.99,3.99,152780,-198.83893614148815,,,,38.588575895482954
2018-02-07,4.2,4.2,3.99,4.07,46750,-172.80617164898732,,,,40.85888963412574
2018-02-08,4.28,4.29,3.82,4.06,8150,-143.85332963886611,,,,40.656558823200356
2018-02-09,3.8,4.0,3.8,4.0,25710,-140.58167756797874,,,,39.395998852823034
2018-02-12,4.0,4.1,4.0,4.0,14520,-96.31040228517013,,,,39.395998852823034
2018-02-13,4.1,4.1,3.95,4.0,14840,-86.00682593856659,,,,39.39599885282303
2018-02-21,4.0,4.12,4.0,4.1,153920,-61.984196663740114,,,,43.07029873856179
2018-02-22,4.15,4.15,4.0,4.1,34590,-51.76987263943805,,,,43.07029873856179
2018-02-23,4.1,4.17,4.1,4.17,32150,-28.456145659958704,-0.13510047628590272,-0.0818870918920091,-0.053213384393893615,45.74092487517241
2018-02-26,4.2,4.2,4.05,4.19,46330,-20.320585636753357,-0.12846943758856977,-0.09120356103132124,-0.03726587655724853,46.51296409009999
2018-02-27,4.19,4.2,4.1,4.1,26290,-16.998542982030447,-0.12898962735460717,-0.09876077429597843,-0.03022885305862874,43.51256609329736
2018-02-28,4.19,4.25,4.09,4.12,102450,8.126814020986666,-0.12633177458036737,-0.10427497435285622,-0.02205680022751115,44.37133372684711
2018-03-01,4.19,4.19,4.19,4.19,1020,65.82278481012689,-0.1172256873688644,-0.10686511695605785,-0.010360570412806552,47.38625361291073
2018-03-02,4.19,4.2,4.0,4.19,13510,38.21478382147747,-0.10875538328727252,-0.10724317022230079,-0.0015122130649717347,47.38625361291073
2018-03-05,3.98,4.19,3.98,4.0,33480,-40.39621016365136,-0.116036422730045,-0.10900182072384963,-0.007034602006195365,40.47999948825862
2018-03-06,4.15,4.15,3.72,3.85,66830,-174.01960784313707,-0.13238440038201738,-0.11367833665548319,-0.01870606372653419,36.01706198686726
2018-03-07,3.86,4.0,3.86,4.0,80,-105.22875816993492,-0.13171817887992088,-0.11728630510037072,-0.014431873779550158,42.807587796782386
2018-03-08,3.91,4.1,3.9,4.1,15090,-43.22344322344336,-0.12171794062181185,-0.11817263220465894,-0.0035453084171529065,46.85688503228162
2018-03-09,4.0,4.09,4.0,4.09,11230,-18.36477987421443,-0.11329361787689152,-0.11719682933910545,0.0039032114622139374,46.5023162372776
2018-03-12,3.92,4.0,3.9,3.9,22480,-132.80994438992428,-0.12055896481033646,-0.11786925643335165,-0.0026897083769848035,40.26754486102904
2018-03-13,4.12,4.12,3.8,3.98,42700,-84.47204968944125,-0.11849553047260475,-0.11799451124120228,-0.000501019231402472,43.690852798745865
2018-03-14,3.91,3.91,3.76,3.76,60160,-165.06110711718188,-0.13307836077241397,-0.12101128114744461,-0.012067079624969362,37.351299034126285
2018-03-15,3.98,4.0,3.9,3.9,15160,-66.57203690560638,-0.1318190014828362,-0.12317282521452293,-0.00864617626831328,43.017591746292254
2018-03-16,3.97,3.97,3.89,3.89,25560,-66.99916874480515,-0.1301278339313683,-0.124563826957892,-0.005564006973476282,42.720371354421424
2018-03-19,3.91,3.91,3.73,3.9,21310,-101.25473484848499,-0.1265221860328518,-0.12495549877288396,-0.00156668725996785,43.14342736402484
2018-03-20,3.9,3.9,3.65,3.85,15180,-122.56775321593578,-0.12624400393534918,-0.125213199805377,-0.0010308041299721682,41.49325296029472
2018-03-21,3.86,4.0,3.8,3.9,39330,-41.22647237401368,-0.12059877290243026,-0.12429031442478766,0.0036915415223574,43.80785073003139
2018-03-22,3.98,3.98,3.8,3.9,11560,-38.86743886743908,-0.11480152610567096,-0.12239255676096432,0.00759103065529336,43.80785073003139
2018-03-23,3.76,3.89,3.74,3.81,24130,-111.29032258064449,-0.11613073130928564,-0.12114019167062859,0.005009460361342949,40.46589565591169
2018-03-26,3.8,3.84,3.56,3.56,27250,-205.46352804417316,-0.13579172420317942,-0.12407049817713875,-0.011721226026040671,32.947103445556635
2018-03-27,3.52,3.8,3.52,3.79,42440,-128.05955084531956,-0.1313005736305528,-0.12551651326782157,-0.0057840603627312415,43.371815633523994
2018-03-28,3.79,3.79,3.79,3.79,3890,-53.932584269662264,-0.12628556308355998,-0.12567032323096924,-0.0006152398525907377,43.371815633524
2018-03-29,3.7,3.79,3.54,3.6,62840,-147.11992445703547,-0.13607396720675835,-0.12775105202612708,-0.008322915180631274,37.749075841238586
2018-03-30,3.6,3.69,3.48,3.48,26600,-175.49857549857524,-0.15176489388781977,-0.1325538203984656,-0.019211073489354163,34.69021511020582
