time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,22.69,23.34,22.47,23.34,1991730,,,,,
2018-01-03,23.55,23.58,23.07,23.28,1691120,,,,,
2018-01-04,23.44,23.74,23.17,23.34,1699280,,,,,
2018-01-05,23.34,23.34,22.69,22.96,2636900,,,,,
2018-01-08,22.96,23.34,22.66,23.12,1721420,,,,,
2018-01-09,23.34,23.66,23.12,23.5,1529800,,,,,
2018-01-10,23.5,24.17,23.5,23.66,2273020,,,,,
2018-01-11,23.5,23.61,23.17,23.5,1242500,,,,,
2018-01-12,23.44,23.61,22.88,22.96,2296800,,,,,
2018-01-15,22.74,23.01,22.58,22.98,1610610,,,,,
2018-01-16,22.93,23.31,22.8,22.98,1149990,,,,,
2018-01-17,22.98,23.31,22.15,22.15,1737460,,,,,
2018-01-18,21.9,22.36,21.66,22.36,1611730,,,,,
2018-01-19,22.42,22.63,22.15,22.15,1152120,-144.2113125551714,,,,
2018-01-22,22.15,22.74,22.15,22.58,1129770,-88.74068733477603,,,,39.444444444444414
2018-01-23,22.58,22.58,22.58,22.58,0,-61.32244803427765,,,,39.444444444444414
2018-01-24,22.58,22.58,22.58,22.58,0,-52.25672877846879,,,,39.44444444444442
2018-01-25,22.9,23.39,22.71,22.71,2327770,10.63651591289723,,,,42.05775037745347
2018-01-26,22.74,22.85,22.47,22.58,945140,-37.32335827098901,,,,40.18991731868375
2018-01-29,22.58,22.85,22.31,22.36,1367070,-51.53429027113124,,,,37.18057153821503
2018-01-30,22.69,22.9,22.36,22.42,2155910,-32.571546221947585,,,,38.53237838373013
2018-01-31,22.42,23.77,22.31,23.04,2804390,103.71105753320978,,,,50.40802327109786
2018-02-01,23.04,23.47,22.85,23.04,1120050,128.01530368244804,,,,50.40802327109786
2018-02-02,23.07,23.31,22.74,23.07,924850,95.08372404554673,,,,50.939932913359485
2018-02-05,22.96,22.96,21.47,21.47,2202850,-168.38878369849365,,,,31.52142939725114
2018-02-06,20.09,20.93,19.99,20.26,4166260,-319.89307077444187,,,,24.05368978961529
2018-02-07,21.07,21.12,20.53,20.69,1101160,-185.30319426075076,,,,30.367120072284347
2018-02-08,20.53,20.8,20.26,20.26,700370,-156.75837679074482,,,,27.87189412893168
2018-02-09,19.23,20.15,19.23,20.09,1182310,-152.69789679455508,,,,26.92977851554143
2018-02-12,20.2,20.8,20.2,20.8,1053670,-81.18161925601773,,,,36.57268886505632
2018-02-13,21.12,21.47,20.91,21.45,722310,-32.40450778636973,,,,43.87505084525
2018-02-21,21.77,21.77,20.42,21.45,803420,-29.784596311792953,,,,43.87505084525
2018-02-22,21.34,21.45,21.07,21.09,848920,-25.00639996276385,,,,40.85385673804087
2018-02-23,21.39,21.53,21.18,21.5,809150,-6.443618339528813,-0.5154604139739831,-0.5531515113520192,0.03769109737803611,45.46004623727414
2018-02-26,21.61,21.99,21.55,21.61,1291820,23.347865199639823,-0.4615262778824416,-0.5348264646581037,0.07330018677566208,46.66026317256963
2018-02-27,21.61,21.88,21.5,21.58,876120,30.62740159514301,-0.41640379202288713,-0.5111419301310604,0.09473813810817322,46.36061788403164
2018-02-28,21.72,21.95,21.55,21.67,1024770,55.19081932212469,-0.36912658752297745,-0.4827388616094438,0.11361227408646635,47.45088180417146
2018-03-01,21.44,21.58,20.99,21.16,1344790,18.889117183754454,-0.36856323257264023,-0.4599037358020831,0.09134050322944287,42.214601167162336
2018-03-02,20.85,21.1,20.82,20.99,1363310,-9.009278659083582,-0.3774829603742553,-0.44341958071651755,0.06593662034226222,40.60605740894083
2018-03-05,20.99,21.72,20.99,21.22,1563660,34.63526550017926,-0.3618219726362142,-0.4271000591004569,0.06527808646424271,43.730052189617716
2018-03-06,21.47,21.58,21.16,21.44,618330,43.19027680855997,-0.32787878312480245,-0.407255803905326,0.07937702078052356,46.62212329923872
2018-03-07,21.38,21.64,20.99,21.1,736380,9.591807298427646,-0.32467111290218753,-0.3907388657046983,0.06606775280251076,42.948291519326595
2018-03-08,21.22,21.33,21.1,21.27,397470,-21.714608009024065,-0.30489677169754614,-0.37357044690326785,0.06867367520572171,45.27051117961222
2018-03-09,21.27,21.81,21.27,21.72,1545820,84.52202202202069,-0.2500320112472174,-0.3488627597720578,0.09883074852484036,50.960705907293345
2018-03-12,21.78,22.51,21.78,22.45,2034170,216.17928395736706,-0.14596381418502347,-0.30828297065465093,0.16231915646962747,58.49879804825342
2018-03-13,22.51,22.57,22.2,22.45,1187080,187.23281340265842,-0.06276549666695175,-0.2591794758571111,0.19641397919015935,58.49879804825342
2018-03-14,22.4,23.13,22.34,22.96,2362580,200.8521566567446,0.04381740733343875,-0.19858009921900113,0.24239750655243988,63.09518842484444
2018-03-15,22.96,23.33,22.74,23.13,1825010,174.61074038767046,0.14038444143820783,-0.13078719108755935,0.27117163252576715,64.50632993869027
2018-03-16,23.13,23.13,22.51,22.62,1958180,104.27883689582154,0.1737587907631628,-0.06987799471741492,0.2436367854805777,57.413674577633245
2018-03-19,22.62,22.74,22.17,22.17,1359300,51.23260655198839,0.16202919219139744,-0.023496557335652445,0.1855257495270499,51.982534596996445
2018-03-20,22.0,22.45,21.95,22.12,813900,27.32653318221883,0.14700424525122102,0.010603603181722251,0.13640064206949876,51.400716799058586
2018-03-21,22.34,22.34,21.67,21.95,1675000,2.1353983339202,0.11999604756018556,0.03248209205741491,0.08751395550277065,49.377142724612185
2018-03-22,21.95,22.23,21.75,21.78,911920,-15.17843228923196,0.08390704882720712,0.04276708341137335,0.04113996541583377,47.3688480438829
2018-03-23,20.99,21.38,20.77,21.22,2518560,-114.71526195899871,0.010003621913025285,0.036214391111703735,-0.02621076919867845,41.39597375054602
2018-03-26,21.1,21.33,21.1,21.22,791450,-98.81376037959713,-0.048011924779430615,0.01936912793347686,-0.06738105271290748,41.39597375054601
2018-03-27,21.38,21.64,21.33,21.38,760560,-73.62000609942082,-0.0801550234726136,-0.0005357023477412341,-0.07961932112487237,43.74637696412464
2018-03-28,21.38,21.83,21.33,21.72,656670,-57.704706640877,-0.07730240822114709,-0.015889043522422406,-0.06141336469872469,48.47541730575092
2018-03-29,21.92,21.92,21.27,21.27,701180,-74.34189660640655,-0.11008395002446036,-0.034728024822829995,-0.07535592520163037,43.288457195149086
2018-03-30,21.27,21.44,21.1,21.22,471800,-89.89898989899001,-0.13850158021195824,-0.055482735900655646,-0.0830188443113026,42.74121398854479
2018-04-02,21.22,21.5,21.22,21.5,780060,-61.634103019538166,-0.13685155736499155,-0.07175650019352282,-0.06509505717146873,46.79736507360399
2018-04-03,21.53,22.23,21.53,22.23,1725110,21.24833997343998,-0.07576562428130273,-0.07255832501107881,-0.0032072992702239234,55.623567525955586
2018-04-04,22.51,22.62,21.98,22.12,997840,72.34848484848436,-0.03581777785640128,-0.06521021558014331,0.029392437723742032,54.16536801010928
2018-04-05,22.17,22.34,21.98,22.03,719060,67.26152538772078,-0.011290914955335296,-0.05442635545518171,0.04313544049984641,52.94245189420198
2018-04-06,22.03,22.57,22.0,22.2,1360090,95.44863459037742,0.021615213129035027,-0.03921804173833836,0.060833254867373385,55.00875521878662
2018-04-09,22.2,22.34,22.06,22.14,762360,81.29870129870169,0.042363715609621266,-0.022901690268746434,0.0652654058783677,54.105739870113744
2018-04-10,22.14,22.62,22.14,22.45,2169530,107.74774774774842,0.0828662321900282,-0.0017481057769915057,0.0846143379670197,57.94685173888758
2018-04-11,22.74,22.74,21.67,21.67,1612660,42.30995875073707,0.051432406351999305,0.008887996648806656,0.04254440970319265,47.234687522412706
2018-04-12,21.55,22.0,21.47,21.72,776530,-15.445544554455319,0.03020724472559877,0.01315184626416508,0.01705539846143369,47.89957586698248
2018-04-13,21.95,21.95,21.47,21.47,1284990,-42.89479990414565,-0.006709417457198441,0.009179593519892375,-0.015889010977090817,44.85605706666942
