time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,2.4,2.5,2.4,2.5,844970,,,,,
2018-01-03,2.7,2.7,2.4,2.5,1344860,,,,,
2018-01-04,2.4,2.5,2.3,2.4,1076489,,,,,
2018-01-05,2.3,2.5,2.3,2.3,934860,,,,,
2018-01-08,2.3,2.6,2.3,2.6,1953070,,,,,
2018-01-09,2.9,2.9,2.7,2.9,3392536,,,,,
2018-01-10,2.9,3.1,2.9,3.0,2053710,,,,,
2018-01-11,3.0,3.0,2.8,3.0,1237960,,,,,
2018-01-12,2.9,3.0,2.7,2.8,1697358,,,,,
2018-01-15,2.9,3.2,2.7,3.2,2332450,,,,,
2018-01-16,3.2,3.4,3.2,3.4,2972100,,,,,
2018-01-17,3.5,3.9,3.5,3.8,5665860,,,,,
2018-01-18,3.7,3.7,3.3,3.6,1863360,,,,,
2018-01-19,3.6,4.0,3.5,3.9,2170119,145.1219512195123,,,,
2018-01-22,3.9,3.9,3.3,3.6,2689270,93.25529542920852,,,,68.96551724137932
2018-01-23,3.5,3.9,3.5,3.8,1806310,94.87179487179483,,,,71.11111111111111
2018-01-24,3.8,3.9,3.6,3.7,584530,81.56424581005601,,,,68.55887200146495
2018-01-25,3.7,3.7,3.4,3.4,1540918,36.842105263158,,,,61.43515304512464
2018-01-26,3.4,3.5,3.2,3.4,1375920,2.569750367107282,,,,61.43515304512464
2018-01-29,3.3,3.7,3.3,3.6,1276755,31.111111111111214,,,,64.30298147770088
2018-01-30,3.6,3.6,3.4,3.5,2152500,16.31701631701638,,,,61.827290377983545
2018-01-31,3.4,3.5,3.3,3.4,1077604,-24.561403508771996,,,,59.3658641567347
2018-02-01,3.4,3.4,3.1,3.1,949000,-120.00000000000009,,,,52.60034483789323
2018-02-02,3.1,3.3,3.0,3.2,880560,-145.4545454545454,,,,54.46324611987852
2018-02-05,3.1,3.1,2.7,2.9,1426880,-198.59894921190863,,,,48.326903922577934
2018-02-06,2.8,2.8,2.5,2.6,2332270,-206.41025641025607,,,,43.09760071123281
2018-02-07,2.7,2.8,2.6,2.8,534510,-136.6895499618611,,,,47.1995115488094
2018-02-08,3.1,3.1,2.9,3.0,1470900,-64.07322654462237,,,,51.00322519163968
2018-02-09,2.9,3.0,2.6,2.9,737327,-86.30490956072347,,,,49.098666929653994
2018-02-12,2.9,3.0,2.7,2.9,749930,-68.8346883468834,,,,49.09866692965399
2018-02-13,3.0,3.0,2.7,3.0,827920,-51.461988304093595,,,,51.21158519460627
2018-02-21,3.0,3.1,2.9,3.0,365790,-19.981583793738423,,,,51.21158519460627
2018-02-22,3.0,3.1,2.9,3.0,1249710,-14.227642276422715,,,,51.21158519460626
2018-02-23,3.0,3.1,2.9,3.0,424110,-3.617571059431513,0.0017922068846494277,0.06652868503166227,-0.06473647814701285,51.21158519460627
2018-02-26,3.0,3.1,2.9,3.0,777574,12.52032520325199,-0.003753733285600802,0.05247220136820966,-0.05622593465381046,51.21158519460627
2018-02-27,2.9,3.0,2.8,2.9,514410,-22.222222222222143,-0.016033273495505096,0.03877110639546671,-0.054804379890971804,48.306981667094604
2018-02-28,2.9,3.0,2.8,2.9,1083525,-11.666666666666927,-0.025471280514711925,0.02592262901343098,-0.051393909528142906,48.306981667094604
2018-03-01,2.8,2.9,2.8,2.9,384200,-24.56140350877184,-0.032575459455518097,0.014223011319641165,-0.046798470775159265,48.3069816670946
2018-03-02,2.9,2.9,2.8,2.9,871716,-21.93732193732186,-0.03777018130993337,0.003824372793726256,-0.04159455410365963,48.306981667094604
2018-03-05,2.8,2.9,2.7,2.7,484700,-129.75609756097518,-0.05736410662253855,-0.008413323089526706,-0.04895078353301184,41.91217308104889
2018-03-06,2.8,2.8,2.7,2.7,338020,-161.6260162601629,-0.07206175059540554,-0.02114300859070247,-0.05091874200470307,41.9121730810489
2018-03-07,2.7,2.8,2.7,2.7,663640,-135.4838709677423,-0.08275578219129365,-0.033465563310820706,-0.04929021888047294,41.9121730810489
2018-03-08,2.7,2.8,2.7,2.7,232530,-117.64705882352969,-0.09019121113745898,-0.04481069287614836,-0.04538051826131062,41.91217308104889
2018-03-09,2.7,2.8,2.7,2.7,348630,-98.24561403508797,-0.09498886958659192,-0.054846328218237074,-0.040142541368354843,41.912173081048884
2018-03-12,2.7,2.8,2.6,2.7,236440,-99.55555555555483,-0.0976652245585723,-0.06341010748630412,-0.03425511707226818,41.9121730810489
2018-03-13,2.7,2.7,2.6,2.6,348810,-119.99999999999982,-0.10662629783224897,-0.07205334555549309,-0.034572952276755886,37.989686545011594
2018-03-14,2.7,2.9,2.7,2.9,550040,13.333333333333593,-0.0885003432992919,-0.07534274510425285,-0.01315759819503906,52.386269655998376
2018-03-15,2.8,2.9,2.7,2.8,326100,0.0,-0.08126775392675478,-0.07652774686875323,-0.004740007058001552,48.356212477584
2018-03-16,2.8,2.9,2.7,2.8,399417,14.285714285714663,-0.07467506705167049,-0.07615721090533668,0.0014821438536661985,48.356212477583995
