time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,39.03,39.03,36.9,38.45,880,,,,,
2018-01-03,38.45,38.45,35.79,35.79,10100,,,,,
2018-01-04,38.06,38.06,35.79,35.79,6690,,,,,
2018-01-05,37.43,37.43,35.74,36.61,5880,,,,,
2018-01-08,36.61,36.61,35.74,35.74,1480,,,,,
2018-01-09,35.74,35.84,33.28,34.78,24260,,,,,
2018-01-10,32.84,33.71,32.36,33.62,25980,,,,,
2018-01-11,33.81,33.81,31.3,32.7,15290,,,,,
2018-01-12,32.75,34.92,32.7,34.2,2090,,,,,
2018-01-15,32.84,32.84,31.83,31.83,11390,,,,,
2018-01-16,30.24,32.07,29.61,31.35,8180,,,,,
2018-01-17,31.35,31.88,29.95,31.64,2950,,,,,
2018-01-18,32.36,32.36,31.68,31.68,60,,,,,
2018-01-19,31.68,31.68,29.51,31.2,25590,-99.3119437588812,,,,
2018-01-22,29.03,29.03,29.03,29.03,12690,-137.05301693142428,,,,18.00271739130434
2018-01-23,29.03,29.03,29.03,29.03,0,-120.96479044028477,,,,18.00271739130434
2018-01-24,29.03,29.03,29.03,29.03,0,-109.03024394772885,,,,18.002717391304337
2018-01-25,27.0,29.85,27.0,29.85,15440,-101.37820094778473,,,,23.336654146641557
2018-01-26,28.98,28.98,27.77,27.77,25750,-116.00000000000001,,,,19.815482339171176
2018-01-29,28.74,28.74,26.85,28.5,8260,-104.536609925025,,,,24.141582903543526
2018-01-30,26.56,27.63,26.52,26.52,30580,-125.7404635551323,,,,20.85500846176567
2018-01-31,26.08,26.95,25.12,26.56,8020,-130.75961829748576,,,,21.088728665425947
2018-02-01,26.56,27.97,24.73,27.72,106700,-103.34067627792682,,,,27.751913344926866
2018-02-02,25.79,27.0,25.79,25.79,9180,-115.94578222020311,,,,24.10493796496875
2018-02-05,25.6,25.79,24.01,24.01,26520,-151.99767543222433,,,,21.32193373346504
2018-02-06,22.36,23.28,22.36,23.28,30810,-173.5975797987285,,,,20.287451844607382
2018-02-07,24.58,24.58,23.18,23.96,3110,-120.38834951456343,,,,23.987050581620924
2018-02-08,23.96,24.63,23.96,24.54,3040,-90.66771715580094,,,,27.09510341453047
2018-02-09,24.54,26.23,24.54,26.23,12480,-33.30910500557272,,,,35.38548112995906
2018-02-12,28.01,28.06,26.28,27.24,1330,37.14707121786743,,,,39.79195782187686
