time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,12.79,12.79,12.63,12.63,500,,,,,
2018-01-03,12.79,12.79,12.79,12.79,4400,,,,,
2018-01-04,12.55,12.71,11.19,11.19,26700,,,,,
2018-01-05,12.07,13.18,11.59,11.67,24000,,,,,
2018-01-08,11.67,11.67,11.35,11.35,1700,,,,,
2018-01-09,11.59,11.91,11.59,11.91,8600,,,,,
2018-01-10,11.83,13.26,11.83,13.26,80100,,,,,
2018-01-11,15.02,15.1,14.78,14.86,35200,,,,,
2018-01-12,14.86,14.86,13.42,13.58,6600,,,,,
2018-01-15,13.58,14.38,12.47,14.22,18700,,,,,
2018-01-16,14.3,14.3,12.71,12.79,2800,,,,,
2018-01-17,12.94,12.94,11.59,12.86,11100,,,,,
2018-01-18,12.63,12.63,12.63,12.63,0,,,,,
2018-01-19,12.47,13.66,12.47,13.58,13500,39.072274083341384,,,,
2018-01-22,13.58,13.58,12.71,12.71,3900,14.495657982631869,,,,50.34662045060659
2018-01-23,13.34,13.58,12.79,12.79,3600,17.456140350877163,,,,50.71456927352123
2018-01-24,12.39,12.39,12.15,12.23,3500,-63.09192200557101,,,,48.031408767075746
2018-01-25,12.79,12.79,11.99,11.99,9100,-64.60021134202195,,,,46.88650323402622
2018-01-26,12.31,12.31,12.23,12.31,4000,-74.28277370384663,,,,48.644252026915964
2018-01-29,12.79,12.94,12.79,12.79,12100,-24.853439022376893,,,,51.250399101456914
2018-01-30,12.39,12.39,11.91,12.39,3000,-88.62964691242836,,,,49.01801451421661
2018-01-31,13.58,13.58,11.99,12.79,1400,-10.101010101010328,,,,51.30237293428911
2018-02-01,12.07,12.07,11.99,11.99,2400,-113.61611466201867,,,,46.787059222977085
2018-02-02,12.39,12.39,11.99,11.99,700,-86.38799571275452,,,,46.78705922297708
2018-02-05,11.67,11.67,11.67,11.67,200,-146.31182403694262,,,,44.951680201602294
2018-02-06,11.19,11.19,11.19,11.19,1000,-178.51829513470045,,,,42.27289467002059
2018-02-07,11.99,11.99,11.83,11.99,2600,-60.56514128532127,,,,47.850822736999675
2018-02-08,11.83,11.83,11.83,11.83,1000,-71.20843471208417,,,,46.875268155710195
2018-02-09,12.79,12.79,12.79,12.79,1200,98.62955935062152,,,,53.05899730980155
2018-02-12,12.79,12.79,12.79,12.79,1400,106.65406427221178,,,,53.05899730980155
2018-02-13,12.79,12.79,12.79,12.79,100,90.57360609707187,,,,53.05899730980155
2018-02-21,11.59,11.59,11.59,11.59,600,-93.24665944384306,,,,44.89956561809004
2018-02-22,11.99,11.99,11.83,11.83,1200,-43.1189903846154,,,,46.66608739807623
2018-02-23,12.79,12.79,12.79,12.79,100,91.72730948049318,-0.14097148726962594,-0.22074804427729214,0.0797765570076662,53.13795841814345
2018-02-26,13.1,13.1,12.79,12.79,490,89.26767676767687,-0.09104309641328179,-0.19480705470449006,0.10376395829120827,53.13795841814346
2018-02-27,11.27,11.83,11.19,11.83,2100,-71.94952562563259,-0.12746907968636556,-0.18133945970086515,0.05387038001449959,46.58229488262414
2018-02-28,12.86,12.86,11.35,11.35,1100,-36.93418494862549,-0.19284591467597423,-0.18364075069588698,-0.00920516398008725,43.680579135924425
2018-03-01,12.39,12.39,12.39,12.39,1000,32.087600301458735,-0.15890644448634106,-0.1786938894539778,0.019787444967636736,50.827702408636675
2018-03-02,12.63,12.63,12.63,12.63,100,54.337050805452414,-0.11135949269119827,-0.16522701010142188,0.05386751741022361,52.33108979332538
2018-03-05,12.63,12.63,12.63,12.63,0,46.17073292421303,-0.0728385533338507,-0.14674931874790764,0.07391076541405694,52.33108979332538
