time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-11-12,7.35,7.35,7.35,7.35,31200,,,,,
2018-11-13,8.44,8.44,8.44,8.44,14800,,,,,
2018-11-14,8.44,8.44,8.44,8.44,0,,,,,
2018-11-15,8.44,8.44,8.44,8.44,0,,,,,
2018-11-16,9.67,9.67,7.21,7.26,3300,,,,,
2018-11-19,8.79,8.79,8.79,8.79,0,,,,,
2018-11-20,8.79,8.79,8.79,8.79,0,,,,,
2018-11-21,8.79,8.79,8.79,8.79,0,,,,,
2018-11-22,8.79,7.26,7.26,7.26,0,,,,,
2018-11-23,8.79,7.26,7.26,7.26,0,,,,,
2018-11-26,8.79,7.26,7.26,7.26,0,,,,,
2018-11-27,8.59,8.59,8.39,8.39,3600,,,,,
2018-11-28,7.9,8.14,7.9,8.09,3600,,,,,
2018-11-29,7.9,7.9,7.9,7.9,2000,-25.300442757748314,,,,
2018-11-30,7.65,7.65,7.65,7.65,1500,-64.08985794516022,,,,52.083333333333336
2018-12-03,7.65,7.65,7.65,7.65,1500,-56.08562691131507,,,,52.083333333333336
2018-12-04,7.65,7.65,7.65,7.65,0,-48.430789560621264,,,,52.08333333333335
2018-12-05,7.4,7.5,7.3,7.45,7200,-70.71408330971965,,,,50.336954396598074
2018-12-06,7.4,7.45,7.45,7.45,0,-58.27729747038122,,,,50.33695439659809
2018-12-07,7.26,7.4,7.26,7.4,5100,-64.82986352965466,,,,49.85229764392321
2018-12-10,7.4,7.4,7.4,7.4,52000,-53.29468599033822,,,,49.85229764392321
2018-12-11,7.35,7.35,7.35,7.35,1000,-56.78073510773189,,,,49.301769900288186
2018-12-12,7.35,7.35,7.3,7.3,4000,-66.93203218626965,,,,48.72233215510981
2018-12-13,7.4,7.4,7.4,7.4,2500,-50.09731068648244,,,,49.98832244091487
2018-12-14,7.4,7.4,7.4,7.4,0,-54.52132527915059,,,,49.988322440914864
2018-12-17,7.4,7.4,7.4,7.4,0,-47.17909882620211,,,,49.98832244091487
2018-12-18,7.4,7.4,7.4,7.4,2000,-40.950420312232005,,,,49.98832244091487
2018-12-19,7.4,7.4,7.3,7.3,5000,-78.6497259591437,,,,48.381670864179114
2018-12-20,7.35,7.35,7.35,7.35,2600,-65.69908079342217,,,,49.25980321484463
2018-12-21,7.4,7.4,7.4,7.4,2500,-2.1341463414639072,,,,50.17267191653655
2018-12-24,7.4,7.4,7.4,7.4,0,35.73806881243018,,,,50.17267191653655
2018-12-25,7.35,7.35,7.35,7.35,4000,-61.24367317426278,,,,49.14719873748034
2018-12-26,7.4,7.4,7.35,7.35,7700,-15.20467836257346,,,,49.147198737480345
