time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,3.39,3.55,3.39,3.5,2800,,,,,
2018-01-03,3.39,3.45,3.29,3.29,11400,,,,,
2018-01-04,3.29,3.34,3.18,3.18,14000,,,,,
2018-01-05,3.29,3.34,3.24,3.34,13300,,,,,
2018-01-08,3.18,3.29,3.18,3.29,23400,,,,,
2018-01-09,3.45,3.45,3.29,3.29,10300,,,,,
2018-01-10,3.39,3.39,3.29,3.34,15220,,,,,
2018-01-11,3.34,3.39,3.34,3.39,13900,,,,,
2018-01-12,3.34,3.34,3.34,3.34,5040,,,,,
2018-01-15,3.39,3.39,3.39,3.39,1000,,,,,
2018-01-16,3.39,3.39,3.39,3.39,0,,,,,
2018-01-17,3.39,3.39,3.29,3.29,10100,,,,,
2018-01-18,3.39,3.39,3.39,3.39,180,,,,,
2018-01-19,3.34,3.34,3.24,3.24,5600,-99.3055555555555,,,,
2018-01-22,3.34,3.45,3.34,3.45,27720,121.96969696969735,,,,48.062015503875976
2018-01-23,3.45,3.45,3.39,3.39,49530,99.99999999999976,,,,45.769449176604205
2018-01-24,3.5,3.5,3.39,3.39,23100,108.69565217391326,,,,45.769449176604205
2018-01-25,3.39,3.39,3.34,3.39,41900,21.70542635658962,,,,45.76944917660421
2018-01-26,3.5,3.5,3.29,3.45,30900,82.46318607764411,,,,48.81864793813164
2018-01-29,3.34,3.39,3.34,3.39,6900,-0.5089058524171103,,,,46.03136984343742
2018-01-30,3.34,3.45,3.34,3.39,7500,35.856269113148365,,,,46.03136984343742
2018-01-31,3.5,3.5,3.39,3.39,19195,95.32976827094576,,,,46.03136984343742
2018-02-01,3.34,3.39,3.34,3.39,25820,-23.747534516765647,,,,46.03136984343741
2018-02-02,3.39,3.39,3.34,3.39,25510,-20.66822066822101,,,,46.0313698434374
2018-02-05,3.34,3.39,3.34,3.34,17100,-51.04166666666686,,,,43.06349233660335
2018-02-06,3.29,3.39,3.24,3.39,14400,-93.76693766937774,,,,46.76018459101816
2018-02-07,3.24,3.39,3.24,3.39,13549,-80.67104303428314,,,,46.76018459101816
2018-02-08,3.29,3.34,3.29,3.29,8800,-168.30601092896367,,,,40.63986511417204
2018-02-09,3.39,3.39,3.24,3.39,7000,-82.68608414239507,,,,47.97332070203629
2018-02-12,3.34,3.39,3.34,3.39,660,3.131991051452974,,,,47.97332070203628
2018-02-13,3.18,3.18,3.18,3.18,60000,-306.23694419576606,,,,36.87741181928542
2018-02-21,3.39,3.39,3.29,3.39,1200,5.982905982904568,,,,49.46494263756134
2018-02-22,3.39,3.39,3.39,3.39,2500,71.08167770419338,,,,49.46494263756134
2018-02-23,3.39,3.45,3.39,3.45,9300,127.49562171628624,0.013285341933016781,0.01663314116488637,-0.003347799231869588,52.59722454617864
2018-02-26,3.45,3.45,3.39,3.39,2400,89.02195608782367,0.013454405875966469,0.015997394107102388,-0.002542988231135919,49.30603537494199
2018-02-27,3.39,3.45,3.34,3.45,32700,98.05289160127853,0.018219861604761967,0.016441887606634304,0.0017779739981276625,52.50647131659329
2018-02-28,3.45,3.45,3.39,3.39,9310,82.75862068965414,0.01695952222869268,0.01654541453104598,0.0004141076976467012,49.16387687041256
2018-03-01,3.39,3.39,3.39,3.39,5500,47.29981378025964,0.01577880593999259,0.016392092812835303,-0.0006132868728427124,49.16387687041256
2018-03-02,3.39,3.39,3.34,3.34,4000,-4.841713221602452,0.01068532387972887,0.015250739026214016,-0.004565415146485147,46.31433892362067
2018-03-05,3.45,3.45,3.45,3.45,100,118.03118908382093,0.01534786273416966,0.015270163767805146,7.769896636451376e-05,52.79636967677346
2018-03-06,3.34,3.39,3.34,3.39,16300,5.017921146952866,0.014039619811191173,0.015024054976482352,-0.0009844351652911788,49.29980751082642
2018-03-07,3.34,3.34,3.34,3.34,18000,-52.365236523653614,0.0088660435061656,0.013792452682419002,-0.004926409176253402,46.534065737369886
2018-03-08,3.34,3.39,3.34,3.39,3100,-2.469135802468973,0.008700238212984157,0.012774009788532032,-0.004073771575547875,49.580220942022756
2018-03-09,3.34,3.34,3.34,3.34,7200,-52.36523652365357,0.004482581778577632,0.011115724186541153,-0.0066331424079635205,46.714019014238126
2018-03-12,3.45,3.45,3.45,3.45,100,127.60416666666801,0.00990199532109548,0.010872978413452018,-0.0009709830923565373,53.13308782437788
2018-03-13,3.45,3.45,3.45,3.45,0,107.16049382716123,0.014035131340776275,0.01150540899891687,0.0025297223418594052,53.13308782437788
2018-03-14,3.34,3.39,3.29,3.39,59890,-75.86206896551676,0.012327074018978923,0.01166974200292928,0.0006573320160496426,49.3707585836293
2018-03-15,3.39,3.45,3.39,3.45,2600,65.74712643678068,0.01563469778088722,0.012462733158520868,0.0031719646223663505,52.958012265361674
2018-03-16,3.45,3.45,3.45,3.45,170,91.29511677282314,0.018047967705107304,0.013579780067838155,0.004468187637269149,52.958012265361674
2018-03-19,3.39,3.39,3.39,3.39,100,-12.962962962962875,0.014946706617757322,0.013853165377821988,0.0010935412399353337,48.93672637351156
2018-03-20,3.34,3.34,3.34,3.34,100,-90.36251105216691,0.008358006830030185,0.012754133668263628,-0.004396126838233443,45.814666407819864
2018-03-21,3.45,3.45,3.39,3.39,300,27.521367521366688,0.007089276149274681,0.011621162164465838,-0.004531886015191156,49.29815785587008
2018-03-22,3.39,3.45,3.39,3.39,33000,21.946169772255324,0.006014466913363492,0.010499823114245369,-0.0044853562008818765,49.29815785587007
2018-03-23,3.34,3.45,3.34,3.45,700,34.66666666666675,0.009890163758010218,0.010377891242998339,-0.00048772748498812114,53.46197420423544
2018-03-26,3.39,3.39,3.39,3.39,2400,-11.494252873563132,0.008027645174665032,0.009907842029331678,-0.0018801968546666454,49.11794534195814
2018-03-27,3.39,3.39,3.39,3.39,1000,-20.51282051282132,0.0064769238324466905,0.00922165838995468,-0.00274473455750799,49.11794534195814
2018-03-28,3.39,3.39,3.39,3.39,4192,-24.000000000000817,0.0051881601160936874,0.008414958735182481,-0.0032267986190887936,49.117945341958134
2018-03-29,3.39,3.45,3.39,3.39,5555,11.260053619303322,0.004119320621901679,0.0075558311125263206,-0.003436510490624642,49.117945341958134
2018-03-30,3.39,3.45,3.39,3.45,300,70.98591549295664,0.008021291723353752,0.007648923234691807,0.00037236848866194477,54.131034087582144
2018-04-02,3.39,3.39,3.39,3.39,1300,-30.43478260869501,0.00620065607094844,0.007359269801943133,-0.001158613730994693,48.9385353068665
2018-04-03,3.39,3.39,3.34,3.39,11700,-89.6551724137922,0.004703569379508998,0.006828129717456307,-0.0021245603379473083,48.93853530686651
2018-04-04,3.39,3.45,3.39,3.45,2450,92.72030651340934,0.008263361067076591,0.007115175987380364,0.0011481850796962274,54.05041939986192
2018-04-05,3.45,3.45,3.39,3.45,1400,104.52674897119124,0.010958202291614594,0.007883781248227209,0.0030744210433873848,54.05041939986194
2018-04-06,3.45,3.45,3.39,3.39,800,30.723606168446896,0.008158340546832399,0.007938693107948248,0.00021964743888415114,48.42764746207516
2018-04-09,3.39,3.39,3.34,3.34,1800,-171.64750957854335,0.0018831401422669813,0.006727582514811994,-0.004844442372545013,44.2925519869886
2018-04-10,3.34,3.34,3.29,3.29,27240,-244.88448844884707,-0.007043391686293088,0.003973387674590978,-0.011016779360884067,40.56260475138636
2018-04-11,3.29,3.39,3.29,3.39,68500,-91.4414414414424,-0.005979638655264186,0.001982782408619945,-0.007962421063884131,49.688116699740775
2018-04-12,3.34,3.39,3.29,3.39,30100,-76.5811965811987,-0.0050780698855947826,0.0005706119497769994,-0.005648681835371782,49.68811669974078
2018-04-13,3.45,3.65,3.45,3.65,1100,295.9161147902857,0.01642689789560592,0.0037418691389427836,0.012685028756663136,65.60944677477825
2018-04-16,3.65,3.65,3.65,3.65,0,252.64727815063316,0.03308831826098446,0.00961115896335112,0.023477159297633342,65.60944677477826
2018-04-17,3.34,3.39,3.34,3.34,19910,-64.49038810301052,0.021035718054246644,0.011896070781530224,0.00913964727271642,45.638525841877104
