time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-12-12,10.57,10.57,10.57,10.57,0,,,,,
2018-12-13,14.79,14.79,14.79,14.79,5000,,,,,
2018-12-14,16.99,16.99,16.99,16.99,5000,,,,,
2018-12-17,19.46,19.46,19.46,19.46,5000,,,,,
2018-12-18,22.36,22.36,22.36,22.36,5100,,,,,
2018-12-19,25.71,25.71,19.02,25.62,10900,,,,,
2018-12-20,24.56,24.56,24.56,24.56,100,,,,,
2018-12-21,24.65,24.65,24.48,24.56,7400,,,,,
2018-12-24,21.04,25.53,20.95,24.65,1200,,,,,
2018-12-25,24.48,24.48,24.48,24.48,400,,,,,
2018-12-26,24.48,24.48,24.48,24.48,0,,,,,
2018-12-27,24.48,24.48,24.48,24.48,0,,,,,
2018-12-28,24.48,24.48,24.48,24.48,0,,,,,
2019-01-02,24.48,24.48,24.48,24.48,0,53.75867670949645,,,,
2019-01-03,24.48,24.48,24.48,24.48,0,51.18504328882375,,,,92.48625534514355
2019-01-04,24.48,24.48,24.48,24.48,0,48.654730874958965,,,,92.48625534514355
2019-01-07,24.48,24.48,24.48,24.48,0,45.481689862797126,,,,92.48625534514356
2019-01-08,21.13,21.13,21.13,21.13,100,-253.1612590505627,,,,73.65938035697003
2019-01-09,19.99,19.99,18.75,18.75,200,-284.1562223066213,,,,63.733171539077674
2019-01-10,22.27,22.27,22.27,22.27,1500,-77.06264558048363,,,,70.14185180856926
2019-01-11,19.02,19.02,19.02,19.02,100,-172.62967113546156,,,,59.65939148746771
2019-01-14,19.02,19.02,19.02,19.02,0,-130.72425586984664,,,,59.65939148746771
2019-01-15,16.2,16.2,16.2,16.2,100,-166.4921127489011,,,,51.860110742416545
2019-01-16,13.82,18.58,13.82,18.58,200,-116.42141708915548,,,,56.97261012017092
2019-01-17,13.82,13.82,13.82,13.82,100,-153.0820632721395,,,,46.36667802957354
2019-01-18,15.85,15.85,15.85,15.85,200,-93.24586977648207,,,,50.591049699420076
2019-01-21,15.85,17.61,15.85,17.61,200,-60.728379831035554,,,,53.97571542547988
2019-01-22,17.52,17.52,17.52,17.52,100,-43.85001137002858,,,,53.772859446508804
2019-01-23,17.52,17.52,17.52,17.52,0,-36.97430468674818,,,,53.77285944650881
2019-01-24,17.52,17.52,17.52,17.52,0,-27.752605346624378,,,,53.77285944650881
