time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-09-25,21.0,21.0,16.0,21.0,1816800,,,,,
2018-09-26,23.9,23.9,23.8,23.9,214200,,,,,
2018-09-27,27.4,27.4,27.4,27.4,388100,,,,,
2018-09-28,31.5,31.5,27.4,28.2,2111074,,,,,
2018-10-01,29.5,29.6,25.8,26.8,831097,,,,,
2018-10-02,27.1,27.3,25.9,26.0,596270,,,,,
2018-10-03,26.2,26.2,23.0,23.5,705230,,,,,
2018-10-04,23.9,23.9,22.9,23.6,408223,,,,,
2018-10-05,23.5,26.0,23.5,25.5,349732,,,,,
2018-10-08,25.5,25.5,24.7,24.8,189270,,,,,
2018-10-09,24.8,24.8,23.9,24.4,205130,,,,,
2018-10-10,24.2,24.3,23.4,23.5,251141,,,,,
2018-10-11,23.0,23.3,21.0,21.4,398300,,,,,
2018-10-12,21.4,23.1,20.1,23.0,264470,-86.87673548231314,,,,
2018-10-15,23.2,23.9,22.1,22.7,202370,-75.06830601092915,,,,54.271356783919586
2018-10-16,22.7,22.8,22.4,22.8,105510,-77.56410256410243,,,,54.51749327181853
2018-10-17,22.8,23.2,22.5,22.7,148250,-65.53405017921145,,,,54.20329912670175
2018-10-18,21.5,22.7,21.0,22.4,98760,-91.6795069337443,,,,53.212508521169134
2018-10-19,22.0,22.0,21.1,21.9,159900,-102.6804123711338,,,,51.52213212776664
2018-10-22,21.5,22.5,21.5,21.5,117500,-84.67741935483866,,,,50.149632880943784
2018-10-23,21.8,21.8,21.0,21.2,176449,-105.13081889228681,,,,49.09333413925104
2018-10-24,21.2,21.2,20.1,20.2,177975,-135.08771929824564,,,,45.64229483888116
2018-10-25,20.0,20.0,18.5,19.2,282110,-184.22564102564112,,,,42.430208389524054
2018-10-26,19.5,20.0,19.0,19.1,131400,-159.26881720430146,,,,42.11105419972507
2018-10-29,18.9,19.2,18.9,19.0,162710,-143.14420803782502,,,,41.772676007141776
2018-10-30,19.0,19.0,18.8,18.8,104760,-121.66214995483327,,,,41.0620170877661
2018-10-31,18.9,18.9,18.1,18.1,219250,-117.71572803281279,,,,38.5876187228724
2018-11-01,18.1,18.4,17.2,17.3,208400,-124.03798100949534,,,,35.92332273388203
2018-11-02,17.1,17.2,16.6,17.1,221210,-127.72230147408459,,,,35.267726205904616
2018-11-05,17.0,18.4,16.8,18.0,161530,-85.87689713322108,,,,40.527571993035956
2018-11-06,18.0,18.7,18.0,18.1,84670,-57.4238426481172,,,,41.10024643405743
2018-11-07,18.1,18.1,17.4,18.0,75300,-71.80457905173981,,,,40.678413175409894
2018-11-08,18.1,18.4,17.6,17.9,85030,-57.58133824432196,,,,40.2337090620974
2018-11-09,17.9,18.0,17.7,17.7,77246,-59.82468955441947,-1.8989524901291723,-2.031939893402484,0.1329874032733116,39.30814939685201
2018-11-12,17.1,17.6,17.1,17.4,75210,-87.57932910244821,-1.856627353809504,-1.996877385483888,0.140250031674384,37.89974747842696
2018-11-13,17.1,17.2,16.7,17.0,101368,-116.66666666666659,-1.8342173198974017,-1.9643453723665907,0.13012805246918902,36.04529375959423
2018-11-14,16.8,17.0,16.6,16.9,51440,-118.99482631189981,-1.8037340475172954,-1.9322231073967315,0.12848905987943615,35.57662168149362
2018-11-15,16.9,17.4,16.5,16.6,90642,-109.4017094017099,-1.7832273919771282,-1.902423964312811,0.1191965723356827,34.14238665140993
2018-11-16,16.9,17.2,16.8,17.2,102124,-69.87686895338626,-1.6989759964174311,-1.861734370733735,0.1627583743163039,39.403947890149226
2018-11-19,17.2,17.3,17.0,17.0,19385,-54.98281786941617,-1.6295599344100609,-1.8152994834690002,0.1857395490589393,38.30536784210308
2018-11-20,17.2,17.2,16.9,17.0,54323,-56.334964654704045,-1.5566036472600118,-1.7635603162272024,0.20695666896719067,38.30536784210308
2018-11-21,16.9,17.0,16.6,16.7,93122,-85.9842519685044,-1.5056367140540203,-1.711975595792566,0.20633888173854564,36.5334511592295
2018-11-22,16.7,16.9,16.7,16.8,72120,-77.17948717948727,-1.4405698950002765,-1.657694455634108,0.21712456063383145,37.57011892842051
2018-11-23,16.6,16.8,16.6,16.8,45830,-78.0832678711703,-1.3731748670236925,-1.6007905379120249,0.22761567088833234,37.57011892842051
2018-11-26,16.9,16.9,16.6,16.8,67000,-70.3196347031958,-1.3047237782440497,-1.5415771859784297,0.23685340773438002,37.57011892842051
2018-11-27,16.7,16.7,16.5,16.6,115200,-100.19135093761999,-1.2521797767415457,-1.4836977041310528,0.23151792738950716,36.0972865731763
2018-11-28,16.6,16.6,16.4,16.4,47410,-129.05027932960903,-1.2126973849462352,-1.4294976402940893,0.21680025534785408,34.6350706543476
2018-11-29,16.4,16.6,16.1,16.1,79900,-187.30158730158706,-1.1918755978137696,-1.3819732317980253,0.19009763398425572,32.50790241389671
2018-11-30,16.2,16.2,15.8,16.0,116840,-214.4710578842316,-1.1699568119086905,-1.3395699478201584,0.16961313591146787,31.806661451364754
2018-12-03,15.9,16.1,15.7,15.8,145590,-177.82909930715914,-1.155405548741932,-1.3027370680045132,0.14733151926258126,30.394488626694972
2018-12-04,15.8,15.9,15.7,15.9,104300,-141.16891457931865,-1.12286076365411,-1.2667618071344324,0.1439010434803225,32.01969150326333
2018-12-05,15.8,16.0,15.8,15.9,85400,-104.15224913494778,-1.08456657860064,-1.230322761427674,0.14575618282703395,32.019691503263324
2018-12-06,15.8,15.9,15.7,15.9,67300,-96.83333333333363,-1.0422042788738395,-1.1926990649169071,0.15049478604306765,32.019691503263324
2018-12-07,15.9,16.0,15.8,15.9,37550,-73.85229540918192,-0.9971374710665302,-1.1535867461468317,0.1564492750803015,32.019691503263324
2018-12-10,15.9,15.9,15.6,15.6,57400,-94.82401656314715,-0.9743969524589069,-1.1177487874092467,0.14335183495033976,29.262683120838663
2018-12-11,15.6,15.7,15.5,15.5,78904,-103.38078291814952,-0.9534532760289025,-1.0848896851331777,0.13143640910427523,28.385322368921255
2018-12-12,15.6,15.6,15.4,15.5,77920,-105.77777777777781,-0.926178848329851,-1.0531475177725125,0.1269686694426615,28.385322368921255
2018-12-13,15.5,15.7,15.4,15.5,54150,-95.15545914678304,-0.89425525000917,-1.021369064219844,0.12711381421067403,28.385322368921255
2018-12-14,15.5,15.5,15.4,15.4,38335,-116.05584642233907,-0.8670301487606711,-0.9905012811280095,0.12347113236733842,27.360742116568332
2018-12-17,15.3,15.3,14.9,15.0,115280,-178.29059829059807,-0.8677280876826625,-0.9659466424389401,0.09821855475627761,23.678949985676226
2018-12-18,14.9,14.9,13.3,13.9,142540,-295.1375559820856,-0.9461355544998078,-0.9619844248511137,0.015848870351305888,16.931449669493773
2018-12-19,14.0,14.9,13.7,14.0,42520,-189.76337448559684,-0.988806526456262,-0.9673488451721434,-0.021457681284118624,19.185995656412157
2018-12-20,14.0,14.2,13.7,13.8,41290,-163.11216429699857,-1.0269241651519856,-0.9792639091681118,-0.0476602559838738,18.126380323962966
2018-12-21,13.5,13.5,12.5,12.9,225461,-186.87546607009708,-1.116880444299328,-1.006787216194355,-0.11009322810497313,14.299242373995824
2018-12-24,12.8,12.8,12.4,12.4,68960,-162.7674750356636,-1.2145170681976794,-1.0483331865950198,-0.1661838816026595,12.69553143310377
2018-12-25,12.3,12.3,11.3,12.0,220000,-159.05275779376515,-1.309081180161371,-1.1004827853082901,-0.20859839485308096,11.576916445839235
2018-12-26,12.0,12.5,11.7,12.3,123300,-117.54729288975867,-1.3443199438917706,-1.1492502170249863,-0.19506972686678425,17.45159845281035
2018-12-27,12.6,13.8,12.6,13.8,229200,-42.424242424242486,-1.2369506568555675,-1.1667903049911026,-0.0701603518644649,39.20183066408152
2018-12-28,14.3,14.5,13.1,13.4,52450,-20.224719101123693,-1.1706419487006432,-1.1675606337330107,-0.0030813149676325313,36.44419429073631
2019-01-02,13.2,14.0,13.1,13.2,60562,-27.546862265688876,-1.1213044485940724,-1.158309396705223,0.037004948111150515,35.11414588408721
2019-01-03,13.3,13.4,12.8,13.0,74900,-44.80286738351253,-1.0858257297231795,-1.1438126633088141,0.05798693358563467,33.78625075358165
2019-01-04,12.7,13.0,12.6,12.6,60451,-61.49870801033585,-1.0775637621779133,-1.130562883082634,0.0529991209047207,31.241592247680433
2019-01-07,12.7,13.4,12.4,13.0,65700,-34.62897526501781,-1.0269019498597949,-1.1098306964380662,0.08292874657827132,36.40017180739443
2019-01-08,13.0,13.5,13.0,13.1,42260,6.1674008810573575,-0.9675298524611566,-1.0813705276426844,0.11384067518152774,37.65938736217468
2019-01-09,13.0,13.5,13.0,13.3,84641,23.52941176470556,-0.894032854756114,-1.0439029930653703,0.14987013830925622,40.209115036868845
2019-01-10,13.0,13.8,13.0,13.5,70505,60.25039123630664,-0.8103069123404119,-0.9971837769203786,0.18687686457996677,42.73156594765619
2019-01-11,14.0,14.4,13.5,14.3,124900,151.9877675840981,-0.671657733384059,-0.9320785682131147,0.26042083482905576,51.538577644099334
2019-01-14,14.1,15.7,14.0,15.6,284076,224.85875706214705,-0.4516715363853887,-0.8359971618475696,0.38432562546218085,61.81504033900445
2019-01-15,15.6,16.5,15.6,16.0,216673,238.39622641509456,-0.24226159245326429,-0.7172500479687085,0.4749884555154442,64.32201063095715
2019-01-16,16.0,16.6,15.1,15.7,188549,159.0408805031448,-0.0993647806266349,-0.5936729945002938,0.49430821387365886,61.08292362580426
2019-01-17,15.7,15.9,15.1,15.3,113550,103.72244307914706,-0.018185058761021722,-0.47857540735243936,0.46039034859141764,56.96397204390967
2019-01-18,15.3,15.5,15.1,15.3,123997,78.08888888888886,0.045624524566862945,-0.3737354209685789,0.41935994553544187,56.96397204390966
2019-01-21,15.3,15.3,14.1,14.3,97363,25.703605980650917,0.01532577048396,-0.29592318267807116,0.31124895316203116,47.648130153199595
2019-01-22,14.8,14.8,14.1,14.7,93070,18.9573459715638,0.023321609644261443,-0.23207422421360463,0.2553958338578661,51.09347965026003
2019-01-23,14.2,16.0,14.2,15.2,124905,51.11896348645461,0.06920642255168552,-0.1718180948605466,0.24102451741223213,55.07361007732714
2019-01-24,15.2,15.7,15.1,15.1,47020,55.64738292010994,0.0963901771366853,-0.11817644046110024,0.21456661759778553,54.124881081932315
2019-01-25,15.4,15.4,15.0,15.0,68729,34.698723656871444,0.10861231902365809,-0.07281868856414857,0.18143100758780667,53.139062054470365
2019-01-28,15.0,15.1,14.7,14.8,65045,1.2605798667387895,0.10099590803455172,-0.038055769244408504,0.13905167727896023,51.13312520139195
2019-01-29,14.7,15.0,14.6,14.8,37420,-21.786197564276584,0.09387768394867457,-0.011669078605791885,0.10554676255446646,51.13312520139196
2019-01-30,14.7,15.2,14.6,15.2,58010,-13.551119177253769,0.11913972850875787,0.014492682817118067,0.1046470456916398,55.06739661629375
2019-01-31,15.1,15.5,15.1,15.4,59729,35.35353535353521,0.15352862691328184,0.04229987163635082,0.11122875527693102,56.93435812598897
2019-02-01,15.2,16.6,15.0,16.3,372466,134.19913419913433,0.250516753846588,0.08394324807839826,0.16657350576818974,64.15256140912072
2019-02-11,16.5,17.2,16.5,17.0,278917,250.37037037037024,0.37949016664223834,0.14305263179116628,0.23643753485107205,68.56565210951938
2019-02-12,17.0,17.0,16.3,16.6,190780,169.49685534591222,0.4443042061072955,0.20330294665439214,0.24100125945290335,63.7370303874401
2019-02-13,16.6,18.3,16.6,18.1,584780,196.28597957288756,0.6096792603194352,0.28457820938740075,0.32510105093203445,71.76664948338559
2019-02-14,18.0,18.8,18.0,18.7,348125,184.7554038680318,0.7801619465503791,0.38369495681999644,0.39646698973038264,74.22516082833657
2019-02-15,18.7,18.8,17.7,18.3,197560,132.83448069440269,0.8729314363717702,0.4815422527303512,0.391389183641419,69.85780898126022
2019-02-18,18.5,20.0,18.5,19.4,641770,149.84488107549103,1.0234154362446901,0.589916889433219,0.43349854681147115,74.33078876373511
2019-02-19,19.4,19.7,18.6,18.9,330035,114.38127090301003,1.089767112085358,0.6898869339636468,0.3998801781217113,69.29696146018199
2019-02-20,19.0,19.1,18.4,18.9,244976,86.57035848047092,1.129333044871231,0.7777761561451636,0.3515568887260675,69.29696146018199
2019-02-21,18.7,19.4,18.5,19.0,439443,80.59071729957795,1.155439310787557,0.8533087870736422,0.3021305237139147,69.77179489689219
2019-02-22,19.0,19.2,18.8,19.0,236675,72.49406175771973,1.1627255383768436,0.9151921373342825,0.24753340104256105,69.77179489689219
2019-02-25,19.0,19.1,18.4,18.6,238725,51.725997842502856,1.123274855851335,0.956808681037693,0.166466174813642,65.1011389177113
2019-02-26,18.5,18.6,17.7,18.0,364845,10.165016501650252,1.0317021005296283,0.9717873649360801,0.05991473559354821,58.74828168356531
2019-02-27,18.1,18.9,18.1,18.4,174130,25.149700598802465,0.9801086073228227,0.9734516134134286,0.0066569939093941155,61.449176045606414
2019-02-28,19.0,19.6,18.8,19.0,444292,78.57787402995856,0.9763802738152343,0.9740373454937897,0.0023429283214445595,65.13650911313196
2019-03-01,19.1,21.9,18.7,21.9,1469960,228.54571634269263,1.1936714054111093,1.0179641574772536,0.17570724793385573,76.72451796401363
2019-03-04,22.0,23.8,22.0,23.0,643318,311.63049526989437,1.4380599397906586,1.1019833139399346,0.33607662585072395,79.50694634814438
2019-03-05,23.2,23.2,21.5,22.0,496660,169.78939724037778,1.5333722110020958,1.188261093352367,0.3451111176497288,71.17674613812225
2019-03-06,21.7,21.8,20.9,21.6,792655,94.11658545388902,1.5586639082645917,1.262341656334812,0.2963222519297797,68.10304545411961
2019-03-07,21.3,22.4,21.3,21.9,508113,93.65351629502551,1.5846484128632454,1.3268030076404986,0.2578454052227468,69.17809592742792
2019-03-08,22.0,23.3,21.7,23.3,764580,109.59747887122185,1.6986288832711551,1.40116818276663,0.2974607005045251,73.64260389925953
2019-03-11,23.0,24.0,22.9,23.4,695448,113.42465753424652,1.7765494354907858,1.4762444333114613,0.30030500217932454,73.93304699359628
2019-03-12,23.2,23.6,22.8,23.3,460973,91.91647450678964,1.8093755156002906,1.542870649769227,0.2665048658310636,73.06596856701245
2019-03-13,23.3,23.3,22.6,22.9,512940,70.89988313206078,1.7825654585282464,1.5908096115210308,0.1917558470072156,69.5521832975234
2019-03-14,22.9,24.8,22.8,24.7,1324625,103.63154406891965,1.8848360353689166,1.649614896290608,0.23522113907830855,75.30699602702751
2019-03-15,24.8,25.8,24.5,25.4,654980,133.70248837845236,1.9993233985874603,1.7195565967499786,0.2797668018374817,77.1182312279037
2019-03-18,25.5,28.0,25.4,27.6,995911,184.2260649514972,2.2417357384471472,1.8239924250894124,0.41774331335773485,81.669097680121
2019-03-19,27.6,27.9,24.1,25.4,1588870,122.64957264957266,2.2306145148221432,1.9053168430359586,0.32529767178618463,67.26247927162675
2019-03-20,25.5,26.0,24.7,25.9,840211,93.33333333333314,2.2363672368843517,1.9715269218056373,0.2648403150787144,68.61743390620845
2019-03-21,25.7,26.9,25.5,26.0,471385,100.24453614549918,2.2233658967691703,2.021894716798344,0.20147117997082642,68.89471979288172
2019-03-22,25.8,26.0,24.5,25.4,561410,54.08805031446537,2.139978910675861,2.0455115555738472,0.09446735510201387,65.17381635636694
2019-03-25,25.0,25.0,21.4,22.6,1279860,-51.30946846428033,1.8268981789996097,2.001788880259,-0.1748907012593901,51.260346202879894
2019-03-26,23.5,24.0,21.2,21.9,743097,-86.58280922431891,1.504947199150699,1.9024205440373396,-0.39747334488664054,48.474237926373554
2019-03-27,22.4,24.0,22.4,23.7,398910,-47.34299516908246,1.3791457511306042,1.7977655854559926,-0.4186198343253884,55.21498899355554
2019-03-28,23.7,23.7,22.6,22.9,350550,-64.54943132108507,1.2010489385663625,1.6784222560780666,-0.4773733175117041,51.96137050058335
2019-03-29,23.0,24.5,22.8,23.5,570233,-38.024691358024896,1.0956904792802327,1.5618759007185,-0.46618542143826724,54.14386439626827
2019-04-01,23.6,25.9,23.6,24.9,691691,19.06589891234801,1.112339088337766,1.471968538242353,-0.3596294499045871,58.84251086727183
2019-04-02,25.0,25.3,24.1,24.5,383677,3.938115330520585,1.0807978095271409,1.3937343924993106,-0.31293658297216975,57.044044720329545
2019-04-03,24.0,25.4,23.8,25.0,674310,7.398197078022914,1.0836552371310404,1.3317185614256566,-0.2480633242946162,58.74157831493416
2019-04-04,25.0,25.8,24.8,25.2,410964,39.6854955514171,1.0894990309844559,1.2832746553374164,-0.19377562435296047,59.432170161945976
2019-04-05,25.0,25.3,24.8,25.0,207942,37.4672588543442,1.065707142624774,1.239761152794888,-0.17405401017011402,58.37982952247661
2019-04-08,25.0,25.5,24.4,24.8,334030,34.431709646609356,1.0189675475552242,1.1956024317469551,-0.1766348841917309,57.287436726204824
2019-04-09,25.0,25.1,24.0,24.1,377035,5.339435545385311,0.9148955850642082,1.1394610624104058,-0.22456547734619758,53.51319579231843
2019-04-10,24.0,24.5,23.4,23.9,463541,-19.509476031215375,0.8069771462457247,1.0729642791774696,-0.2659871329317449,52.44995413984408
2019-04-11,24.0,24.3,23.6,24.0,222328,-9.766454352441412,0.7212065500632043,1.0026127333546166,-0.2814061832914123,52.95328675180454
2019-04-12,24.0,24.2,23.6,23.7,247213,-29.296424452134264,0.6218568630248988,0.9264615592886731,-0.3046046962637743,51.202234980809216
2019-04-16,23.8,23.8,22.8,23.4,318649,-93.846153846154,0.5130004773051411,0.8437693428919667,-0.3307688655868256,49.44154543426498
2019-04-17,23.8,23.9,22.9,23.0,288133,-99.11280101394156,0.3899591440226544,0.7530073031181043,-0.36304815909544985,47.11517895017537
2019-04-18,23.0,25.0,22.1,22.3,360646,-114.6871008939971,0.23327480433953696,0.6490608033623908,-0.41578599902285385,43.277480908775665
2019-04-19,22.3,23.2,22.1,22.5,151750,-147.30813287514323,0.1238124321736791,0.5440111291246484,-0.42019869695096934,44.66433797817979
2019-04-22,23.0,23.0,22.0,22.1,202920,-141.82590233545648,0.004731514583063756,0.4361552062163315,-0.43142369163326777,42.42992650243504
2019-04-23,22.1,22.3,21.3,21.7,389560,-153.22834645669263,-0.12052825292619929,0.3248185143878254,-0.44534676731402467,40.260873670458665
2019-04-24,22.0,22.4,21.7,22.2,160506,-107.0496083550914,-0.17740666618358603,0.2243734782735431,-0.4017801444571291,44.10721894191049
2019-04-25,22.3,23.8,22.0,23.3,340265,-30.743243243243118,-0.13219850943443134,0.15305908073194818,-0.2852575901663795,51.50488551351422
2019-04-26,23.2,23.6,22.9,23.4,399900,1.8912529550830857,-0.08729526970863333,0.10498821064383188,-0.1922834803524652,52.12523677654682
2019-05-02,23.1,23.3,22.8,22.8,142590,-20.38567493112918,-0.09898309875869415,0.06419394876332667,-0.16317704752202083,48.14569493510784
2019-05-03,23.0,23.0,22.3,22.5,178030,-52.45478036175706,-0.13094384119097668,0.02516639077246599,-0.15611023196344267,46.244612846014945
2019-05-06,22.6,22.8,21.9,21.9,337100,-86.86350021394922,-0.2023553192653793,-0.02033795123510307,-0.18201736803027624,42.61992377626599
2019-05-07,22.0,22.6,22.0,22.6,169620,-51.70731707317036,-0.20015798363403547,-0.05630195771488955,-0.14385602591914592,47.7640388314232
2019-05-08,22.8,24.2,22.3,24.1,989539,110.88435374149675,-0.07649730205809391,-0.060341026583530424,-0.016156275474563483,56.71833431052076
2019-05-09,24.0,24.9,23.9,24.1,627992,183.40740740740765,0.021259611450787474,-0.04402089897666685,0.06528051042745432,56.71833431052076
2019-05-10,24.1,24.3,23.6,24.0,376409,124.11924119241182,0.08963030310075482,-0.017290658561182518,0.10692096166193733,55.976434650806986
2019-05-13,23.9,25.5,23.9,25.2,890131,174.22222222222183,0.23790215207892373,0.03374790356683873,0.204154248512085,62.342099091452354
2019-05-14,25.0,25.9,24.5,25.7,688607,164.65272398657356,0.3912444593743132,0.10524721472833362,0.28599724464597953,64.63658883998822
2019-05-15,25.7,26.3,25.3,25.7,695329,151.6744289199382,0.5069258174048983,0.18558293526364655,0.32134288214125173,64.6365888399882
2019-05-16,25.8,25.9,25.1,25.2,468746,106.25000000000009,0.55189638774333,0.25884562575958325,0.2930507619837468,60.37055268438733
2019-05-17,25.3,25.9,25.2,25.2,390876,92.6253687315636,0.5808403230484487,0.32324456521735634,0.25759575783109234,60.37055268438733
2019-05-20,25.4,25.5,24.7,25.3,660092,65.50724637681185,0.6048751404749844,0.37957068026888197,0.2253044602061024,60.96809032189342
2019-05-21,25.1,27.2,25.1,26.5,1308001,112.47443762781184,0.7125391696214152,0.4461643781393886,0.2663747914820266,67.33337027668199
2019-05-22,26.5,26.7,26.2,26.3,325745,104.3295019157092,0.7728168087575504,0.5114948642630209,0.2613219444945295,65.41853270143069
2019-05-23,26.1,26.5,25.8,26.5,589081,88.91656288916549,0.8271902661005868,0.5746339446305341,0.2525563214700527,66.44614362623969
2019-05-24,26.5,27.7,26.5,26.9,1255177,130.70642527511527,0.8922727154023917,0.6381616987849056,0.25411101661748614,68.46450806295769
2019-05-27,27.0,28.4,26.6,28.0,837225,160.38314176245171,1.0208441760758546,0.7146981942430954,0.3061459818327592,73.23293632568699
2019-05-28,28.0,29.5,28.0,29.2,1437113,197.70270270270302,1.2056697458220071,0.8128925045588777,0.3927772412631294,77.2706530400879
2019-05-29,29.2,29.9,27.7,27.8,1805194,139.9852180339983,1.2250553660411079,0.8953250768553238,0.32973028918578406,64.9592490579165
2019-05-30,27.2,28.1,27.0,27.2,966648,63.09641873278261,1.1784195372550315,0.9519439689352653,0.22647556831976612,60.509605534340004
2019-05-31,27.0,27.3,25.8,26.2,1125293,-9.701314217443326,1.0486801325108992,0.9712912016503921,0.07738893086050713,53.884653322830026
2019-06-03,26.0,27.3,25.5,26.6,571162,-13.688888888888888,0.9669905118992759,0.9704310637001688,-0.003440551800892977,55.96164241790408
2019-06-04,26.3,27.2,26.3,26.7,352617,1.1263073209980026,0.8999460454725146,0.956334060054638,-0.05638801458212339,56.48924876590192
2019-06-05,26.9,27.4,26.5,26.6,360985,1.027900146842644,0.8291853262438842,0.9309043132924872,-0.10171898704860305,55.76969728845265
2019-06-06,26.5,27.4,26.4,27.0,364351,0.4570682337579227,0.796205442788473,0.9039645391916844,-0.10775909640321135,58.07040481982132
2019-06-07,27.0,28.2,26.8,28.1,1055550,59.65635738831664,0.8490422242090077,0.8929800761951491,-0.04393785198614142,63.667404738391575
2019-06-10,28.1,28.7,27.7,27.8,495611,80.47571853320076,0.8568312441343942,0.8857503097829981,-0.028919065648603914,61.265456958869514
2019-06-11,27.7,28.3,27.6,27.9,446253,57.746478873239326,0.8611465019775402,0.8808295482219065,-0.019683046244366342,61.783023470653156
2019-06-12,28.0,28.0,26.9,27.2,800938,-6.640106241700328,0.7988733108064707,0.8644383007388193,-0.0655649899323486,56.129234738643916
2019-06-13,27.0,27.5,26.8,27.4,464621,-23.632130384168214,0.7569342201646769,0.8429374846239909,-0.08600326445931394,57.330676745340355
2019-06-14,27.8,27.9,27.1,27.4,240360,4.741980474198128,0.7154499272668069,0.8174399731525541,-0.10199004588574723,57.330676745340355
2019-06-17,27.4,28.4,27.4,28.2,631330,84.1633019291159,0.7386123766799635,0.801674453858036,-0.06306207717807255,62.14052669530763
2019-06-18,28.0,28.9,28.0,28.7,841345,152.64797507788117,0.7882283997053179,0.7989852430274924,-0.010756843322174525,64.81042372053255
2019-06-19,28.9,29.2,28.4,28.5,360326,138.09523809523816,0.8021642764379422,0.7996210497095824,0.0025432267283598264,62.89963468120481
2019-06-20,28.5,29.0,27.8,28.0,796424,77.55102040816352,0.7640551852576536,0.7925078768191967,-0.028452691561543064,58.274038762279844
2019-06-21,28.0,28.3,27.6,28.0,624915,35.138705416116785,0.7254904535892521,0.7791043921732077,-0.05361393858395558,58.274038762279844
2019-06-24,27.7,28.5,27.7,27.9,353692,35.8171882762054,0.6790310147768075,0.7590897166939277,-0.08005870191712017,57.296692440817964
