time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,34.42,37.26,34.42,37.26,2356,,,,,
2018-01-03,37.26,37.26,37.26,37.26,120,,,,,
2018-01-04,34.55,34.55,34.55,34.55,110,,,,,
2018-01-05,33.87,33.87,33.87,33.87,337,,,,,
2018-01-08,33.87,33.87,33.87,33.87,78,,,,,
2018-01-09,33.87,33.87,33.87,33.87,100,,,,,
2018-01-10,34.21,34.21,34.21,34.21,200,,,,,
2018-01-11,33.33,33.33,33.2,33.2,2451,,,,,
2018-01-12,32.79,33.87,32.79,33.2,3180,,,,,
2018-01-15,32.79,32.79,32.79,32.79,400,,,,,
2018-01-16,32.79,32.93,32.72,32.93,2088,,,,,
2018-01-17,32.86,32.86,32.86,32.86,256,,,,,
2018-01-18,32.86,32.86,32.86,32.86,168,,,,,
2018-01-19,32.86,32.86,32.86,32.86,200,-72.91045129516542,,,,
2018-01-22,33.2,33.2,33.2,33.2,300,-41.00241545893776,,,,14.385964912280807
2018-01-23,33.2,33.2,33.2,33.2,0,-26.804123711340278,,,,14.385964912280807
2018-01-24,33.2,33.2,33.2,33.2,0,-17.519042437432596,,,,14.385964912280807
2018-01-25,33.2,33.2,33.2,33.2,200,-10.594755915584328,,,,14.385964912280807
2018-01-26,34.55,34.55,32.52,33.2,4385,49.216288111312984,,,,14.385964912280807
2018-01-29,32.52,33.2,32.52,33.2,2800,-49.07535191830111,,,,14.38596491228081
2018-01-30,33.54,33.81,33.2,33.81,2012,157.49999999999937,,,,26.633794558271962
2018-01-31,33.81,33.81,33.81,33.81,103,179.582172701949,,,,26.633794558271962
2018-02-01,33.87,33.87,33.33,33.33,4620,88.38477094873708,,,,23.558150134367924
2018-02-02,33.81,33.81,33.54,33.54,1700,101.95875399085274,,,,27.502615603765346
2018-02-05,32.52,32.52,32.52,32.52,700,-162.73271814796814,,,,21.65709991143803
2018-02-06,32.52,33.2,32.52,33.2,11620,-57.97173320109055,,,,32.029157288453234
2018-02-07,33.2,33.67,33.2,33.67,400,61.22282164459766,,,,38.12653798919709
2018-02-08,33.54,33.54,33.26,33.26,700,15.51831160769733,,,,35.16320917636717
2018-02-09,33.06,33.06,32.59,32.59,1101,-119.1184573002759,,,,30.93224333274974
2018-02-12,32.59,32.59,32.59,32.59,0,-126.20244077530462,,,,30.93224333274974
2018-02-13,33.81,35.77,33.81,35.23,1000,244.15976670311974,,,,55.43603642342929
2018-02-21,38.48,38.48,32.59,35.91,2381,246.5398465633311,,,,59.428732151858355
2018-02-22,35.91,35.91,35.91,35.91,0,186.70681003584218,,,,59.42873215185836
2018-02-23,34.55,34.55,34.55,34.55,200,59.43207354443276,0.2256399463429446,-0.14989074880059328,0.3755306951435379,49.20341059054461
2018-02-26,34.55,34.55,34.55,34.55,0,50.5400998675225,0.23626123426430468,-0.07266035218761369,0.30892158645191836,49.20341059054461
2018-02-27,34.48,34.48,34.48,34.48,200,39.689234722323256,0.23630627483785105,-0.010867026782520738,0.2471733016203718,48.70318446945583
2018-02-28,34.42,34.42,34.42,34.42,1600,30.585061541055467,0.22886228924917873,0.03707883642381916,0.19178345282535958,48.25038094451109
2018-03-01,31.23,33.87,31.23,33.87,500,-64.31902235086065,0.17654734567686603,0.06497253827442853,0.1115748074024375,44.19422977633703
2018-03-02,33.87,33.87,33.87,33.87,81,-12.634767887374526,0.1335479187107893,0.07868761436170069,0.05486030434908862,44.19422977633703
2018-03-05,32.52,32.86,32.52,32.52,1600,-100.63318587908816,-0.009355312316316144,0.06107902902609732,-0.07043434134241347,35.66046237443222
2018-03-06,31.84,31.84,31.84,31.84,3200,-132.42807825086345,-0.17545493420574587,0.01377223637972868,-0.18922717058547456,32.27934834122221
2018-03-07,31.84,31.84,31.84,31.84,610,-112.42511735705997,-0.3035904791709072,-0.0497003067303985,-0.2538901724405087,32.27934834122222
2018-03-08,31.64,31.84,31.16,31.84,500,-111.87423853945072,-0.40052185509322413,-0.11986461640296364,-0.2806572386902605,32.27934834122221
2018-03-09,32.86,32.86,32.86,32.86,150,-47.08909498158102,-0.3905333677948306,-0.17399836668133703,-0.21653500111349358,42.49415491975106
2018-03-12,31.5,31.5,31.16,31.16,1560,-111.1594465591205,-0.5138696427856075,-0.24197262190219113,-0.2718970208834164,33.44064310302653
2018-03-13,31.5,31.77,31.5,31.71,1952,-81.29748046127783,-0.5607699192851001,-0.30573208137877295,-0.25503783790632717,38.04000616749026
2018-03-14,31.84,31.84,31.84,31.84,1100,-64.83447055850384,-0.5807542393996883,-0.360736512982956,-0.22001772641673228,39.11101404144359
2018-03-15,32.52,32.52,32.52,32.52,1238,-15.433149014603643,-0.5355481740831962,-0.395698845203004,-0.1398493288801922,44.513785966719006
2018-03-16,32.52,32.99,32.52,32.65,1470,8.899297423887733,-0.4836568331761697,-0.41329044279763716,-0.07036639037853254,45.50923700762543
2018-03-19,32.65,32.65,32.65,32.65,29,16.398141741622936,-0.43748946542079636,-0.418130247322269,-0.019359218098527364,45.50923700762542
2018-03-20,31.91,31.91,31.91,31.91,300,-44.19354838709616,-0.45536415489540616,-0.4255770288368964,-0.02978712605850975,40.68998064218189
2018-03-21,31.91,32.18,31.91,32.18,700,-17.92640477374311,-0.44264074459893266,-0.42898977198930366,-0.013650972609628997,43.05928115645102
2018-03-22,32.04,32.04,32.04,32.04,181,-10.872651356993027,-0.43879601294671744,-0.4309510201807864,-0.007844992765931036,42.11971691140796
2018-03-23,32.04,32.04,32.04,32.04,200,-4.453683580585663,-0.43078323443917554,-0.43091746303246425,0.00013422859328870995,42.119716911407956
2018-03-26,32.38,32.38,32.04,32.04,2039,12.616252966455761,-0.41959620587128654,-0.42865321160022873,0.009057005728942191,42.11971691140797
2018-03-27,33.54,33.54,32.04,32.04,5750,71.7525399129165,-0.4060497167554544,-0.4241325126312739,0.018082795875819457,42.11971691140796
2018-03-28,32.04,32.04,32.04,32.04,29,-24.11842658133858,-0.3908090233825945,-0.417467814781538,0.026658791398943504,42.11971691140796
2018-03-29,32.04,32.52,32.04,32.52,2250,49.521495877502666,-0.33612404682684627,-0.40119906119059967,0.0650750143637534,47.778765924397995
2018-03-30,30.62,30.62,30.62,30.62,2500,-279.90898748577956,-0.4410161700743167,-0.4091624829673431,-0.031853687106973616,33.723421635732265
2018-04-02,32.65,32.65,32.65,32.65,100,92.03998987597849,-0.3562334612787552,-0.39857667862962554,0.04234321735087032,50.48371840926285
2018-04-03,32.65,32.65,32.65,32.65,0,78.46910412657589,-0.28574862149557845,-0.37601106720281613,0.09026244570723768,50.483718409262835
2018-04-04,31.3,31.3,31.16,31.16,4300,-147.45143296787987,-0.34612946073673356,-0.3700347459095996,0.023905285172866053,41.54119292730524
2018-04-05,31.98,32.04,31.98,32.04,1550,-8.817891373802242,-0.31929246058963656,-0.359886288845607,0.040593828255970466,47.460561285727884
2018-04-06,31.16,32.32,31.16,32.32,1700,-16.46514701024124,-0.27229147801752873,-0.34236732667999137,0.07007584866246264,49.22236660236752
2018-04-09,32.32,32.32,32.32,32.32,9,52.31893991318071,-0.23236430958619536,-0.32036672326123217,0.0880024136750368,49.22236660236753
2018-04-10,31.71,31.71,31.71,31.71,1000,-55.44512324853643,-0.24709528235838008,-0.30571243508066176,0.058617152722281685,45.37772079230632
2018-04-11,31.71,31.71,31.71,31.71,0,-47.720967102657276,-0.2558207421387735,-0.2957340964922841,0.03991335435351062,45.37772079230631
2018-04-12,31.71,31.71,31.71,31.71,0,-41.63975021533294,-0.2597415924836497,-0.2885355956905572,0.028794003206907504,45.37772079230631
2018-04-13,31.71,31.71,31.71,31.71,20,-36.120401337792835,-0.259853465631533,-0.28279916967875235,0.02294570404721935,45.37772079230631
2018-04-16,31.71,31.71,31.71,31.71,0,-28.70756402620626,-0.25697982247809037,-0.27763530023861993,0.02065547776052956,45.37772079230632
2018-04-17,31.71,31.71,31.71,31.71,200,-24.922971585073093,-0.25179984767151353,-0.27246820972519864,0.020668362053685108,45.37772079230632
