time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,9.0,9.0,9.0,9.0,0,,,,,
2018-01-03,9.0,9.0,9.0,9.0,0,,,,,
2018-01-04,9.0,9.0,9.0,9.0,0,,,,,
2018-01-05,9.0,9.0,9.0,9.0,0,,,,,
2018-01-08,9.0,9.0,9.0,9.0,200,,,,,
2018-01-09,9.0,9.0,9.0,9.0,0,,,,,
2018-01-10,9.0,9.0,9.0,9.0,10,,,,,
2018-01-11,8.1,8.1,8.1,8.1,100,,,,,
2018-01-12,7.1,7.2,7.1,7.2,600,,,,,
2018-01-15,8.2,8.2,8.2,8.2,101,,,,,
2018-01-16,8.2,8.2,8.2,8.2,0,,,,,
2018-01-17,7.3,7.3,7.3,7.3,120,,,,,
2018-01-18,7.3,7.3,7.3,7.3,0,,,,,
2018-01-19,6.5,6.5,6.5,6.5,130,-161.34636264929424,,,,
2018-01-22,7.4,7.4,7.4,7.4,700,-68.23493234932343,,,,35.18518518518518
2018-01-23,7.4,7.4,7.4,7.4,0,-57.74302361238882,,,,35.18518518518518
2018-01-24,6.7,6.7,6.7,6.7,100,-102.2774327122153,,,,30.586778433987423
2018-01-25,7.7,7.7,7.7,7.7,130,-8.101851851851828,,,,42.2068889783667
2018-01-26,8.8,8.8,6.8,8.8,2540,44.653392330383525,,,,51.77116678637363
2018-01-29,7.2,7.2,7.2,7.2,5500,-48.549810844892875,,,,41.11329728145874
2018-01-30,7.3,7.3,7.2,7.2,7000,-36.29629629629644,,,,41.11329728145875
2018-01-31,7.3,7.3,7.3,7.3,0,-19.694189602446578,,,,41.9790947860209
2018-02-01,8.1,8.1,8.1,8.1,110,98.60215053763437,,,,48.502307392700786
2018-02-02,7.0,7.0,7.0,7.0,100,-70.34313725490199,,,,41.58002706804367
2018-02-05,7.0,7.0,7.0,7.0,20,-64.36781609195394,,,,41.58002706804367
2018-02-06,6.1,6.1,6.1,6.1,500,-185.56119571348006,,,,36.62060079072002
2018-02-07,6.1,6.1,6.1,6.1,0,-141.8300653594771,,,,36.62060079072001
2018-02-08,6.1,6.1,6.1,6.1,0,-129.2213473315834,,,,36.62060079072001
2018-02-09,6.1,6.1,6.1,6.1,21,-106.8340306834029,,,,36.62060079072002
2018-02-12,6.1,6.1,6.1,6.1,0,-88.59455481972026,,,,36.62060079072002
2018-02-13,7.0,7.0,7.0,7.0,100,6.610009442870795,,,,45.957552218016616
2018-02-21,7.0,7.0,7.0,7.0,0,12.931726907630765,,,,45.95755221801662
2018-02-22,6.4,7.0,6.4,6.4,100,-23.55024347056185,,,,41.25812841400749
2018-02-23,7.3,7.3,7.3,7.3,200,65.83552055993015,-0.42810712409758267,-0.5559228709168496,0.12781574681926688,49.585684073471384
2018-02-26,7.3,7.3,7.3,7.3,0,64.71354166666693,-0.35879050297167936,-0.5164963973278155,0.15770589435613613,49.585684073471384
2018-02-27,8.3,8.3,8.0,8.0,1100,145.83333333333331,-0.24455337242606578,-0.4621077923474656,0.2175544199213998,55.30160941970508
2018-02-28,7.3,7.3,7.3,7.3,100,64.71354166666693,-0.20810486989117205,-0.4113072078562069,0.20320233796503484,49.284008572921465
2018-03-01,8.3,8.3,8.0,8.3,14509,147.8310502283107,-0.09740470557020142,-0.3485267073990058,0.2511220018288044,56.55669850805049
2018-03-02,8.0,8.2,8.0,8.2,10000,117.62099522835722,-0.017540990440435777,-0.2823295640072918,0.26478857356685603,55.69657010880208
2018-03-05,7.0,7.0,7.0,7.0,100,-2.6515151515150426,-0.05049630205739497,-0.23596291161731245,0.18546660955991748,46.54812372783946
2018-03-06,8.0,8.0,8.0,8.0,10000,93.01712779973653,0.0040315455596013905,-0.18796402018192968,0.19199556574153107,53.41512692373925
2018-03-07,7.1,7.1,7.1,7.1,100,-16.442451420029943,-0.02508802164143642,-0.155388820473831,0.1303007988323946,47.500471986055295
2018-03-08,8.1,8.1,8.1,8.1,700,92.48429716265989,0.03215548578386329,-0.11787995922229215,0.15003544500615545,53.6426940177258
2018-03-09,8.2,8.2,8.1,8.1,5800,80.69705093833788,0.07663794333036478,-0.07897637871176076,0.15561432204212555,53.6426940177258
2018-03-12,8.1,8.1,6.9,7.9,2500,9.618573797678117,0.09466108877756252,-0.044248885213896104,0.13890997399145863,52.22542765475509
2018-03-13,6.6,8.0,6.6,7.6,800,-28.571428571428466,0.08377140399941219,-0.01864482737123444,0.10241623137064662,50.08772098095834
2018-03-14,7.6,7.6,7.6,7.6,190,-11.190053285967988,0.0742849398114096,-5.887393470563329e-05,0.07434381374611523,50.08772098095835
2018-03-15,7.6,8.0,6.7,7.6,33700,-42.77071990320627,0.06600597282865639,0.013154095417966772,0.05285187741068962,50.08772098095834
2018-03-16,6.8,7.7,6.8,7.7,2500,-50.799507995080056,0.06674460584412145,0.02387219750319771,0.04287240834092374,50.92403192266516
2018-03-19,6.5,6.5,6.5,6.5,516,-175.68627450980404,-0.02916381109070354,0.01326499578441746,-0.042428806875121,41.85992956744263
2018-03-20,5.8,5.8,5.8,5.8,500,-216.12403100775194,-0.15981383790755288,-0.021350770953976608,-0.13846306695357627,37.65005538891111
2018-03-21,5.8,5.8,5.8,5.8,0,-163.76567471457986,-0.2603537297109808,-0.06915136270537744,-0.19120236700560336,37.650055388911106
2018-03-22,6.6,6.6,6.6,6.6,100,-63.210702341137186,-0.27233964232379826,-0.10978901862906161,-0.16255062369473666,44.98375149428914
2018-03-23,7.5,7.5,7.5,7.5,100,31.21516164994434,-0.20683185713641805,-0.1291975863305329,-0.07763427080588514,51.845861293839675
2018-03-26,6.4,8.0,6.4,8.0,5100,33.216647218980924,-0.11326499572594706,-0.12601106820961575,0.012746072483668686,55.18978167259891
2018-03-27,8.0,8.0,8.0,8.0,96,83.16573556797029,-0.03866685649294599,-0.10854222586628179,0.0698753693733358,55.18978167259891
2018-03-28,8.0,8.0,8.0,8.0,0,84.51443569553807,0.02021962702570601,-0.08278985528788423,0.10300948231359024,55.18978167259891
2018-03-29,7.2,8.0,7.2,8.0,19370,59.88439306358388,0.066125337736608,-0.05300681668298578,0.11913215441959378,55.189781672598926
2018-03-30,8.0,8.0,8.0,8.0,0,84.96805712138296,0.1013377852994326,-0.022137896286502097,0.1234756815859347,55.189781672598926
2018-04-02,7.1,7.1,7.1,7.1,100,-12.032884902840111,0.05597616689082585,-0.006515083651036507,0.06249125054186236,46.729095185573364
2018-04-03,7.5,7.5,6.6,6.6,2000,-28.448918717375182,-0.020087507553419925,-0.00922956843151319,-0.010857939121906735,42.803227800168926
2018-04-04,6.8,6.8,6.8,6.8,0,-34.108527131782914,-0.0634982210632602,-0.02008329895786259,-0.0434149221053976,44.80090310252241
2018-04-05,6.9,6.9,6.1,6.1,300,-69.61869618696183,-0.1526262932312168,-0.04659189781253344,-0.10603439541868336,39.58916642646839
2018-04-06,7.3,7.3,7.3,7.3,100,21.866960676221993,-0.124990152699203,-0.06227154878986735,-0.06271860390933565,50.26953227528082
2018-04-09,8.3,8.3,8.3,8.3,10070,116.80248350795505,-0.02214143686700787,-0.05424552640529545,0.032104089538287583,57.079424990706684
2018-04-10,9.0,9.0,9.0,9.0,100,174.23701942132377,0.11453082125641512,-0.02049025687295334,0.13502107812936845,61.09548719220437
