time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,7.0,7.3,6.5,6.8,108700,,,,,
2018-01-03,7.0,7.0,6.6,6.7,29300,,,,,
2018-01-04,6.6,6.8,6.5,6.7,65100,,,,,
2018-01-05,6.6,6.7,6.5,6.5,30500,,,,,
2018-01-08,6.8,6.8,6.3,6.3,32100,,,,,
2018-01-09,6.4,6.4,6.2,6.4,68300,,,,,
2018-01-10,6.4,6.5,6.2,6.4,122800,,,,,
2018-01-11,6.8,6.8,6.3,6.4,25100,,,,,
2018-01-12,6.3,6.5,6.2,6.5,20600,,,,,
2018-01-15,6.3,6.3,6.3,6.3,17600,,,,,
2018-01-16,6.4,6.8,6.4,6.6,81400,,,,,
2018-01-17,6.7,6.7,6.4,6.4,41709,,,,,
2018-01-18,6.5,6.5,6.3,6.5,9200,,,,,
2018-01-19,6.3,6.5,6.3,6.4,47400,-57.567804024497114,,,,
2018-01-22,6.5,6.6,6.5,6.5,153900,29.45736434108511,,,,41.17647058823529
2018-01-23,6.5,7.1,6.5,7.0,411510,226.0869565217389,,,,55.32646048109967
2018-01-24,7.3,7.7,7.3,7.4,241500,330.6273062730626,,,,62.99540179548939
2018-01-25,7.2,7.4,7.0,7.3,132100,167.2955974842766,,,,60.212509055783634
2018-01-26,7.1,7.1,6.8,7.0,174100,77.59170653907465,,,,52.69213638033558
2018-01-29,6.9,6.9,6.8,6.9,96710,44.31418522860496,,,,50.43106533116135
2018-01-30,6.9,7.1,6.9,7.1,51009,69.155354449472,,,,54.624806042299625
2018-01-31,7.0,7.0,6.9,7.0,85000,46.71916010498652,,,,52.24473873023325
2018-02-01,6.9,7.1,6.5,6.7,158200,-3.448275862069168,,,,45.79784758375573
2018-02-02,6.6,6.6,6.4,6.4,12800,-82.28228228228264,,,,40.42567736822986
2018-02-05,6.5,6.5,5.6,5.6,115600,-176.87366167023617,,,,30.239123052986205
2018-02-06,6.0,6.0,5.1,5.3,168800,-199.37958262831398,,,,27.44614627809858
2018-02-07,6.0,6.0,5.5,6.0,56200,-117.19457013574689,,,,41.113267784749624
2018-02-08,5.5,5.9,5.5,5.9,13310,-107.98376184032486,,,,39.955348889184826
2018-02-09,5.6,5.6,5.3,5.6,50000,-114.36848203939742,,,,36.622961075826936
2018-02-12,5.6,5.7,5.5,5.6,15100,-85.96491228070163,,,,36.622961075826936
2018-02-13,5.7,6.0,5.7,5.9,31800,-48.605577689242956,,,,42.21259269388514
2018-02-21,6.0,6.0,5.9,6.0,14400,-30.154746967796015,,,,43.98601094350799
2018-02-22,6.0,6.0,6.0,6.0,24500,-19.69057665260202,,,,43.98601094350799
2018-02-23,5.7,5.8,5.6,5.6,64200,-60.64447966191225,-0.1868264867175009,-0.08329162604471128,-0.10353486067278962,38.504295326222824
2018-02-26,6.0,6.0,5.7,5.8,27300,-27.84636488340215,-0.192517541608475,-0.10513680915746403,-0.08738073245101098,42.37147303600352
2018-02-27,5.8,5.9,5.4,5.7,57300,-57.92654579265446,-0.20275962117709057,-0.12466137156138933,-0.07809824961570123,40.983710032930496
2018-02-28,5.9,5.9,5.4,5.5,60700,-70.08547008547023,-0.22442780749236402,-0.14461465874758428,-0.07981314874477974,38.28309045669461
2018-03-01,5.5,5.6,5.2,5.2,93700,-152.3809523809527,-0.2627783488220814,-0.1682473967624837,-0.09453095205959769,34.60006287151464
2018-03-02,5.3,5.6,5.3,5.6,35700,-75.20661157024776,-0.2579216122704686,-0.1861822398640807,-0.07173937240638792,42.537911434504785
2018-03-05,5.5,5.7,5.5,5.5,16200,-53.07582260371982,-0.25915440714005467,-0.20077667331927548,-0.05837773382077918,41.19186024598526
2018-03-06,5.4,5.5,5.2,5.5,46400,-107.84313725490266,-0.2571669454892733,-0.21205472775327505,-0.04511221773599827,41.19186024598526
2018-03-07,5.5,5.6,5.4,5.5,61100,-58.33333333333379,-0.25267913997382596,-0.22017961019738524,-0.032499529776440716,41.19186024598526
2018-03-08,5.5,5.5,5.5,5.5,89600,-58.33333333333379,-0.2462835186728487,-0.22540039189247793,-0.02088312678037077,41.19186024598526
2018-03-09,5.5,5.7,5.4,5.7,122900,-17.500000000000284,-0.22251163852338873,-0.22482264121866008,0.002311002695271347,45.80516397906184
2018-03-12,5.5,5.5,5.5,5.5,19010,-51.851851851852025,-0.21730561688465677,-0.2233192363518594,0.0060136194672026355,42.23694280546116
2018-03-13,5.4,5.6,5.4,5.5,32700,-44.8717948717951,-0.2107504077160245,-0.2208054706246924,0.010055062908667922,42.23694280546116
2018-03-14,5.6,5.6,5.5,5.5,72000,-12.280701754386532,-0.20321284602873746,-0.21728694570550142,0.014074099676763957,42.23694280546116
2018-03-15,5.4,5.6,5.4,5.6,69810,-5.907172995780554,-0.18701432509392557,-0.21123242158318625,0.024218096489260682,44.916616936658954
2018-03-16,5.5,5.5,5.4,5.4,23400,-85.55555555555652,-0.18814637478780227,-0.20661521222410945,0.018468837436307173,40.83630871641175
2018-03-19,5.5,5.5,5.4,5.4,11500,-75.83333333333444,-0.1868891900774461,-0.20267000779477679,0.015780817717330697,40.83630871641175
2018-03-20,5.5,5.6,5.2,5.4,46200,-93.33333333333334,-0.18377442496161223,-0.19889089122814388,0.015116466266531653,40.83630871641176
2018-03-21,5.4,5.5,5.4,5.5,19500,-34.82587064677026,-0.17126257850377513,-0.19336522868327014,0.022102650179495004,44.012461328613476
2018-03-22,5.5,5.6,5.5,5.5,9500,57.07434052757692,-0.1595081395011535,-0.1865938108468468,0.027085671345693313,44.012461328613476
2018-03-23,5.5,5.5,5.4,5.5,53900,-28.282828282830764,-0.14848106461874444,-0.17897126160122634,0.0304901969824819,44.01246132861347
2018-03-26,5.5,5.6,5.4,5.5,800,12.612612612612507,-0.13814952658131574,-0.17080691459724423,0.03265738801592849,44.01246132861347
2018-03-27,5.3,5.4,5.3,5.4,1600,-163.33333333333394,-0.13645787112086527,-0.16393710590196844,0.027479234781103173,41.04843894628501
2018-03-28,5.4,5.4,5.4,5.4,800,-96.96969696969424,-0.13357742457924893,-0.15786516963742453,0.024287745058175603,41.04843894628501
2018-03-29,5.4,6.2,4.9,6.2,415900,288.8888888888878,-0.06598075079787691,-0.139488285869515,0.0735075350716381,63.71842676175351
2018-03-30,6.7,6.7,6.0,6.3,170900,364.9289099526098,-0.00429126848144179,-0.11244888239190036,0.10815761391045857,65.50416318914323
2018-04-02,6.3,6.4,6.2,6.2,5900,198.77862595419833,0.036112642375952575,-0.08273657743832977,0.11884921981428234,62.20689368455227
2018-04-03,5.8,6.0,5.7,6.0,27800,72.28260869565264,0.05140217205196329,-0.055908827540271155,0.10731099959223445,56.122248167639945
2018-04-04,5.8,6.0,5.7,5.8,36100,46.246246246246386,0.046840952600952335,-0.035358871512026456,0.0821998241129788,50.77387435202407
2018-04-05,5.8,5.9,5.8,5.9,21500,46.0759493670887,0.05071075556553328,-0.018144946096514507,0.0688557016620478,53.17660075538172
2018-04-06,5.9,5.9,5.8,5.9,55400,39.039039039039146,0.05316475212678107,-0.0038830064518553895,0.057047758578636455,53.17660075538172
2018-04-09,5.9,6.3,5.9,6.0,36900,78.59007832898189,0.06245874086135661,0.009385343010787013,0.053073397850569595,55.68517560800571
2018-04-10,5.9,5.9,5.6,5.9,68400,4.666666666666653,0.061051367466947504,0.01971854790201911,0.04133281956492839,52.64759808150693
2018-04-11,5.9,5.9,5.7,5.8,17900,-0.732600732600457,0.0512757744375163,0.02602999320911855,0.025245781228397747,49.72640970001688
2018-04-12,5.7,5.7,5.7,5.7,13300,-39.68253968253957,0.035055286742806224,0.027835051915856085,0.007220234826950139,46.92260474978946
2018-04-13,6.0,6.0,5.6,5.7,49700,-26.217228464419094,0.021947436990621405,0.02665752893080915,-0.004710091940187743,46.92260474978946
2018-04-16,5.9,5.9,5.9,5.9,0,10.233918128655715,0.027382056848703762,0.02680243451438807,0.0005796223343156916,53.06148800777212
2018-04-17,5.7,5.8,5.6,5.8,10200,-80.45977011494234,0.023350695690806056,0.026112086749671668,-0.0027613910588656122,49.950662084123024
2018-04-18,5.6,5.8,5.6,5.8,14410,-78.34549878345481,0.01992611705495051,0.024874892810727436,-0.004948775755776926,49.950662084123024
