time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,5.7,5.7,5.7,5.7,0,,,,,
2018-01-03,5.7,5.7,5.7,5.7,0,,,,,
2018-01-04,5.7,5.7,5.7,5.7,0,,,,,
2018-01-05,5.7,5.7,5.7,5.7,0,,,,,
2018-01-08,5.7,5.7,5.7,5.7,0,,,,,
2018-01-09,5.7,5.7,5.7,5.7,0,,,,,
2018-01-10,5.7,5.7,5.7,5.7,0,,,,,
2018-01-11,5.7,5.7,5.7,5.7,0,,,,,
2018-01-12,5.7,5.7,5.7,5.7,0,,,,,
2018-01-15,5.7,5.7,5.7,5.7,0,,,,,
2018-01-16,5.7,5.7,5.7,5.7,0,,,,,
2018-01-17,5.7,5.7,5.7,5.7,0,,,,,
2018-01-18,5.7,5.7,5.7,5.7,0,,,,,
2018-01-19,5.7,5.7,5.7,5.7,0,-66.66666666666667,,,,
2018-01-22,5.7,5.7,5.7,5.7,0,-66.66666666666667,,,,0.0
2018-01-23,5.7,5.7,5.7,5.7,0,-66.66666666666667,,,,0.0
2018-01-24,5.7,5.7,5.7,5.7,0,-66.66666666666667,,,,0.0
2018-01-25,5.7,5.7,5.7,5.7,0,-66.66666666666667,,,,0.0
2018-01-26,5.7,5.7,5.7,5.7,0,-66.66666666666667,,,,0.0
2018-01-29,5.7,5.7,5.7,5.7,0,-66.66666666666667,,,,0.0
2018-01-30,5.7,5.7,5.7,5.7,0,-66.66666666666667,,,,0.0
2018-01-31,5.7,5.7,5.7,5.7,0,-66.66666666666667,,,,0.0
2018-02-01,5.7,5.7,5.7,5.7,0,-66.66666666666667,,,,0.0
2018-02-02,5.7,5.7,5.7,5.7,0,-66.66666666666667,,,,0.0
2018-02-05,5.7,5.7,5.7,5.7,0,-66.66666666666667,,,,0.0
2018-02-06,5.7,5.7,5.7,5.7,0,-66.66666666666667,,,,0.0
2018-02-07,5.7,5.7,5.7,5.7,0,-66.66666666666667,,,,0.0
2018-02-08,5.7,5.7,5.7,5.7,0,-66.66666666666667,,,,0.0
2018-02-09,5.7,5.7,5.7,5.7,0,-66.66666666666667,,,,0.0
2018-02-12,5.7,5.7,5.7,5.7,0,-66.66666666666667,,,,0.0
2018-02-13,5.7,5.7,5.7,5.7,0,-66.66666666666667,,,,0.0
2018-02-21,5.7,5.7,5.7,5.7,0,-66.66666666666667,,,,0.0
2018-02-22,5.7,5.7,5.7,5.7,0,-66.66666666666667,,,,0.0
2018-02-23,5.7,5.7,5.7,5.7,0,-66.66666666666667,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0
2018-02-26,5.7,5.7,5.7,5.7,0,-66.66666666666667,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0
2018-02-27,5.7,5.7,5.7,5.7,0,-66.66666666666667,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0
2018-02-28,5.7,5.7,5.7,5.7,0,-66.66666666666667,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0
2018-03-01,5.7,5.7,5.7,5.7,0,-66.66666666666667,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0
2018-03-02,5.7,5.7,5.7,5.7,0,-66.66666666666667,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0
2018-03-05,5.7,5.7,5.7,5.7,0,-66.66666666666667,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0
2018-03-06,5.7,5.7,5.7,5.7,0,-66.66666666666667,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0
2018-03-07,5.7,5.7,5.7,5.7,0,-66.66666666666667,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0
2018-03-08,5.7,5.7,5.7,5.7,0,-66.66666666666667,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0
2018-03-09,5.7,5.7,5.7,5.7,0,-66.66666666666667,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0
2018-03-12,5.7,5.7,5.7,5.7,0,-66.66666666666667,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0
2018-03-13,5.7,5.7,5.7,5.7,0,-66.66666666666667,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0
2018-03-14,5.7,5.7,5.7,5.7,0,-66.66666666666667,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0
2018-03-15,5.7,5.7,5.7,5.7,0,-66.66666666666667,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0
2018-03-16,5.7,5.7,5.7,5.7,0,-66.66666666666667,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0
2018-03-19,5.7,5.7,5.7,5.7,0,-66.66666666666667,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0
2018-03-20,5.7,5.7,5.7,5.7,0,-66.66666666666667,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0
2018-03-21,5.7,5.7,5.7,5.7,0,-66.66666666666667,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0
2018-03-22,5.7,5.7,5.7,5.7,0,-66.66666666666667,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0
2018-03-23,5.7,5.7,5.7,5.7,0,-66.66666666666667,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0
2018-03-26,5.7,5.7,5.7,5.7,0,-66.66666666666667,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0
2018-03-27,5.7,5.7,5.7,5.7,0,-66.66666666666667,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0
