time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2019-06-28,11.63,11.63,8.36,9.45,27000,,,,,
2019-07-01,8.72,8.87,8.72,8.72,17200,,,,,
2019-07-02,9.81,9.81,9.08,9.23,15600,,,,,
2019-07-03,9.67,9.67,9.08,9.16,7500,,,,,
2019-07-04,9.08,9.16,9.08,9.16,34700,,,,,
2019-07-05,9.08,9.45,9.08,9.45,25050,,,,,
2019-07-08,9.38,9.38,9.16,9.16,9500,,,,,
2019-07-09,9.38,9.38,9.38,9.38,1000,,,,,
2019-07-10,9.45,9.45,9.3,9.3,2200,,,,,
2019-07-11,9.38,10.68,9.38,10.61,108500,,,,,
2019-07-12,10.1,10.54,9.88,10.32,22200,,,,,
2019-07-15,9.81,9.81,9.74,9.74,5901,,,,,
2019-07-16,9.67,9.81,9.3,9.67,33164,,,,,
2019-07-17,9.23,9.23,9.16,9.16,6400,-61.148744002257885,,,,
2019-07-18,9.08,9.23,9.01,9.23,10100,-60.95000755172913,,,,47.808764940239044
2019-07-19,9.01,9.16,8.72,8.94,10800,-114.39393939393949,,,,45.008655510675126
2019-07-22,9.08,9.08,9.08,9.08,1440,-74.76232917409378,,,,46.63364204178333
2019-07-23,9.23,9.23,9.16,9.16,4305,-49.532163742689825,,,,47.58675227721677
2019-07-24,9.08,9.08,8.87,8.87,9720,-96.40718562874262,,,,44.48516859165096
2019-07-25,9.08,9.23,9.08,9.16,25400,-47.418724710478116,,,,48.12624511656781
2019-07-26,9.08,9.08,8.94,9.08,4446,-67.88828938884912,,,,47.20643401110073
2019-07-29,9.08,9.23,9.08,9.16,21400,-39.13619501854774,,,,48.27115096355187
2019-07-30,9.01,9.01,9.01,9.01,1800,-60.516934046345725,,,,46.38232626456707
2019-07-31,9.08,9.16,9.08,9.16,12126,-31.030460142579198,,,,48.55038388864148
2019-08-01,9.23,9.96,9.23,9.38,90946,117.54254254254305,,,,51.639068844312966
2019-08-02,9.3,9.3,9.3,9.3,3870,64.89116517285655,,,,50.45294513674501
2019-08-05,9.16,9.3,9.16,9.3,12055,67.24433033804081,,,,50.45294513674501
2019-08-06,9.23,9.23,9.08,9.16,29600,7.757496740548599,,,,48.20566566954009
2019-08-07,9.08,9.23,8.94,8.94,68765,-59.528907922911415,,,,44.82667917174439
2019-08-08,8.94,9.08,8.94,8.94,10310,-94.33406916850609,,,,44.82667917174438
2019-08-09,8.94,8.94,8.72,8.79,17522,-157.61425798482395,,,,42.47252758567369
2019-08-12,8.72,8.79,8.72,8.72,5727,-152.68138801261662,,,,41.38037395809538
2019-08-13,8.79,9.08,8.79,9.08,339,-49.06065485775643,,,,48.68810895609661
2019-08-14,8.72,8.72,8.72,8.72,7010,-137.44686685863093,-0.17076796277077833,-0.16176127168249288,-0.009006691088285446,42.92525851040262
2019-08-15,8.43,8.72,8.43,8.72,7600,-142.38273142382747,-0.17766736615343603,-0.1649424905766815,-0.01272487557675453,42.92525851040263
2019-08-16,8.72,8.72,8.72,8.72,1666,-92.82899921197749,-0.1810481822947949,-0.16816362892030418,-0.012884553374490737,42.92525851040263
2019-08-19,8.58,8.58,8.58,8.58,15500,-112.60809748427654,-0.19280183388936578,-0.1730912699141165,-0.019710563975249284,40.59163611527085
2019-08-20,8.72,8.72,8.58,8.58,530,-84.00130335614175,-0.19981336338494948,-0.1784356886082831,-0.021377674776666383,40.591636115270845
2019-08-21,8.72,8.72,8.58,8.58,17625,-75.57954906319439,-0.2030296515836536,-0.1833544812033572,-0.019675170380296397,40.59163611527085
2019-08-22,8.65,8.65,8.65,8.58,41,-69.40606060606044,-0.2032358072768421,-0.1873307464180542,-0.0159050608587879,40.591636115270845
2019-08-23,8.94,9.01,8.65,8.65,3400,-7.545737493356793,-0.19549720211023036,-0.18896403755648944,-0.006533164553740922,42.687093512798604
2019-08-26,8.87,9.01,8.58,8.58,8327,-18.710369720025994,-0.1927903496052199,-0.18972929996623553,-0.0030610496389843755,41.12494868199062
2019-08-27,8.79,8.87,8.58,8.72,13000,-7.558066541115273,-0.17730446402886813,-0.18724433277876204,0.009939868749893915,45.42646409081926
2019-08-28,8.58,8.58,8.58,8.58,6000,-103.0686936936919,-0.1743191751695754,-0.1846593012569247,0.0103401260873493,42.11293790101037
2019-08-29,8.58,8.58,8.5,8.5,4566,-122.9050279329613,-0.1763754967166289,-0.18300254034886554,0.006627043632236651,40.303790305281304
2019-08-30,8.58,8.58,8.58,8.58,100,-70.82352941176323,-0.16959483129945951,-0.18032099853898434,0.010726167239524825,42.94345412205553
2019-09-03,8.72,8.72,8.72,8.72,2034,68.12652068126647,-0.15118154835097108,-0.1744931085013817,0.02331156015041061,47.332473670919924
2019-09-04,8.58,8.58,8.58,8.58,1500,-67.17171717171618,-0.14620041158675967,-0.1688345691184573,0.02263415753169762,43.71136860099498
2019-09-05,8.5,8.5,8.5,8.5,3000,-129.69339235940174,-0.14701347638304085,-0.164470350571374,0.017456874188333138,41.74600253036367
2019-09-06,8.5,8.5,8.5,8.5,1000,-114.31844215349182,-0.14597512570909643,-0.16077130559891847,0.014796179889822042,41.74600253036367
2019-09-09,8.36,8.5,8.21,8.5,15040,-165.11627906976526,-0.14349806890519012,-0.1573166582601728,0.013818589354982674,41.74600253036367
2019-09-10,8.29,8.29,7.99,7.99,11000,-272.1883173496049,-0.18060580994024633,-0.16197448859618752,-0.018631321344058815,30.74079225387264
2019-09-11,8.14,7.99,7.99,7.99,0,-220.1406469760889,-0.2076206405524399,-0.17110371898743798,-0.036516921565001914,30.74079225387264
2019-09-12,8.14,7.99,7.99,7.99,0,-158.42186808322197,-0.2264200589460117,-0.18216698697915273,-0.04425307196685896,30.740792253872634
2019-09-13,8.14,7.99,7.99,7.99,0,-122.50084553316853,-0.23856866242876862,-0.19344732206907592,-0.0451213403596927,30.740792253872634
2019-09-16,8.36,8.58,8.36,8.58,310,30.09836730554734,-0.19830254079926135,-0.19441836581511301,-0.0038841749841483364,50.88723599296541
2019-09-17,8.5,8.58,8.58,8.58,0,56.58114309553619,-0.16449515159324513,-0.18843372297073943,0.023938571377494305,50.88723599296541
2019-09-18,8.5,8.58,8.58,8.58,0,56.58114309553619,-0.13613329222564552,-0.17797363682172065,0.041840344596075135,50.88723599296541
2019-09-19,8.5,8.58,8.58,8.58,0,54.86369268897151,-0.11236108568720482,-0.1648511265948175,0.05249004090761267,50.88723599296541
2019-09-20,8.5,8.58,8.58,8.58,0,54.86369268897151,-0.09245566933159388,-0.15037203514217276,0.05791636581057888,50.887235992965415
2019-09-23,8.5,8.58,8.58,8.58,0,59.44656488549651,-0.07580663179564162,-0.13545895447286654,0.05965232267722492,50.88723599296541
2019-09-24,8.36,8.36,8.36,8.36,224,-4.374280545962607,-0.07944847837806357,-0.12425685925390595,0.04480838087584238,43.52313384203584
2019-09-25,7.7,7.7,7.63,7.63,4235,-166.23387753352966,-0.1396299994511523,-0.12733148729335522,-0.012298512157797065,28.687896247801188
2019-09-26,7.7,7.7,7.7,7.63,50,-126.21330360460742,-0.18518953875968336,-0.13890309758662084,-0.04628644117306252,28.687896247801188
2019-09-27,7.99,7.99,7.85,7.99,4300,-58.54636591478677,-0.1900559637021555,-0.14913367080972778,-0.040922292892427714,40.322104971154204
2019-09-30,7.63,7.63,7.34,7.34,4600,-135.4303189165571,-0.2435546617203066,-0.16801786899184354,-0.07553679272846306,30.611373276432886
2019-10-01,7.49,7.49,7.49,7.49,110,-108.43277645186946,-0.2707282323986844,-0.18855994167321172,-0.08216829072547266,34.52982794547866
2019-10-02,7.49,7.49,7.49,7.49,0,-94.04892296458544,-0.28893284495412175,-0.20863452232939372,-0.08029832262472802,34.52982794547865
2019-10-03,7.34,7.34,7.34,7.34,1000,-99.32376711199063,-0.3118688480109002,-0.229281387465695,-0.08258746054520519,32.40736727092473
2019-10-04,7.56,8.43,7.56,8.43,1539,16.01255886970155,-0.2393330230780526,-0.23129171458816652,-0.008041308489886073,54.360825440750915
2019-10-07,7.85,7.85,7.85,7.85,1100,-20.348837209302392,-0.2260433252180949,-0.2302420367141522,0.0041987114960573,45.83085183968897
2019-10-08,7.85,7.85,7.85,7.85,1300,-13.588534107402126,-0.21305517646492955,-0.22680466466430765,0.013749488199378102,45.83085183968897
2019-10-09,7.85,7.85,7.85,7.85,10,-5.077874973330437,-0.20045129722567,-0.22153399117658013,0.021082693950910114,45.83085183968897
2019-10-10,7.85,7.85,7.85,7.85,0,7.041526953830108,-0.18829211779632793,-0.21488561650052967,0.026593498704201746,45.83085183968896
2019-10-11,7.85,7.85,7.85,7.85,0,24.34782608695658,-0.17661991604631666,-0.20723247640968706,0.0306125603633704,45.83085183968897
2019-10-14,7.78,7.78,7.78,7.78,2000,18.680504077094565,-0.17104631164335693,-0.19999524345642103,0.0289489318130641,44.60719395681524
2019-10-15,7.63,7.63,7.27,7.27,5060,-103.9703605397036,-0.20541404253399165,-0.20107900327193515,-0.0043350392620565,36.88105906929342
2019-10-16,6.9,6.9,6.9,6.9,300,-187.32894069944211,-0.25951509616586765,-0.21276622185072164,-0.046748874315146016,32.485062725567296
2019-10-17,6.9,6.9,6.9,6.9,0,-150.22362536174674,-0.2989445245536233,-0.23000188239130198,-0.06894264216232132,32.485062725567296
