time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,6.8,6.8,6.8,6.8,0,,,,,
2018-01-03,6.8,6.8,6.8,6.8,0,,,,,
2018-01-04,6.8,6.8,6.8,6.8,0,,,,,
2018-01-05,6.8,6.8,6.8,6.8,0,,,,,
2018-01-08,7.2,7.2,7.2,7.2,100,,,,,
2018-01-09,7.2,7.2,7.2,7.2,0,,,,,
2018-01-10,6.9,7.0,6.4,6.5,14442,,,,,
2018-01-11,6.4,6.7,6.4,6.7,600,,,,,
2018-01-12,6.9,6.9,6.9,6.9,100,,,,,
2018-01-15,6.8,7.0,6.8,7.0,700,,,,,
2018-01-16,7.0,7.0,7.0,7.0,100,,,,,
2018-01-17,7.0,7.0,7.0,7.0,0,,,,,
2018-01-18,6.9,6.9,6.9,6.9,6500,,,,,
2018-01-19,6.9,6.9,6.9,6.9,0,4.886561954624759,,,,
2018-01-22,7.1,7.1,7.1,7.1,100,91.25412541254015,,,,57.89473684210525
2018-01-23,7.0,7.0,7.0,7.0,15000,36.25730994151998,,,,54.78927203065135
2018-01-24,7.0,7.0,7.0,7.0,0,30.30303030302982,,,,54.78927203065135
2018-01-25,7.0,7.0,7.0,7.0,0,24.49355432780846,,,,54.78927203065135
2018-01-26,7.1,7.1,7.1,7.1,3000,86.82170542635572,,,,57.62798018413521
2018-01-29,7.4,7.4,7.4,7.4,100,225.964912280703,,,,64.7737852085975
2018-01-30,7.4,7.4,7.4,7.4,0,191.66666666666782,,,,64.7737852085975
2018-01-31,7.3,7.4,7.3,7.4,7500,136.47798742138363,,,,64.7737852085975
2018-02-01,7.4,7.4,7.4,7.4,0,120.08368200836749,,,,64.7737852085975
2018-02-02,6.3,6.3,6.3,6.3,100,-254.83503981797523,,,,35.3620889738449
2018-02-05,7.0,7.0,6.3,6.3,5400,-144.87562189054728,,,,35.3620889738449
2018-02-06,6.0,6.5,5.8,5.8,16600,-202.83054003724396,,,,28.532338350229473
2018-02-07,6.4,6.6,6.4,6.6,1700,-78.87323943661943,,,,46.37744362744522
2018-02-08,6.9,6.9,6.9,6.9,100,-6.572769953051268,,,,51.28934319614208
2018-02-09,6.0,6.0,5.9,5.9,1700,-146.66666666666652,,,,38.59750284590838
2018-02-12,6.6,6.7,6.3,6.7,6100,-39.07319641916797,,,,49.38767597549756
2018-02-13,6.8,6.9,6.3,6.9,7200,-15.270018621973731,,,,51.67405097620613
2018-02-21,6.9,7.4,6.5,7.2,7000,36.29629629629643,,,,54.9607382895722
2018-02-22,6.7,6.7,6.5,6.8,2600,-16.55665566556649,,,,50.07097880058379
2018-02-23,7.1,7.1,7.1,7.1,100,60.5847953216372,0.003744934219398033,-0.027432392839997988,0.03117732705939602,53.41829160823465
2018-02-26,7.4,7.4,6.5,7.1,6100,52.74584929757342,0.02239604785231908,-0.017466704701534573,0.03986275255385365,53.41829160823465
2018-02-27,6.8,7.2,6.4,6.8,5400,25.954198473282354,0.01282189417039259,-0.01140898492714914,0.02423087909754173,49.56454020888333
2018-02-28,7.2,7.2,6.5,7.0,10100,61.3138686131385,0.021129074115659563,-0.004901373118587398,0.02603044723424696,52.04819963568965
2018-03-01,7.0,7.0,6.9,6.9,3000,61.46632566069931,0.019419553285135116,-3.718783784289505e-05,0.01945674112297801,50.70373103461551
2018-03-02,6.8,6.9,6.8,6.9,2000,39.29188255613136,0.01785887966252897,0.003542025662231478,0.014316854000297492,50.70373103461551
2018-03-05,6.9,6.9,6.9,6.9,0,40.08643976229083,0.01643260967715321,0.0061201424652158245,0.010312467211937385,50.70373103461551
2018-03-06,6.6,6.7,6.5,6.7,9100,-49.03954802259896,-0.0008265204786503944,0.004730809876442581,-0.005557330355092975,47.630374171123314
2018-03-07,6.9,6.9,6.9,6.9,500,39.548022598870475,0.0016152039916308425,0.004107688699480233,-0.0024924847078493908,50.83941192193555
2018-03-08,6.9,6.9,6.9,6.9,0,26.41509433962299,0.0035098291009205695,0.0039881167797683,-0.0004782876788477306,50.83941192193555
2018-03-09,6.9,7.4,6.9,7.1,18000,144.24242424242368,0.020908639894797965,0.007372221402774234,0.01353641849202373,54.10127231188938
2018-03-12,7.4,7.4,6.5,6.5,11000,-63.14631463146272,-0.013561336148685932,0.0031855098924822006,-0.016746846041168134,44.551073532176666
