time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2020-03-18,9.25,9.25,9.25,9.25,9690,,,,,
2020-03-19,9.89,9.89,9.89,9.89,12840,,,,,
2020-03-20,10.57,10.57,10.57,10.57,10080,,,,,
2020-03-23,11.28,11.28,11.28,11.28,8110,,,,,
2020-03-24,12.07,12.07,12.07,12.07,210860,,,,,
2020-03-25,12.89,12.89,12.89,12.89,124850,,,,,
2020-03-26,13.78,13.78,13.71,13.78,198820,,,,,
2020-03-27,14.74,14.74,14.74,14.74,91940,,,,,
2020-03-30,15.74,15.74,15.74,15.74,96540,,,,,
2020-03-31,16.81,16.81,16.74,16.81,211060,,,,,
2020-04-01,17.96,17.96,17.96,17.96,99250,,,,,
2020-04-03,19.21,19.21,19.21,19.21,108670,,,,,
2020-04-06,20.53,20.53,20.53,20.53,98590,,,,,
2020-04-07,21.95,21.95,21.95,21.95,67880,142.05536518175097,,,,
2020-04-08,23.49,23.49,23.49,23.49,89030,142.45165099524522,,,,100.0
2020-04-09,25.13,25.13,25.13,25.13,65630,142.42301696147038,,,,100.0
2020-04-10,26.88,26.88,23.38,23.38,311640,112.29249169966796,,,,88.74686683901785
2020-04-13,21.85,21.85,21.78,21.78,23580,56.45695015280848,,,,79.89454484979186
2020-04-14,20.28,20.28,20.28,20.28,2390,21.58183327210639,,,,72.58474496344945
2020-04-15,18.88,18.88,18.88,18.88,2760,-17.19001940367857,,,,66.47184157843917
2020-04-16,17.56,17.56,17.56,17.56,1810,-59.27399903521469,,,,61.235410530484046
2020-04-17,17.56,17.56,16.35,16.35,5300,-88.1617553259344,,,,56.81694303796901
2020-04-20,15.21,15.21,15.21,15.21,2090,-126.56677033267357,,,,52.94110021079319
2020-04-21,14.17,14.17,14.17,14.17,480,-138.80893880893893,,,,49.61586742629191
2020-04-22,13.21,13.21,13.21,13.21,5910,-136.93679640173676,,,,46.69999510515451
2020-04-23,12.32,12.32,12.32,12.32,5730,-125.40748701415012,,,,44.11174854774417
2020-04-24,11.46,13.17,11.46,13.17,493220,-100.145399438881,,,,47.12577084839417
2020-04-27,14.07,14.07,12.92,13.71,349260,-73.04205702944867,,,,49.007226936845434
2020-04-28,13.21,13.57,12.78,12.78,185300,-73.12440645773982,,,,45.97313962841055
2020-04-29,11.89,11.89,11.89,11.89,141340,-85.90779746033057,,,,43.215728494215284
2020-05-04,11.07,11.07,11.07,11.07,50130,-98.1972730903075,,,,40.78832611604611
2020-05-05,10.32,11.42,10.32,10.64,347130,-99.83818310858759,,,,39.53428126599915
2020-05-06,10.32,11.35,10.32,11.35,150420,-90.58570990493712,,,,42.66860787749624
2020-05-07,11.42,11.42,10.71,10.92,109900,-86.7165330468082,-0.9060501803290517,0.3190453476568589,-1.2250955279859106,41.273209969409116
2020-05-08,10.71,10.92,10.35,10.92,299560,-91.1409395973155,-1.037679732057807,0.04770033171392568,-1.0853800637717328,41.273209969409116
2020-05-11,10.92,11.07,10.35,10.64,230270,-85.46671918077979,-1.1513190705113008,-0.19210354873111962,-0.9592155217801812,40.27844332584361
2020-05-12,10.89,11.03,10.71,11.03,158790,-64.14505751608496,-1.1961211838807184,-0.3929070757610394,-0.8032141081196791,42.36222138495119
