time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,103.92,116.0,103.92,115.03,169087,,,,,
2018-01-03,115.03,123.73,110.2,110.68,361440,,,,,
2018-01-04,113.97,115.03,107.3,115.03,189522,,,,,
2018-01-05,113.97,116.97,113.97,115.03,215982,,,,,
2018-01-08,111.17,115.03,111.17,112.71,107483,,,,,
2018-01-09,111.75,112.71,106.33,108.27,361593,,,,,
2018-01-10,106.33,107.78,99.57,102.95,392093,,,,,
2018-01-11,102.95,108.27,100.53,106.33,233910,,,,,
2018-01-12,106.33,108.75,106.33,108.17,186017,,,,,
2018-01-15,107.3,107.3,102.47,105.08,77336,,,,,
2018-01-16,103.14,103.92,102.85,102.95,124435,,,,,
2018-01-17,102.47,104.3,101.5,101.98,252210,,,,,
2018-01-18,101.79,101.79,98.7,101.5,516005,,,,,
2018-01-19,101.79,104.11,99.57,101.5,305595,-87.07824200060459,,,,
2018-01-22,100.92,108.27,100.92,104.4,174750,-38.896249329674255,,,,35.057632836660105
2018-01-23,104.4,114.07,104.4,110.2,619852,49.66097335718225,,,,44.75819061459503
2018-01-24,112.13,112.13,106.33,108.07,236875,45.27270657000817,,,,42.261581073190804
2018-01-25,107.3,109.23,105.37,105.46,126860,20.70950468540853,,,,39.364078807059244
2018-01-26,105.46,106.33,101.5,104.79,149068,-27.796663612088082,,,,38.631857085620666
2018-01-29,103.63,103.92,99.57,99.57,298073,-108.87290914373436,,,,33.41650196723382
2018-01-30,100.53,102.47,100.53,100.73,122156,-91.1156462585034,,,,35.500358286552505
2018-01-31,101.5,101.98,96.57,96.57,174385,-138.34262619110825,,,,31.672125030004867
2018-02-01,98.6,98.7,91.45,93.19,209841,-190.4428904428906,,,,28.941312245251936
2018-02-02,93.48,96.67,93.28,95.7,201821,-140.96995505086304,,,,33.52499752564416
2018-02-05,95.7,95.7,90.87,90.87,69600,-154.62116595571803,,,,29.571920870425366
2018-02-06,90.87,90.87,80.23,85.07,531625,-195.29847474187702,,,,25.659229137816936
2018-02-07,86.03,91.83,86.03,87.97,235482,-119.90813885252551,,,,30.603352256416827
2018-02-08,88.93,89.32,87.97,89.22,135101,-97.57488617301703,,,,32.681578567867966
2018-02-09,87.97,88.84,80.23,88.84,258688,-105.94732942682032,,,,32.364272437915105
2018-02-12,88.64,90.38,87.0,89.9,190916,-67.60468420998042,,,,34.28105552344935
2018-02-13,88.93,89.42,88.74,88.93,320825,-60.471435364445014,,,,33.34965036317039
