time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-10,7.75,9.86,7.75,9.86,30400,,,,,
2018-01-11,8.38,8.38,8.38,8.38,0,,,,,
2018-01-12,8.38,8.38,8.38,8.38,0,,,,,
2018-01-15,8.38,8.38,8.38,8.38,0,,,,,
2018-01-16,8.38,8.38,8.38,8.38,0,,,,,
2018-01-17,9.58,9.58,9.58,9.58,100,,,,,
2018-01-18,9.58,9.58,9.58,9.58,33,,,,,
2018-01-19,9.58,9.58,9.58,9.58,0,,,,,
2018-01-22,8.66,9.01,8.38,8.38,20000,,,,,
2018-01-23,8.59,8.59,8.59,8.59,0,,,,,
2018-01-24,8.59,8.59,8.59,8.59,0,,,,,
2018-01-25,8.59,8.59,8.59,8.59,0,,,,,
2018-01-26,8.59,8.59,8.59,8.59,0,,,,,
2018-01-29,9.51,9.51,9.51,9.51,1000,97.56011936106704,,,,
2018-01-30,8.45,8.45,8.45,8.45,1020,-53.07488712439708,,,,38.38550247116968
2018-01-31,8.45,8.45,8.45,8.45,0,-54.19213289453091,,,,38.38550247116968
2018-02-01,8.45,8.45,8.45,8.45,0,-55.32418362517763,,,,38.38550247116969
2018-02-02,8.45,8.45,8.45,8.45,0,-56.471335556614484,,,,38.38550247116969
2018-02-05,8.45,8.45,8.45,8.45,0,-57.63389288569173,,,,38.38550247116969
2018-02-06,8.45,8.45,8.45,8.45,0,-54.503195816386054,,,,38.38550247116968
2018-02-07,8.45,8.45,8.45,8.45,0,-54.20685959271207,,,,38.385502471169694
2018-02-08,8.45,8.45,8.45,8.45,0,-58.33333333333417,,,,38.38550247116969
2018-02-09,8.45,8.45,8.45,8.45,0,-51.85185185185269,,,,38.38550247116969
2018-02-12,8.45,8.45,8.45,8.45,0,-46.66666666666749,,,,38.385502471169694
2018-02-13,8.45,8.45,8.45,8.45,0,-42.424242424243246,,,,38.385502471169694
2018-02-21,8.45,8.45,8.45,8.45,0,-38.88888888888973,,,,38.385502471169694
2018-02-22,8.45,8.45,8.45,8.45,0,-35.89743589743677,,,,38.385502471169694
2018-02-23,8.45,8.45,8.45,8.45,0,-66.66666666666667,,,,38.385502471169694
2018-02-26,8.45,8.45,8.45,8.45,0,-66.66666666666667,,,,38.385502471169694
2018-02-27,8.45,8.45,8.45,8.45,0,-66.66666666666667,,,,38.385502471169694
2018-02-28,8.45,8.45,8.45,8.45,0,-66.66666666666667,,,,38.38550247116969
2018-03-01,8.45,8.45,8.45,8.45,1,-66.66666666666667,,,,38.38550247116969
2018-03-02,8.45,8.45,8.45,8.45,0,-66.66666666666667,,,,38.385502471169694
