time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,61.8,61.9,61.1,61.1,12700,,,,,
2018-01-03,61.0,61.0,57.4,57.4,20300,,,,,
2018-01-04,57.5,57.5,51.7,51.7,27500,,,,,
2018-01-05,51.6,51.8,51.0,51.6,17500,,,,,
2018-01-08,51.6,52.0,50.0,51.7,14600,,,,,
2018-01-09,51.6,51.9,51.4,51.8,13200,,,,,
2018-01-10,51.6,51.8,51.5,51.6,12900,,,,,
2018-01-11,51.6,51.8,51.5,51.6,13700,,,,,
2018-01-12,51.6,51.8,51.0,51.5,16300,,,,,
2018-01-15,51.4,51.8,51.3,51.5,15400,,,,,
2018-01-16,51.4,51.6,51.4,51.6,15100,,,,,
2018-01-17,51.6,51.7,51.2,51.7,15200,,,,,
2018-01-18,51.5,51.5,51.1,51.2,15500,,,,,
2018-01-19,51.1,51.1,50.4,51.1,15900,-60.066006600659954,,,,
2018-01-22,51.0,51.8,51.0,51.8,15800,-33.86872893119154,,,,9.565217391304303
2018-01-23,51.7,51.8,51.1,51.2,15700,-48.77873563218164,,,,9.056364787840367
2018-01-24,51.1,51.1,50.6,50.9,15700,-177.7777777777745,,,,8.80416765332698
2018-01-25,50.8,51.4,50.5,51.4,13800,-82.81893004115112,,,,13.14539493086755
2018-01-26,51.4,51.5,51.1,51.4,14300,-14.957264957261645,,,,13.145394930867552
2018-01-29,51.3,51.4,51.0,51.1,15600,-56.42701525054523,,,,12.723913113851387
2018-01-30,50.9,50.9,50.5,50.8,16800,-152.23171889838568,,,,12.299227335611507
2018-01-31,50.7,51.2,50.5,51.2,14500,-73.16384180790858,,,,16.31014069322145
2018-02-01,51.1,51.1,48.8,49.0,10800,-280.0907911802831,,,,12.833672966358318
2018-02-02,49.0,49.0,48.2,48.3,12900,-290.79601990049673,,,,11.960144684119062
2018-02-05,48.2,48.3,43.5,43.5,10500,-308.9474203413237,,,,7.9594406018713215
2018-02-06,42.5,42.5,39.2,39.2,10300,-290.62765055131484,,,,6.017526860088187
2018-02-07,39.2,39.2,35.3,35.6,15200,-233.66104868913865,,,,4.9325149044578325
2018-02-08,35.6,36.6,35.6,36.5,15300,-165.79866307492796,,,,9.333868536621814
2018-02-09,36.5,36.8,36.0,36.8,12900,-123.72479240806662,,,,10.816060115728913
2018-02-12,36.7,40.4,36.6,40.4,14700,-76.20480719072279,,,,26.371170037330486
2018-02-13,40.4,41.5,40.3,41.5,13300,-44.9846798903403,,,,30.367603965559663
2018-02-21,41.4,42.0,41.3,42.0,11900,-30.367107195301124,,,,32.16983156497303
2018-02-22,42.0,42.0,41.5,41.8,14700,-23.831009023790042,,,,31.815119039775837
2018-02-23,41.8,42.6,41.8,42.2,13800,-10.815325190521,-3.222711738392377,-3.330666589037467,0.10795485064509025,33.39686625918309
