time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,14.07,14.9,13.91,14.9,2903770,,,,,
2018-01-03,14.9,14.93,14.62,14.79,2458110,,,,,
2018-01-04,14.79,15.28,14.65,15.2,4424190,,,,,
2018-01-05,15.17,15.2,14.87,15.12,1908830,,,,,
2018-01-08,15.28,15.56,15.12,15.37,2053870,,,,,
2018-01-09,15.37,15.42,14.35,15.12,4214750,,,,,
2018-01-10,15.12,15.59,15.06,15.15,2817750,,,,,
2018-01-11,15.17,15.31,14.98,15.23,1566970,,,,,
2018-01-12,15.01,15.2,14.95,15.04,2484840,,,,,
2018-01-15,14.93,15.28,14.76,15.06,1787190,,,,,
2018-01-16,15.09,15.39,15.04,15.28,2368450,,,,,
2018-01-17,15.28,15.51,14.9,14.9,2847680,,,,,
2018-01-18,14.68,14.95,14.51,14.95,1833010,,,,,
2018-01-19,15.01,15.06,14.68,14.84,3553540,-66.72265378962842,,,,
2018-01-22,14.84,15.78,14.82,15.7,5040120,153.8093099835345,,,,63.15789473684209
2018-01-23,15.7,15.7,15.7,15.7,0,203.41880341880156,,,,63.15789473684208
2018-01-24,15.7,15.7,15.7,15.7,0,155.82570255762514,,,,63.15789473684208
2018-01-25,16.06,16.77,15.89,16.77,7986250,253.24860304590706,,,,74.40821386672434
2018-01-26,17.93,17.93,17.38,17.93,5677170,283.5683136457939,,,,81.13418351723996
2018-01-29,18.21,19.17,18.21,19.09,4395390,247.15100881863094,,,,85.29593694089131
2018-01-30,18.13,19.86,18.13,19.86,3283230,184.9631478149843,,,,87.29884643915173
2018-01-31,20.53,20.55,18.87,18.87,1755870,143.22188641229093,,,,73.44647631172543
2018-02-01,19.04,19.06,18.15,18.6,1894280,85.91522744739778,,,,70.17595368258203
2018-02-02,18.37,18.93,18.26,18.6,1771520,71.62958024279793,,,,70.17595368258202
2018-02-05,18.32,18.43,17.3,17.3,2790640,27.884276729559698,,,,56.201288253018944
2018-02-06,16.11,17.0,16.11,16.11,3316700,-31.590204256229406,,,,46.978885261800805
2018-02-07,17.22,17.22,16.55,17.22,2058050,-13.558106169297133,,,,54.48200162422856
2018-02-08,17.22,18.1,17.22,17.77,2043470,13.096287589381838,,,,57.67784163402433
2018-02-09,16.55,18.21,16.53,17.82,1800170,-6.640939057726274,,,,57.966767657352804
2018-02-12,18.21,19.06,17.93,19.06,2363270,61.814502196554606,,,,64.44877837925256
2018-02-13,20.09,20.14,19.31,19.53,2458380,114.86199575371542,,,,66.55411025790097
