time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,7.7,7.7,7.7,7.7,0,,,,,
2018-01-03,7.7,7.7,7.7,7.7,0,,,,,
2018-01-04,8.5,8.5,8.5,8.5,300,,,,,
2018-01-05,8.5,8.5,8.5,8.5,0,,,,,
2018-01-08,8.5,8.5,8.5,8.5,1200,,,,,
2018-01-09,8.5,8.5,8.5,8.5,86,,,,,
2018-01-10,8.5,8.5,8.5,8.5,0,,,,,
2018-01-11,8.5,8.5,8.5,8.5,0,,,,,
2018-01-12,8.5,8.5,8.5,8.5,0,,,,,
2018-01-15,8.5,8.5,8.5,8.5,0,,,,,
2018-01-16,7.7,7.7,7.7,7.7,500,,,,,
2018-01-17,7.7,7.7,7.7,7.7,0,,,,,
2018-01-18,7.7,7.7,7.7,7.7,0,,,,,
2018-01-19,8.0,8.0,8.0,8.0,500,-32.40740740740746,,,,
2018-01-22,8.0,8.0,8.0,8.0,100,-38.88888888888913,,,,57.89473684210525
2018-01-23,8.0,8.0,8.0,8.0,0,-46.367521367521405,,,,57.89473684210527
2018-01-24,8.0,8.0,8.0,8.0,0,-39.39393939393964,,,,57.89473684210525
2018-01-25,9.0,9.0,9.0,9.0,100,148.29931972789115,,,,74.59491493575011
2018-01-26,10.3,10.3,9.0,9.0,300,183.23809523809504,,,,74.59491493575011
2018-01-29,9.0,9.0,9.0,9.0,200,99.64912280701745,,,,74.59491493575011
2018-01-30,9.0,9.0,9.0,9.0,1000,87.47967479674779,,,,74.59491493575011
2018-01-31,9.0,9.0,9.0,9.0,0,76.96969696969691,,,,74.59491493575013
2018-02-01,7.7,7.7,7.7,7.7,1000,-76.26016260162605,,,,42.701769318006846
2018-02-02,7.7,7.7,7.7,7.7,0,-67.29708431836096,,,,42.701769318006846
2018-02-05,7.7,7.7,7.7,7.7,0,-67.29708431836096,,,,42.70176931800684
2018-02-06,7.7,7.7,7.7,7.7,0,-67.29708431836096,,,,42.70176931800684
2018-02-07,7.7,7.7,7.7,7.7,0,-67.29708431836096,,,,42.70176931800684
2018-02-08,7.7,7.7,7.7,7.7,14,-63.1356745346384,,,,42.70176931800684
2018-02-09,7.7,7.7,7.7,7.7,0,-59.18443696221481,,,,42.701769318006846
2018-02-12,8.8,8.8,8.8,8.8,100,52.792600498043406,,,,64.36139494940207
2018-02-13,8.8,8.8,8.8,8.8,0,45.742092457420945,,,,64.36139494940207
2018-02-21,8.8,8.8,8.8,8.8,0,48.258706467661696,,,,64.36139494940205
2018-02-22,8.8,8.8,8.8,8.8,0,57.02811244979909,,,,64.36139494940207
2018-02-23,8.8,8.8,8.8,8.8,0,60.08230452674885,0.14056520568972353,0.04716933806506596,0.09339586762465757,64.36139494940207
2018-02-26,8.8,8.8,8.8,8.8,500,63.29113924050618,0.1552879012622519,0.06879305070450314,0.08649485055774875,64.36139494940205
2018-02-27,8.8,8.8,8.8,8.8,0,66.6666666666665,0.16505311401836487,0.0880450633672755,0.07700805065108937,64.36139494940205
2018-02-28,8.8,8.8,8.8,8.8,0,58.333333333333314,0.17082297456496676,0.10460064560681374,0.06622232895815301,64.36139494940205
2018-03-01,8.8,8.8,8.8,8.8,0,51.85185185185197,0.17339682001242096,0.11835988048793519,0.05503693952448577,64.36139494940207
2018-03-02,8.8,8.8,8.8,8.8,0,46.66666666666672,0.17343733345401624,0.1293753710811514,0.04406196237286483,64.36139494940205
2018-03-05,8.8,8.8,8.8,8.8,0,42.42424242424262,0.17149258092587516,0.13779881305009617,0.03369376787577899,64.36139494940205
2018-03-06,8.8,8.8,8.8,8.8,0,38.888888888889056,0.16801458300865946,0.14384196704180882,0.024172615966850636,64.36139494940205
2018-03-07,8.8,8.8,8.8,8.8,0,35.89743589743647,0.16337495976287997,0.14774856558602306,0.015626394176856906,64.36139494940205
2018-03-08,8.8,8.8,8.8,8.8,0,66.66666666666667,0.15787810440208006,0.14977447334923447,0.008103631052845589,64.36139494940205
2018-03-09,8.8,8.8,8.8,8.8,0,66.66666666666667,0.15177227066467758,0.15017403281232308,0.001598237852354495,64.36139494940205
2018-03-12,8.8,8.8,8.8,8.8,0,66.66666666666667,0.1452588992674002,0.14919100610333852,-0.003932106835938309,64.36139494940205
2018-03-13,8.8,8.8,8.8,8.8,0,66.66666666666667,0.1385004584374272,0.14705289657015624,-0.008552438132729046,64.36139494940205
2018-03-14,8.8,8.8,8.8,8.8,0,66.66666666666667,0.13162703091038175,0.14396772343820136,-0.012340692527819608,64.36139494940205
2018-03-15,8.8,8.8,8.8,8.8,0,66.66666666666667,0.12474184374918806,0.1401225475003987,-0.015380703751210645,64.36139494940205
2018-03-16,8.8,8.8,8.8,8.8,0,66.66666666666667,0.11792590687076832,0.13568321937447264,-0.017757312503704326,64.36139494940205
2018-03-19,8.8,8.8,8.8,8.8,0,66.66666666666667,0.11124190040624349,0.13079495558082682,-0.019553055174583334,64.36139494940205
2018-03-20,8.8,8.8,8.8,8.8,0,66.66666666666667,0.10473742923994855,0.12558345031265117,-0.020846021072702614,64.36139494940205
2018-03-21,8.8,8.8,8.8,8.8,0,66.66666666666667,0.09844774465963191,0.12015630918204731,-0.021708564522415402,64.36139494940205
2018-03-22,8.8,8.8,8.8,8.8,0,66.66666666666667,0.09239801748520193,0.11460465084267824,-0.022206633357476302,64.36139494940205
2018-03-23,10.0,10.0,10.0,10.0,100,466.66666666667265,0.18233172961366684,0.12815006659687594,0.05418166301679089,89.64570708158762
2018-03-26,10.0,10.0,10.0,10.0,0,233.33333333333516,0.2507147607158675,0.15266300542067426,0.09805175529519325,89.64570708158762
2018-03-27,10.0,10.0,10.0,10.0,0,155.55555555555654,0.30143406131484873,0.18241721659950916,0.11901684471533958,89.64570708158762
2018-03-28,10.0,10.0,10.0,10.0,0,116.66666666666693,0.33773625909108773,0.21348102509782488,0.12425523399326285,89.64570708158762
2018-03-29,10.0,10.0,10.0,10.0,0,93.33333333333357,0.3623293056782728,0.24325068121391447,0.11907862446435835,89.64570708158762
2018-03-30,10.0,10.0,10.0,10.0,0,77.77777777777798,0.3774682532246043,0.2700941956160524,0.1073740576085519,89.64570708158762
2018-04-02,10.0,10.0,10.0,10.0,0,66.66666666666707,0.3850276194990858,0.2930808803926591,0.0919467391064267,89.64570708158762
2018-04-03,10.0,10.0,10.0,10.0,0,58.333333333333535,0.3865624207739753,0.31177718846892233,0.07478523230505296,89.64570708158762
2018-04-04,10.0,10.0,10.0,10.0,0,51.851851851851904,0.3833596306528868,0.3260936769057152,0.05726595374717158,89.64570708158762
2018-04-05,10.0,10.0,10.0,10.0,0,46.66666666666674,0.37648155143376805,0.3361712518113258,0.04031029962244226,89.64570708158762
2018-04-06,10.0,10.0,10.0,10.0,0,42.424242424242536,0.3668023548782351,0.34229747242470765,0.024504882453527443,89.64570708158762
2018-04-09,10.0,10.0,10.0,10.0,0,38.888888888889056,0.3550388549571952,0.3448457489312052,0.01019310602599005,89.64570708158762
2018-04-10,10.0,10.0,10.0,10.0,0,35.89743589743584,0.341776410803023,0.34423188130556875,-0.0024554705025457424,89.64570708158762
2018-04-11,10.0,10.0,10.0,10.0,0,0.0,0.3274907191061285,0.3408836488656807,-0.013392929759552197,89.64570708158762
2018-04-12,10.0,10.0,10.0,10.0,0,0.0,0.3125661376443887,0.3352201466214223,-0.022654008977033624,89.64570708158762
2018-04-13,10.0,10.0,10.0,10.0,0,0.0,0.2973110822240024,0.3276383337419383,-0.030327251517935916,89.64570708158762
2018-04-16,10.0,10.0,10.0,10.0,0,0.0,0.2819709552453631,0.31850485804262324,-0.036533902797260154,89.64570708158762
2018-04-17,10.0,10.0,10.0,10.0,0,0.0,0.26673899302283743,0.3081516850386661,-0.041412692015828645,89.64570708158762
2018-04-18,10.0,10.0,10.0,10.0,0,0.0,0.2517653588824196,0.2968744198074168,-0.045109060924997224,89.64570708158762
2018-04-19,10.0,10.0,10.0,10.0,0,0.0,0.2371647582438321,0.28493248749469985,-0.04776772925086775,89.64570708158762
2018-04-20,10.0,10.0,10.0,10.0,0,0.0,0.22302280893161885,0.27255055178208365,-0.049527742850464795,89.64570708158762
2018-04-23,10.0,10.0,10.0,10.0,0,0.0,0.2094013636422023,0.2599207141541074,-0.05051935051190509,89.64570708158762
2018-04-24,10.0,10.0,10.0,10.0,0,0.0,0.1963429507955965,0.2472051614824052,-0.05086221068680871,89.64570708158762
2018-04-26,10.0,10.0,10.0,10.0,0,0.0,0.1838744740548588,0.2345390239968959,-0.05066454994203712,89.64570708158762
2018-04-27,10.0,10.0,10.0,10.0,0,0.0,0.17201028886989533,0.2220332769714958,-0.05002298810160047,89.64570708158762
2018-05-02,10.0,10.0,10.0,10.0,0,0.0,0.16075475587461163,0.20977757275211897,-0.04902281687750734,89.64570708158762
2018-05-03,10.0,10.0,10.0,10.0,0,0.0,0.15010435531278432,0.19784292926425204,-0.04773857395146772,89.64570708158762
2018-05-04,10.0,10.0,10.0,10.0,0,0.0,0.14004943344454013,0.18628423010030964,-0.04623479665576952,89.64570708158762
2018-05-07,10.0,10.0,10.0,10.0,0,0.0,0.13057564071648997,0.1751425122235457,-0.04456687150705574,89.64570708158762
2018-05-08,10.0,10.0,10.0,10.0,0,0.0,0.12166511204674713,0.164447032188186,-0.04278192014143886,89.64570708158762
2018-05-09,10.0,10.0,10.0,10.0,0,0.0,0.11329743161265604,0.15421711207308,-0.04091968046042396,89.64570708158762
2018-05-10,10.0,10.0,10.0,10.0,0,0.0,0.10545041780688358,0.14446377321984072,-0.03901335541295714,89.64570708158762
2018-05-11,10.0,10.0,10.0,10.0,0,0.0,0.09810075835441978,0.13519117024675653,-0.03709041189233675,89.64570708158762
2018-05-14,10.0,10.0,10.0,10.0,0,0.0,0.09122452079645704,0.12639784035669663,-0.035173319560239585,89.64570708158762
2018-05-15,10.0,10.0,10.0,10.0,0,0.0,0.08479755950977363,0.11807778418731203,-0.0332802246775384,89.64570708158762
2018-05-16,10.0,10.0,10.0,10.0,0,0.0,0.07879583702579396,0.11022139475500842,-0.03142555772921446,89.64570708158762
2018-05-17,10.0,10.0,10.0,10.0,0,0.0,0.07319567454374898,0.10281625071275653,-0.029620576169007554,89.64570708158762
2018-05-18,10.0,10.0,10.0,10.0,0,0.0,0.06797394411429813,0.09584778939306485,-0.027873845278766712,89.64570708158762
2018-05-21,10.0,10.0,10.0,10.0,0,0.0,0.06310821293322633,0.08929987410109715,-0.02619166116787082,89.64570708158762
2018-05-22,10.0,10.0,10.0,10.0,0,0.0,0.05857684847018518,0.08315526897491475,-0.024578420504729567,89.64570708158762
2018-05-23,10.0,10.0,10.0,10.0,0,0.0,0.05435909171458064,0.07739603352284793,-0.02303694180826729,89.64570708158762
2018-05-24,10.0,10.0,10.0,10.0,0,0.0,0.050435104607316816,0.07200384773974171,-0.021568743132424892,89.64570708158762
2018-05-25,10.0,10.0,10.0,10.0,0,0.0,0.04678599670724104,0.06696027753324157,-0.020174280826000535,89.64570708158762
2018-05-28,10.0,10.0,10.0,10.0,0,0.0,0.04339383528459173,0.0622469890835116,-0.018853153798919872,89.64570708158762
2018-05-29,10.0,10.0,10.0,10.0,0,0.0,0.040241642314885695,0.05784591972978642,-0.017604277414900726,89.64570708158762
2018-05-30,10.0,10.0,10.0,10.0,0,0.0,0.03731338124386241,0.053739412032601616,-0.016426030788739207,89.64570708158762
2018-05-31,10.0,10.0,10.0,10.0,0,0.0,0.03459393588914317,0.04991031680390993,-0.01531638091476676,89.64570708158762
2018-06-01,10.0,10.0,10.0,10.0,0,0.0,0.03206908342160908,0.04634207012744976,-0.014272986705840679,89.64570708158762
2018-06-04,10.0,10.0,10.0,10.0,0,0.0,0.02972546301631418,0.04301874870522264,-0.01329328568890846,89.64570708158762
2018-06-05,10.0,10.0,10.0,10.0,0,0.0,0.027550541467821432,0.0399251072577424,-0.012374565789920966,89.64570708158762
2018-06-06,10.0,10.0,10.0,10.0,0,0.0,0.025532576819083275,0.037046601170010574,-0.011514024350927299,89.64570708158762
2018-06-07,10.0,10.0,10.0,10.0,0,0.0,0.0236605808484871,0.03436939710570588,-0.010708816257218777,89.64570708158762
2018-06-08,10.0,10.0,10.0,10.0,0,0.0,0.021924281089775732,0.03188037390251985,-0.009956092812744115,89.64570708158762
2018-06-11,10.0,10.0,10.0,10.0,0,0.0,0.020314082918821086,0.029567115705780096,-0.00925303278695901,89.6457070815876
2018-06-12,10.0,10.0,10.0,10.0,0,0.0,0.018821032124838766,0.027417898989591828,-0.008596866864753062,89.64570708158762
2018-06-13,10.0,10.0,10.0,10.0,0,0.0,0.01743677828767609,0.02542167484920868,-0.00798489656153259,89.64570708158762
2018-06-14,10.0,10.0,10.0,10.0,0,0.0,0.016153539203999756,0.023568047720166897,-0.0074145085161671405,89.64570708158762
2018-06-15,10.0,10.0,10.0,10.0,0,0.0,0.014964066540674281,0.021847251484268373,-0.006883184943594092,89.64570708158762
2018-06-18,10.0,10.0,10.0,10.0,0,0.0,0.013861612841024495,0.020250123755619596,-0.006388510914595101,89.64570708158762
2018-06-19,10.0,10.0,10.0,10.0,0,0.0,0.012839899967040935,0.018768078997903864,-0.005928179030862929,89.64570708158762
2018-06-20,10.0,10.0,10.0,10.0,0,0.0,0.011893089026262516,0.017393081003575596,-0.00549999197731308,89.64570708158762
2018-06-21,10.0,10.0,10.0,10.0,0,0.0,0.011015751804555052,0.016117615163771488,-0.005101863359216436,89.64570708158762
2018-06-22,10.0,10.0,10.0,10.0,0,0.0,0.01020284370430602,0.014934660871878395,-0.004731817167572375,89.64570708158762
2018-06-25,10.0,10.0,10.0,10.0,0,0.0,0.00944967817044251,0.013837664331591218,-0.004387986161148707,89.64570708158762
2018-06-26,10.0,10.0,10.0,10.0,0,0.0,0.008751902573592929,0.01282051197999156,-0.004068609406398631,89.64570708158762
2018-06-27,10.0,10.0,10.0,10.0,0,0.0,0.008105475509696092,0.011877504685932466,-0.003772029176236374,89.64570708158762
2018-06-28,10.0,10.0,10.0,10.0,0,0.0,0.0075066454680694505,0.011003332842359864,-0.003496687374290413,89.64570708158762
2018-06-29,10.0,10.0,10.0,10.0,0,0.0,0.006951930814738105,0.010193052436835512,-0.003241121622097406,89.64570708158762
2018-07-02,10.0,10.0,10.0,10.0,0,0.0,0.006438101034325072,0.009442062156333423,-0.0030039611220083508,89.64570708158762
2018-07-03,10.0,10.0,10.0,10.0,0,0.0,0.005962159171787107,0.008746081559424159,-0.002783922387637052,89.64570708158762
2018-07-04,10.0,10.0,10.0,10.0,0,0.0,0.005521325414280298,0.008101130330395386,-0.002579804916115088,89.64570708158762
2018-07-05,10.0,10.0,10.0,10.0,0,0.0,0.005113021753393454,0.007503508614995,-0.002390486861601546,89.64570708158762
2018-07-06,10.0,10.0,10.0,10.0,0,0.0,0.004734857668612591,0.006949778425718518,-0.002214920757105927,89.64570708158762
2018-07-09,10.0,10.0,10.0,10.0,0,0.0,0.004384616774055772,0.006436746095385968,-0.0020521293213301966,89.64570708158762
2018-07-10,10.0,10.0,10.0,10.0,0,0.0,0.0040602443720647585,0.005961445750721726,-0.0019012013786569677,89.64570708158762
2018-07-11,10.0,10.0,10.0,10.0,0,0.0,0.003759835859142413,0.005521123772405863,-0.0017612879132634504,89.64570708158762
2018-07-12,10.0,10.0,10.0,10.0,0,0.0,0.00348162593181911,0.005113224204288513,-0.0016315982724694027,89.64570708158762
