time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,13.42,13.42,13.42,13.42,150,,,,,
2018-01-03,13.42,13.42,13.42,13.42,0,,,,,
2018-01-04,14.34,14.34,14.34,14.34,1420,,,,,
2018-01-05,14.34,14.34,14.34,14.34,30,,,,,
2018-01-08,13.46,13.46,13.46,13.46,10,,,,,
2018-01-09,13.46,13.46,13.46,13.46,0,,,,,
2018-01-10,13.46,13.46,13.46,13.46,0,,,,,
2018-01-11,12.94,13.68,12.94,13.68,300,,,,,
2018-01-12,12.79,14.49,12.79,14.49,20,,,,,
2018-01-15,13.53,13.53,13.53,13.53,10,,,,,
2018-01-16,13.53,13.53,13.53,13.53,0,,,,,
2018-01-17,13.53,13.53,13.53,13.53,0,,,,,
2018-01-18,13.53,13.53,13.53,13.53,0,,,,,
2018-01-19,12.79,13.68,12.79,13.68,150,-65.52643678160922,,,,
2018-01-22,13.68,13.68,13.68,13.68,0,9.768350544236904,,,,53.299492385786806
2018-01-23,13.68,13.68,13.68,13.68,0,4.851285012994192,,,,53.29949238578679
2018-01-24,13.68,13.68,13.68,13.68,0,24.49455676516284,,,,53.29949238578679
2018-01-25,12.75,14.05,12.75,14.05,1730,32.320066854695845,,,,58.20196743821513
2018-01-26,14.05,14.05,14.05,14.05,0,208.60111910471747,,,,58.20196743821513
2018-01-29,13.27,13.27,13.27,13.27,10,-140.14479905437253,,,,46.31485555361883
2018-01-30,12.35,13.31,12.35,13.31,20,-208.16224959561956,,,,46.91364162757659
2018-01-31,13.68,13.68,12.86,12.86,9270,-134.35062733129828,,,,41.32883733215379
2018-02-01,12.86,13.75,12.86,12.98,2780,-92.69197207678793,,,,43.268328508494704
2018-02-02,13.09,13.09,13.01,13.01,120,-114.07407407407432,,,,43.76878379634219
2018-02-05,13.01,13.01,13.01,13.01,10,-100.47449584816113,,,,43.76878379634219
2018-02-06,13.01,13.01,13.01,13.01,0,-86.01789709172233,,,,43.768783796342184
2018-02-07,13.01,13.01,13.01,13.01,0,-74.69693459964456,,,,43.7687837963422
2018-02-08,13.01,13.01,13.01,13.01,0,-65.79336885731172,,,,43.768783796342206
2018-02-09,13.01,13.01,13.01,13.01,20,-60.1696618823619,,,,43.768783796342206
2018-02-12,13.83,13.83,13.05,13.05,30,19.327116474675798,,,,44.78192001515088
2018-02-13,13.05,13.05,13.05,13.05,0,-45.18554320390852,,,,44.78192001515088
2018-02-21,13.94,13.94,13.94,13.94,10,198.08247230754978,,,,62.30673672629349
2018-02-22,14.86,14.86,14.86,14.86,10,323.49533423526657,,,,72.14733399380543
2018-02-23,14.05,14.05,13.83,13.83,4040,99.274419680283,0.027902882187960998,-0.14236416711748529,0.17026704930544628,54.87453695851634
2018-02-26,14.05,14.79,14.05,14.05,3980,123.1684200549716,0.0629945724376384,-0.10129241920646054,0.16428699164409893,57.22987394521897
2018-02-27,14.05,14.05,14.05,14.05,0,72.92995011928072,0.08977017508410867,-0.06307990034834669,0.15285007543245538,57.22987394521897
2018-02-28,13.53,14.57,13.53,14.57,40,79.08559532388537,0.15120667088878825,-0.020222586100919697,0.17142925698970796,62.5834626633351
2018-03-01,14.05,14.42,14.05,14.42,2210,74.94553376906359,0.18565171266295266,0.02095227365185478,0.16469943901109788,60.24101781937288
2018-03-02,14.42,14.42,14.42,14.42,0,78.05193279285659,0.21052287972062622,0.058866394865609066,0.15165648485501715,60.24101781937288
2018-03-05,15.42,15.42,14.42,14.42,90,104.93096646942806,0.22760971568067667,0.09261505902862259,0.13499465665205407,60.241017819372885
2018-03-06,14.42,14.42,14.42,14.42,10,58.98492907801451,0.238402994957859,0.12177264621446987,0.11663034874338912,60.24101781937288
2018-03-07,14.57,15.01,14.42,14.42,1300,77.23876929126152,0.24414242464843916,0.14624660190126373,0.09789582274717543,60.24101781937288
2018-03-08,14.42,14.94,14.38,14.49,280,69.72899019008561,0.25144092455247247,0.1672854664315055,0.08415545812096697,61.22214160247853
2018-03-09,13.75,14.42,13.75,14.42,50,-13.328989284679714,0.24870965325731476,0.18357030379666733,0.06513934946064742,59.63728102148769
2018-03-12,13.68,14.05,13.68,14.05,5550,-105.88664115181325,0.21421980078096858,0.1897002031935276,0.02451959758744099,51.97796196962008
2018-03-13,14.05,14.16,14.05,14.05,110,-68.29268292682852,0.18475658529914618,0.18871147961465132,-0.003954894315505136,51.97796196962008
2018-03-14,14.05,14.05,14.05,14.05,0,-70.55742611298074,0.15956738131425396,0.18288265995457184,-0.023315278640317877,51.97796196962008
2018-03-15,14.05,14.05,14.05,14.05,40,-77.68595041322152,0.13801381829117076,0.17390889162189163,-0.03589507333072087,51.97796196962007
2018-03-16,14.12,14.64,14.12,14.49,200,39.03359758399491,0.15465403166862757,0.1700579196312388,-0.015403887962611246,60.16187337470802
2018-03-19,14.49,14.49,14.49,14.49,0,53.287197231834966,0.1659287967744003,0.1692320950598711,-0.003303298285470796,60.16187337470803
2018-03-20,14.49,14.49,14.49,14.49,0,46.72764891647653,0.17287137574018274,0.16995995119593343,0.002911424544249308,60.16187337470803
2018-03-21,14.49,14.49,14.49,14.49,0,41.68678577176923,0.17634067406676124,0.171236095770099,0.005104578296662249,60.16187337470803
2018-03-22,14.49,14.49,14.49,14.49,0,39.442861665084024,0.17704920496004384,0.17239871760808795,0.00465048735195589,60.161873374708044
2018-03-23,14.12,14.12,14.05,14.05,2010,-74.84416270470223,0.14048695189968186,0.16601636446640672,-0.025529412566724863,48.25085791290218
2018-03-26,14.08,14.12,14.05,14.05,1300,-64.26043878273249,0.11024032113273385,0.15486115579967213,-0.04462083466693828,48.25085791290218
2018-03-27,13.23,14.2,13.23,14.2,20,-107.6923076923082,0.09725233040498082,0.14333939072073387,-0.04608706031575305,52.007571719972525
2018-03-28,14.2,14.2,14.2,14.2,0,-2.7416770518069247,0.08596826552819437,0.13186516568222598,-0.04589690015403161,52.007571719972525
2018-03-29,13.68,13.68,13.68,13.68,10,-147.7228533415211,0.034666297142926794,0.11242539197436614,-0.07775909483143935,40.25765304642023
2018-03-30,13.68,13.68,13.68,13.68,0,-133.3333333333334,-0.005922610248870086,0.0887557915297189,-0.09467840177858898,40.25765304642023
2018-04-02,12.79,14.05,12.79,14.05,1020,-123.62467866323867,-0.008139872618523114,0.0693766587000705,-0.07751653131859361,49.64565155671366
2018-04-03,13.31,14.05,13.31,14.05,1510,-71.4413099870295,-0.009784281909634984,0.0535444705781294,-0.06332875248776439,49.64565155671366
2018-04-04,14.05,14.05,14.05,14.05,1250,-12.654020752268632,-0.010961134979199372,0.04064334946666365,-0.05160448444586302,49.64565155671366
2018-04-05,13.38,13.38,13.38,13.38,10,-142.58387506538068,-0.06520555108807002,0.01947356935571691,-0.08467912044378693,36.628034853045065
2018-04-06,14.27,14.27,14.27,14.27,10,59.0038314176251,-0.03596450329771983,0.008385954825029561,-0.04435045812274939,53.91473912830074
2018-04-09,13.46,13.46,13.46,13.46,10,-108.24603814128342,-0.07726038319647444,-0.00874331277927124,-0.0685170704172032,42.54101745930018
2018-04-10,13.46,13.46,13.46,13.46,0,-96.22109419063655,-0.10873424484710625,-0.028741499192838242,-0.079992745654268,42.54101745930017
2018-04-11,14.05,14.05,14.05,14.05,10,57.39682539682656,-0.08508858950390241,-0.04001091725505108,-0.045077672248851335,51.23195780009054
2018-04-12,13.31,13.31,13.31,13.31,10,-117.8752611160843,-0.12462445965376823,-0.056933625734794505,-0.06769083391897372,42.540779290179806
2018-04-13,13.31,13.31,13.31,13.31,0,-102.33609645817631,-0.1541796347323956,-0.07638282753431472,-0.07779680719808088,42.54077929017981
2018-04-16,13.31,13.31,13.31,13.31,0,-89.93233879514128,-0.17557836580844466,-0.09622193518914071,-0.07935643061930395,42.54077929017981
2018-04-17,12.57,12.57,12.57,12.57,10,-213.649096002037,-0.24937419937733196,-0.12685238802677895,-0.12252181135055301,35.10310295168224
2018-04-18,12.57,12.57,12.57,12.57,0,-168.5306402343995,-0.3043495766819895,-0.16235182575782106,-0.14199775092416841,35.10310295168224
2018-04-19,12.2,12.2,12.2,12.2,10,-181.92462495426278,-0.3734687517590629,-0.20457521095806944,-0.16889354080099347,31.87179919351948
2018-04-20,12.2,12.2,12.2,12.2,0,-140.73729863692728,-0.4233658974546728,-0.24833334825739012,-0.17503254919728267,31.87179919351948
2018-04-23,13.05,13.05,13.05,13.05,30,-23.384986918897106,-0.3898281523734006,-0.2766323090805922,-0.1131958432928084,45.289783502618604
2018-04-24,13.05,13.05,13.05,13.05,0,-15.05702324238485,-0.35910965520290716,-0.2931277783050552,-0.06598187689785195,45.289783502618604
2018-04-26,12.2,12.2,12.2,12.2,10,-111.05047748976853,-0.39875630664821315,-0.3142534839736868,-0.08450282267452636,36.868390969836824
2018-04-27,12.2,12.2,12.2,12.2,0,-93.7400950871636,-0.4252742665367233,-0.3364576404862941,-0.08881662605042917,36.868390969836824
2018-05-02,11.39,12.57,11.39,12.57,30,-82.47268372998045,-0.4116883460329994,-0.35150378159563517,-0.06018456443736425,42.286106584506925
2018-05-03,11.72,11.72,11.72,11.72,10,-120.42355671598465,-0.4641587690453761,-0.37403477908558336,-0.09012398995979276,34.88059429529805
2018-05-04,11.72,11.72,11.72,11.72,0,-113.5899967094436,-0.4999785162027024,-0.39922352650900716,-0.10075498969369523,34.880594295298046
2018-05-07,11.72,11.72,11.72,11.72,0,-100.47281323877033,-0.5223446598022878,-0.4238477531676633,-0.09849690663462451,34.880594295298046
2018-05-08,11.72,11.72,11.72,11.72,0,-93.25866666666643,-0.5339153459865518,-0.445861271731441,-0.08805407425511075,34.88059429529804
2018-05-09,11.46,11.46,11.24,11.24,30,-150.25142075039452,-0.5751867913333513,-0.47172637565182307,-0.1034604156815282,30.785493699311793
2018-05-10,11.24,11.24,11.24,11.24,0,-128.95315938384186,-0.600967134082742,-0.4975745273380069,-0.10339260674473516,30.785493699311793
2018-05-11,11.24,11.24,11.24,11.24,0,-108.17282665278516,-0.614316780007961,-0.5209229778719977,-0.09339380213596327,30.785493699311793
2018-05-14,11.24,11.24,11.24,11.24,0,-92.58064516129032,-0.6177751432826124,-0.5402934109541206,-0.07748173232849176,30.785493699311793
2018-05-15,12.01,12.01,12.01,12.01,10,15.618661257606414,-0.5520200131612434,-0.5426387313955452,-0.00938128176569819,44.77505799374063
2018-05-16,12.01,12.01,12.01,12.01,0,31.941987973116387,-0.49421163471103924,-0.532953312058644,0.03874167734760481,44.775057993740624
2018-05-17,12.01,12.01,12.01,12.01,0,57.512482977757344,-0.44328812869209244,-0.5150202753853337,0.07173214669324124,44.77505799374063
2018-05-18,12.01,12.01,12.01,12.01,0,63.834370512206796,-0.39833907835027205,-0.49168403597832133,0.09334495762804929,44.775057993740624
2018-05-21,11.71,12.83,11.71,12.83,20,153.02422351017927,-0.29317000382776115,-0.4519812295482093,0.15881122572044815,57.173818627696896
2018-05-22,12.13,12.13,12.13,12.13,20,83.43115124153552,-0.26327206790467983,-0.4142393972195034,0.1509673293148236,47.392050237971375
2018-05-23,12.94,12.94,12.94,12.94,10,191.0669975186105,-0.17223212303155577,-0.3658379423819139,0.19360581935035814,56.63711586198069
2018-05-24,13.79,13.79,13.79,13.79,20,243.49924169309267,-0.031135503851398738,-0.29889745467581086,0.2677619508244121,63.82202756256774
2018-05-25,13.14,13.14,13.14,13.14,10,122.27037938609564,0.02791324911141757,-0.23353531391836518,0.26144856302978275,56.158978766069836
2018-05-28,12.29,13.14,12.25,13.14,2520,72.74797106239242,0.07385841739725407,-0.17205656765524133,0.2459149850524954,56.15897876606982
2018-05-29,13.14,13.14,13.14,13.14,0,86.917960088692,0.10901365275057806,-0.11584252357407744,0.2248561763246555,56.158978766069836
2018-05-30,12.32,12.75,12.32,12.75,110,23.60215053763455,0.10420349637212034,-0.07183331958483788,0.17603681595695822,51.52303918620215
2018-05-31,13.14,13.14,12.75,12.75,360,45.61403508771963,0.0992473511027061,-0.03761718544732908,0.1368645365500352,51.52303918620215
2018-06-01,13.1,13.64,11.98,13.64,620,62.34817813765198,0.16523045835769246,0.002952343313675228,0.16227811504401723,60.215245309349555
2018-06-04,14.56,14.56,14.56,14.56,20,215.46439759546175,0.2884339702143599,0.06004866869381217,0.22838530152054773,66.83519366642356
2018-06-05,13.56,15.57,13.56,13.56,2440,144.1655814687653,0.30190186160959165,0.10841930727696807,0.19348255433262357,55.93953215585393
2018-06-06,13.56,13.56,13.56,13.56,600,56.25983925760215,0.3090131513168579,0.14853807608494604,0.16047507523191187,55.93953215585393
2018-06-07,12.63,12.63,12.63,12.63,20,-66.9689695029785,0.23687512300982227,0.16620548546992128,0.07066963753990099,47.5743800070492
2018-06-08,12.63,12.63,12.63,12.63,0,-69.5518889189434,0.17765729316231926,0.16849584700840087,0.009161446153918396,47.57438000704919
2018-06-11,11.86,13.14,11.86,13.14,90,-67.21086503880382,0.16992073367310745,0.16878082434134217,0.0011399093317652764,52.12739106393058
2018-06-12,13.14,13.14,13.14,13.14,0,-10.008665511265527,0.1619229080485347,0.16740924108278069,-0.005486333034245977,52.12739106393058
2018-06-13,12.4,12.4,12.4,12.4,10,-107.04744357439017,0.09478019101448432,0.15288343106912142,-0.0581032400546371,45.48059735207393
2018-06-14,12.4,12.4,12.4,12.4,0,-91.32588085467695,0.041095382044620266,0.1305258212642212,-0.08943043921960092,45.48059735207393
2018-06-15,12.4,12.4,12.4,12.4,0,-82.28859719617856,-0.0014336891658945916,0.10413391917819803,-0.10556760834409262,45.48059735207393
2018-06-18,12.4,12.4,12.4,12.4,0,-72.27682490738987,-0.03473784821497716,0.076359565699563,-0.11109741391454016,45.48059735207393
2018-06-19,12.4,12.4,12.4,12.4,0,-69.04327013919506,-0.06043497740482806,0.049000657078684784,-0.10943563448351284,45.48059735207393
2018-06-20,12.4,12.4,12.4,12.4,0,-61.99915647406178,-0.07987933813870285,0.023224658035207256,-0.10310399617391011,45.48059735207393
2018-06-21,11.63,11.63,11.63,11.63,10,-132.13328804860558,-0.15562771947562837,-0.012545817466959874,-0.1430819020086685,37.68154228842607
2018-06-22,11.63,11.63,11.63,11.63,0,-141.6838487972508,-0.2132012066259179,-0.05267689529875148,-0.16052431132716644,37.681542288426066
2018-06-25,11.63,12.44,11.63,12.44,20,-58.46922583476853,-0.1912636115826878,-0.08039423855553875,-0.11086937302714904,48.463433966288314
2018-06-26,11.74,13.29,11.74,13.29,30,92.3215898825656,-0.10409012701511244,-0.08513341624745349,-0.018956710767658952,56.89201685657845
2018-06-27,13.29,13.29,13.29,13.29,10,171.6154303500857,-0.034605600621540944,-0.07502785312227098,0.04042225250073003,56.89201685657845
2018-06-28,13.29,13.29,13.29,13.29,0,136.4153333922626,0.020228208953156468,-0.055976640707185485,0.07620484966034195,56.89201685657845
2018-06-29,14.14,14.14,14.14,14.14,10,198.45257720628646,0.1307649177771708,-0.01862832901031422,0.14939324678748503,64.20389448547452
2018-07-02,13.21,13.21,13.21,13.21,10,76.65320654769681,0.1416895196446788,0.013435240720684381,0.1282542789239944,53.50961063377472
2018-07-03,14.06,14.06,14.06,14.06,10,141.43099649655093,0.21644025307768722,0.05403624319208495,0.16240400988560227,60.05808171746766
2018-07-04,13.14,13.14,13.14,13.14,10,37.701346476659864,0.19914877353856042,0.08305874926138004,0.11609002427718038,51.58814396247767
2018-07-05,12.29,13.91,12.29,13.91,20,53.32844753878089,0.24475631779094265,0.11539826296729257,0.1293580548236501,57.047983746001506
2018-07-06,13.1,14.6,13.1,14.6,20,109.09300184162069,0.33274221351242694,0.15886705307631943,0.1738751604361075,61.26385738598705
2018-07-09,13.64,15.38,13.64,15.07,170,143.52911740789398,0.43537797553339175,0.2141692375677339,0.22120873796565785,63.8655664603296
2018-07-10,14.02,14.76,14.02,14.76,20,110.79569892473147,0.4860996924953067,0.2685553285532485,0.21754436394205823,60.95741244161346
2018-07-11,15.38,15.38,14.29,14.33,1110,105.28665558224027,0.485997337494009,0.3120437303414006,0.17395360715260838,57.075114418033955
2018-07-12,13.6,14.91,13.6,14.91,20,76.06898180959172,0.5266465199004688,0.35496428825321424,0.1716822316472546,60.70998354968786
2018-07-13,13.87,14.6,13.87,14.6,20,56.153786648101274,0.5277631554622193,0.38952406169501524,0.13823909376720406,57.88842076429517
