time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,15.84,15.84,15.01,15.13,49780,,,,,
2018-01-03,15.06,15.5,15.01,15.5,70730,,,,,
2018-01-04,15.5,15.5,15.01,15.01,68600,,,,,
2018-01-05,15.16,15.16,14.87,14.96,34830,,,,,
2018-01-08,15.01,15.01,14.53,14.63,87360,,,,,
2018-01-09,14.63,15.26,14.58,15.16,53720,,,,,
2018-01-10,15.11,15.4,15.01,15.06,67870,,,,,
2018-01-11,15.06,15.06,14.87,14.96,59960,,,,,
2018-01-12,14.96,15.21,14.87,14.92,41650,,,,,
2018-01-15,14.77,15.11,14.75,14.77,73370,,,,,
2018-01-16,14.77,14.87,14.72,14.87,52270,,,,,
2018-01-17,14.77,14.77,14.67,14.7,78520,,,,,
2018-01-18,14.53,14.67,14.29,14.36,63330,,,,,
2018-01-19,14.89,14.89,14.53,14.63,15400,-86.45197740113082,,,,
2018-01-22,14.63,15.26,14.34,15.01,78760,-15.288888888889112,,,,48.245614035087705
2018-01-23,15.01,15.01,15.01,15.01,0,52.55623721881474,,,,48.245614035087705
2018-01-24,15.01,15.01,15.01,15.01,0,62.2001262626257,,,,48.245614035087705
2018-01-25,15.01,16.05,15.01,15.93,359490,257.94935657949264,,,,61.26115984706452
2018-01-26,15.93,15.93,15.5,15.59,81990,202.25988700564932,,,,55.68740365412518
2018-01-29,15.59,15.59,15.28,15.55,113240,112.08099370427136,,,,55.05279226526465
2018-01-30,15.45,15.45,15.01,15.11,118610,40.10416666666656,,,,48.50473596070201
2018-01-31,15.11,15.69,15.11,15.11,69950,57.4091332712021,,,,48.504735960702
2018-02-01,15.11,15.11,14.82,14.87,18860,-25.68708736373405,,,,45.11052473971023
2018-02-02,14.87,15.01,14.63,14.87,17230,-46.53857883501036,,,,45.11052473971022
2018-02-05,14.87,14.87,14.09,14.09,47270,-137.0515398454862,,,,35.695509402335965
2018-02-06,14.04,14.63,13.12,14.63,75120,-154.6229508196718,,,,44.3543235762506
2018-02-07,14.63,14.96,13.95,14.53,10280,-90.98920467063203,,,,43.194384106393755
2018-02-08,14.53,14.72,13.85,14.0,45660,-125.8278145695359,,,,37.584333574332554
2018-02-09,13.9,14.24,13.8,14.04,25320,-122.0902380603213,,,,38.2363243121662
2018-02-12,14.77,14.99,14.04,14.04,20810,-64.01436662522391,,,,38.2363243121662
2018-02-13,14.77,14.77,14.04,14.72,11970,-37.661927330173285,,,,48.78430191671136
2018-02-21,14.72,15.5,14.72,14.77,4120,36.71902268760958,,,,49.467664523607915
2018-02-22,14.77,14.77,14.07,14.53,38690,-34.041945254013825,,,,46.275913299131346
2018-02-23,14.53,14.75,14.29,14.6,29850,-9.442772647088884,-0.10353453939971224,-0.06921312166837407,-0.03432141773133818,47.34308552966229
2018-02-26,14.34,14.67,14.34,14.34,34810,-21.9846695670182,-0.11853917103071865,-0.07907833154084298,-0.039460839489875665,43.858291043303865
2018-02-27,14.63,14.72,14.38,14.72,33210,36.46066816095716,-0.09863067249625601,-0.08298879973192559,-0.01564187276433042,49.68728129921758
2018-02-28,15.01,15.01,14.43,14.43,26860,54.72887767969781,-0.10504275287528131,-0.08739959036059673,-0.017643162514684577,45.78076342229356
2018-03-01,14.43,14.53,14.29,14.53,40420,3.7564499484022003,-0.10089218618790596,-0.09009810952605858,-0.010794076661847382,47.3188697233067
2018-03-02,14.53,14.75,14.24,14.53,13650,22.99343044844427,-0.09649054919708,-0.09137659746026286,-0.0051139517368171405,47.31886972330669
2018-03-05,14.43,14.67,14.43,14.63,48730,44.17944349801492,-0.08396515783164915,-0.08989430953454011,0.005929151702890961,48.99689663630611
2018-03-06,14.7,14.72,14.48,14.72,63630,64.67275494672955,-0.0660154619432749,-0.08511854001628708,0.019103078073012175,50.52433150819288
2018-03-07,14.72,14.92,14.72,14.92,66340,138.8711395101188,-0.03524558098294506,-0.07514394820961867,0.039898367226673614,53.833118491381825
