time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,23.94,24.57,23.94,24.41,219590,,,,,
2018-01-03,24.33,25.2,24.33,25.04,257310,,,,,
2018-01-04,24.72,25.51,24.41,25.44,245140,,,,,
2018-01-05,24.96,25.99,24.88,25.99,228540,,,,,
2018-01-08,25.59,26.3,25.36,26.19,301840,,,,,
2018-01-09,25.99,26.23,25.75,25.83,197810,,,,,
2018-01-10,25.83,25.83,25.28,25.83,164690,,,,,
2018-01-11,25.83,25.99,25.44,25.67,236770,,,,,
2018-01-12,25.44,26.15,25.28,26.07,191540,,,,,
2018-01-15,25.83,26.15,25.75,25.99,192640,,,,,
2018-01-16,25.99,27.81,25.75,27.25,481740,,,,,
2018-01-17,27.33,28.91,26.94,28.6,550820,,,,,
2018-01-18,28.28,29.39,28.12,28.91,962340,,,,,
2018-01-19,28.91,29.23,28.6,29.23,684520,163.94474913670538,,,,
2018-01-22,28.75,29.31,28.67,28.99,377500,125.43885588322274,,,,86.58146964856226
2018-01-23,28.99,28.99,28.99,28.99,0,102.81033586531863,,,,86.58146964856226
2018-01-24,28.99,28.99,28.99,28.99,0,85.61264567638909,,,,86.58146964856225
2018-01-25,28.99,29.31,28.87,29.15,387630,78.03771915270183,,,,86.99657418902976
2018-01-26,29.31,29.46,29.07,29.15,171620,73.13748905341957,,,,86.99657418902976
2018-01-29,29.54,30.1,28.99,29.07,416890,72.70518652558927,,,,85.46346738581711
2018-01-30,29.23,29.39,28.91,29.23,307760,57.479510172596655,,,,85.99504496810063
2018-01-31,30.41,30.49,28.99,30.14,465360,94.69339353720558,,,,88.55786924821967
2018-02-01,30.02,30.22,29.7,29.86,141240,105.09703561526976,,,,83.49497591852587
2018-02-02,29.78,29.78,29.39,29.62,972120,84.77305279794545,,,,79.30959266973623
2018-02-05,29.54,30.81,29.23,30.81,974300,171.46734520780225,,,,83.67836134699658
2018-02-06,29.62,32.94,29.07,30.41,455220,194.30604982206347,,,,77.73662465751077
2018-02-07,28.32,30.02,28.32,29.07,551140,-48.51589573602579,,,,61.88379874341329
2018-02-08,28.99,29.07,27.25,27.65,252660,-185.3881278538816,,,,50.20067891790847
2018-02-09,25.71,26.07,25.71,25.71,278260,-314.5610827800759,,,,39.28783326329573
2018-02-12,25.28,25.71,24.01,25.71,261620,-226.84124386252128,,,,39.28783326329573
2018-02-13,25.75,25.91,25.71,25.91,119690,-133.6279623905204,,,,40.82583971903758
2018-02-21,25.91,27.25,25.91,26.94,749980,-76.36584730304888,,,,48.1155689470672
2018-02-22,26.82,27.09,26.62,26.82,594380,-59.59832429768373,,,,47.38319590871898
2018-02-23,26.82,27.65,26.66,27.53,757640,-35.99482088908065,0.14505111202080911,0.7482973835626825,-0.6032462715418734,52.035112687828345
2018-02-26,27.53,27.69,27.02,27.21,541260,-30.063445583211227,0.10609749798386758,0.6198574064469196,-0.513759908463052,49.89403506812994
2018-02-27,27.13,27.37,26.9,27.25,664500,-29.505510872803413,0.07756007960183453,0.5113979410779026,-0.43383786147606807,50.1700427208584
2018-02-28,27.09,28.2,27.09,27.57,705880,-3.0964561279102947,0.079844893352643,0.42508733153285067,-0.34524243818020767,52.42771239669367
2018-03-01,27.37,27.61,26.86,27.25,675250,-15.470875697264846,0.055198010754526905,0.3511094673771859,-0.295911456622659,49.98863358249025
2018-03-02,27.13,27.17,26.54,27.02,667630,-26.0626480138677,0.016911159593558267,0.28426980582046035,-0.2673586462269021,48.2510942923314
2018-03-05,27.02,27.17,26.38,26.46,663440,-29.27713573532759,-0.05795074555641477,0.21582569554508532,-0.2737764411015001,44.22081634472326
2018-03-06,26.27,27.53,26.27,27.53,1123020,32.51526397701376,-0.0305867026333857,0.1665432159093911,-0.1971299185427768,52.401691812268645
2018-03-07,27.49,27.65,26.94,27.17,756030,59.4363609170344,-0.03751701997137502,0.1257311687332379,-0.1632481887046129,49.757519483965375
