time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,7.71,7.71,7.32,7.55,6450,,,,,
2018-01-03,7.45,7.48,7.27,7.27,10960,,,,,
2018-01-04,7.19,7.35,7.17,7.35,74451,,,,,
2018-01-05,7.32,7.35,7.19,7.35,39030,,,,,
2018-01-08,7.32,7.84,7.19,7.68,42954,,,,,
2018-01-09,7.6,7.68,7.5,7.66,26625,,,,,
2018-01-10,7.71,7.71,7.58,7.68,37610,,,,,
2018-01-11,7.71,7.73,7.53,7.66,20300,,,,,
2018-01-12,7.66,7.71,7.55,7.63,30887,,,,,
2018-01-15,7.63,7.66,7.58,7.63,9361,,,,,
2018-01-16,7.71,7.71,7.45,7.63,28220,,,,,
2018-01-17,7.58,7.63,7.45,7.48,39000,,,,,
2018-01-18,7.55,7.55,7.45,7.45,1497,,,,,
2018-01-19,7.55,7.55,6.96,7.45,19185,-108.34806521312001,,,,
2018-01-22,7.45,7.5,7.27,7.4,24612,-58.0450302031847,,,,42.57425742574259
2018-01-23,7.71,7.71,7.32,7.45,6525,-9.264915495825932,,,,45.48083875632683
2018-01-24,7.45,7.45,7.22,7.4,8600,-98.75829586812277,,,,43.12991191518541
2018-01-25,7.37,7.42,7.19,7.22,57412,-145.96247100990865,,,,35.92961512071627
2018-01-26,7.4,7.4,6.73,7.24,32400,-178.22505307855553,,,,37.184434663378724
2018-01-29,7.6,7.6,6.94,7.24,10350,-90.69767441860445,,,,37.184434663378724
2018-01-30,7.4,7.4,7.01,7.19,6400,-100.75512405609489,,,,35.18637765189962
2018-01-31,7.42,7.42,7.17,7.19,12757,-64.71354166666622,,,,35.18637765189962
2018-02-01,6.96,7.14,6.94,7.14,7700,-135.04273504273488,,,,33.122252958962896
2018-02-02,7.14,7.14,7.09,7.09,1300,-106.3321385902037,,,,31.154089705214087
2018-02-05,7.09,7.09,6.96,7.04,5106,-129.39506829874082,,,,29.280378640504175
2018-02-06,7.04,7.04,6.35,6.68,16400,-226.50058275058268,,,,19.968311800397142
2018-02-07,7.19,7.19,6.94,7.01,2900,-62.306420087204586,,,,39.090934456020236
2018-02-08,7.19,7.19,6.96,6.96,1302,-57.27699530516453,,,,37.62406345422886
2018-02-09,7.06,7.14,6.81,6.99,4800,-72.4664795759273,,,,39.1006684400721
2018-02-12,7.19,7.19,7.12,7.12,2000,17.035546613011476,,,,45.15907989178321
2018-02-13,7.19,7.19,6.42,7.12,9700,-99.65349965349981,,,,45.15907989178321
2018-02-21,7.24,7.24,7.09,7.09,1600,43.523316062176626,,,,43.98789177836167
2018-02-22,7.19,7.19,6.94,7.06,18500,-2.4922118380058715,,,,42.79270442598981
2018-02-23,7.19,7.19,6.81,7.06,15700,-21.989528795811687,-0.13344335722041212,-0.16598592279022206,0.032542565569809945,42.79270442598982
2018-02-26,7.19,7.19,6.76,7.04,53266,-30.89629027890572,-0.1279527920659982,-0.15837929664537728,0.030426504579379093,41.9122201290048
2018-02-27,7.04,7.04,6.94,6.94,1800,-37.03703703703743,-0.13017012373059078,-0.15273746206241998,0.022567338331829195,37.73185058856775
2018-02-28,6.94,6.94,6.83,6.83,11000,-106.5960912052123,-0.1391988579552086,-0.1500297412409777,0.010830883285769116,33.744746721001306
2018-03-01,6.81,6.83,6.45,6.68,24160,-195.33164343050345,-0.15665215276987787,-0.15135422354675773,-0.00529792922312014,29.211705987046145
2018-03-02,6.68,6.68,6.65,6.65,1200,-141.65382639958963,-0.17093433927402213,-0.15527024669221062,-0.015664092581811506,28.390281166549734
2018-03-05,6.68,6.68,6.63,6.63,1900,-142.52472367655662,-0.18177155845220927,-0.16057050904421036,-0.021201049407998912,27.828465831210654
2018-03-06,6.94,6.94,6.42,6.5,14100,-122.94617563739426,-0.19856115685731623,-0.16816863860683154,-0.030392518250484696,24.44260279464791
2018-03-07,6.6,6.6,6.19,6.19,19400,-179.5119705340705,-0.23418194014499427,-0.18137129891446407,-0.0528106412305302,18.623618212285336
2018-03-08,6.45,6.47,6.22,6.22,21200,-143.58454106280178,-0.257028058787534,-0.19650265088907806,-0.060525407898455924,20.59376508964177
2018-03-09,6.45,6.45,6.22,6.32,12840,-114.48007774538418,-0.26402113682613315,-0.21000634807648907,-0.05401478874964408,26.94305509720598
2018-03-12,6.45,6.45,6.04,6.29,59624,-113.03219106957425,-0.268884418630436,-0.22178196218727847,-0.047102456443157525,26.264560131119687
2018-03-13,6.45,6.45,6.06,6.4,32686,-92.3664825046042,-0.26085554347847406,-0.2295966784455176,-0.03125886503295647,32.933566277527746
2018-03-14,6.45,6.45,6.14,6.4,5800,-71.98094704399041,-0.2515924014821689,-0.23399582305284786,-0.017596578429321025,32.933566277527746
2018-03-15,6.19,6.35,6.04,6.32,44166,-84.03473613894457,-0.24784957055649137,-0.23676657255357655,-0.011082998002914818,30.599237043993416
