time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-12-18,7.84,7.84,7.84,7.84,219600,,,,,
2018-12-19,8.55,8.6,8.55,8.6,6300,,,,,
2018-12-20,9.42,9.42,9.42,9.42,47700,,,,,
2018-12-21,10.29,10.29,9.22,9.53,89500,,,,,
2018-12-24,9.53,9.68,9.53,9.63,72800,,,,,
2018-12-25,9.58,9.58,9.42,9.53,81000,,,,,
2018-12-26,9.47,9.73,9.27,9.73,84500,,,,,
2018-12-27,9.78,9.83,9.73,9.78,87500,,,,,
2018-12-28,9.78,9.99,9.78,9.99,33300,,,,,
2019-01-02,9.99,10.04,9.73,9.83,23600,,,,,
2019-01-03,9.83,9.88,9.73,9.78,24700,,,,,
2019-01-04,9.73,9.83,9.73,9.78,64700,,,,,
2019-01-07,9.78,9.99,9.73,9.88,92900,,,,,
2019-01-08,9.88,9.93,9.83,9.88,44300,64.73653049141528,,,,
2019-01-09,9.83,9.93,9.78,9.83,43100,58.63724588824209,,,,86.7158671586715
2019-01-10,9.83,9.93,9.83,9.88,22000,68.9435101336788,,,,86.97467297522954
2019-01-11,9.88,9.99,9.88,9.93,25300,95.69204521220054,,,,87.24234100106935
2019-01-14,9.93,10.14,9.93,10.04,103800,137.80760626398177,,,,87.8346389475513
2019-01-15,10.04,10.24,10.04,10.14,138400,178.18702680581092,,,,88.36354895256248
2019-01-16,10.09,10.14,10.04,10.04,40200,129.31334959916248,,,,84.41131948433531
2019-01-17,9.99,10.04,9.83,9.99,42000,33.46763362879398,,,,82.42618966274783
2019-01-18,9.93,10.04,9.83,9.88,46310,-3.543248474022127,,,,78.07595301418876
2019-01-21,9.83,9.88,9.78,9.83,20600,-69.29530201342298,,,,76.10965467348699
2019-01-22,9.78,9.99,9.78,9.93,20900,-14.056224899599018,,,,77.3388710559241
2019-01-23,9.93,9.99,9.88,9.93,42400,6.300434512725029,,,,77.3388710559241
2019-01-24,9.93,10.09,9.83,9.88,69300,-4.162294508570589,,,,75.09821649766825
2019-01-25,9.83,9.99,9.83,9.93,23700,-25.785482123511866,,,,75.85165722694035
2019-01-28,9.93,10.09,9.83,9.88,69000,-12.57014590348031,,,,73.45810427247207
2019-01-29,9.83,10.14,9.78,10.14,98400,66.45091693635526,,,,77.44401673848508
2019-01-30,10.04,10.24,10.04,10.24,44500,164.8004593741018,,,,78.76489148869297
2019-01-31,10.19,10.34,9.99,10.09,49600,109.65779467680441,,,,71.95791302970835
2019-02-01,10.04,10.09,9.99,10.09,18400,45.655962160816266,,,,71.95791302970835
2019-02-11,10.09,10.14,10.09,10.14,22800,96.76522618145063,,,,72.86449629248615
2019-02-12,10.14,10.19,9.93,9.99,106200,35.50326797385652,0.16228850819957863,0.1945690184079704,-0.03228051020839176,65.97363200479035
2019-02-13,9.99,10.09,9.88,10.04,39200,7.282913165265457,0.1504419131124024,0.1857435973488568,-0.035301684236454384,67.09084975437361
2019-02-14,10.04,10.19,10.04,10.19,61500,97.84946236558959,0.1514117669545012,0.17887723126998567,-0.027465464315484467,70.24700830093494
2019-02-15,10.14,10.29,9.99,10.04,45500,63.14760508308808,0.1384803217657815,0.17079784936914483,-0.032317527603363316,63.67091567050451
2019-02-18,9.99,10.14,9.99,10.09,46600,28.081457663448038,0.13075932827871206,0.16279014515105827,-0.03203081687234621,64.85206111724291
2019-02-19,10.04,10.19,9.88,10.14,57500,18.040013563918645,0.12720858605062446,0.1556738333309715,-0.02846524728034705,66.04107664061382
2019-02-20,10.14,10.19,10.04,10.09,64300,47.19696969696822,0.11898839101664649,0.1483367448681065,-0.029348353851460007,63.71969763819736
