time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2021-01-14,15.8,15.8,15.8,15.8,600,,,,,
2021-01-15,17.3,17.3,17.3,17.3,100,,,,,
2021-01-18,19.0,19.0,19.0,19.0,100,,,,,
2021-01-19,20.9,20.9,20.9,20.9,100,,,,,
2021-01-20,22.9,22.9,22.9,22.9,53400,,,,,
2021-01-21,25.1,25.1,20.8,20.8,37600,,,,,
2021-01-22,20.8,20.8,19.1,19.1,2100,,,,,
2021-01-25,19.0,19.0,18.0,19.0,31500,,,,,
2021-01-26,18.0,18.0,17.2,17.2,8300,,,,,
2021-01-27,16.8,16.8,15.8,15.8,2600,,,,,
2021-01-28,15.8,15.8,14.7,14.7,1100,,,,,
2021-01-29,14.7,14.7,14.6,14.7,1500,,,,,
2021-02-01,14.6,14.7,14.5,14.5,5600,,,,,
2021-02-02,14.5,14.7,14.5,14.7,3900,-88.34238871413586,,,,
2021-02-03,14.8,14.9,14.8,14.9,600,-78.06013217909327,,,,47.16981132075472
2021-02-04,14.9,15.8,14.9,15.8,12200,-54.73327990025822,,,,50.20519835841314
2021-02-05,15.8,15.8,15.8,15.8,100,-41.268985350947986,,,,50.20519835841313
2021-02-08,14.7,15.5,14.7,15.5,13400,-49.81814607293813,,,,49.11429091801746
2021-02-09,15.5,15.6,15.5,15.6,2100,-32.881662149954686,,,,49.508134760216315
2021-02-17,14.5,14.7,14.5,14.7,800,-70.07963594994311,,,,46.0533821627397
2021-02-18,15.6,15.8,14.7,15.7,9100,-15.141430948419119,,,,50.21074729644429
2021-02-19,15.7,16.1,14.5,15.0,5100,-16.790736145574375,,,,47.45392477286638
2021-02-22,15.0,15.5,13.5,14.6,9100,-94.69696969696952,,,,45.90296858242864
2021-02-23,14.4,15.0,14.4,15.0,2300,-42.98245614035098,,,,47.742309732005786
2021-02-24,15.0,15.0,13.5,13.5,3400,-151.04669887278567,,,,41.97824228364651
2021-02-25,14.8,14.8,14.6,14.8,37500,-36.42276422764237,,,,47.85423742056257
2021-02-26,15.0,15.3,15.0,15.3,5000,31.57894736842104,,,,49.95354095506187
2021-03-01,16.0,16.0,16.0,16.0,3200,136.4437532400204,,,,52.81739479824075
2021-03-02,16.6,16.6,16.0,16.0,1000,141.4141414141411,,,,52.81739479824075
2021-03-03,16.0,16.0,16.0,16.0,0,100.40214477211795,,,,52.81739479824075
2021-03-04,14.8,15.8,14.4,15.8,20900,18.42546063651572,,,,51.7604279663791
2021-03-05,15.8,15.8,14.9,14.9,4800,0.0,,,,47.184483110372796
2021-03-08,15.8,16.3,15.8,16.0,6400,104.67289719626147,,,,52.68968922591806
2021-03-09,15.1,16.4,15.0,16.4,1400,78.3410138248842,-0.5073513203380724,-0.8912681385013806,0.38391681816330825,54.54511917411686
2021-03-10,16.3,18.0,16.3,18.0,9300,191.88290086493666,-0.28192362072977417,-0.7693992349470593,0.48747561421728514,61.11445710337697
2021-03-11,19.8,19.8,16.2,16.5,110500,153.9823008849556,-0.221751792025497,-0.6598697463627469,0.43811795433724987,53.33249767711554
2021-03-12,16.4,16.5,16.4,16.5,4200,60.14171833480919,-0.17208153543923643,-0.5623121041780448,0.39023056873880835,53.33249767711554
2021-03-15,18.1,18.1,16.3,17.8,18300,125.48148148148161,-0.02750134540226057,-0.45534995242288795,0.4278486070206274,58.627630503483196
2021-03-16,19.5,19.5,17.8,19.0,5200,189.74358974358913,0.1818136336341425,-0.32791723521148186,0.5097308688456244,62.82116877570852
