time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-06-06,7.82,0.0,0.0,0.0,0,,,,,
2018-06-07,7.82,7.82,7.82,7.82,0,,,,,
2018-06-08,7.82,7.82,7.82,7.82,0,,,,,
2018-06-11,7.82,7.82,7.82,7.82,0,,,,,
2018-06-12,7.82,7.82,7.82,7.82,0,,,,,
2018-06-13,7.82,7.82,7.82,7.82,0,,,,,
2018-06-14,7.82,7.82,7.82,7.82,0,,,,,
2018-06-15,7.82,7.82,7.82,7.82,0,,,,,
2018-06-18,7.82,7.82,7.82,7.82,0,,,,,
2018-06-19,7.82,7.82,7.82,7.82,0,,,,,
2018-06-20,7.82,7.82,7.82,7.82,0,,,,,
2018-06-21,7.82,7.82,7.82,7.82,0,,,,,
2018-06-22,7.82,7.82,7.82,7.82,0,,,,,
2018-06-25,10.94,10.94,10.94,10.94,100,215.47369090793364,,,,
2018-06-26,10.94,10.94,10.94,10.94,0,233.33333333333414,,,,100.0
2018-06-27,10.94,10.94,10.94,10.94,0,155.55555555555574,,,,100.0
2018-06-28,11.64,11.64,11.64,11.64,200,142.6909458775926,,,,100.0
2018-06-29,11.64,11.64,11.64,11.64,0,111.26797385620934,,,,100.0
2018-07-02,11.64,11.64,11.64,11.64,0,91.50656420108889,,,,100.0
2018-07-03,11.64,11.64,11.64,11.64,0,78.03030303030317,,,,100.0
2018-07-04,11.64,11.64,11.64,11.64,0,68.37666900913571,,,,100.0
2018-07-05,11.64,11.64,11.64,11.64,0,61.29698471705919,,,,100.0
2018-07-06,11.64,11.64,11.64,11.64,200,56.16805170821796,,,,100.0
2018-07-09,11.64,11.64,11.64,11.64,0,52.839011356045525,,,,100.0
2018-07-10,11.64,11.64,11.64,11.64,0,51.85185185185189,,,,100.0
2018-07-11,9.91,9.91,9.91,9.91,100,-112.31178891309595,,,,75.03912862058513
2018-07-12,9.91,9.91,9.91,9.91,0,-174.02078337330138,,,,75.03912862058513
2018-07-13,9.91,9.91,9.91,9.91,0,-138.71747316360376,,,,75.03912862058513
2018-07-16,9.91,9.91,9.91,9.91,0,-112.95810245941466,,,,75.03912862058513
2018-07-17,9.91,9.91,9.91,9.91,0,-93.33333333333324,,,,75.03912862058513
2018-07-18,9.91,9.91,9.91,9.91,0,-77.77777777777783,,,,75.03912862058513
2018-07-19,9.91,9.91,9.91,9.91,0,-66.66666666666667,,,,75.03912862058512
2018-07-20,9.91,9.91,9.91,9.91,0,-58.3333333333333,,,,75.03912862058513
2018-07-23,9.91,9.91,9.91,9.91,0,-51.851851851851784,0.7254001283358971,1.2959564620821125,-0.5705563337462154,75.03912862058513
2018-07-24,9.92,9.92,9.92,9.92,0,-45.81646423751683,0.6416669226122593,1.1650985541881418,-0.5234316315758825,75.10909934995547
2018-07-25,8.48,8.48,8.48,8.48,100,-180.9616951915241,0.4538797452206662,1.0228547923946467,-0.5689750471739805,52.35126199052683
2018-07-26,8.48,8.48,8.48,8.48,0,-203.88253564873656,0.30158062053812884,0.8785999580233431,-0.5770193374852143,52.35126199052683
2018-07-27,8.48,8.48,8.48,8.48,0,-155.55555555555563,0.1788211283163328,0.7386441920819411,-0.5598230637656083,52.35126199052682
2018-07-30,8.48,8.48,8.48,8.48,0,-116.66666666666664,0.08060419135263075,0.607036191936079,-0.5264320005834483,52.35126199052683
2018-07-31,8.48,8.48,8.48,8.48,0,-93.3333333333336,0.002735033431182643,0.4861759602350998,-0.48344092680391715,52.35126199052683
2018-08-01,8.48,8.48,8.48,8.48,0,-77.77777777777783,-0.05830473455207397,0.377279821277665,-0.435584555829739,52.35126199052683
2018-08-02,8.48,8.48,8.48,8.48,0,-66.66666666666673,-0.10546347317654003,0.280731162386824,-0.38619463556336403,52.35126199052683
2018-08-03,8.48,8.48,8.48,8.48,0,-58.333333333333556,-0.14120933992589002,0.1963430619242812,-0.3375524018501712,52.35126199052683
2018-08-06,8.48,8.48,8.48,8.48,0,-51.85185185185194,-0.16760613763633891,0.12355322201215717,-0.2911593596484961,52.351261990526844
2018-08-07,8.48,8.48,8.48,8.48,0,-46.66666666666678,-0.18637734794923944,0.061567108019877845,-0.2479444559691173,52.351261990526844
2018-08-08,8.48,8.48,8.48,8.48,0,-42.42424242424257,-0.19896017827474033,0.009461650760954204,-0.20842182903569453,52.35126199052683
2018-08-09,8.48,8.48,8.48,8.48,0,-38.8888888888891,-0.20655116866338297,-0.03374091312391323,-0.17281025553946974,52.351261990526844
2018-08-10,8.48,8.48,8.48,8.48,0,-35.8974358974363,-0.21014466633353557,-0.06902166376583771,-0.14112300256769786,52.35126199052683
