time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,14.13,14.74,14.13,14.74,30,,,,,
2018-01-03,14.04,14.09,14.04,14.09,2470,,,,,
2018-01-04,14.04,14.13,13.2,13.95,6010,,,,,
2018-01-05,13.76,14.18,13.3,13.58,3290,,,,,
2018-01-08,12.93,14.32,12.93,13.95,2720,,,,,
2018-01-09,13.95,14.32,13.95,14.32,80,,,,,
2018-01-10,13.62,13.99,13.62,13.62,270,,,,,
2018-01-11,13.62,13.95,13.62,13.95,6420,,,,,
2018-01-12,13.58,13.95,13.02,13.02,330,,,,,
2018-01-15,13.86,13.9,13.2,13.9,4200,,,,,
2018-01-16,13.3,14.83,13.3,14.83,5830,,,,,
2018-01-17,14.88,14.88,13.95,13.95,1300,,,,,
2018-01-18,13.11,14.41,13.11,14.41,1410,,,,,
2018-01-19,14.41,14.74,13.95,13.95,630,63.755458515283884,,,,
2018-01-22,13.48,13.53,13.2,13.2,60,-139.99999999999952,,,,40.632603406326034
2018-01-23,13.2,13.2,13.2,13.2,0,-141.25009965717965,,,,40.632603406326034
2018-01-24,13.2,13.2,13.2,13.2,0,-117.68765563856289,,,,40.63260340632604
2018-01-25,13.02,13.02,13.02,13.02,1160,-126.5279583875159,,,,39.55089294280358
2018-01-26,12.32,13.9,12.32,13.9,1870,-54.108053007135396,,,,46.98201582656136
2018-01-29,13.48,13.48,13.11,13.25,180,-60.46901172529286,,,,42.79703385667465
2018-01-30,12.69,13.95,12.65,13.95,2010,-16.132730015082565,,,,48.153191370234
2018-01-31,13.39,13.39,13.11,13.11,1000,-63.76522501284476,,,,42.95540379420984
2018-02-01,12.46,13.72,12.46,12.46,810,-108.85167464114795,,,,39.41035249164243
2018-02-02,11.72,13.2,11.72,11.72,2830,-179.35717519239472,,,,35.789102004953406
2018-02-05,11.34,12.27,10.97,12.27,570,-206.69106116048061,,,,40.188078628944915
2018-02-06,11.44,12.55,11.44,12.55,1610,-127.38658568166309,,,,42.35327636767606
2018-02-07,11.81,12.09,11.76,11.76,3170,-133.69974940510062,,,,38.15635845875638
2018-02-08,12.09,12.55,12.09,12.55,450,-54.82577860006206,,,,44.1196651509266
2018-02-09,11.81,11.81,11.81,11.81,510,-106.11657471815808,,,,40.20855646370396
2018-02-12,11.25,11.25,11.25,11.25,410,-138.54205607476658,,,,37.499406405541066
2018-02-13,10.69,12.0,10.69,12.0,90,-91.96078431372574,,,,43.035190557300886
2018-02-21,12.65,12.83,11.62,12.83,280,1.3775355737207358,,,,48.47421641400162
2018-02-22,12.09,13.58,12.09,13.58,130,79.84015433374658,,,,52.85468777328363
2018-02-23,12.83,13.76,12.74,13.76,220,115.44969865553985,-0.31469390110327744,-0.5612788745995884,0.24658497349631092,53.868345181843004
