time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,9.52,9.73,8.68,9.59,3430,,,,,
2018-01-03,9.59,9.7,9.45,9.63,1210,,,,,
2018-01-04,9.8,9.8,9.38,9.59,40,,,,,
2018-01-05,9.45,9.8,9.3,9.45,5300,,,,,
2018-01-08,9.45,9.79,9.45,9.66,1060,,,,,
2018-01-09,9.79,9.79,9.56,9.56,150,,,,,
2018-01-10,9.44,9.45,9.26,9.3,3260,,,,,
2018-01-11,9.3,9.3,9.3,9.3,0,,,,,
2018-01-12,9.45,9.45,9.24,9.28,5220,,,,,
2018-01-15,9.28,9.45,9.28,9.35,2080,,,,,
2018-01-16,9.45,9.45,8.93,9.4,10560,,,,,
2018-01-17,9.4,9.4,9.1,9.1,16280,,,,,
2018-01-18,9.07,9.07,8.96,9.07,1350,,,,,
2018-01-19,8.63,9.26,8.63,9.03,30750,-158.06296066680434,,,,
2018-01-22,9.44,9.44,8.75,8.82,32910,-121.79155900086236,,,,24.50331125827824
2018-01-23,8.82,8.82,8.82,8.82,0,-152.89246950878413,,,,24.503311258278245
2018-01-24,8.82,8.82,8.82,8.82,0,-125.09865005192088,,,,24.503311258278252
2018-01-25,9.44,9.44,8.86,8.86,32280,-45.29721595184446,,,,26.921157903029602
2018-01-26,9.21,9.21,8.93,9.07,2180,-30.517023959647634,,,,38.12484856431852
2018-01-29,9.45,9.45,9.07,9.07,1020,30.358043368633595,,,,38.124848564318526
2018-01-30,8.93,9.44,8.75,9.38,2420,34.251755807671124,,,,50.98885071897556
2018-01-31,8.86,9.24,8.86,9.24,420,6.060606060606878,,,,46.306608967073004
2018-02-01,9.26,9.26,8.79,8.79,6350,-68.11909949164925,,,,35.13749800485854
2018-02-02,8.75,9.0,8.68,8.91,84280,-100.88980150581804,,,,39.339307935972315
2018-02-05,8.86,8.86,8.67,8.75,126070,-135.8228810338273,,,,35.99146093893107
2018-02-06,8.65,8.75,8.65,8.75,21530,-132.866881951919,,,,35.99146093893107
2018-02-07,9.03,9.03,8.75,8.93,10040,-29.50408035153762,,,,42.38838009509598
2018-02-08,8.75,8.77,8.75,8.75,3140,-90.34482758620724,,,,38.26957475562335
2018-02-09,9.03,9.03,9.03,9.03,10,40.136054421767994,,,,46.911236567774296
2018-02-12,9.1,9.24,9.1,9.24,240,99.14529914529999,,,,52.30416214128497
2018-02-13,9.24,9.8,8.67,9.45,410,127.5123081378513,,,,57.00743189629689
2018-02-21,9.87,9.87,9.24,9.28,2170,155.84528465884378,,,,52.49460774515817
2018-02-22,9.44,9.44,9.1,9.28,4530,75.20128824476633,,,,52.494607745158184
2018-02-23,9.56,9.63,9.28,9.51,370,123.7467983900475,-0.021090696265462228,-0.14242856799237696,0.12133787172691474,57.743404103954234
2018-02-26,9.52,9.63,9.52,9.63,130,133.97932816537417,0.016736210973352428,-0.11059561219923109,0.1273318231725835,60.21337592681856
2018-02-27,9.59,9.59,9.59,9.59,110,108.76595744680832,0.04299106751688697,-0.07987827625600748,0.12286934377289445,58.97590352401583
2018-02-28,9.52,9.52,9.31,9.51,2590,65.18784972022334,0.05668941874026068,-0.05256473725675385,0.10925415599701452,56.47601154721601
2018-03-01,9.63,9.87,9.31,9.58,7020,86.821705426356,0.07235975751936863,-0.027579838301529352,0.09993959582089798,58.14771244827046
2018-03-02,9.58,9.8,8.91,9.63,15930,47.111111111110944,0.08780107983896102,-0.004503654673431279,0.0923047345123923,59.34876035762082
2018-03-05,9.63,9.8,9.28,9.63,2020,73.27703054947312,0.09889839983478055,0.01617675622821109,0.08272164360656946,59.34876035762082
2018-03-06,9.63,9.8,9.31,9.56,780,62.91382813433677,0.10088178843737694,0.033117762670044265,0.06776402576733268,56.70652460492667
2018-03-07,9.31,9.79,9.28,9.45,14210,38.22566752799197,0.09251114659112147,0.044996439454259705,0.04751470713686177,52.73346100564304
2018-03-08,9.77,9.77,9.35,9.59,10870,67.934532042414,0.09606678449971184,0.055210508463350134,0.04085627603636171,56.87482488491352
2018-03-09,9.7,9.7,9.59,9.66,48450,114.00052534804217,0.10334180810900939,0.06483676839248198,0.03850503971652741,58.81774267084221
2018-03-12,9.72,9.73,9.63,9.63,18670,113.47578347578356,0.1054707661150509,0.07296356793699577,0.03250719817805514,57.61961850208114
2018-03-13,9.47,9.8,9.47,9.63,4380,78.71485943775065,0.10593680710422859,0.07955821577044234,0.026378591333786255,57.61961850208114
2018-03-14,9.63,9.8,9.63,9.66,5760,139.92094861659984,0.10748784426550273,0.08514414146945441,0.022343702796048318,58.597726989574795
