time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,8.71,8.71,8.71,8.71,1300,,,,,
2018-01-03,8.71,8.71,8.71,8.71,0,,,,,
2018-01-04,8.74,8.74,8.71,8.71,3700,,,,,
2018-01-05,8.71,8.71,8.71,8.71,60,,,,,
2018-01-08,8.71,8.71,8.71,8.71,0,,,,,
2018-01-09,8.87,8.87,8.87,8.87,1000,,,,,
2018-01-10,8.87,8.87,8.87,8.87,0,,,,,
2018-01-11,8.87,8.87,8.87,8.87,0,,,,,
2018-01-12,8.87,8.87,8.87,8.87,10,,,,,
2018-01-15,8.87,8.87,8.87,8.87,30,,,,,
2018-01-16,8.87,8.87,8.87,8.87,0,,,,,
2018-01-17,8.87,8.87,8.87,8.87,0,,,,,
2018-01-18,8.21,8.21,8.21,8.21,100,,,,,
2018-01-19,8.21,8.21,8.21,8.21,0,-225.12404149752106,,,,
2018-01-22,8.21,8.21,8.21,8.21,100,-155.55555555555634,,,,19.5121951219511
2018-01-23,7.56,7.56,7.56,7.56,1630,-219.34235976789248,,,,10.52631578947359
2018-01-24,7.56,7.56,7.56,7.56,0,-157.35343383584666,,,,10.526315789473593
2018-01-25,7.56,7.56,7.56,7.56,0,-123.61830742659807,,,,10.52631578947359
2018-01-26,8.31,8.31,8.31,8.31,800,-14.116434827408504,,,,46.21929998482514
2018-01-29,9.13,9.13,9.13,9.13,100,97.57305596830106,,,,63.4071363139872
2018-01-30,9.13,9.13,9.13,9.13,0,91.46399618502612,,,,63.40713631398721
2018-01-31,8.38,8.48,8.38,8.48,700,4.534686971235004,,,,49.008149499683775
2018-02-01,8.48,8.48,8.48,8.48,0,14.067278287461715,,,,49.008149499683775
2018-02-02,8.67,8.67,8.67,8.67,100,46.43985870979694,,,,52.6531258727705
2018-02-05,8.67,8.67,8.67,8.67,0,50.35583766108851,,,,52.6531258727705
2018-02-06,8.87,8.87,7.82,7.82,200,-24.102883219249474,,,,38.408381910583856
2018-02-07,7.82,7.82,7.82,7.82,0,-74.78731631863891,,,,38.40838191058385
2018-02-08,7.92,7.92,7.89,7.89,1100,-55.21922583012317,,,,39.95977300794968
2018-02-09,7.89,7.89,7.89,7.89,0,-50.56630074925961,,,,39.95977300794967
2018-02-12,8.67,8.67,8.67,8.67,100,55.38233110616145,,,,54.704088473996414
2018-02-13,8.67,8.67,8.67,8.67,0,47.44444444444415,,,,54.70408847399643
2018-02-21,8.67,8.67,8.67,8.67,1000,39.84563434635769,,,,54.70408847399643
2018-02-22,8.67,8.67,8.67,8.67,0,34.87371634748812,,,,54.70408847399643
2018-02-23,8.67,8.67,8.67,8.67,0,45.19876291770346,-0.04335521295141298,-0.172423280994153,0.12906806804274001,54.70408847399643
2018-02-26,8.67,8.67,8.67,8.67,500,56.541524459612866,-0.021447320650750612,-0.1422280889254725,0.1207807682747219,54.704088473996414
2018-02-27,8.67,8.67,8.67,8.67,0,51.06232294617527,-0.004038603655635242,-0.11459019187150506,0.11055158821586981,54.704088473996414
2018-02-28,8.67,8.67,8.67,8.67,0,46.66666666666641,0.009646728504705493,-0.08974280779626295,0.09938953630096845,54.70408847399643
2018-03-01,8.54,8.54,8.54,8.54,200,19.826779026217274,0.009888550242809657,-0.06981653618844844,0.0797050864312581,50.93266818246162
2018-03-02,8.54,8.54,8.54,8.54,0,22.365283738674176,0.009965321687275264,-0.053860164613303695,0.06382548630057897,50.93266818246162
