time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,33.8,33.8,33.8,33.8,170,,,,,
2018-01-03,33.8,33.8,33.8,33.8,0,,,,,
2018-01-04,33.8,33.8,33.8,33.8,0,,,,,
2018-01-05,33.8,33.8,33.8,33.8,0,,,,,
2018-01-08,33.8,33.8,33.8,33.8,5200,,,,,
2018-01-09,32.31,32.31,31.51,31.51,71420,,,,,
2018-01-10,33.7,33.7,33.7,33.7,10,,,,,
2018-01-11,31.46,31.46,31.46,31.46,30000,,,,,
2018-01-12,32.81,32.81,32.81,32.81,10,,,,,
2018-01-15,32.81,32.81,32.81,32.81,0,,,,,
2018-01-16,32.81,32.81,32.81,32.81,0,,,,,
2018-01-17,30.67,30.67,30.62,30.62,30090,,,,,
2018-01-18,31.31,31.31,31.31,31.31,10,,,,,
2018-01-19,29.13,30.82,29.13,30.82,30,-144.24136386832024,,,,
2018-01-22,30.82,30.82,30.82,30.82,0,-90.58823529411723,,,,36.97552447552449
2018-01-23,30.82,30.82,30.82,30.82,0,-77.5278622087131,,,,36.97552447552449
2018-01-24,30.82,30.82,30.82,30.82,0,-68.2421827840153,,,,36.97552447552449
2018-01-25,30.82,30.82,28.88,28.88,420,-129.85419373466175,,,,30.512846947700766
2018-01-26,30.82,30.82,30.82,30.82,550,-44.70365850740553,,,,41.52032390857319
2018-01-29,28.73,32.76,28.68,29.77,5200,-65.44406724296844,,,,38.01069403225702
2018-01-30,31.21,31.21,31.21,31.21,110,2.666904783164786,,,,44.89062312713071
2018-01-31,31.81,31.81,31.81,31.81,10,51.06865192070456,,,,47.50494482013593
2018-02-01,29.62,31.21,29.62,31.21,4630,-37.06788555950627,,,,45.19597645250801
2018-02-02,31.21,31.21,31.21,31.21,300,34.67360659292996,,,,45.19597645250801
2018-02-05,29.08,29.82,29.08,29.82,50,-167.15317484200958,,,,39.97554417472804
2018-02-06,29.82,29.82,29.82,29.82,600,-105.5642225689019,,,,39.97554417472804
2018-02-07,30.82,30.82,28.83,28.83,20,-118.46830916735478,,,,36.493663256933665
2018-02-08,30.62,30.62,30.62,30.62,100,8.986390412350204,,,,45.70244759812795
2018-02-09,28.53,28.53,28.48,28.48,970,-176.22892084268864,,,,38.51240719196652
2018-02-12,30.32,30.47,26.69,29.82,25550,-104.83293556085918,,,,44.409870723999404
2018-02-13,31.81,31.81,27.74,29.82,162500,-32.46935905163733,,,,44.40987072399941
2018-02-21,30.32,30.82,30.32,30.82,950,34.62926800402418,,,,48.67082274883245
2018-02-22,30.82,31.81,30.82,31.81,80,97.30747611017429,,,,52.54855881212019
2018-02-23,29.62,29.82,29.62,29.82,25810,-39.947014854764106,-0.6571720294783887,-0.9636094588492798,0.30643742937089113,45.162767173656285
2018-02-26,28.83,28.83,27.88,28.03,14710,-135.57539377148439,-0.7894526507364574,-0.9287780972267153,0.1393254464902579,39.75067277221228
2018-02-27,26.1,29.08,26.1,28.83,27850,-141.20106423413168,-0.8202770388932201,-0.9070778855600163,0.08680084666679622,43.03620244043747
2018-02-28,29.62,29.62,29.62,29.62,930,-6.564729867481966,-0.7720593710514407,-0.8800741826583012,0.10801481160686044,46.15862123140768
2018-03-01,28.78,28.83,28.78,28.83,20000,-65.08439802294134,-0.7885035415907709,-0.8617600544447951,0.07325651285402424,43.58573112854106
2018-03-02,27.83,29.18,27.14,28.73,44770,-88.69111979816444,-0.8003785636191267,-0.8494837562796614,0.0491051926605347,43.257043893685875
2018-03-05,26.84,28.63,26.84,26.84,154620,-130.76596106435457,-0.951330463343691,-0.8698530976924673,-0.08147736565122365,37.500957008191506
2018-03-06,26.34,28.63,26.34,27.83,109840,-100.43912442601794,-0.9797818894715533,-0.8918388560482845,-0.08794303342326881,41.864787210874525
2018-03-07,27.83,27.83,26.34,27.83,50010,-105.76940765268596,-0.9909072872700619,-0.91165254229264,-0.07925474497742191,41.864787210874525
2018-03-08,26.34,28.18,26.34,28.13,4040,-81.74572148379798,-0.9643997523569823,-0.9222019843055085,-0.042197768051473794,43.25717703761613
2018-03-09,28.48,28.58,27.34,28.13,57000,-45.992386480745594,-0.932641430104777,-0.9242898734653622,-0.008351556639414781,43.25717703761613
2018-03-12,27.64,27.74,26.84,27.74,60720,-73.11347724306091,-0.9282422724415973,-0.9250803532606092,-0.003161919180988071,41.749576215429435
2018-03-13,26.94,26.94,26.94,26.94,3000,-101.48410773154178,-0.9780350432474663,-0.9356712912579807,-0.04236375198948561,38.765029546353375
2018-03-14,27.54,27.64,27.34,27.64,4000,-51.85185185185137,-0.9500603190270205,-0.9385490968117887,-0.01151122221523182,42.62964742010224
2018-03-15,26.94,27.34,26.84,27.34,12510,-82.78923253150087,-0.9412475257599802,-0.9390887826014269,-0.0021587431585532446,41.423064512569475
2018-03-16,26.0,27.64,25.95,25.95,16640,-138.90078515346184,-1.0344996390036378,-0.9581709538818691,-0.07632868512176871,36.296893254720224
2018-03-19,25.95,26.74,25.95,26.05,7590,-146.49737302977226,-1.0877940338355252,-0.9840955698726004,-0.10369846396292481,36.90186803594403
2018-03-20,26.05,26.05,24.55,24.55,19500,-231.54576354766542,-1.2368105080333187,-1.034638557504744,-0.20217195052857462,31.993723065623115
2018-03-21,24.85,25.7,23.36,23.36,6010,-223.53895445512418,-1.434395375190757,-1.1145899210419468,-0.31980545414881023,28.729110851339623
2018-03-22,23.36,24.95,23.36,24.95,70440,-150.37143051863953,-1.4460143409102209,-1.1808748050156015,-0.26513953589461936,37.853766405993674
2018-03-23,24.95,24.95,24.36,24.85,23210,-105.00462356085318,-1.4466159312498554,-1.2340230302624522,-0.21259290098740324,37.52834116917978
2018-03-26,24.75,24.85,23.11,23.11,38050,-130.47740382913983,-1.5694050298777746,-1.3010994301855168,-0.26830559969225787,32.32156979133436
2018-03-27,23.81,24.31,23.71,24.16,37180,-91.56118143459912,-1.563961673761444,-1.3536718789007023,-0.21028979486074162,37.91904600755469
2018-03-28,24.36,24.36,23.86,23.86,13510,-79.6199471524148,-1.565805634937977,-1.3960986301081573,-0.1697070048298197,36.978018635358076
2018-03-29,23.56,24.31,23.56,24.26,11630,-69.6683599295329,-1.517497563096935,-1.4203784167059128,-0.09711914639102215,39.14649103791096
2018-03-30,23.86,23.86,22.72,22.72,12040,-106.82396983522766,-1.585204941989602,-1.4533437217626506,-0.13186122022695135,34.25903971723183
2018-04-02,22.72,24.21,22.72,24.11,25150,-69.53392365094786,-1.5093038292475072,-1.464535743259622,-0.044768085987885176,41.373797683442255
2018-04-03,24.06,24.55,24.06,24.55,1220,-19.983382318290538,-1.3975373867373477,-1.4511360719551671,0.05359868521781941,43.45974997480051
2018-04-04,24.45,24.55,23.86,24.55,45240,-13.586497890295458,-1.2940447336397867,-1.419717804292091,0.12567307065230438,43.459749974800516
2018-04-05,24.45,24.55,24.45,24.55,20370,27.296082209377026,-1.198213797638683,-1.3754170029614095,0.17720320532272638,43.45974997480051
2018-04-06,24.55,26.24,24.55,26.24,670,206.2292213473308,-0.9746629070664383,-1.2952661837824153,0.320603276715977,51.70336269656688
2018-04-09,26.24,26.24,24.55,24.55,27030,121.55232155232177,-0.9232237431472541,-1.2208576956553832,0.2976339525081291,44.68680858115855
2018-04-10,24.55,24.85,24.16,24.16,18110,13.820162942970354,-0.9035124467074702,-1.1573886458658005,0.25387619915833026,43.22886243469349
2018-04-11,24.55,24.75,24.55,24.75,550,52.30234578627323,-0.8307071580813421,-1.0920523483089088,0.26134519022756675,46.09416199170007
2018-04-12,23.91,25.3,23.86,25.3,15530,69.7333333333329,-0.7203245854189184,-1.0177067957309107,0.2973822103119923,48.693770198317715
2018-04-13,25.75,25.75,23.56,23.56,11410,-11.501831501831271,-0.7644371044393132,-0.9670528574725912,0.20261575303327795,41.82227845696724
2018-04-16,24.36,25.2,24.36,25.2,40100,72.62994647055883,-0.6594604500599708,-0.9055343759900671,0.24607392593009636,49.11143261128477
2018-04-17,26.19,26.84,25.15,26.84,61030,198.70010399168,-0.43887235389313517,-0.8122019715706807,0.3733296176775456,55.16145057255757
2018-04-18,25.85,28.68,25.85,27.83,41590,231.4841498559069,-0.18207116910267374,-0.6861758110770794,0.5041046419744056,58.37831066094026
