time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,7.15,7.15,7.1,7.1,22420,,,,,
2018-01-03,7.15,7.15,7.02,7.15,73060,,,,,
2018-01-04,7.19,7.19,7.1,7.1,62930,,,,,
2018-01-05,7.06,7.15,7.06,7.15,26660,,,,,
2018-01-08,7.15,7.15,7.06,7.06,27980,,,,,
2018-01-09,6.84,7.02,6.84,6.93,58780,,,,,
2018-01-10,6.91,6.91,6.84,6.84,19670,,,,,
2018-01-11,6.84,7.0,6.8,6.93,55540,,,,,
2018-01-12,6.93,7.06,6.93,7.06,43660,,,,,
2018-01-15,6.97,7.06,6.93,7.06,41530,,,,,
2018-01-16,7.04,7.04,6.91,6.97,25130,,,,,
2018-01-17,6.84,7.0,6.84,6.93,63190,,,,,
2018-01-18,6.91,6.95,6.87,6.89,6980,,,,,
2018-01-19,6.93,7.0,6.89,7.0,10630,-34.02163225172044,,,,
2018-01-22,7.02,7.02,6.84,6.84,10260,-76.14892379290315,,,,38.39285714285718
2018-01-23,6.84,6.84,6.84,6.84,0,-115.18987341772169,,,,38.39285714285718
2018-01-24,6.84,6.84,6.84,6.84,0,-105.3097345132742,,,,38.39285714285719
2018-01-25,6.93,7.0,6.5,7.0,19460,-106.81126331811323,,,,47.72078298294986
2018-01-26,7.0,7.02,6.87,7.0,22610,58.37320574162752,,,,47.720782982949856
2018-01-29,6.89,6.89,6.84,6.84,40850,-73.06701030927796,,,,40.59271988837452
2018-01-30,6.82,7.1,6.82,7.06,50760,84.53267162944428,,,,51.35267217776158
2018-01-31,7.0,7.06,7.0,7.02,3830,102.98313878080421,,,,49.59385562710509
2018-02-01,7.06,7.08,6.93,7.0,43520,79.84189723320203,,,,48.69579908500389
2018-02-02,7.04,7.47,6.93,7.28,67450,248.52320675105562,,,,59.69870756221518
2018-02-05,6.87,7.13,6.87,7.02,41910,49.89775051124844,,,,49.15642078431166
2018-02-06,6.8,6.91,6.58,6.89,8470,-111.9634703196347,,,,44.88811115910354
2018-02-07,6.93,7.06,6.93,6.93,60650,22.503293807642052,,,,46.42946713780732
