time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,8.08,8.08,7.52,7.61,22637,,,,,
2018-01-03,7.13,7.44,7.13,7.18,34040,,,,,
2018-01-04,7.13,7.22,6.66,7.22,34347,,,,,
2018-01-05,7.05,7.05,7.0,7.05,13443,,,,,
2018-01-08,7.05,7.09,6.96,7.05,48100,,,,,
2018-01-09,6.96,7.09,6.92,7.05,29442,,,,,
2018-01-10,7.05,7.05,6.96,6.96,13000,,,,,
2018-01-11,6.92,7.0,6.79,6.92,7510,,,,,
2018-01-12,6.87,6.87,6.66,6.83,31000,,,,,
2018-01-15,6.83,6.83,6.66,6.7,4070,,,,,
2018-01-16,6.7,6.7,6.57,6.7,34100,,,,,
2018-01-17,6.7,6.7,6.66,6.7,9601,,,,,
2018-01-18,6.53,6.57,6.53,6.57,500,,,,,
2018-01-19,6.57,6.7,6.57,6.61,14000,-90.37037037037078,,,,
2018-01-22,6.66,6.7,6.66,6.7,10000,-62.63157894736903,,,,13.599999999999993
2018-01-23,7.35,7.35,7.13,7.13,200,131.3672922252006,,,,36.95554557700942
2018-01-24,7.13,7.13,7.13,7.13,0,97.46236559139737,,,,36.95554557700941
2018-01-25,6.92,6.92,6.57,6.57,18119,-54.803958411624926,,,,26.24149335788553
2018-01-26,6.61,6.66,6.57,6.61,5400,-73.54032415543878,,,,27.85052274874485
2018-01-29,6.61,6.61,6.48,6.48,1500,-98.94937917860588,,,,25.87492295734583
2018-01-30,6.48,6.48,6.1,6.1,4250,-193.97988796652513,,,,21.151723296887354
2018-01-31,6.1,6.18,6.1,6.1,24100,-192.9371231696819,,,,21.151723296887358
2018-02-01,6.05,6.05,5.88,5.88,9200,-190.12345679012353,,,,18.842318655302712
2018-02-02,5.88,5.97,5.84,5.97,17300,-145.77691811734385,,,,22.56696523675079
2018-02-05,6.44,6.48,6.44,6.48,3150,-14.657611771363866,,,,39.50878622010622
2018-02-06,6.48,6.48,6.48,6.48,0,-8.167825223436118,,,,39.50878622010621
2018-02-07,5.92,6.31,5.84,6.31,10813,-74.47833065810622,,,,36.42763576741987
2018-02-08,5.88,6.14,5.84,6.14,5200,-83.66179275270203,,,,33.605282024052464
2018-02-09,5.88,6.1,5.79,6.1,3100,-78.87390584338763,,,,32.958228694271
2018-02-12,6.1,6.1,6.1,6.1,0,-49.82638888888939,,,,32.958228694271
2018-02-13,5.97,5.97,5.97,5.97,200,-75.89197713384608,,,,30.728142888934933
2018-02-21,6.35,6.35,6.35,6.35,100,46.949780923491,,,,42.89219116774072
2018-02-22,6.35,6.35,6.35,6.35,0,59.49955991449684,,,,42.89219116774072
