time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,2.0,2.2,2.0,2.2,1200,,,,,
2018-01-03,2.0,2.2,2.0,2.2,5900,,,,,
2018-01-04,2.3,2.3,2.3,2.3,100,,,,,
2018-01-05,2.3,2.3,2.3,2.3,0,,,,,
2018-01-08,2.3,2.3,2.3,2.3,0,,,,,
2018-01-09,2.3,2.3,2.3,2.3,0,,,,,
2018-01-10,2.3,2.3,2.3,2.3,0,,,,,
2018-01-11,2.4,2.4,2.4,2.4,100,,,,,
2018-01-12,2.3,2.5,2.3,2.3,600,,,,,
2018-01-15,2.3,2.3,2.3,2.3,0,,,,,
2018-01-16,2.3,2.3,2.3,2.3,0,,,,,
2018-01-17,2.3,2.3,2.3,2.3,0,,,,,
2018-01-18,2.5,2.5,2.2,2.2,1200,,,,,
2018-01-19,2.3,2.3,2.0,2.2,11816,-129.78303747534633,,,,
2018-01-22,2.2,2.2,2.2,2.2,0,-111.11111111111191,,,,50.0
2018-01-23,2.2,2.2,2.2,2.2,0,-138.13333333333443,,,,50.0
2018-01-24,2.2,2.2,2.2,2.2,0,-105.77777777777848,,,,50.0
2018-01-25,2.0,2.2,2.0,2.0,45000,-188.94308943089507,,,,30.778929672177053
2018-01-26,2.0,2.0,2.0,2.0,30,-181.67938931297778,,,,30.778929672177053
2018-01-29,2.2,2.2,2.2,2.2,100,-27.027027027027298,,,,52.1239047648534
2018-01-30,2.2,2.4,2.2,2.3,1400,48.64864864864851,,,,58.94128319484801
2018-01-31,2.1,2.1,2.1,2.1,5300,-91.80327868852494,,,,45.10698437078289
2018-02-01,2.1,2.1,2.1,2.1,0,-81.8713450292404,,,,45.1069843707829
2018-02-02,1.9,1.9,1.9,1.9,38000,-186.66666666666706,,,,35.455562273433124
2018-02-05,2.0,2.0,1.8,1.8,13200,-160.77235772357758,,,,31.79263173180127
2018-02-06,1.7,1.7,1.7,1.7,4000,-196.93094629156008,,,,28.609601269951362
2018-02-07,1.8,1.8,1.6,1.6,8100,-160.91954022988511,,,,25.82513709572598
2018-02-08,1.7,1.7,1.7,1.7,2000,-117.11026615969595,,,,32.86205606065767
2018-02-09,1.8,1.8,1.8,1.8,100,-67.65799256505582,,,,39.08550497853692
2018-02-12,1.8,1.9,1.7,1.9,13300,-47.11111111111125,,,,44.61447288245314
2018-02-13,2.0,2.0,2.0,2.0,100,22.22222222222222,,,,49.54623048599399
2018-02-21,2.0,2.0,2.0,2.0,0,24.875621890547254,,,,49.546230485993995
2018-02-22,2.0,2.0,2.0,2.0,0,24.875621890547254,,,,49.546230485993995
2018-02-23,2.0,2.0,2.0,2.0,200,33.87978142076499,-0.09072123728303261,-0.12988490073691797,0.03916366345388536,49.546230485993995
2018-02-26,2.0,2.0,2.0,2.0,0,51.28205128205132,-0.08065431143442847,-0.12003878287642007,0.0393844714419916,49.546230485993995
2018-02-27,1.8,1.9,1.8,1.9,1900,-12.765957446808596,-0.0798251893429649,-0.11199606416972904,0.032170874826764145,43.885760695438336
2018-02-28,1.9,2.0,1.9,2.0,2800,57.3643410852714,-0.07028869551810901,-0.10365459043940503,0.03336589492129602,50.033374309229515
2018-03-01,2.0,2.0,2.0,2.0,0,69.56521739130422,-0.062016072771932995,-0.09532688690591062,0.03331081413397763,50.033374309229515
