time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,9.91,9.91,9.91,9.91,40,,,,,
2018-01-03,9.83,9.83,9.83,9.83,100,,,,,
2018-01-04,9.76,9.76,9.18,9.18,170,,,,,
2018-01-05,9.29,9.37,9.21,9.21,4100,,,,,
2018-01-08,9.68,9.68,9.68,9.68,10,,,,,
2018-01-09,9.68,9.68,9.68,9.68,6510,,,,,
2018-01-10,9.37,9.37,9.29,9.29,6840,,,,,
2018-01-11,9.29,9.29,8.67,9.21,13490,,,,,
2018-01-12,9.21,9.21,9.21,9.21,40,,,,,
2018-01-15,9.21,9.25,9.14,9.21,7250,,,,,
2018-01-16,8.6,9.14,8.6,9.14,2840,,,,,
2018-01-17,9.14,9.21,9.14,9.21,3540,,,,,
2018-01-18,8.67,9.21,8.67,9.21,2810,,,,,
2018-01-19,9.14,9.14,9.06,9.14,1310,-61.20529861205319,,,,
2018-01-22,9.14,9.14,9.14,9.14,10,-48.24387011265775,,,,29.842931937172786
2018-01-23,9.14,9.14,9.14,9.14,0,-41.483692176508626,,,,29.84293193717279
2018-01-24,9.14,9.14,9.14,9.14,0,-36.73623714458572,,,,29.842931937172786
2018-01-25,9.14,9.14,8.52,9.06,29520,-123.12572087658688,,,,28.359364915451152
2018-01-26,8.52,8.52,8.44,8.44,6570,-265.32099803756563,,,,20.04325365699131
2018-01-29,8.44,8.44,8.44,8.44,0,-206.61835748792154,,,,20.043253656991308
2018-01-30,8.44,8.44,7.98,7.98,480,-208.12643070963134,,,,16.004841233285653
2018-01-31,7.98,7.98,7.98,7.98,0,-169.65526281294993,,,,16.004841233285656
2018-02-01,7.98,8.52,7.98,8.44,780,-85.11161048689097,,,,31.914665682642664
2018-02-02,8.9,8.9,8.67,8.67,900,-3.2388920580591383,,,,38.21612271434057
2018-02-05,8.29,8.67,8.29,8.36,14500,-51.732597362771976,,,,33.69017793519499
2018-02-06,8.67,8.67,7.78,8.63,1670,-56.524590163934434,,,,40.31967470532704
2018-02-07,8.48,9.14,8.48,9.14,710,48.79356568364603,,,,50.40580629836589
2018-02-08,9.68,9.68,9.14,9.14,20,116.25911625911627,,,,50.40580629836589
2018-02-09,8.52,8.52,8.52,8.52,230,-21.567065073041018,,,,40.70636622624537
2018-02-12,7.94,8.05,7.94,8.05,730,-109.68369829683675,,,,35.179855678747465
2018-02-13,8.52,8.6,7.74,7.74,8950,-100.49291435613091,,,,32.08565747344663
2018-02-21,8.29,8.29,7.74,7.82,810,-103.51594439901886,,,,33.70612545756347
2018-02-22,7.74,8.29,7.74,7.74,3840,-93.0513595166164,,,,32.861714508349074
2018-02-23,7.74,8.21,7.74,8.21,740,-57.48511286525383,-0.37933959235672354,-0.34374356759868896,-0.03559602475803458,42.04738048143061
2018-02-26,8.13,8.13,8.13,8.13,100,-41.80333540931389,-0.36275704281666243,-0.34754626264228367,-0.015210780174378769,41.018657003390835
2018-02-27,8.13,8.13,8.13,8.13,0,-45.251317100953734,-0.3456310334298145,-0.34716321679978984,0.0015321833699753484,41.01865700339083
2018-02-28,8.13,8.13,8.05,8.05,80,-50.57541709227102,-0.3346561709936253,-0.3446618076385569,0.010005636644931593,39.8868843714465
2018-03-01,8.29,8.36,8.05,8.29,6260,-13.194050187350967,-0.3030985873642056,-0.33634916358368666,0.033250576219481076,44.806920741945184
2018-03-02,8.44,8.44,8.21,8.21,340,1.1676396997499754,-0.28130163623159277,-0.32533965811326787,0.044038021881675105,43.52803551301723
2018-03-05,8.13,8.13,8.13,8.13,200,-31.782573940847083,-0.26740030259514036,-0.31375178700964235,0.04635148441450199,42.22998358000757
2018-03-06,8.05,8.21,7.9,8.21,1890,-30.6177446102818,-0.2470798810555248,-0.3004174058188188,0.05333752476329401,44.0275381895968
2018-03-07,8.21,8.21,8.21,8.21,40,51.45413870246205,-0.2283435977289816,-0.28600264420085136,0.05765904647186976,44.0275381895968
2018-03-08,8.4,8.4,8.29,8.29,30,153.04198800342684,-0.20468020084660132,-0.26973815553000136,0.06505795468340003,45.97705603993497
2018-03-09,8.4,8.52,8.4,8.52,980,194.0855413317458,-0.16546038618551684,-0.24888260166110446,0.08342221547558762,51.235738981917144
2018-03-12,8.6,8.67,8.52,8.52,1540,181.00737888995943,-0.1328470227195897,-0.2256754858728015,0.0928284631532118,51.23573898191716
2018-03-13,8.44,8.44,8.44,8.44,40,101.14779874213887,-0.11216308242327067,-0.20297300518289535,0.09080992275962468,49.29986969839536
2018-03-14,8.44,8.44,8.44,8.44,760,85.3358863890226,-0.09467950432873806,-0.1813143050120639,0.08663480068332582,49.29986969839535
2018-03-15,8.44,8.44,8.17,8.44,190,35.168738898756324,-0.0799025755728664,-0.16103195912422438,0.08112938355135799,49.299869698395355
2018-03-16,8.21,8.21,8.13,8.13,200,-62.82282282282222,-0.09214398380603761,-0.14725436406058703,0.055110380254549424,41.67838379165885
2018-03-19,7.78,8.67,7.78,8.67,2610,39.200998751561755,-0.0576078337459176,-0.12932505799765315,0.07171722425173555,54.78974039855699
2018-03-20,8.67,8.67,8.67,8.67,0,163.93831553974044,-0.029893096989459522,-0.10943866579601443,0.0795455688065549,54.78974039855699
2018-03-21,8.52,8.52,8.52,8.52,10,76.8166089965403,-0.01980442178722619,-0.09151181699425678,0.0717073952070306,51.089606005236845
2018-03-22,8.21,8.44,8.21,8.44,20,-1.8018018018024697,-0.018056264044313153,-0.07682070640426805,0.0587644423599549,49.181918932822576
2018-03-23,8.44,8.44,8.44,8.44,0,28.41965471447565,-0.016480855396226346,-0.06475273620265971,0.04827188080643337,49.181918932822576
2018-03-26,8.36,8.36,8.36,8.36,200,-30.985915492957755,-0.0214405112372269,-0.05609029120957315,0.03464977997234625,47.14047298396141
2018-03-27,7.82,8.94,7.78,8.94,17110,86.02693602693668,0.021185861095178282,-0.040635060748622866,0.06182092184380115,60.07836282948445
2018-03-28,8.32,8.9,8.32,8.32,240,50.08726003490533,0.004882467781873956,-0.0315315550425235,0.03641402282439746,46.871553599807044
2018-03-29,7.78,8.44,7.74,8.44,4620,-137.45726495726475,0.001626162846585899,-0.02490001146470162,0.02652617431128752,49.199238951921274
2018-03-30,7.86,7.86,7.86,7.86,1180,-251.98135198135054,-0.04721141125196304,-0.029362291422153904,-0.017849119829809138,40.062921105127955
2018-04-02,7.86,7.86,7.86,7.86,0,-176.71111111111043,-0.08493644610122963,-0.04047712235796905,-0.04445932374326059,40.062921105127955
2018-04-03,7.9,7.9,7.44,7.44,1850,-187.90443942814088,-0.1470294341329783,-0.0617875847129709,-0.08524184942000741,34.65781032632913
2018-04-04,7.47,7.9,7.43,7.9,90,-115.92862935928612,-0.15730708077741973,-0.08089148392586067,-0.07641559685155906,43.628303450161084
2018-04-05,7.47,7.47,7.43,7.43,3750,-143.38971807628508,-0.20105957224212467,-0.10492510158911347,-0.0961344706530112,37.90274323188828
