time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,19.56,20.68,19.56,19.7,2030,,,,,
2018-01-03,18.35,19.7,18.35,19.7,1030,,,,,
2018-01-04,18.35,19.7,18.35,19.65,1200,,,,,
2018-01-05,19.65,19.7,19.65,19.7,40,,,,,
2018-01-08,18.8,18.8,18.62,18.62,1060,,,,,
2018-01-09,17.59,17.59,17.59,17.59,10,,,,,
2018-01-10,17.24,18.8,17.24,18.8,7130,,,,,
2018-01-11,19.25,19.25,19.25,19.25,20,,,,,
2018-01-12,19.25,19.25,19.25,19.25,50,,,,,
2018-01-15,17.91,18.09,17.91,18.09,2680,,,,,
2018-01-16,18.09,18.09,17.32,17.32,290,,,,,
2018-01-17,17.28,18.4,17.28,18.4,2830,,,,,
2018-01-18,18.31,18.31,18.31,18.31,30,,,,,
2018-01-19,18.44,18.44,18.35,18.44,800,-27.88873784377285,,,,
2018-01-22,18.44,18.44,18.44,18.44,0,-15.756174717119169,,,,41.1267605633803
2018-01-23,18.44,18.44,18.44,18.44,0,-9.833851141429202,,,,41.126760563380294
2018-01-24,18.44,18.44,18.44,18.44,0,-2.711048306903567,,,,41.126760563380294
2018-01-25,17.28,18.71,17.24,18.71,1610,-25.47277284119432,,,,43.79622976845183
2018-01-26,18.71,18.71,18.71,18.71,10,67.48188405797096,,,,43.79622976845183
2018-01-29,18.71,18.71,18.71,18.71,0,58.45997973657501,,,,43.79622976845183
2018-01-30,17.91,18.76,17.91,18.76,1340,5.942494371240459,,,,44.37954299667166
2018-01-31,18.76,18.76,18.76,18.76,0,84.36254980079698,,,,44.37954299667165
2018-02-01,18.76,18.76,18.76,18.76,0,102.51408160461618,,,,44.37954299667165
2018-02-02,18.62,18.62,18.62,18.62,20,59.257003654080634,,,,42.825196559238286
2018-02-05,18.58,18.58,18.58,18.58,10,34.327556092973445,,,,42.36860716169167
2018-02-06,18.58,18.58,18.58,18.58,0,22.296918767506618,,,,42.36860716169167
2018-02-07,18.58,18.58,18.58,18.58,200,14.818801578759517,,,,42.36860716169166
2018-02-08,18.58,18.58,18.58,18.58,0,9.26419753086632,,,,42.36860716169166
2018-02-09,18.58,18.58,18.58,18.58,0,3.860577983678911,,,,42.36860716169167
2018-02-12,17.37,18.53,17.37,18.53,80,-205.18064076345897,,,,41.56619018617455
2018-02-13,18.53,18.53,18.53,18.53,0,-15.760571114769412,,,,41.56619018617456
2018-02-21,18.53,18.53,18.53,18.53,0,-36.76148796498562,,,,41.56619018617456
2018-02-22,17.28,18.58,17.28,18.58,1020,-209.3871288022365,,,,42.91646094087194
2018-02-23,18.98,19.29,18.98,19.29,20,271.86932849364797,-0.004124462323151334,-0.06531998184582359,0.061195519522672256,57.82118805916093
2018-02-26,20.06,20.06,20.06,20.06,20,317.9359823399582,0.10569503952777737,-0.031116977571103398,0.13681201709888077,67.67786005656944
2018-02-27,18.67,18.67,18.67,18.67,770,-2.833090497002729,0.07964826702320238,-0.008963928652242239,0.08861219567544462,46.536315405598394
2018-02-28,17.41,18.67,17.37,17.37,270,-181.57633966003482,-0.04537012473420887,-0.016245167868635564,-0.029124956865573308,35.3987306656988
2018-03-01,17.37,17.37,17.37,17.37,0,-204.51997830410136,-0.14280196870671702,-0.04155652803625186,-0.10124544067046516,35.3987306656988
2018-03-02,18.35,18.35,18.35,18.35,20,-27.024194252772578,-0.13933344795917435,-0.06111191202083636,-0.078221535938338,46.57710259822444
2018-03-05,17.19,18.35,17.19,17.5,860,-112.47557492860365,-0.2028343681944733,-0.08945640325556375,-0.11337796493890956,40.09642148609862
2018-03-06,18.49,18.53,16.43,18.53,110,-76.71232876712273,-0.16810905649056807,-0.10518693390256462,-0.06292212258800345,49.30183686225191
2018-03-07,18.8,18.8,18.8,18.8,10,52.32227488151673,-0.11744838143491165,-0.10763922340903402,-0.009809158025877632,51.40974194623731
2018-03-08,17.64,17.64,17.64,17.64,10,-86.77905944986712,-0.16895413879660381,-0.11990220648654798,-0.049051932310055835,43.11558869643776
2018-03-09,16.7,16.7,16.7,16.7,10,-160.00496216350345,-0.2823680040936942,-0.15239536600797723,-0.129972638085717,37.794400272607284
2018-03-12,17.77,17.77,17.77,17.77,17300,-42.55191833861322,-0.28265102671570475,-0.17844649814952274,-0.10420452856618201,45.96885995098196
2018-03-13,16.65,16.65,16.61,16.61,70,-134.20993481681336,-0.3721872863002922,-0.21719465577967662,-0.15499263052061557,39.85431895039449
2018-03-14,16.83,16.83,16.83,16.83,40,-98.47900791872132,-0.42054546932183,-0.2578648184881073,-0.16268065083372274,41.445108337865356
2018-03-15,16.61,17.91,16.61,17.91,230,-35.99103092245965,-0.3674865475373146,-0.27978916429794876,-0.08769738323936582,48.628306956861096
2018-03-16,17.46,17.82,17.46,17.82,100,5.586618876941217,-0.32890777351768463,-0.28961288614189595,-0.03929488737578868,48.0987750340942
2018-03-19,17.82,17.82,17.82,17.82,0,34.323537198834586,-0.294934001581872,-0.29067710922989115,-0.0042568923519808455,48.09877503409421
2018-03-20,16.61,16.65,16.61,16.61,6340,-120.01464597922131,-0.3614795192779532,-0.30483759123950355,-0.05664192803844964,41.1174013594377
2018-03-21,17.28,17.28,17.28,17.28,10,-30.338700220989445,-0.3560496027232851,-0.3150799935362599,-0.04096960918702525,45.80787962348218
2018-03-22,17.28,17.28,17.28,17.28,40,-21.829167275739866,-0.34773784926622753,-0.3216115646822534,-0.026126284583974146,45.80787962348219
2018-03-23,17.28,17.28,17.28,17.28,0,-17.99930771893382,-0.3372629672213385,-0.32474184519007043,-0.012521122031268095,45.80787962348219
2018-03-26,16.12,17.24,16.12,17.24,340,-68.36982968369882,-0.3284035813773798,-0.3254741924275323,-0.002929388949847511,45.537398095843265
2018-03-27,17.01,17.01,17.01,17.01,10,-35.527767561603575,-0.3360675545038774,-0.3275928648428013,-0.008474689661076062,43.931114691886094
2018-03-28,16.92,16.92,16.88,16.92,30,-45.88287098194635,-0.34542174935223,-0.33115864174468707,-0.014263107607542957,43.28766079636525
2018-03-29,16.92,16.92,15.76,15.76,820,-161.42857142857136,-0.44134971683339685,-0.353196856762429,-0.08815286007096784,35.974009925332915
2018-03-30,16.79,16.79,14.73,16.47,220,-158.1624905087315,-0.4548391532721041,-0.373525316064364,-0.0813138372077401,42.38985832006676
2018-04-02,16.47,16.47,16.47,16.47,0,-78.87532371439136,-0.4602244478805275,-0.39086514242759673,-0.06935930545293079,42.38985832006676
2018-04-03,16.47,16.47,16.47,16.47,0,-70.64572425828952,-0.4591989727403387,-0.40453190849014514,-0.054667064250193576,42.38985832006676
2018-04-04,15.36,17.37,15.36,17.01,3900,-46.924333151877214,-0.41008557799813516,-0.40564264239174314,-0.004442935606392029,47.397083000694344
