time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,3.3,3.3,3.3,3.3,0,,,,,
2018-01-03,3.0,3.3,3.0,3.3,3193,,,,,
2018-01-04,3.2,3.3,3.2,3.3,1850,,,,,
2018-01-05,3.3,3.3,3.3,3.3,0,,,,,
2018-01-08,3.1,3.2,3.1,3.1,6000,,,,,
2018-01-09,2.9,3.0,2.8,3.0,29900,,,,,
2018-01-10,2.8,3.0,2.8,2.9,15140,,,,,
2018-01-11,3.0,3.0,2.9,2.9,3100,,,,,
2018-01-12,2.9,2.9,2.8,2.9,6200,,,,,
2018-01-15,2.9,3.0,2.8,3.0,16100,,,,,
2018-01-16,3.0,3.0,3.0,3.0,9200,,,,,
2018-01-17,3.0,3.0,3.0,3.0,1000,,,,,
2018-01-18,2.9,2.9,2.8,2.8,14200,,,,,
2018-01-19,2.8,2.8,2.8,2.8,3100,-100.90090090090122,,,,
2018-01-22,2.9,2.9,2.9,2.9,100,-51.85185185185192,,,,25.000000000000018
2018-01-23,2.8,3.0,2.8,3.0,1039,-27.944111776447013,,,,33.89830508474578
2018-01-24,3.1,3.1,3.1,3.1,100,88.81199538639028,,,,41.38728323699423
2018-01-25,2.8,3.1,2.8,3.1,2500,49.35897435897467,,,,41.387283236994236
2018-01-26,3.1,3.1,3.1,3.1,0,152.42881072026782,,,,41.387283236994236
2018-01-29,2.8,3.0,2.8,3.0,1024,-11.725293132328261,,,,36.25684950608879
2018-01-30,3.0,3.0,3.0,3.0,0,45.751633986927935,,,,36.25684950608879
2018-01-31,3.0,3.0,3.0,3.0,0,40.00000000000028,,,,36.256849506088784
2018-02-01,3.0,3.0,3.0,3.0,1000,33.33333333333282,,,,36.256849506088784
2018-02-02,3.0,3.3,3.0,3.0,2700,114.97584541062803,,,,36.256849506088784
2018-02-05,3.3,3.3,2.8,2.8,4400,-9.061488673139975,,,,26.676693608638253
2018-02-06,3.0,3.0,2.6,2.8,22200,-132.22222222222217,,,,26.676693608638246
2018-02-07,3.0,3.0,3.0,3.0,100,23.987538940809877,,,,43.87568359216027
2018-02-08,3.3,3.3,3.3,3.3,100,241.24293785310707,,,,59.29807691100288
2018-02-09,3.3,3.3,3.3,3.3,0,172.25950782997754,,,,59.29807691100287
2018-02-12,3.0,3.2,3.0,3.2,1100,52.538631346578846,,,,53.603731045981306
2018-02-13,3.5,3.5,3.2,3.3,1700,144.69273743016797,,,,57.952152998405246
2018-02-21,3.3,3.3,3.3,3.3,0,104.76190476190492,,,,57.952152998405246
2018-02-22,3.4,3.4,3.4,3.4,300,122.75362318840611,,,,62.0745407360625
2018-02-23,3.4,3.4,3.4,3.4,0,102.32240437158501,0.08088206004007104,0.025969574267190796,0.05491248577288024,62.07454073606251
2018-02-26,3.3,3.5,3.3,3.5,6400,97.29729729729753,0.0969901973598235,0.04017369888571734,0.056816498474106164,65.94654336183724
