time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,5.8,5.8,5.75,5.75,2300,,,,,
2018-01-03,5.99,5.99,5.75,5.75,23800,,,,,
2018-01-04,5.75,6.18,5.65,6.18,46500,,,,,
2018-01-05,5.7,5.7,5.7,5.7,2000,,,,,
2018-01-08,5.8,5.8,5.8,5.8,16000,,,,,
2018-01-09,5.8,5.89,5.75,5.8,65100,,,,,
2018-01-10,6.28,6.28,5.8,6.04,24410,,,,,
2018-01-11,5.94,6.18,5.8,5.84,106000,,,,,
2018-01-12,5.8,5.8,5.7,5.8,46800,,,,,
2018-01-15,5.75,5.8,5.75,5.75,50500,,,,,
2018-01-16,5.7,5.8,5.55,5.8,26100,,,,,
2018-01-17,5.7,5.75,5.55,5.75,87600,,,,,
2018-01-18,5.75,5.8,5.75,5.8,16700,,,,,
2018-01-19,5.8,5.8,5.7,5.8,28900,-38.05097873538906,,,,
2018-01-22,6.04,6.04,5.84,5.84,24600,64.62665097423776,,,,52.601156069364166
2018-01-23,5.8,5.89,5.8,5.89,52900,26.261089987325107,,,,54.031910306166445
2018-01-24,5.94,5.94,5.84,5.89,26000,61.847389558234624,,,,54.031910306166445
2018-01-25,5.89,5.94,5.89,5.89,38500,63.290414878397016,,,,54.031910306166445
2018-01-26,5.94,6.13,5.94,6.13,13000,153.63790186125178,,,,61.075796262714555
2018-01-29,6.18,6.52,6.13,6.13,35200,211.46666666666746,,,,61.075796262714555
2018-01-30,6.38,6.38,6.04,6.04,39000,137.7540106951869,,,,57.25981334148027
2018-01-31,6.04,6.04,6.04,6.04,6800,70.11725293132362,,,,57.25981334148027
2018-02-01,6.09,6.09,5.89,5.94,59600,30.53851397409684,,,,52.99319090692771
2018-02-02,5.94,6.18,5.8,6.04,105400,39.009287925696704,,,,56.48505555673174
2018-02-05,6.04,6.04,6.04,6.04,2700,46.78138942001271,,,,56.48505555673174
2018-02-06,5.8,5.8,5.7,5.75,20800,-115.44068919814443,,,,45.19378716617624
2018-02-07,6.09,6.23,6.09,6.18,900,101.05820105820091,,,,58.4549960522523
2018-02-08,6.09,6.09,6.09,6.09,400,50.32822757111549,,,,55.43176877728081
2018-02-09,6.04,6.62,6.04,6.62,102900,199.3781094527357,,,,66.43945821674514
2018-02-12,6.28,6.52,6.23,6.38,20200,140.09052699644207,,,,59.29735463765814
2018-02-13,6.57,6.57,6.38,6.42,4700,141.085271317829,,,,60.06782591079131
2018-02-21,6.38,6.52,6.38,6.52,13000,122.4906065485769,,,,62.00422052153799
2018-02-22,6.52,6.67,6.52,6.52,6000,126.39564512392852,,,,62.00422052153798
2018-02-23,6.76,6.76,6.52,6.52,21200,112.40616757963002,0.18358614748663005,0.1343671718083338,0.04921897567829625,62.00422052153797
2018-02-26,6.52,6.57,6.47,6.52,31900,75.27308838133057,0.18587624534846992,0.144668986516361,0.041207258832108906,62.00422052153798
2018-02-27,6.52,6.52,6.52,6.52,5600,65.88001137332934,0.18555223375477237,0.15284563596404327,0.0327065977907291,62.00422052153798
2018-02-28,6.52,6.52,6.52,6.52,10610,59.05459726250435,0.1831838231471199,0.15891327340065858,0.024270549746461312,62.00422052153798
2018-03-01,6.52,6.52,6.42,6.42,42400,33.622685185185006,0.1712634578773402,0.1613833102959949,0.009880147581345311,57.643769780789796
2018-03-02,6.52,6.52,6.47,6.47,31800,40.24306978014498,0.1639610240291951,0.16189885304263493,0.002062170986560169,59.18916752504983
2018-03-05,6.52,6.62,6.47,6.47,13100,51.95681511470972,0.1563712422504011,0.16079333088418818,-0.004422088633787069,59.18916752504983
2018-03-06,6.42,6.42,6.42,6.42,24800,-34.552482902170865,0.14465421957755176,0.1575655086228609,-0.012911289045309138,56.7862676988396
2018-03-07,6.47,6.47,6.42,6.42,6100,-64.10256410256268,0.13382573492415073,0.15281755388311885,-0.01899181895896812,56.7862676988396
2018-03-08,6.33,6.47,6.33,6.38,27300,-113.7614678899065,0.12062591663531386,0.14637922643355786,-0.025753309798244,54.72498097005369
2018-03-09,6.52,6.52,6.28,6.28,58000,-151.56950672645723,0.1009323163618916,0.1372898444192246,-0.036357528057333,49.85294391118554
2018-03-12,6.28,6.28,6.28,6.28,3600,-188.67280791538667,0.08435263163072726,0.12670240186152512,-0.04234977023079786,49.85294391118554
2018-03-13,6.28,6.28,6.28,6.28,24400,-146.10778443113645,0.07040156659484875,0.11544223480818985,-0.0450406682133411,49.852943911185534
2018-03-14,6.28,6.38,6.28,6.38,50800,-77.54279959717972,0.06664615590753886,0.10568301902805965,-0.03903686312052079,54.87099181557317
2018-03-15,6.38,7.0,6.28,6.28,66700,79.07048322560861,0.054967174247594563,0.09553985007196664,-0.04057267582437207,49.5331023850399
