time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,67.96,67.96,67.96,67.96,2490,,,,,
2018-01-03,67.96,67.96,67.33,67.96,1030,,,,,
2018-01-04,67.33,69.15,65.75,67.33,3670,,,,,
2018-01-05,67.96,67.96,67.33,67.33,970,,,,,
2018-01-08,69.21,69.21,66.7,67.96,60,,,,,
2018-01-09,70.13,70.13,67.06,67.06,1250,,,,,
2018-01-10,67.06,68.21,67.06,68.21,4790,,,,,
2018-01-11,68.85,68.85,67.32,67.32,1320,,,,,
2018-01-12,68.79,71.4,67.32,70.19,1290,,,,,
2018-01-15,71.47,75.1,71.47,74.98,18010,,,,,
2018-01-16,79.76,79.76,75.29,75.93,2180,,,,,
2018-01-17,76.57,76.57,73.38,75.93,1890,,,,,
2018-01-18,73.38,75.61,72.42,74.02,1430,,,,,
2018-01-19,75.29,75.29,73.38,73.38,590,75.97134465530152,,,,
2018-01-22,75.29,75.29,71.47,73.38,2060,52.74228687890925,,,,67.64322916666667
2018-01-23,73.38,73.38,73.38,73.38,0,44.95545269025946,,,,67.64322916666666
2018-01-24,73.38,73.38,73.38,73.38,0,38.19869925316342,,,,67.64322916666669
2018-01-25,71.47,73.38,71.47,73.0,1650,14.878368659305366,,,,65.61575847748003
2018-01-26,72.1,73.0,69.55,69.74,3430,-40.066280963882306,,,,51.38609691400251
2018-01-29,73.32,73.32,68.98,72.74,3110,-25.36652520555236,,,,59.98588861874366
2018-01-30,70.19,73.32,69.55,72.74,4220,-34.24859065994876,,,,59.98588861874366
2018-01-31,72.74,72.74,72.74,72.74,130,-18.66808719327624,,,,59.98588861874366
2018-02-01,70.83,72.04,67.96,67.96,4470,-184.03265143596545,,,,44.367051357124225
2018-02-02,72.1,72.1,68.02,70.13,1380,-119.59684123025735,,,,50.64922711059502
2018-02-05,69.49,72.42,67.64,71.34,2580,-88.57766518490077,,,,53.783152424603976
2018-02-06,67.7,70.45,67.64,70.19,2060,-117.69299419901824,,,,50.50076532594424
2018-02-07,70.19,70.19,69.55,70.13,280,-79.95692080178786,,,,50.328184358486816
2018-02-08,67.7,69.55,67.64,69.49,1080,-110.74325442807462,,,,48.42711928942047
2018-02-09,69.49,69.49,69.49,69.49,1370,-73.34321475625867,,,,48.42711928942046
2018-02-12,69.42,70.19,69.23,70.19,1190,-48.38955913017589,,,,50.78525290582421
2018-02-13,67.06,70.13,67.0,70.13,680,-85.20766773162984,,,,50.57180428099404
2018-02-21,70.13,70.13,69.55,69.55,260,-36.89447400530857,,,,48.45184514936006
2018-02-22,70.13,70.13,68.28,69.49,4830,-62.9837080232228,,,,48.22662158885422
2018-02-23,70.13,70.19,68.28,70.19,7460,-38.67591578435051,-0.13320449147092006,0.1783816554703795,-0.3115861469412996,51.08349124024839
2018-02-26,69.62,70.83,69.62,70.76,960,57.42381753598674,-0.08963299111007927,0.12477872615428776,-0.21441171726436703,53.34125487494501
2018-02-27,70.32,70.76,70.06,70.76,3200,125.45522110739398,-0.054474317139522554,0.08892811749552569,-0.14340243463504826,53.34125487494501
2018-02-28,70.51,75.68,70.06,74.53,4020,329.65431001859076,0.2744331831751907,0.1260291306314587,0.148404052543732,65.54122393858617
2018-03-01,70.06,72.1,69.87,72.1,1300,103.36892152311864,0.3351506471462642,0.16785343393441982,0.16729721321184438,55.47292016908541
2018-03-02,70.19,71.47,69.55,70.83,3580,40.58307747628112,0.27759138789686233,0.18980102472690832,0.087790363169954,51.05832899255118
2018-03-05,70.83,73.38,70.19,71.79,7130,109.47488584475002,0.3059128641214386,0.21302339260581438,0.09288947151562421,54.036017782899116
2018-03-06,71.47,71.47,70.19,70.83,4230,34.546386468477294,0.24803467182876204,0.2200256484504039,0.028009023378358144,50.71320225901279
2018-03-07,70.83,72.74,70.19,72.42,1790,88.6426116838499,0.32669951066694125,0.24136042089371137,0.08533908977322988,55.584736024970574
2018-03-08,75.17,75.17,72.42,72.42,350,155.19688355443222,0.3846084355610486,0.2700100238271788,0.11459841173386981,55.584736024970574
2018-03-09,70.19,74.02,70.19,72.74,960,76.77014925373123,0.4511227392751067,0.30623256691676437,0.14489017235834234,56.58631226607961
2018-03-12,72.68,72.68,70.83,72.1,410,41.759880686055304,0.44703995455790846,0.3343940444449932,0.11264591011291525,53.965231003786215
2018-03-13,72.1,72.1,70.83,72.1,260,22.943874106664815,0.4387467191862271,0.35526457939323997,0.08348213979298713,53.965231003786215
2018-03-14,72.36,72.36,72.36,72.36,90,61.47091108671844,0.44798994823477756,0.37380965316154746,0.0741802950732301,54.948430749759105
2018-03-15,70.19,72.1,70.19,72.04,1730,-23.434209067729306,0.4245994302730054,0.38396760858383905,0.04063182168916635,53.43574413205216
2018-03-16,72.68,72.68,70.83,72.1,120,7.48676673192828,0.4062211107271878,0.3884183090125088,0.017802801714679017,53.69315378556392
2018-03-19,72.1,72.1,71.47,72.1,760,-0.8662294270505735,0.3871928420149118,0.3881732156129894,-0.0009803735980776218,53.69315378556392
2018-03-20,70.06,75.93,70.06,71.47,1570,92.31541938724177,0.31761578998090556,0.37406173048657265,-0.05644594050566709,50.30661594450188
2018-03-21,72.74,73.32,72.74,72.74,50,124.28510456679561,0.3607948427749932,0.3714083529442568,-0.010613510169263596,56.29143981832999
2018-03-22,70.25,72.74,70.25,72.74,7750,-17.943469785572407,0.39051296285269643,0.3752292749259447,0.015283687926751721,56.29143981832999
2018-03-23,71.98,71.98,70.83,71.79,1320,-67.44428639165248,0.3335626243055714,0.36689594480187004,-0.03333332049629867,50.96636501490168
2018-03-26,71.02,71.15,70.32,71.15,2830,-160.6240323925223,0.23408799867114283,0.3403343555757246,-0.10624635690458178,47.69310852644206
2018-03-27,73.32,74.02,70.06,71.02,1500,-43.62606232294708,0.14311399854534557,0.3008902841696488,-0.15777628562430324,47.03235248768019
2018-03-28,73.32,73.32,69.55,69.55,210,-161.45783196962296,-0.0470578135024482,0.2313006646352294,-0.2783584781376776,40.24291748243657
2018-03-29,72.1,72.68,64.7,64.7,14960,-353.73112532491854,-0.5824111384572319,0.06855830401673715,-0.650969442473969,26.599576310561556
2018-03-30,69.17,69.17,67.0,69.17,33860,-174.58258795468043,-0.6386291436103306,-0.07287918550867639,-0.5657499581016543,45.080011269669484
2018-04-02,71.72,71.72,69.23,69.23,9290,-61.41440429013523,-0.6706104394583576,-0.19242543629861264,-0.478185003159745,45.27916787975539
